date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyNetPPE
1994-03-31,,,,,,0.05,,,,,2500000,,2500000,,,,,,,,,50000000.0,,,,,2500000,,,,,,,,,,,,,0.05,,,,,,,,,,,2500000,,2500000.0,,,,,,,,,,,,2500000,,,,,,,50000000.0,,,,,
1994-06-30,,,,,,-0.05,,,,,-2000000,,-2000000,,,,,,,,,40000000.0,,,,,-2000000,,,,,,,,,,,,,-0.05,,,,,,,,,,,1300000,,1300000.0,,,,,,,,,,,,1300000,,,,,,,40000000.0,,,,,
1994-09-30,,,,,,0.01,,,,,400000,,400000,,,,,,,,,50000000.0,,,,,400000,,,,,,,,,,,,,0.01,,,,,,,,,,,5300000,,5300000.0,,,,,,,,,,,,5300000,,,,,,,50000000.0,,,,,
1994-12-31,16900000.0,,,,,,,9800000.0,25600000.0,,400000,,400000,0.0,9800000.0,,,,1500000.0,,,,0.0,17900000.0,,,400000,,,,500000.0,,,,,,7700000.0,,2700000.0,,,,,,2800000.0,2800000.0,100000.0,,4700000.0,,5100000,,-9300000.0,,-2200000.0,,,16400000.0,,8100000.0,8700000.0,,,,-9300000,1900000.0,,,,,,,,-6400000.0,,,14200000.0
1995-03-31,16800000.0,,1200000.0,,,0.02,500000.0,4700000.0,25200000.0,300000.0,1200000,2000000.0,1200000,4900000.0,9600000.0,0.0,0.0,-100000.0,700000.0,,100000.0,99400000.0,0.0,15900000.0,,,1200000,,,,100000.0,4300000.0,2900000.0,,0.0,,9300000.0,,2700000.0,0.02,,2800000.0,,,3800000.0,3800000.0,700000.0,,4300000.0,,5500000,-100000.0,1700000.0,0.0,-2200000.0,1300000.0,,16300000.0,,6300000.0,8400000.0,600000.0,,1000000.0,1400000,1300000.0,600000.0,,-900000.0,,,99400000.0,,-5200000.0,,100000.0,14100000.0
1995-06-30,26057588.726817,6405217.34067,,,,0.01,1174090.895857,7933735.115148,60776778.175677,282292.485515,400000,,400000,4294407.080676,12228142.195824,7424229.190322,,-409505.924826,2256383.381372,,,99460000.0,1e-06,46219466.03779,,,400000,,,,3857687.71654,,,,0.0,,14557312.137886,,6186857.658601,0.01,,0.0,0.0,,24310711.270271,24310711.270271,145573.121379,655079.046204,5604565.173086,,2600000,-409505.924826,2882292.485515,2547529.62413,-2256383.381372,,,22127114.449587,,33991323.841965,34719189.44886,1583596.820683,,3585553.323434,2600000,26130375.287507,,,972786.56069,,,99460000.0,,-582292.485515,,,19870731.068215
1995-09-30,26059067.219029,6384842.680446,,,,0.01,17406194.788731,7943932.172182,60656005.464237,308615.795477,1000000,,1000000,4231814.334715,12175746.506897,24054523.586796,,-7582910.960855,2227270.702481,,,100000000.0,74242.35675,46104503.54136,,,1000000,,,1039392.994491,3860602.550967,,,,-2672724.842977,,14551501.922877,-2891084.525045,6162115.610197,0.01,,7424229.190322,0.0,,24203008.300295,24203008.300295,148484.713499,668181.210744,5642419.112952,,3000000,-4910186.117878,3308615.795477,1758527.067333,-2301513.05923,,,22124222.311312,,33928757.034463,34596938.245207,22316380.906609,,16647760.706886,3000000,26059067.21903,,,,298425.223057,20856279.062333,100000000.0,,-593938.853994,,,19822709.252082
1995-12-31,26200000.0,,,,,,9419714.315412,8000000.0,60900000.0,309091.719008,3200000,,3200000,4200000.0,12200000.0,0.0,,-2407583.114319,2200000.0,,,,2700000.0,46300000.0,,,3200000,,,-1039392.994492,3900000.0,,,,-5227275.157023,,14600000.0,-1127275.157023,3600000.0,,,24054523.586796,,,24300000.0,24300000.0,100000.0,,5600000.0,,9200000,2819692.042704,-8490908.280992,-4006056.691463,-3300000.0,,,23200000.0,,34100000.0,34700000.0,6600022.272708,,266685.96968,-8800000,26300000.0,,,,328788.216254,3534867.180424,,,-600000.0,,,19900000.0
1996-03-31,27300000.0,,5900000.0,,,0.05,4500000.0,7300000.0,68400000.0,500000.0,4700000,3500000.0,4700000,1500000.0,8800000.0,0.0,200000.0,-1600000.0,2800000.0,,,94000000.0,2500000.0,49200000.0,,,4700000,,,100000.0,5300000.0,11000000.0,6000000.0,,0.0,,19200000.0,-1400000.0,3600000.0,0.05,,24300000.0,,,28400000.0,28400000.0,500000.0,,4700000.0,,16900000,-1600000.0,5500000.0,-100000.0,-3300000.0,5100000.0,,24500000.0,,40400000.0,41100000.0,6100000.0,,4100000.0,5000000,32900000.0,2000000.0,,-100000.0,,1000000.0,94000000.0,,4100000.0,,400000.0,21200000.0
1996-06-30,28500000.0,,6700000.0,,,0.06,-5800000.0,6900000.0,67100000.0,500000.0,5800000,3300000.0,5800000,0.0,6900000.0,0.0,200000.0,-1800000.0,2800000.0,,,96666667.0,2600000.0,42600000.0,,,5800000,,,0.0,7300000.0,11600000.0,5800000.0,,0.0,,24500000.0,-2100000.0,3500000.0,0.06,,0.0,,,21900000.0,21900000.0,800000.0,,6600000.0,,18300000,-1800000.0,6300000.0,-300000.0,-3300000.0,6000000.0,,25700000.0,,35700000.0,38600000.0,-4000000.0,,-6500000.0,5800000,26300000.0,2000000.0,,200000.0,,-10400000.0,96666667.0,,9900000.0,,200000.0,22400000.0
