date,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredRevenue
2001-09-30,-0.355,,-2300000.0,629900000.0,,,219700000.0,74421184.0,6200000.0,219700000.0,147500000.0,,,,-6300000.0,567500000.0,,15200000.0,,,,75305624.0,588300000.0,1212600000.0,2045400000.0,,817600000.0,,,,,,,,40800000.0,,,-4000000.0,,,27900000.0,,,,-2200000.0,1198000000.0,,-0.355,29800000.0,,,,735800000.0,832800000.0,,441500000.0,375300000.0,,32800000.0,,372800000.0,,86900000.0,,68700000.0,,462200000.0,,70900000.0,-4000000.0,-4000000.0,-1400000.0,,,,847400000.0,
2001-12-31,,,39600000.0,874300000.0,,,546200000.0,,,679500000.0,406500000.0,,,,106000000.0,2415200000.0,99800000.0,98900000.0,-765842000.0,,,,0.0,3388400000.0,10785900000.0,,107900000.0,,,133300000.0,,72500000.0,0.0,686100000.0,25800000.0,-587700000.0,679500000.0,66400000.0,,,210500000.0,,,,197200000.0,8796100000.0,40300000.0,,588700000.0,,,1640142000.0,1321800000.0,7397500000.0,,1967100000.0,1052300000.0,,6079100000.0,539300000.0,1813200000.0,229200000.0,6422000000.0,,153900000.0,,7474300000.0,,-43300000.0,66400000.0,66400000.0,18208000.0,99600000.0,,,1970800000.0,
2002-03-31,-0.108297,,1742000.0,3275950000.0,,,553829000.0,106946792.0,,553829000.0,,,,,-9840000.0,,0.0,4927857000.0,-765842000.0,,,113942860.0,,8203807000.0,9918412000.0,,1345608000.0,,,,,,0.0,,,0.0,0.0,-11582000.0,,,62263000.0,,,,3745000.0,7977399000.0,0.0,-0.108297,577118000.0,,,4041792000.0,1256564000.0,1714605000.0,,936720000.0,1455978000.0,,1160776000.0,,874022000.0,,5264857000.0,,62698000.0,,6720835000.0,,58953000.0,-11582000.0,-11582000.0,349000.0,,,,1922726000.0,
2002-06-30,-0.079605,,22316000.0,3628996000.0,,,696244000.0,107141372.0,,696244000.0,,,,,8232000.0,,0.0,5453908000.0,-765842000.0,,,117234404.0,,9082904000.0,11004021000.0,,1505386000.0,,,,,,0.0,,,0.0,0.0,-8529000.0,,,96998000.0,,,,59210000.0,8917274000.0,0.0,-0.079605,561525000.0,,,4394838000.0,1421249000.0,1921117000.0,,1088104000.0,1609691000.0,,1224873000.0,,996561000.0,,5886334000.0,,91543000.0,,7496025000.0,,32333000.0,-8529000.0,22316000.0,5554000.0,,,,2066911000.0,
2002-09-30,0.065959,,9962000.0,3503338000.0,,,720985000.0,112144808.0,,720985000.0,,,,,52767000.0,,252493000.0,5583444000.0,-765842000.0,,,112144808.0,,9086782000.0,11094889000.0,,1501763000.0,,,,,,0.0,,,60066000.0,720887000.0,7397000.0,,,89753000.0,,,,57994000.0,9071001000.0,182170000.0,0.065959,490563000.0,,,4269180000.0,1344327000.0,2008107000.0,,1119056000.0,1364053000.0,,1287122000.0,,1029303000.0,,6362621000.0,,89753000.0,,7726674000.0,,31759000.0,7397000.0,42805000.0,1184000.0,,,,1992326000.0,
2002-12-31,,,14503000.0,904413000.0,,,674293000.0,,,778378000.0,311939000.0,-5450000.0,,,-101691000.0,2770271000.0,202077000.0,20482000.0,-779953000.0,-147351000.0,-60229000.0,,0.0,3695166000.0,11139482000.0,,12604000.0,-3695000.0,,104085000.0,8830000.0,74991000.0,720887000.0,757056000.0,,-40425000.0,778377000.0,-11350000.0,,-5101000.0,113282000.0,83066000.0,-13162000.0,,-53524000.0,8994139000.0,141848000.0,,727228000.0,148455000.0,,1684366000.0,1323693000.0,7444316000.0,,1414162000.0,997890000.0,,5818976000.0,762098000.0,933380000.0,254698000.0,6672556000.0,,480781000.0,,7670446000.0,,534306000.0,-11350000.0,-116194000.0,-64954000.0,84864000.0,32769000.0,,2128223000.0,
2003-03-31,-0.032948,,15799000.0,3621830000.0,,,791050000.0,115729500.0,,791050000.0,,0.0,,,40642000.0,,-5121000.0,5888198000.0,-779953000.0,-15254000.0,-27022000.0,115729500.0,1631131000.0,9510028000.0,11886446000.0,,1463413000.0,,,,-16344000.0,,807503000.0,,,18305000.0,791159000.0,-3813000.0,,,109613000.0,61235000.0,982000.0,,48378000.0,9686544000.0,-32143000.0,-0.032948,723414000.0,-74529000.0,11005000.0,4401783000.0,1983072000.0,2376418000.0,,1197906000.0,1342387000.0,,1585368000.0,1585368000.0,1116949000.0,351941000.0,6361085000.0,,80957000.0,,7703472000.0,,32579000.0,-3813000.0,24843000.0,-436000.0,,34213000.0,,2186827000.0,
2003-06-30,-0.149812,,26184000.0,3777088000.0,,,728086000.0,114984208.0,,728086000.0,,-89805000.0,,,50989000.0,,-69249000.0,6225476000.0,-779953000.0,7005000.0,-37897000.0,114984208.0,1593979000.0,10002564000.0,12372862000.0,,1588865000.0,,,,-105538000.0,,791159000.0,,,-37897000.0,728315000.0,-17226000.0,,,125750000.0,65689000.0,6775000.0,,60061000.0,10154154000.0,-107146000.0,-0.149812,617211000.0,-123453000.0,-1034000.0,4557041000.0,1954577000.0,2370298000.0,,1221668000.0,1507849000.0,,1642212000.0,1642212000.0,1129107000.0,360598000.0,6691728000.0,,92561000.0,,8199577000.0,,32500000.0,-17226000.0,24805000.0,344000.0,,0.0,,2206076000.0,
2003-09-30,0.022735,,24577000.0,3825203000.0,,,811866000.0,117834580.0,,811866000.0,,0.0,,,72450000.0,,196152000.0,7326592000.0,-779953000.0,-82351000.0,-35526000.0,117834580.0,1651686000.0,11151795000.0,13827341000.0,,1663421000.0,,,,73382000.0,,728315000.0,,,-35526000.0,791132000.0,2679000.0,,0.0,153288000.0,68607000.0,6989000.0,,84681000.0,11531520000.0,160626000.0,0.022735,619587000.0,117295000.0,582000.0,4605156000.0,2024422000.0,2675546000.0,,1463571000.0,1446682000.0,,1863680000.0,1863680000.0,1344412000.0,372736000.0,8060416000.0,,119159000.0,,9507098000.0,,34478000.0,2679000.0,47873000.0,-5242000.0,,0.0,,2283008000.0,
2003-12-31,,,35066000.0,928442000.0,,,983633000.0,,,1121925000.0,284504000.0,-7138000.0,,,-89524000.0,3139228000.0,316604000.0,13201000.0,-956101000.0,-122873000.0,-53813000.0,,-1000.0,4080871000.0,15096583000.0,,-2389000.0,,,138292000.0,238714000.0,91021000.0,791132000.0,984513000.0,,68947000.0,1121925000.0,-5897000.0,,-8411000.0,277721000.0,115878000.0,-13111000.0,,88822000.0,12648563000.0,262791000.0,,788013000.0,230796000.0,,1884543000.0,1564207000.0,11015712000.0,,1939528000.0,1135503000.0,,8851317000.0,949940000.0,1333302000.0,295191000.0,9948853000.0,,606226000.0,,11084356000.0,,517404000.0,-5897000.0,-124590000.0,-35187000.0,92530000.0,3879000.0,,2436454000.0,
