date,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
1994-06-30,474961000.0,1054886000.0,,,38210000.0,129447000.0,,,38210000.0,,,,,,,,,,,,,,,,,,167657000.0,,,,,158426000.0,,579925000.0,,,,,400000000,,,,,887229000.0,,316535000.0,,,,,,,,64917000.0,,,,129447000.0,579925000.0,,,,316535000.0,,,,,,,,,,,,,,
1994-12-31,544319000.0,1027224000.0,,,21630000.0,98741000.0,,,21630000.0,,,,,,,,,,,,,,,,,,120371000.0,,,,,182879000.0,,482905000.0,,,,,400000000,,,,,906853000.0,,338525000.0,,,,,,,,83649000.0,,,,98741000.0,482905000.0,,,,338525000.0,,,,,,,,,,,,,,
1995-06-30,536360725.91,1045343482.04,,,19010000.0,101668754.02,,,19010000.0,,,,,,,,,,,,,,,,,,120678754.02,,,2006221.57,,176204470.69,,508982756.13,,,,,400000000,,,,,924664728.02,,337526917.37,,,,,,,,93605024.83,,,,101668754.02,508982756.13,,,,337526917.37,,,,,,,,,,,,,,
1995-12-31,486342070.52,1063240317.27,,4401264.52,490419.7,7800000.0,,4665161.98,490419.7,,,,,,222914607.81,,,,,,,,303686085.19,,61580000.0,299020923.21,128423650.8,,,3185284.68,,93526397.71,,-13203.79,,,,13865564.94,400000000,,,,,927645661.67,,364623445.42,,,,,,,,57566935.54,,,,127933231.1,576898246.75,,,,364623445.42,,,,,,,,,,,,,,
1996-06-30,493173000.0,1120469000.0,,,1255000.0,153630000.0,,,1255000.0,,,,,,,,,,,,,,,,,,154885000.0,,,2919000.0,,116118000.0,,627296000.0,,,,,400000000,,,,,962414000.0,,358096000.0,,,,,,,,84587000.0,,,,153630000.0,627296000.0,,,,358096000.0,,,,,,,,,,,,,,
1996-12-31,538019598.54,1129644632.67,,7208575.25,3905062.23,210777.34,,0.0,12581338.47,,,,3696824.46,,255159527.23,,,,,,,,290130923.03,,63480000.0,290130923.03,147125993.65,,,13186401.11,,85562782.88,,-21625.73,,,,13040977.97,400000000,,,,,960152134.72,,425521670.35,,,,,,,,65649161.39,,,,134544655.18,591625034.13,,,,425521670.35,,,,,,,,,,,,,,
1997-06-30,541635000.0,1168421000.0,,,13264000.0,139515000.0,,,13264000.0,,,,,,,,,,,,,,,,,,152779000.0,,,12647000.0,,89932000.0,,626786000.0,,,,,400000000,,,,,993942000.0,,427599000.0,,,,,,,,92681000.0,,,,139515000.0,626786000.0,,,,427599000.0,,,,,,,,,,,,,,
1997-12-31,553433558.62,1192243484.37,,18175174.44,5509959.86,0.0,,0.0,11509959.86,,,,6000000.0,,317303100.21,,,,,,,,271042025.93,,64480000.0,271042025.93,177071129.9,,,12106643.12,,89360216.79,,-40265.78,,,,31325140.02,400000000,,,,,993469636.22,,442739688.57,,,,,,,,82656859.91,,,,165561170.04,638809925.75,,,,442739688.57,,,,,,,,,,,,,,
1998-06-30,546165186.41,1231591957.4,,20214748.24,7458637.86,3406666.14,,,10458637.86,,,,3000000.0,,341291912.91,,,,,,,,283303102.43,,67280000.0,283303102.43,186834784.24,,,11603014.2,,374303.78,,-39073.2,,,,32521744.72,400000000,,,,,1023464618.03,,439069277.67,,,,,,,,106835785.21,,,,176376146.38,685426770.99,,,,439069277.67,,,,,,,,,,,,,,
1998-12-31,541724169.05,1212634571.93,,21581286.5,13694557.72,2749764.94,,0.0,16937499.1,,,,3000000.0,,373177144.29,,,,,,,,216801664.97,,41220000.0,216801664.97,167710267.62,,,11026885.28,,33025076.74,,-35175.2,,,,43748792.68,400000000,,,,242941.38,1016316998.01,,435635755.06,,,,,,,,94614867.58,,,,150772768.52,670910402.88,,,,435635755.06,,,,,,,,,,,,,,
