date,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1984-03-31,,,,3002595000.0,,,,,,205100000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,2330300000,2330300000,,,,,,,,3002595000.0,,,,,,,,2330300000,,,,,,,,,,,,,,0.07,,,,,,
1984-06-30,,,,2944000000.0,,,,,,257300000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,2689600000,2689600000,,,,,,,,2944000000.0,,,,,,,,2689600000,,,,,,,,,,,,,,0.09,,,,,,
1984-09-30,,,,2946114000.0,,,,,,321600000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,2747400000,2747400000,,,,,,,,2946114000.0,,,,,,,,2747400000,,,,,,,,,,,,,,0.11,,,,,,
1984-12-31,,,,,,,2653500000.0,1138100000.0,,104500000,,-1566600000.0,,,,1822400000.0,783700000.0,2059500000.0,,4013900000.0,,,,,,5699100000.0,,93700000.0,,9339200000.0,547100000.0,,,,,,,93700000.0,529100000.0,-5915000000,2370500000,,,,,,5580500000.0,5246300000.0,,,,,,,4210100000.0,,-5915000000,,4092900000.0,,2894800000.0,,,3640100000.0,2351500000.0,,,,,38600000.0,,51600000.0,,,,,
1985-03-31,,,,2916396000.0,,,,,,256400000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,3315000000,3315000000,,,,,,,,2916396000.0,,,,,,,,3315000000,,,,,,,,,,,,,,0.09,,,,,,
1985-06-30,,,,2902703000.0,,,,,,321700000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,3718600000,3718600000,,,,,,,,2902703000.0,,,,,,,,3718600000,,,,,,,,,,,,,,0.11,,,,,,
1985-09-30,,,,2862198000.0,,,,,,394000000,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,3634800000,3634800000,,,,,,,,2862198000.0,,,,,,,,3634800000,,,,,,,,,,,,,,0.14,,,,,,
1985-12-31,,,,,,,3827000000.0,1395000000.0,,282900000,,-1834000000.0,,,,3289000000.0,872000000.0,7331000000.0,,5684000000.0,,,,,,11536000000.0,,156000000.0,,17429000000.0,4457000000.0,,,,,,,156000000.0,678000000.0,-8077400000,1480600000,,,,,,7518000000.0,12692000000.0,,,,,,,4456000000.0,,-8077400000,,4737000000.0,,8725000000.0,,,5893000000.0,3967000000.0,,,,,113000000.0,,522000000.0,,,,,
1986-03-31,,,,2867291000.0,,,,,,316000000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,5924000000,5924000000,,,,,,,,2867291000.0,,,,,,,,5924000000,,,,,,,,,,,,,,0.11,,,,,,
1986-06-30,,,,2874787000.0,,,,,,377000000,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,6534000000,6534000000,,,,,,,,2874787000.0,,,,,,,,6534000000,,,,,,,,,,,,,,0.13,,,,,,
