date,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyInventory,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
2009-03-31,0.78,,-134000000.0,,120000000,,,1207000000,1073941000.0,,-510000000.0,1827000000.0,834000000,,25000000.0,834000000,834000000,,,,,,-170000000.0,,,,-444000000.0,6156000000.0,,,,987000000,354000000,,,,,,,153000000,,,,,-20000000.0,4756000000.0,0.77,,2000000.0,,173000000.0,-5000000.0,1847000000.0,1400000000.0,,,,1137000000.0,,853000000,,878000000,7000000.0,,,,1078216000.0,,,,,,,,,,
2009-06-30,1.26,,-192000000.0,,125000000,,,1807000000,1074746000.0,,-1926000000.0,680000000.0,1353000000,,23000000.0,1353000000,1353000000,,,,,,170000000.0,,,,205000000.0,5138000000.0,,,,1592000000,215000000,,,,,,,239000000,,,,,-4000000.0,6156000000.0,1.25,,10000000.0,,1886000000.0,,684000000.0,-1018000000.0,,,,-803000000.0,,1592000000,,1615000000,5000000.0,,,,1078824000.0,,,,,,,,,,
2009-09-30,1.14,,-127000000.0,,121000000,,,1824000000,1074984000.0,,-249000000.0,843000000.0,1226000000,,26000000.0,1226000000,1226000000,,,,,,0.0,,,,764000000.0,4797000000.0,,,-1965000000.0,1444000000,253000000,,,,,,,218000000,,,,,-17000000.0,5138000000.0,1.14,,0.0,,964000000.0,,860000000.0,-341000000.0,,,,-544000000.0,,1571000000,,1597000000,4000000.0,,,,1078988000.0,,,,,,,,,,
2009-12-31,,6020762000.0,,319796000.0,174359000,42695173000.0,36984880000.0,1251086000,,2636829000.0,-817059000.0,976515000.0,1291044000,45332002000.0,,1291044000,1291044000,276000000.0,37304676000.0,,3207000.0,0.0,-237289000.0,,2327338000.0,,-1029308000.0,4750689000.0,11334370000.0,,-2421000.0,1519091000,126081000,31360803000.0,423998000.0,14738083000.0,17954000.0,,-1547820000.0,228047000,8027326000.0,,,,-6483000.0,4797000000.0,,1076190000.0,2670000.0,,-9706000.0,,982998000.0,-46061000.0,4154451000.0,606480000.0,,,11827011000.0,1125005000,1850541000.0,1106920000,,302721000.0,16622720000.0,,,,,,,,,,,,
2010-03-31,1.05,7140000000.0,-124000000.0,324000000.0,122000000,44020000000.0,36997000000.0,1589000000,1075800000.0,2468000000.0,-230000000.0,2328000000.0,1127000000,46488000000.0,27000000.0,1127000000,1127000000,280000000.0,37321000000.0,,3000000.0,0.0,-25000000.0,,,,356000000.0,7454000000.0,11264000000.0,,,1329000000,385000000,32756000000.0,,18508000000.0,15000000.0,,,202000000,9167000000.0,,45000000.0,,-9000000.0,4751000000.0,1.04,1077000000.0,10000000.0,,562000000.0,,2337000000.0,2703000000.0,863000000.0,,,1265000000.0,12099000000.0,1204000000,,1231000000,3000000.0,281000000.0,14248000000.0,0.0,1079032000.0,,,,,,,,,,
2010-06-30,1.05,6036000000.0,-37000000.0,324000000.0,125000000,40513000000.0,34866000000.0,1707000000,1076610000.0,2675000000.0,-606000000.0,652000000.0,1131000000,43188000000.0,26000000.0,1131000000,1131000000,282000000.0,35190000000.0,,26000000.0,0.0,397000000.0,,,,-378000000.0,5456000000.0,,,,1349000000,358000000,31056000000.0,,15666000000.0,13000000.0,,,218000000,7998000000.0,,,,-34000000.0,7454000000.0,1.05,1078000000.0,-70000000.0,,-185000000.0,,686000000.0,-1998000000.0,0.0,,,-711000000.0,10487000000.0,1349000000,,1375000000,7000000.0,279000000.0,15390000000.0,,1078953000.0,,,,,,,,,,
2010-09-30,1.13,5220000000.0,-175000000.0,344000000.0,127000000,54895000000.0,49699000000.0,1837000000,1076573000.0,2344000000.0,554000000.0,3716000000.0,1220000000,57239000000.0,26000000.0,1220000000,1220000000,295000000.0,50043000000.0,,26000000.0,0.0,-372000000.0,,,,1107000000.0,8282000000.0,,,-2019000000.0,1435000000,228000000,41294000000.0,,24769000000.0,20000000.0,,,215000000,7196000000.0,,,,-24000000.0,5456000000.0,1.13,1078000000.0,-2000000.0,,898000000.0,,3740000000.0,2826000000.0,0.0,,,2383000000.0,15093000000.0,1609000000,,1635000000,12000000.0,293000000.0,16525000000.0,,1079143000.0,,,,,,,,,,
2010-12-31,,6766000000.0,203000000.0,47000000.0,176000000,45534000000.0,39160000000.0,1803000000,,2350000000.0,-1086000000.0,-1790000000.0,1559000000,47884000000.0,28000000.0,1559000000,1559000000,0.0,39207000000.0,,25000000.0,,40000000.0,,2024000000.0,,-1033000000.0,1945000000.0,9203000000.0,,-3000000.0,1841000000,238000000,36331000000.0,473000000.0,19361000000.0,18000000.0,,-1629000000.0,282000000,8677000000.0,,,,-13000000.0,8282000000.0,,1078000000.0,-92000000.0,,26000000.0,,-1777000000.0,-2905000000.0,5633000000.0,636000000.0,,-2936000000.0,9946000000.0,1565000000,1924000000.0,1552000000,14000000.0,295000000.0,16970000000.0,,,,,,,,,,,,
2011-03-31,1.15,8003000000.0,-111000000.0,57000000.0,138000000,57353000000.0,49835000000.0,1796000000,1076497000.0,2473000000.0,-930000000.0,1486000000.0,1238000000,59826000000.0,26000000.0,1238000000,1238000000,0.0,49892000000.0,,25000000.0,0.0,-408000000.0,,,,-844000000.0,2645000000.0,17104000000.0,,,1465000000,331000000,40249000000.0,,22352000000.0,29000000.0,,,227000000,9934000000.0,,83000000.0,,-59000000.0,1945000000.0,1.15,1078000000.0,2000000.0,,504000000.0,-3000000.0,1545000000.0,700000000.0,2080000000.0,,,284000000.0,18276000000.0,1465000000,,1491000000,20000000.0,437000000.0,17897000000.0,,1079154000.0,,,,,,,,,,
2011-06-30,1.25,6865000000.0,-130000000.0,58000000.0,143000000,50504000000.0,43411000000.0,1935000000,1076876000.0,1887000000.0,-149000000.0,1900000000.0,1346000000,52391000000.0,24000000.0,1346000000,1346000000,0.0,43469000000.0,,25000000.0,0.0,408000000.0,,,,1584000000.0,3820000000.0,6899000000.0,,,1591000000,344000000,43605000000.0,,20899000000.0,29000000.0,,,245000000,8922000000.0,,65000000.0,,-55000000.0,2645000000.0,1.25,1079000000.0,-2368000000.0,,1336000000.0,-1000000.0,1955000000.0,1175000000.0,7750000000.0,,,353000000.0,8349000000.0,1591000000,,1615000000,21000000.0,478000000.0,22706000000.0,,1079354000.0,,,,,,,,,,
