date,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCurrentDeferredRevenue,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2014-03-31,424000,,735000,,,,,,378000,84607000,125758000,,125758000,,-47518000,125758000.0,-62297000,,,-46146000,-35758000,,-9103000,-109815000,,-37840000,,,,25975000,15181000,,,-72564000,5073000,-19793000,-35758000.0,,,6078000,-3947000,-46570000,,,,5073000,,286648000,-46886000,,,,,-46131000,,10712000,,,,,,,248927000,37721000,,-46570000,-46570000,,58632000,,,,,,,,
2014-06-30,425000,1231300000.0,-1248000,-441665000.0,212837000.0,6143000.0,,291865000.0,407000,94343000,10536000,193113000.0,10536000,52061000.0,-63293000,10536000.0,92450000,0.0,,-56034000,-39617000,2137191000.0,65000,29157000,,32042000,1979272000.0,-36015000.0,7388000.0,26460000,6078000,,6143000.0,-102921000,3179000,-29167000,-39617000.0,,,6143000,5484000,-56459000,,,945988000.0,3179000,,213443000,-54973000,1672965000.0,549036000.0,157919000.0,,118046000,38449000.0,-11000,277166000.0,,,54120000.0,51810000.0,147906000.0,174073000,39370000,225632000.0,-56459000,-56459000,1191203000.0,67883000,396952000.0,,,,,,,
2014-09-30,223000,,-2524000,,,,,,656000,85940000,48297000,,48297000,,-6986000,48297000.0,-40304000,,-1.467351,-37507000,-1947000,,-940000,-47290000,,6999000,,,,34539000,6143000,,,-8933000,2315000,-2312000,,-1.467351,25713000.0,5203000,-3087000,-37730000,,,,2315000,,118916000,-35060000,,,,,-42130000,,0,,,25713000.0,,,,68036000,50880000,,-37730000,-37730000,,51401000,,,,,,,,
2014-12-31,223000,1220029000.0,-30156000,-494302000.0,213283000.0,18057000.0,,326179000.0,619000,88025000,-25103000,189644000.0,-25103000,62216000.0,-31348000,-25103000.0,75305000,0.0,0.374752,9859000,-6000000,2165161000.0,12854000,43957000,,-2083000,1973629000.0,-35035000.0,14748000.0,25024000,5203000,,18057000.0,-37348000,4772000,35502000,,0.374752,25713000.0,18057000,8904000,9636000,,,946099000.0,4772000,,396814000,39919000,1714331000.0,561571000.0,191532000.0,,5814000,39852000.0,-6000000,277166000.0,,25713000.0,49812000.0,46888000.0,145748000.0,268870000,127944000,224574000.0,9636000,9636000,1219062000.0,63001000,384528000.0,,,,,,,
2015-03-31,-129000,1202109000.0,-2178000,-497663000.0,204538000.0,14141000.0,,336687000.0,606000,79342000,50744000,190909000.0,50744000,81120000.0,-17393000,50744000.0,-12545000,0.0,-0.446117,-11600000,-21722000,2208373000.0,-3916000,-29938000,,-31447000,1995643000.0,-34562000.0,3432000.0,25556000,18057000,,14141000.0,-42115000,785000,14562000,-21722000.0,-0.446117,25713000.0,14141000,-10589000,-11471000,,,948806000.0,785000,,300856000,-9584000,1699772000.0,569563000.0,212730000.0,,-29780000,35730000.0,-3000000,277166000.0,,25713000.0,50236000.0,78264000.0,130463000.0,231098000,69758000,244339000.0,-11471000,-11471000,1259567000.0,53786000,379243000.0,,,,,,,
2015-06-30,119000,1188693000.0,-5542000,-455705000.0,206944000.0,14211000.0,,311317000.0,617000,93769000,-32566000,189174000.0,-32566000,75880000.0,-8356000,-32566000.0,46896000,0.0,,-1000000,-10225000,2148942000.0,70000,38540000,,26549000,1980307000.0,-40215000.0,3307000.0,23639000,14141000,,14211000.0,-14260000,2434000,23256000,-10225000.0,,,14211000,431000,10671000,,,925667000.0,2434000,,254965000,4319000,1644398000.0,533718000.0,168635000.0,,16420000,35058000.0,0,277166000.0,,,50768000.0,51734000.0,121509000.0,156877000,98088000,249394000.0,-1119000,-1119000,1223275000.0,70130000,391949000.0,,,,,,,
2015-09-30,122000,1214941000.0,2679000,-479104000.0,254564000.0,1467093000.0,,432163000.0,540000,83608000,1525241000,187439000.0,1525241000,85418000.0,-52282000,1525241000.0,-3746000,0.0,-0.06,-1481000,-16331000,3744876000.0,1452882000,-56028000,,-6381000,2035156000.0,-34639000.0,7448000.0,25240000,14211000,249000.0,1467093000.0,-68613000,3105000,24299000,,-0.06,24928000.0,1467093000,2609000,-1603000,,,991646000.0,3105000,,150381000,-4577000,1694045000.0,589540000.0,1709720000.0,,-27823000,85611000.0,0,277166000.0,,24928000.0,53280000.0,58101000.0,97213000.0,71350000,79031000,268540000.0,-1603000,-1603000,2753230000.0,58368000,402106000.0,,,,,,,
2015-12-31,-70000,1193695000.0,-6555000,-503283000.0,194338000.0,1558897000.0,,385245000.0,514000,112167000,-48000,185705000.0,-15707000,82580000.0,-7399000,0.0,116028000,0.0,1.74,43418000,-2161000,3746103000.0,91804000,108629000,,-17307000,2005935000.0,-34404000.0,21965000.0,25905000,1467093000,249000.0,1558897000.0,-8517000,7154000,69837000,,1.74,24971000.0,1558897000,14517000,43488000,43488000.0,,957649000.0,7154000,,410838000,49039000,1696978000.0,618093000.0,1740168000.0,,32878000,22443000.0,-1118000,277166000.0,,25055000.0,49133000.0,74602000.0,130312000.0,249632000,161206000,265137000.0,43488000,43488000,2788454000.0,86262000,339556000.0,,,,,,,
2016-03-31,123000,1173126000.0,-5173000,-527336000.0,194461000.0,1451687000.0,,327682000.0,489000,118146000,0,183964000.0,-61586000,44428000.0,-4348000,0.0,-28261000,0.0,-2.47,-60633000,-13500000,3610169000.0,-107210000,-32609000,,-34859000,1953384000.0,-34198000.0,12270000.0,25794000,1558897000,249000.0,1451687000.0,-17363000,7388000,-34350000,-13500000.0,-2.47,24635000.0,1451687000,-9695000,-60756000,-17268000.0,-62285000.0,936835000.0,7388000,,336328000,-56936000,1700462000.0,595313000.0,1656785000.0,,-47645000,19893000.0,485000,277166000.0,,24635000.0,49165000.0,109492000.0,131966000.0,275118000,61210000,273063000.0,-60756000,-60756000,2673334000.0,92352000,341522000.0,,,,,,,
2016-06-30,122000,1160609000.0,-14067000,-540801000.0,194583000.0,1444317000.0,,332416000.0,485000,122164000,-233000,182579000.0,-27937000,54487000.0,-7687000,0.0,41764000,0.0,-2.39,-58297000,-4425000,3543950000.0,-7370000,34077000,,33494000,1940097000.0,-42611000.0,13935000.0,25543000,1451687000,249000.0,1444317000.0,-21197000,6829000,-32269000,,-2.39,24479000.0,1444317000,1665000,-58419000,-75687000.0,-27735000.0,957529000.0,6829000,,217764000,-46157000,1701410000.0,614815000.0,1603853000.0,,53681000,25337000.0,-13510000,277166000.0,,24479000.0,49175000.0,75998000.0,133832000.0,141757000,76007000,263546000.0,-58419000,-58419000,2586421000.0,96621000,342714000.0,,,,,,,
2016-09-30,-2934000,1142513000.0,-994000,-565295000.0,194775000.0,1294081000.0,,433512000.0,410000,103131000,-7767000,192763000.0,-80044000,87795000.0,-8342000,0.0,-21650000,0.0,-1.19,-31848000,-16101000,3459671000.0,-150236000,-29992000,,-12226000,1978237000.0,-38663000.0,17841000.0,26110000,1444317000,249000.0,1294081000.0,-48542000,8355000,-5328000,-23099000.0,-1.19,24054000.0,1294081000,3760000,-28626000,-104313000.0,-72277000.0,957675000.0,8355000,,181695000,-32843000,1707808000.0,633317000.0,1481434000.0,-3126000.0,-24863000,29499000.0,-24099000,289704000.0,,24054000.0,48498000.0,88328000.0,106884000.0,111407000,70288000,265462000.0,-28914000,-28626000,2490890000.0,77021000,324358000.0,,,,,,,
2016-12-31,3248000,1131236000.0,217000,-589646000.0,194897000.0,1410345000.0,,371806000.0,491000,120226000,-1176000,191147000.0,-1169000,87214000.0,-13424000,0.0,131582000,0.0,2.39,60669000,-602000,3552785000.0,116264000,118158000,,-2566000,1963785000.0,-31773000.0,29204000.0,25966000,1294081000,249000.0,1410345000.0,-14149000,11743000,87126000,-123000.0,2.41,23971000.0,1410345000,8789000,57726000,-46587000.0,0.0,974754000.0,11743000,,445150000,58251000,1720882000.0,649517000.0,1589000000.0,,31842000,23710000.0,-123000,289704000.0,,24143000.0,50076000.0,90837000.0,146791000.0,266673000,178477000,264484000.0,57421000,57726000,2567230000.0,94260000,325237000.0,,,,,,,
2017-03-31,440000,1166508000.0,-26283000,-614131000.0,195181000.0,1140903000.0,,339045000.0,831000,126619000,-1255000,428986000.0,-76945000,98979000.0,-9996000,0.0,-2374000,0.0,-0.74,-17403000,-180127000,3735695000.0,-269442000,-12370000,,-35093000,2321708000.0,-25771000.0,27167000.0,26535000,1410345000,249000.0,1140903000.0,-190123000,10367000,9963000,0.0,-0.74,23825000.0,1140903000,-6509000,-17545000,-64132000.0,-75690000.0,1234786000.0,141000,,386033000,6706000,1780639000.0,692765000.0,1413987000.0,,-48846000,63138000.0,0,387314000.0,105292000.0,23825000.0,76217000.0,131636000.0,181059000.0,252708000,133325000,239921000.0,-17843000,-17545000,2490406000.0,100084000,542021000.0,,,,,,,
2017-06-30,-5158000,1159271000.0,-1424000,-623086000.0,196436000.0,1238114000.0,,390180000.0,2457000,167451000,-367000,423825000.0,-367000,57554000.0,-12462000,0.0,109065000,0.0,-3.58,-92611000,-3500000,3712753000.0,97211000,96603000,,29522000,2263024000.0,-34115000.0,24084000.0,28777000,1140903000,249000.0,1238114000.0,-11487000,10664000,-61377000,0.0,-3.58,23559000.0,1238114000,-3993000,-84278000,-148410000.0,0.0,1292892000.0,9869000,,305574000,-92470000,1782357000.0,762042000.0,1449729000.0,,116590000,49458000.0,4475000,380087000.0,105433000.0,23559000.0,65955000.0,102085000.0,191344000.0,230593000,74981000,242287000.0,-87453000,-84278000,2408163000.0,138674000,530850000.0,,,,,,,
2017-09-30,762000,1153175000.0,4870000,-649130000.0,197193000.0,1163947000.0,688000.0,468841000.0,3711000,136962000,-11531000,426472000.0,-15292000,63327000.0,-19539000,,-32355000,0.0,-0.47,-10105000,-4481000,3660537000.0,-74167000,-51894000,0.0,7069000,2281037000.0,-34557000.0,19789000.0,30546000,1238114000,249000.0,1163947000.0,-26520000,12904000,24152000,-1500000.0,-0.47,23567000.0,1163947000,-4381000,-11107000,-161920000.0,-3761000.0,1247000000.0,1610000,,245048000,-15650000,1802305000.0,716804000.0,1379500000.0,757000.0,-62580000,26816000.0,-2500000,388575000.0,104987000.0,23567000.0,73521000.0,95811000.0,159269000.0,123736000,121312000,249488000.0,-10867000,-11107000,2394913000.0,106416000,530196000.0,,,,,,,
2017-12-31,-116832000,1235133000.0,-2858000,-674814000.0,80324000.0,1125647000.0,436000.0,390056000.0,3798000,151984000,-8513000,431742000.0,-16582000,51921000.0,-108145000,,95622000,0.0,7.96,71159000,-6807000,3714271000.0,-38300000,-12523000,0.0,-23965000,2359003000.0,-39449000.0,38416000.0,30544000,1163947000,249000.0,1125647000.0,-117352000,13912000,105501000,0.0,8.03,23621000.0,1125647000,18925000,189613000,27693000.0,-8069000.0,1112594000.0,1803000,,536302000,72437000,1909947000.0,703887000.0,1355268000.0,-116869000.0,-24367000,41475000.0,-2400000,392621000.0,105464000.0,23813000.0,72287000.0,119158000.0,184131000.0,311881000,224421000,247586000.0,187991000,189613000,2584118000.0,121440000,408707000.0,,,,,,,
2018-03-31,652000,1245433000.0,-125000,-699957000.0,80618000.0,1176554000.0,1811000.0,430785000.0,3965000,152583000,-18357000,425340000.0,-18357000,50751000.0,-31429000,,107913000,,0.38,8466000,-8132000,3781181000.0,50907000,76484000,0.0,-23171000,2366607000.0,-34691000.0,26572000.0,30429000,1125647000,249000.0,1176554000.0,-39561000,10076000,42860000,0.0,0.39,23683000.0,1176554000,-11844000,9141000,36834000.0,0.0,1174606000.0,1880000,,459621000,7332000,1945390000.0,764484000.0,1414574000.0,294000.0,56742000,27404000.0,0,392378000.0,104342000.0,23809000.0,75291000.0,143876000.0,170102000.0,299706000,159915000,252705000.0,7814000,9141000,2586736000.0,122154000,410122000.0,,,,,,,
