date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,172463000.0,1368568000,96290000,209419000.0,183543000,96290000,40000,0.0,14128000,0,1456305000,,,,,-100193000.0,,109226000,1257023000,1257400000,8875000.0,39264000,12980000.0,1552111000,377000.0,18189000.0,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,1278191000,73965000,,254160000,73965000,10694000,0.0,19319000,0,1458960000,,,,,,,142937000,898905000,1198548000,27878000.0,39264000,12342000.0,1532351000,299643000.0,0.0,697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,1287043000,108783000,278014000.0,272897000,108783000,0,0.0,24393000,0,1451697000,,,,,-149480000.0,,128534000,877823000,1219730000,19050000.0,39264000,13136000.0,1559940000,341907000.0,0.0,519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,1357255000,130868000,,295925000,130868000,0,0.0,28977000,0,1522739000,,,,,,,148839000,1059602000,1279602000,19050000.0,39264000,10673000.0,1653180000,220000000.0,0.0,1094000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,1555987000,226319000,368437000.0,340833000,397926000,0,0.0,41555000,171607000,1499352000,,,,,-176318000.0,,192119000,1428928000,1468928000,0.0,38226000,4520000.0,1896820000,40000000.0,30623000.0,5001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,1754553000,365133000,,404642000,597754000,183967000,0.0,47158000,232621000,1556046000,,,,,,184580000.0,223112000,1319828000,1419828000,0.0,38226000,3379000.0,2159195000,100000000.0,3098000.0,18024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,49405000.0,1882520000,513265000,685741000.0,562833000,1029350000,194405000,0.0,61427000,516085000,1393849000,12534000.0,,6141000.0,,-200648000.0,183595000.0,485093000,1142825000,1541845000,0.0,37532000,2626000.0,2445353000,399020000.0,0.0,13679000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,205726000.0,2038183000,401542000,609285000.0,679466000,419501000,0,0.0,84516000,17959000,1979827000,12534000.0,,17959000.0,,,0.0,609285000,1409797000,1835510000,0.0,37761000,1769000.0,2717649000,425713000.0,0.0,15824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3278591000.0,4603095000,827111000,945692000.0,846894000,827111000,107368000,,41718000,0,4615142000,12534000.0,,0.0,,-227189000.0,104672000.0,718503000,1304355000,4376379000,16769000.0,37664000,,5449989000,3072024000.0,0.0,6050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,3917318000,394832000,1069830000.0,1148496000,397080000,108352000,0.0,42477000,2248000,4666563000,12534000.0,,,,,111925000.0,1069830000,891250000,3600968000,18049000.0,37638000,5772000.0,5065814000,2709718000.0,51604000.0,4873000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
