date,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyChangeInAccountPayable,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
2010-03-31,-391000000.0,,,,,,81000000.0,,67000000,,,-10000000.0,367000000.0,255000000,,0.303359,56000000,,56000000,,-401000000.0,89000000.0,-6000000,0.0,,,164000000,,,431000000,,,182000000,-24000000.0,,4000000.0,,19000000.0,,,61000000.0,,,184600000.0,56000000,,,32000000.0,,,,42000000.0,,367000000.0,,,73000000,686000000,,,18000000,-35000000.0,,,,11000000,0.303359,2000000.0,8000000.0,92000000,184600000.0,,,,,,
2010-09-30,,,,,,,,,110000000,,,,,309000000,,0.492958,91000000,,91000000,,,,2000000,,,,183000000,,,497000000,,,201000000,,,,,,,,,,,184600000.0,91000000,,,,,,,,,,0.0,,108000000,806000000,,,18000000,,,,,19000000,0.492958,,,110000000,184600000.0,,,,,,
2010-12-31,-23000000.0,416000000.0,2361000000.0,2719000000.0,131000000.0,131000000.0,127000000.0,,111000000,,-609000000.0,-50000000.0,-96000000.0,359000000,1016000000.0,,97000000,92000000.0,97000000,47000000.0,-69000000.0,131000000.0,-7000000,4000000.0,1437000000.0,671000000.0,220000000,99000000.0,36000000.0,576000000,,,241000000,42000000.0,389000000.0,31000000.0,,25000000.0,1336000000.0,649000000.0,-239000000.0,367000000.0,3735000000.0,,82000000,105000000.0,,119000000.0,2399000000.0,1063000000.0,,169000000.0,,-96000000.0,,,118000000,935000000,111000000.0,20000000.0,21000000,72000000.0,309000000.0,358000000.0,454000000.0,14000000,,2000000.0,4000000.0,151000000,,,,,,,
2011-03-31,0.0,419000000.0,2390000000.0,2831000000.0,154000000.0,154000000.0,131000000.0,,101000000,,-651000000.0,-19000000.0,-33000000.0,337000000,1018000000.0,0.422535,78000000,100000000.0,78000000,48000000.0,-18000000.0,154000000.0,1000000,1000000.0,1472000000.0,713000000.0,213000000,101000000.0,351000000.0,553000000,,,237000000,-16000000.0,417000000.0,-31000000.0,,33000000.0,1399000000.0,638000000.0,79000000.0,380000000.0,3849000000.0,184600000.0,78000000,108000000.0,,52000000.0,2450000000.0,1110000000.0,,71000000.0,,-33000000.0,,,100000000,890000000,0.0,,24000000,-39000000.0,287000000.0,441000000.0,459000000.0,23000000,0.422535,3000000.0,23000000.0,133000000,184600000.0,,,,,,
2011-06-30,,,,,,,154000000.0,,115000000,,,-34000000.0,-79000000.0,379000000,,0.390033,72000000,,72000000,,-30000000.0,138000000.0,0,4000000.0,,,237000000,,,592000000,,,263000000,-15000000.0,,17000000.0,,35000000.0,,,-85000000.0,,,184600000.0,72000000,,,56000000.0,,,,90000000.0,,-79000000.0,1000000.0,,116000000,971000000,,,26000000,-17000000.0,,,,43000000,0.390033,2000000.0,-16000000.0,151000000,184600000.0,,,,,,
2011-09-30,,519000000.0,1649000000.0,1951000000.0,184000000.0,184000000.0,138000000.0,,82000000,,-666000000.0,-26000000.0,-909000000.0,365000000,2200000000.0,0.418478,77000000,77000000.0,77000000,56000000.0,-329000000.0,184000000.0,-44000000,-303000000.0,1633000000.0,753000000.0,215000000,77000000.0,139000000.0,574000000,1202000000.0,,238000000,-9000000.0,437000000.0,-17000000.0,,36000000.0,1480000000.0,669000000.0,241000000.0,1531000000.0,4151000000.0,184000000.0,77000000,89000000.0,,65000000.0,2671000000.0,1108000000.0,,91000000.0,,294000000.0,1000000.0,5000000.0,127000000,939000000,0.0,,23000000,-33000000.0,283000000.0,302000000.0,442000000.0,5000000,0.418478,2000000.0,46000000.0,119000000,184000000.0,,,,,,
2011-12-31,0.0,505000000.0,2000000.0,1827000000.0,318000000.0,318000000.0,184000000.0,,84000000,,-684000000.0,-47000000.0,16000000.0,380000000,2566000000.0,,52000000,173000000.0,52000000,0.0,-46000000.0,318000000.0,-3000000,-10000000.0,1610000000.0,793000000.0,321000000,165000000.0,141000000.0,623000000,1201000000.0,,348000000,22000000.0,426000000.0,22000000.0,40000000.0,33000000.0,1642000000.0,817000000.0,-232000000.0,1749000000.0,4393000000.0,,52000000,67000000.0,,150000000.0,2751000000.0,1147000000.0,,197000000.0,,-10000000.0,15000000.0,5000000.0,32000000,1003000000,53000000.0,77000000.0,27000000,96000000.0,322000000.0,122000000.0,463000000.0,32000000,,6000000.0,134000000.0,132000000,,,,,,,
2012-03-31,,502000000.0,2000000.0,1949000000.0,347000000.0,347000000.0,318000000.0,-3000000.0,84000000,,-719000000.0,-31000000.0,-6000000.0,363000000,2564000000.0,0.34,63000000,177000000.0,63000000,0.0,-29000000.0,347000000.0,-1000000,0.0,1631000000.0,761000000.0,231000000,155000000.0,198000000.0,562000000,1202000000.0,-19000000.0,264000000,-31000000.0,465000000.0,14000000.0,84000000.0,34000000.0,1735000000.0,819000000.0,63000000.0,1745000000.0,4513000000.0,185900000.0,63000000,68000000.0,,30000000.0,2778000000.0,1187000000.0,,61000000.0,-1000000.0,-10000000.0,14000000.0,4000000.0,99000000,925000000,0.0,94000000.0,28000000,-41000000.0,329000000.0,177000000.0,468000000.0,21000000,0.34,5000000.0,29000000.0,132000000,185400000.0,,,,,,
2012-06-30,,485000000.0,2000000.0,1948000000.0,358000000.0,358000000.0,347000000.0,0.0,115000000,,-715000000.0,-26000000.0,1000000.0,383000000,2534000000.0,0.48,89000000,188000000.0,89000000,0.0,-24000000.0,358000000.0,-1000000,1000000.0,1601000000.0,802000000.0,226000000,176000000.0,169000000.0,583000000,1199000000.0,-20000000.0,254000000,-13000000.0,467000000.0,-2000000.0,153000000.0,33000000.0,1749000000.0,779000000.0,5000000.0,1755000000.0,4482000000.0,186200000.0,89000000,67000000.0,,38000000.0,2733000000.0,1174000000.0,,64000000.0,-2000000.0,-21000000.0,13000000.0,7000000.0,129000000,966000000,0.0,66000000.0,28000000,-63000000.0,327000000.0,106000000.0,459000000.0,26000000,0.48,5000000.0,11000000.0,161000000,185800000.0,,,,,,
2012-09-30,,485000000.0,2000000.0,2054000000.0,424000000.0,424000000.0,358000000.0,-3000000.0,100000000,,-750000000.0,-24000000.0,-4000000.0,374000000,2542000000.0,0.38,72000000,192000000.0,72000000,0.0,-36000000.0,424000000.0,-1000000,-13000000.0,1621000000.0,801000000.0,235000000,170000000.0,181000000.0,557000000,1199000000.0,-17000000.0,259000000,11000000.0,467000000.0,-19000000.0,206000000.0,36000000.0,1834000000.0,785000000.0,6000000.0,1757000000.0,4596000000.0,186300000.0,72000000,69000000.0,,81000000.0,2762000000.0,1214000000.0,,105000000.0,-1000000.0,-10000000.0,14000000.0,13000000.0,115000000,931000000,0.0,72000000.0,24000000,-13000000.0,316000000.0,153000000.0,464000000.0,28000000,0.39,6000000.0,66000000.0,150000000,185900000.0,,,,,,
