date,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,144221000.0,,601083000.0,3944684000,30697000,-1273692000.0,1191973000,3525529000.0,3798048000,3006468000,5071740000.0,0.0,7330174000,236003000.0,44592000,601083000.0,,2169794000,83561000,669747000,383872000,1088399000,1132991000,62579000,21326000,53104000.0,4323706000,3361767000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1265000.0,,,5242870000,36369000,,995678000,,3845752000,4456481000,,11020000.0,8841217000,,67439000,0.0,,2596232000,108480000,2546480000,237314000,3817052000,3884491000,62579000,250600000,50126000.0,4384736000,3591910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,,758212000.0,5572732000,39914000,-1455968000.0,1023917000,,3860367000,4555973000,5316335000.0,2493000.0,9072379000,454997000.0,151448000,0.0,,2468931000,96265000,2416367000,247755000,3853108000,4004556000,62579000,333001000,46648000.0,4516406000,3492848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,,837911000.0,4354216000,35373000,,1197916000,,4219847000,2959388000,,2199000.0,7885200000,466843000.0,113779000,0.0,,2326579000,161849000,2279824000,349336000,2216917000,2330696000,62579000,366786000,43011000.0,4925812000,3524495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,,709449000.0,4275148000,41531000,-1587013000.0,1159801000,3760746000.0,4205194000,2839328000,5792207000.0,2427000.0,7729046000,470594000.0,119180000,0.0,,2287411000,150127000,2233095000,439111000,2099427000,2218607000,62579000,335937000,40014000.0,4889718000,3447212000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,7632000.0,248319000.0,791357000.0,4336588000,67491000,,1253350000,3853233000.0,4259116000,3039985000,,2370512000.0,8035812000,358583000.0,148193000,1242338000.0,96057000.0,2439199000,169103000,1243212000,170632000,2159669000,2307862000,62579000,360767000,38385000.0,4995827000,3692549000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,460000.0,,279040000.0,4509490000,63924000,-1605781000.0,1352392000,,4664773000,2765304000,6270554000.0,0.0,8265080000,337828000.0,205427000,784500000.0,,2397420000,153785000,1351435000,252935000,1861650000,2067077000,62579000,10333000,38916000.0,5499776000,3749812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,6685000.0,,242405000.0,4411452000,53970000,,1237529000,3909405000.0,5091810000,2780349000,5091810000.0,0.0,8681725000,321477000.0,222385000,803074000.0,,3026688000,145410000,1653231000,173098000,1878515000,2100900000,62579000,22048000,39550000.0,5901376000,4264217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1441000.0,,303829000.0,4470807000,55557000,-1829360000.0,1185345000,,5320251000,2844013000,7149611000.0,0.0,8990218000,355645000.0,217986000,904624000.0,,3328249000,150058000,1982232000,178810000,1912346000,2130332000,62579000,11103000,42663000.0,6146205000,4513594000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,426000.0,,347776000.0,4587294000,54821000,,1362624000,4135303000.0,5483151000,2942496000,5483151000.0,0.0,9253837000,386828000.0,224836000,1023072000.0,,3298256000,160654000,1849742000,160342000,1954986000,2179822000,62579000,20301000,45409000.0,6311341000,4660880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,223091000.0,,238149000.0,4634752000,53655000,-1973952000.0,1344809000,,5608929000,3184005000,7582881000.0,0.0,9633455000,367978000.0,248215000,0.0,,3653894000,128652000,2115846000,256390000,2165914000,2414129000,62579000,7885000,48578000.0,6449450000,4998703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,456000.0,,233174000.0,4838585000,57894000,,1233414000,,5891791000,3212498000,5891791000.0,0.0,9973100000,349505000.0,309558000,837397000.0,,3901090000,111091000,2267249000,223047000,2183584000,2493142000,62579000,8544000,52598000.0,6760602000,5134504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,12374000.0,,193401000.0,4797510000,62041000,-2199381000.0,1208814000,4384019000.0,6020744000,2916842000,8220125000.0,0.0,9731574000,309183000.0,314968000,750378000.0,,3725250000,72481000,1981561000,312381000,2015581000,2330549000,62579000,8847000,55646000.0,6814732000,4934064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,11783000.0,,161620000.0,4688364000,65674000,,1228948000,4304443000.0,5970260000,2691132000,5970260000.0,0.0,9419453000,279978000.0,343735000,652961000.0,,3502141000,75348000,1949012000,301781000,1757229000,2100964000,62579000,13216000,55951000.0,6728321000,4731089000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,12927000.0,,198819000.0,4519286000,71337000,-2558043000.0,1312838000,4133076000.0,6076673000,2566039000,8634716000.0,0.0,9404590000,294429000.0,364548000,695897000.0,,3572466000,84472000,1934061000,264346000,1625676000,1990224000,62579000,12200000,60143000.0,6838551000,4885304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,14072000.0,,195058000.0,4592045000,82817000,,1436618000,4195710000.0,6175676000,2783029000,6175676000.0,0.0,9692684000,351168000.0,353880000,788512000.0,,3664021000,111197000,1869356000,254433000,1752326000,2106206000,62579000,16620000,57138000.0,6909655000,5100639000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
