date,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-03-31,1777597000.0,1861384000.0,1187332000,593756000,500316000,,,0.0,0.0,93440000,,57752000,,2375095000,633301000,100295000,931392000,894369000,506974000,-1228083000.0,152218000.0,2970949000,1783617000,37023000,0.0,55558000,,117601000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,1231666000,690007000,593705000,,,0.0,0.0,96302000,,62069000,,2528861000,713283000,107820000,923655000,881731000,524222000,,153294000.0,3220671000,1989005000,41924000,0.0,55659000,,152839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2021751000.0,2419480000.0,1310805000,647401000,582843000,35271000.0,,0.0,0.0,64558000,406685000.0,56303000,,2853405000,1102928000,110370000,1038513000,968559000,190848000,-1316552000.0,0.0,3502401000,2191596000,69954000,0.0,55887000,775767000.0,147969000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,,1309182000,748129000,681640000,,,0.0,0.0,66489000,,57856000,,2872174000,1121395000,128508000,1002233000,924234000,250650000,,0.0,3621885000,2312703000,77999000,0.0,56224000,,178671000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2173258000.0,2705976000.0,1386088000,713964000,638598000,,,0.0,0.0,75366000,,61117000,,3065830000,1175764000,170986000,1059235000,993333000,258486000,-1530212000.0,0.0,3781383000,2395295000,65902000,0.0,56313000,,172413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,2368071000.0,,1618895000,831613000,761303000,,,0.0,0.0,70310000,,55760000,,3276573000,1348685000,193979000,1249785000,1212771000,270355000,,0.0,4109779000,2490884000,37014000,526009000.0,56560000,,200704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,1877632000.0,3263480000.0,1285643000,823488000,739267000,32731000.0,73889000.0,31033000.0,0.0,84221000,461977000.0,62021000,,3248998000,1579705000,172099000,940585000,854417000,172652000,-1683775000.0,0.0,4073757000,2788114000,86168000,0.0,56956000,1057413000.0,171250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,2029933000.0,3473294000.0,1218863000,864275000,811509000,,37575000.0,0.0,0.0,52766000,,32102000,103098000.0,3296213000,1705028000,183216000,780137000,702825000,67388000,-1768266000.0,0.0,4162382000,2943519000,77312000,0.0,57198000,,189351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,1907793000.0,3516635000.0,1337032000,862093000,785127000,,37536000.0,0.0,0.0,76966000,,31616000,51133000.0,3549374000,1766841000,204548000,853663000,772694000,60446000,-1749794000.0,0.0,4413738000,3076706000,80969000,563216000.0,57407000,,179103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,2052237000.0,3648879000.0,1305281000,963278000,889358000,,39627000.0,0.0,0.0,73920000,,29991000,50460000.0,3526752000,1803759000,246756000,814131000,751766000,55208000,-1845120000.0,0.0,4492675000,3187394000,62365000,0.0,57576000,,221495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
