date,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyOtherCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyCurrentDebt,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,,767744000000,,41352000000,,58224000000,,,7178000000,328825000000,126637000000,9559000000,825968000000,4214000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,806867000000,,40474000000,,64220000000,,,12853000000,313001000000,134776000000,9559000000,871087000000,4706000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,846899000000,14561000000.0,42966000000,,70012000000,,,14561000000,253787000000,154975000000,9559000000,916911000000,5394000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,899534000000,16065000000.0,48654000000,,73675000000,,0.0,16065000000,268749000000,157151000000,9559000000,973209000000,5966000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,896690000000,21063000000.0,52273000000,-3080000000.0,78755000000,,,17983000000,305574000000,147275000000,9559000000,975445000000,5962000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,921623000000,21416000000.0,54623000000,-3166000000.0,84245000000,,0.0,18250000000,298790000000,156220000000,9559000000,1005868000000,6603000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,984773000000,22499000000.0,59683000000,-3237000000.0,92323000000,329000000.0,,19262000000,325984000000,173106000000,0,1077096000000,6454000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,1004576000000,23982000000.0,76633000000,-3292000000.0,102081000000,329000000.0,0.0,20690000000,315533000000,160729000000,0,1106657000000,7074000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,1035952000000,24352000000.0,78679000000,-3352000000.0,107778000000,329000000.0,,21000000000,334720000000,169400000000,0,1143730000000,7645000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,1086463000000,24870000000.0,83215000000,-3276000000.0,109501000000,329000000.0,0.0,21594000000,345713000000,157608000000,0,1195964000000,8450000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,1124797000000,25236000000.0,83667000000,-3338000000.0,139193000000,329000000.0,,21898000000,384287000000,162224000000,0,1263990000000,8724000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,1191964000000,29018000000.0,99982000000,-3354000000.0,139474000000,329000000.0,0.0,25664000000,393304000000,200261000000,0,1331438000000,10248000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,1192448000000,29613000000.0,105363000000,-3427000000.0,141981000000,329000000.0,,26186000000,437954000000,141030000000,0,1334429000000,11892000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,0.0,1184654000000,29540000000.0,100615000000,-3466000000.0,136713000000,329000000.0,0.0,26074000000,450711000000,124678000000,0,1321367000000,13312000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,1236556000000,30343000000.0,105204000000,-3571000000.0,140626000000,329000000.0,,26772000000,474496000000,133113000000,0,1377242000000,14114000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,0.0,1256444000000,31245000000.0,107787000000,-3702000000.0,144840000000,329000000.0,0.0,27543000000,463624000000,122515000000,0,1401341000000,14847000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,1326339000000,32398000000.0,113646000000,-3899000000.0,152030000000,329000000.0,,28499000000,465411000000,131295000000,0,1478418000000,15025000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,1378948000000,33814000000.0,117360000000,-4072000000.0,155635000000,329000000.0,,29742000000,475541000000,115490000000,0,1534622000000,16457000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,1409190000000,34712000000.0,123350000000,-4202000000.0,162082000000,329000000.0,,30510000000,504608000000,103057000000,0,1571297000000,16422000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,1483814000000,32480000000.0,127395000000,,172721000000,329000000.0,,32480000000,527667000000,116810000000,0,1656652000000,19459000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
