date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,7473373000,62530000,8537923000,0,0.0,300000,,50200000,220737000,4113000.0,6581000,154054000,153754000,1294627000,2000000,1828863000,0.0,,707024000.0,615130000,110313000,,,6681756000,32524000,,1064550000,1608126000,171373000.0,2256578000.0,,-138849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,7394688000,4145000,8342069000,0,0.0,775653000,,986293000,1222280000,0.0,2703000,821649000,45996000,16400000,2000000,1505836000,0.0,0.0,947000.0,615221000,2374000,,68767000.0,6808757000,26436000,0.0,947381000,283556000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7500865000,5629000,8340680000,0,0.0,610000,,1098752000,1323811000,0.0,2489000,146146000,145536000,14980000,5700000,1484838000,0.0,,629363000.0,615296000,3230000,,54522000.0,6827951000,22850000,,839815000,161027000,164073000.0,2340142000.0,,-141223000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,7728953000,3766000,8540356000,0,0.0,632901000,,951342000,1163996000,,2747000,729371000,96470000,232980000,5700000,1473645000,0.0,0.0,947000.0,615589000,2565000,,45434000.0,7038036000,20164000,0.0,811403000,309649000,,2511402000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,7821711000,3502000,8578030000,0,0.0,320000,,1004844000,1044522000,,3311000,97406000,97086000,227980000,5700000,1366454000,0.0,,583072000.0,615682000,3890000,,39678000.0,7182646000,18199000,,756319000,321932000,165022000.0,2617501000.0,,-146823000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,8339813000,2524000,9041142000,1289022000,39848000.0,4744000,8141855000.0,1289022000,1318360000,,2735000,153986000,149242000,33980000,5700000,1422819000,8310855000.0,0.0,495977000.0,616975000,2852000,800053000.0,29338000.0,7589397000,23258000,0.0,701329000,104459000,,3026810000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,9099692000,65804000,9925332000,455230000,0.0,573823000,,455230000,466022000,0.0,2578000,729679000,155856000,33980000,5700000,627438000,0.0,,573625000.0,0,48679000,,10792000.0,9374433000,27223000,,825640000,161416000,179061000.0,3740311000.0,,-151838000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,10177125000,75412000,11884059000,0,0.0,1270026000,,1191740000,1208052000,,2339000,1433826000,163800000,27980000,5700000,1393279000,0.0,0.0,947000.0,0,55013000,,16312000.0,10565406000,16612000,0.0,1706934000,185227000,16612000.0,4324520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,11301020000,43824000,12943071000,0,0.0,1339765000,,1189250000,1194479000,0.0,2345000,1545307000,205542000,27980000,5700000,1327724000,0.0,,1339590000.0,0,18741000,,5229000.0,11688948000,14281000,,1642051000,133245000,171187000.0,5344432000.0,,-156906000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,11828829000,24432000,14745630000,0,0.0,1673985000,,796760000,801989000,,2031000,2849712000,1175727000,417980000,5700000,1642679000,0.0,0.0,947000.0,0,25387000,,5229000.0,12814175000,12022000,0.0,2916801000,840690000,12022000.0,5910601000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
