date,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable
2012-12-31,105653000.0,,-4212915000.0,58381000.0,,-1062712000,7177294000.0,-744913000.0,-239420000,105653000.0,-750000000.0,21755000.0,1080000000.0,2131798000.0,,3034000.0,16221393000.0,362371000.0,15754256000.0,11483496000.0,1808775000.0,-368664000,12574008000,,27117000.0,-560880000.0,1148451000,,597633000.0,448467000.0,428869000.0,0.0,11425557000,2840000.0,4737897000.0,19329000,4753829000.0,,14649000.0,-305141000,-139719000.0,1306231000,1664661000.0,-305141000,1002149000.0,8257294000.0,,7177294000.0,1517115000,-302107000,382449000.0,229793000.0,1571431000.0,-195194000.0,220329000,0.0,1529248000.0,3034000,42321000.0,-279527000.0,1571431000.0,,216949000.0,75231000.0,-152083000.0,17886054000.0,-161801000.0,1033570000.0,340000000.0,4306000.0,867399000.0,6143724000.0,8096753000.0,,,,
2013-06-30,,-0.473286,,,1023086842.0,-484213000,,,-22975000,,,,,,,,,,,,,-232309000,17453166000,,,,1553278000,-0.473286,,,,,15899888000,,,112830000,,,,-28319000,,1567405000,,-28319000,,,,,1785587000,-26370000,,,,,218182000,,,1949000,,,,1023086842.0,,,,,,,,3395000.0,,,,,,,
2013-09-30,,-0.649585,-4152839000.0,,1023086842.0,-664582000,8811913000.0,-1225560000.0,75475000,,,687295000.0,3468320000.0,2948260000.0,,,21449276000.0,,20900411000.0,14550825000.0,2891208000.0,-81975000,18038518000,,34827000.0,,1775165000,-0.649585,,766431000.0,340127000.0,0.0,16263353000,37133000.0,6898451000.0,71809000,6503982000.0,,14649000.0,75022000,-1225560000.0,1606014000,2399395000.0,75022000,1713564000.0,12280233000.0,,8811913000.0,1857140000,75475000,382463000.0,221072000.0,,,251126000,,2457025000.0,453000,14033000.0,-434183000.0,0.0,1023086842.0,687295000.0,202126000.0,-227729000.0,23848671000.0,,-538917000.0,,0.0,0.0,9350830000.0,10678375000.0,,,,
2013-12-31,70391000.0,,-4301195000.0,85039000.0,,-1853212000,10812339000.0,-383937000.0,-26324000,70391000.0,-2380000000.0,1061291000.0,1903224000.0,3396819000.0,,-2610000.0,16769984000.0,1411947000.0,22612993000.0,16769984000.0,3407435000.0,-254290000,20123318000,,45853000.0,117827000.0,2040755000,,208021000.0,920853000.0,425310000.0,,18082563000,36502000.0,0.0,21324000,6386155000.0,0.0,14649000.0,-109975000,-545000000.0,2027563000,9239828000.0,-109975000,2264152000.0,12715563000.0,,10812339000.0,2295045000,-112586000,261000.0,215802000.0,0.0,-393637000.0,275815000,0.0,2882925000.0,-2611000,24312000.0,-524510000.0,940216000.0,,1454928000.0,246718000.0,-265970000.0,26009812000.0,-75290000.0,2000426000.0,2934700000.0,1223000.0,932826000.0,8811913000.0,11018865000.0,,,,
2014-03-31,,-3.868829,,,1367085865.0,-5289022000,13337835000.0,-272024000.0,-3792623000,,,908230000.0,,,,,,,,,,-3851722000,22657416000,,,,2261398000,-3.868829,,,,,20396018000,,,-38562000,,,,-3795148000,-272024000.0,5828110000,,-3795148000,,,,,6113120000,-3797638000,,,,,285010000,1890771000.0,,-2490000,,,1890771000.0,1367085865.0,908230000.0,,,,,2525496000.0,,5015000.0,,10812339000.0,,,,,
2014-06-30,,-5.86,-8641302000.0,,1202782000.0,-7046296000,27535976000.0,-3158370000.0,-573864000,,,-78507000.0,3947134000.0,14933165000.0,,,26040787000.0,,48943281000.0,26040787000.0,3933059000.0,-787945000,28612850000,,0.0,,3155229000,-5.86,,3144678000.0,1511809000.0,,25457621000,322390000.0,0.0,59169000,10781375000.0,,2622470000.0,-582530000,-3158370000.0,3523184000,37835659000.0,-582530000,3605722000.0,31483110000.0,,27535976000.0,3943174000,-582166000,354000.0,7596230000.0,,,419990000,17486771000.0,3933059000.0,364000,459016000.0,,17486771000.0,1202782000.0,-78507000.0,0.0,-293089000.0,63876446000.0,,14198141000.0,,8302000.0,2842594000.0,13337835000.0,15521155000.0,,,,
2014-09-30,,-0.12,-8805660000.0,,1362239000.0,-164358000,20717889000.0,-8216361000.0,-149804000,,,1430337000.0,10936316000.0,15348322000.0,,,28092373000.0,,50600535000.0,28092373000.0,4421973000.0,-406640000,29012003000,,0.0,,3544017000,-0.12,,3454333000.0,1570291000.0,,25467986000,508844000.0,0.0,58928000,11094891000.0,,2622470000.0,-164358000,-8216361000.0,3438684000,37856484000.0,-164358000,4122684000.0,31654205000.0,,20717889000.0,3950657000,-158154000,354000.0,7229288000.0,,,511973000,-39118000.0,4421973000.0,6204000,565747000.0,,-39118000.0,1362239000.0,1430337000.0,0.0,-276842000.0,65948857000.0,,-6818087000.0,,8350000.0,2842455000.0,27535976000.0,17036144000.0,,,,
2014-12-31,,-0.34,-9272343000.0,,1362441500.0,-454322000,16914651000.0,-1556493000.0,-431918000,,,-1245044000.0,12161643000.0,16551475000.0,,,28995105000.0,,49941697000.0,28995105000.0,5404590000.0,-756130000,34720048000,,103663000.0,,4410230000,-0.34,,5311832000.0,2436256000.0,,30309818000,1021077000.0,0.0,137052000,12190843000.0,,2622470000.0,-454322000,12191755000.0,4547414000,37498067000.0,-454322000,4823740000.0,29076294000.0,,16914651000.0,5166360000,-439076000,358000.0,6877947000.0,,,618946000,-946396000.0,5404590000.0,15246000,625391000.0,-1066184000.0,-946396000.0,1362441500.0,-1245044000.0,970654000.0,-361116000.0,66493172000.0,,-3803238000.0,,7158000.0,1890771000.0,20717889000.0,16363671000.0,,,,
2015-03-31,,-0.52,-9982553000.0,,1366349500.0,-710210000,14680367000.0,-2710638000.0,-712420000,,,2408784000.0,11679556000.0,24135617000.0,2455938000.0,,33499664000.0,,46400211000.0,31043726000.0,6272933000.0,-822607000,36640575000,,0.0,,4465592000,-0.52,,5488740000.0,3028142000.0,0.0,32174983000,8070871000.0,2455938000.0,-44573000,12960750000.0,,2622470000.0,-710210000,-2710638000.0,4583812000,37036164000.0,-710210000,6054689000.0,26359923000.0,,14680367000.0,5288199000,-713187000,358000.0,6518650000.0,,,704387000,-1874782000.0,6272933000.0,-2977000,650693000.0,,-1874782000.0,1366349500.0,2408784000.0,0.0,-302442000.0,70535828000.0,,-2234284000.0,,767000.0,0.0,16914651000.0,19074818000.0,,,,
2015-06-30,,-0.38,-10492975000.0,,1367593000.0,-510422000,17536783000.0,770978000.0,-509218000,,,737448000.0,6272108000.0,28816138000.0,2919475000.0,,44531845000.0,,52427985000.0,41612370000.0,7365026000.0,-723140000,45928687000,,0.0,,5909505000,-0.38,,5696854000.0,5405337000.0,0.0,40019182000,11906973000.0,2919475000.0,115661000,17701651000.0,,2622470000.0,-510422000,770978000.0,5848024000,36712278000.0,-510422000,7867957000.0,23808891000.0,,17536783000.0,6632645000,-512491000,358000.0,6151768000.0,,,784621000,1341410000.0,7365026000.0,-2069000,769901000.0,,1341410000.0,1367593000.0,737448000.0,0.0,-387700000.0,81244123000.0,,2856416000.0,,3273000.0,1330973000.0,14680367000.0,25525156000.0,,,,
