date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyChangeInInventory
2008-06-30,,,,,,,0.0455,63291000.0,,50823000,,,,147048000.0,,,,49975000,50823000,,,,24721000.0,,,,,106730000.0,54333000,,,,,1065047552,0.0476,,,,,,,,30301000.0,,40318000,171769000,,4358000,,,,,1110040668,40318000,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,559907000.0,1186556000.0,344970000.0,42675000.0,,2377000.0,0.0835,53887000.0,1802999000.0,96551000,616443000.0,0.0,387645000.0,210169000.0,,,2641000.0,97201000,96551000,,,102801000.0,29812000.0,5607000.0,35178000.0,4405000.0,,110735000.0,111774000,8506000.0,,1401680000.0,,1060421431,0.0907,364000.0,,1004755000.0,,1004755000.0,,34169000.0,44776000.0,6494000.0,99434000,239981000,,14573000,413916000.0,,,0.0,1124732215,99434000,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,879992000.0,1571966000.0,439403000.0,47986000.0,,0.0,0.0579,60771000.0,2154605000.0,66916000,582639000.0,0.0,487389000.0,214880000.0,,,3925000.0,67804000,66916000,,,110403000.0,31434000.0,6382000.0,58728000.0,4500000.0,,142906000.0,81298000,11596000.0,,1649459000.0,,1082521512,0.0614,0.0,,1377039000.0,104688000.0,1377039000.0,,36390000.0,57369000.0,15416000.0,71974000,246314000,,13494000,401381000.0,,,0.0,1157785931,71974000,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1054384000.0,2049628000.0,697971000.0,45061000.0,,14559000.0,0.0893,57264000.0,2680045000.0,103915000,630417000.0,0.0,743032000.0,228359000.0,,,57434000.0,105895000,103915000,,,249013000.0,34608000.0,2850000.0,72819000.0,4581000.0,,118980000.0,121229000,24455000.0,,1899247000.0,,1115111918,0.0927,85000000.0,806000.0,1649601000.0,355592000.0,1649601000.0,,20606000.0,61447000.0,14229000.0,109379000,262967000,,15334000,382765000.0,,,0.0,1160820416,122035000,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1401130000.0,2506593000.0,775397000.0,33974000.0,,14559000.0,0.0964,76857000.0,3154117000.0,111897000,647524000.0,0.0,809371000.0,281590000.0,,,4339000.0,118420000,111897000,,,261091000.0,40877000.0,15359000.0,56862000.0,4689000.0,,172809000.0,133617000,16419000.0,,2242789000.0,,1141171733,0.0979,0.0,1997000.0,2131967000.0,415752000.0,2131967000.0,466251000.0,17555000.0,86973000.0,17596000.0,108781000,322467000,,15197000,466251000.0,,,0.0,1160757261,135614000,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,97570000.0,,0.17,113089000.0,,195914000,,,,395278000.0,-55000.0,,,211147000,195914000,-80889000.0,706403000.0,,61581000.0,,,,696499000.0,233260000.0,234853000,,,,-80889000.0,1152435294,0.17,,2057000.0,,,,,,115178000.0,,162018000,456859000,97570000.0,23706000,,,16626000.0,,1152435294,236910000,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1965657000.0,3663836000.0,1067603000.0,127253000.0,256606000.0,54530000.0,0.123,115595000.0,4392265000.0,145255000,728429000.0,6901000.0,1194856000.0,430484000.0,342549000.0,,0.0,170065000,145255000,-56588000.0,1242361000.0,165394000.0,66044000.0,8963000.0,77491000.0,4710000.0,706403000.0,274904000.0,185861000,17427000.0,,2903711000.0,-56588000.0,1149910622,0.126,0.0,1771000.0,3193450000.0,486723000.0,1242361000.0,409474000.0,13404000.0,136203000.0,19572000.0,155580000,496528000,256606000.0,15796000,409474000.0,1951089000.0,542567000.0,359156000.0,1180435602,187632000,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,0.004753,,,5498000,,,,,,,,5498000,5498000,,,,,,,,,,13236000,,,,,1156859661,0.004753,,,,,,,,,,185490000,185490000,,7738000,,,,,1156859661,185490000,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2278468000.0,5075252000.0,788594000.0,1185048000.0,392998000.0,53994000.0,0.14,217369000.0,5804333000.0,166301000,729081000.0,7401000.0,1973642000.0,579072000.0,,1037587000.0,0.0,195011000,166301000,152287000.0,2677248000.0,185161000.0,89680000.0,3528000.0,60104000.0,4718000.0,1956813000.0,394978000.0,206039000,30545000.0,-308108000.0,3380221000.0,,1187864286,0.14,19588000.0,10864000.0,4536968000.0,15724000.0,2677248000.0,735435000.0,31533000.0,175465000.0,32463000.0,184094000,668752000,392998000.0,11028000,427327000.0,1859720000.0,738839000.0,31686000.0,1187864286,216903000,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,2535241000.0,5243971000.0,755041000.0,1191785000.0,78236000.0,54351000.0,0.2,223654000.0,6155149000.0,246237000,911178000.0,7739000.0,1946826000.0,569012000.0,74587000.0,1048155000.0,0.0,254486000,246237000,214179000.0,3062104000.0,224641000.0,106613000.0,2955000.0,60122000.0,14740000.0,2677248000.0,438945000.0,277824000,22294000.0,,3743804000.0,214179000.0,1172557143,0.21,0.0,11685000.0,4696275000.0,15862000.0,4638949000.0,424181000.0,32701000.0,196337000.0,44607000.0,130067000,675625000,78236000.0,23338000,424181000.0,57326000.0,367002000.0,436208000.0,1231185000,289509000,,,,,,,,,,,,,,,,,,,,,,,
