date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2008-12-31,21113000000,1634000000.0,,3048000000,11766000000,46488000000.0,998000000.0,8980000000,325000000.0,670000000.0,18065000000,,5479000000.0,47327000000,,46488000000,659000000.0,1687000000.0,8962000000,8962000000,0.0,68440000000,56674000000,0.0,,2134000000,1161000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,23275000000,,,2055000000,7113000000,44109000000.0,885000000.0,11789000000,2268000000.0,,21220000000,,5546000000.0,47964000000,,44109000000,634000000.0,895000000.0,4128000000,4128000000,2238000000.0,71239000000,64126000000,0.0,,2134000000,892000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,22805000000,1676000000.0,,1836000000,7634000000,47464000000.0,552000000.0,12247000000,499000000.0,616000000.0,20969000000,,5622000000.0,52144000000,,47464000000,930000000.0,0.0,5093000000,5093000000,0.0,74949000000,67315000000,0.0,,2134000000,1597000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,24944000000,,,1992000000,7709000000,76583000000.0,733000000.0,13735000000,2566000000.0,,22952000000,,5686000000.0,51567000000,-29323000000.0,47260000000,880000000.0,10000000.0,4713000000,4713000000,0.0,76511000000,68802000000,3000000.0,,2134000000,1587000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,36566000000,,,10326000000,8337000000,47924000000.0,569000000.0,17312000000,2295000000.0,,26240000000,,5771000000.0,56137000000,,47924000000,747000000.0,8461000000.0,5839000000,5839000000,0.0,92703000000,84366000000,0.0,,2134000000,1702000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,34996000000,1766000000.0,47827000000.0,2294000000,6201000000,,585000000.0,23346000000,754000000.0,,32702000000,,5845000000.0,57242000000,,47717000000,904000000.0,661000000.0,3200000000,3200000000,0.0,92238000000,86037000000,0.0,,2134000000,1387000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,36857000000,1801000000.0,,4286000000,9374000000,80196000000.0,1035000000.0,23009000000,498000000.0,1101000000.0,32571000000,35764000000.0,5883000000.0,57873000000,-31397000000.0,48799000000,1115000000.0,617000000.0,6121000000,6121000000,0.0,94730000000,85356000000,0.0,,2134000000,3451000000,55739000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,38876000000,,,5495000000,10030000000,81151000000.0,898000000.0,23300000000,2641000000.0,1568000000.0,33381000000,,6001000000.0,58352000000,-32326000000.0,48825000000,938000000.0,1930000000.0,6618000000,6618000000,725000000.0,97228000000,87198000000,0.0,,2134000000,3215000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,38611000000,1839000000.0,,9410000000,9821000000,82512000000.0,820000000.0,19282000000,427000000.0,699000000.0,29201000000,,5911000000.0,63035000000,-33214000000.0,49298000000,1114000000.0,5317000000.0,6140000000,5391000000,0.0,101646000000,91825000000,0.0,749000000.0,4476000000,3739000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,39060000000,1862000000.0,,8367000000,12095000000,83195000000.0,263000000.0,21163000000,535000000.0,955000000.0,30693000000,,5873000000.0,62726000000,-34186000000.0,49009000000,1042000000.0,4408000000.0,8699000000,8699000000,0.0,101786000000,89691000000,0.0,,4476000000,3335000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
