date,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-12-31,,236199000,36252000.0,53346000,0,-63555000.0,253153000,,155250000,6902452000,737807000,5851379000,5851379000,44526000,138907000,111876000.0,242923000,316708000.0,891582000,6164645000,233397000,,15933000.0,27763000.0,6656931000,0,,9526000,9526000,154040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,225000000,36243000.0,77730000,0,,339164000,,2769280000,8977738000,3467376000,4966965000,4966965000,44526000,1670558000,110876000.0,1922518000,,1273267000,5510362000,1814797000,,,,7037616000,0,,107721000,107721000,465667000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,97668000,,57653000,0,-145414000.0,419258000,,3169059000,8854098000,3780219000,3153154000,3153154000,44419000,1540292000,,1860155000,564672000.0,6945534000,5073879000,1741142000,,,,6945534000,0,5880000.0,113133000,119013000,798453000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,497532000.0,191921000,0.0,69281000,100741000,,490668000,1042745000.0,2772727000,8793749000,3823986000,2973396000,1930651000,44419000,777493000,158966000.0,1816746000,,1133146000,4969763000,1687255000,,,,6910482000,5880000,5880000.0,123611000,129491000,1927086000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,767234000.0,122521000,,91472000,0,-217462000.0,1089689000,1616481000.0,1027595000,9459444000,5438464000,3160388000,1543907000,44419000,36207000,,2272189000,1307151000.0,1400702000,4020980000,1850370000,207407000.0,2707435000.0,599582000.0,7084328000,207407000,5880000.0,208532000,421819000,898560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,525122000.0,94171000,,129759000,0,,1544302000,1182072000.0,3697856000,9395232000,5742975000,2541977000,1359905000,44419000,46812000,,1880809000,1544302000.0,1718086000,3652257000,1447627000,,,687426000.0,7404332000,249010000,5880000.0,178292000,433182000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,180800000.0,0,,101283000,240212000,-237154000.0,1779675000,1009725000.0,653686000,10011648000,4848742000,2517801000,1508076000,44419000,36555000,,2013858000,2016829000.0,2174606000,5162906000,1803889000,63227000.0,2226936000.0,867716000.0,7882305000,63227000,5880000.0,140862000,209969000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,367042000,,129314000,22146000,,1887994000,902709000.0,2844067000,10432771000,5269146000,2328056000,1425347000,85610000,69939000,,1705759000,1887994000.0,2893354000,5163625000,1512748000,,,726977000.0,8623872000,57385000,0.0,135626000,193011000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0.0,296317000,,177181000,64231000,-314677000.0,2066492000,1617631000.0,588775000,11322983000,5696487000,2935576000,1317945000,85610000,40818000,,1916970000,2381169000.0,3479322000,5626496000,1693168000,70262000.0,2226936000.0,157817000.0,9291677000,19650000,3500000.0,130390000,223802000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,357480000,,222523000,49251000,,2269727000,1992461000.0,2822565000,12339183000,6613522000,4284442000,2291981000,85610000,122199000,,1511541000,2269727000.0,4942222000,5725661000,1312853000,,,144420000.0,10760586000,62157000,3500000.0,133031000,198688000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,171075000,,233028000,17739000,-435385000.0,2647777000,1959280000.0,569337000,12321007000,6874062000,4241650000,2282370000,85610000,72624000,,1129275000,3083162000.0,5262640000,5446945000,933899000,43675000.0,2247728000.0,99512000.0,11095639000,17545000,8280000.0,125876000,195376000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
