date,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyLongTermDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue
1995-09-30,,,,3000000.0,,0.0,,,,10300000,,,,,,0.0,,,500000.0,,,0,,10300000,,10800000,,,,300000.0,,,,,,,,,,,4300000,800000.0,100000,100000,,10400000.0,,100000,,100000,,,,,,500000,1100000,,,400000,100000,6500000,,-100000.0,3200000,,,,,0.0,100000.0,,,,,,
1995-12-31,-100000.0,,-500000.0,4300000.0,800000.0,200000.0,400000.0,-100000.0,,10500000,-1700000.0,,0.0,,0.0,0.0,,300000.0,8900000.0,,,0,0.0,10700000,-100000.0,19600000,1200000.0,100000.0,0.0,300000.0,,,,,,,300000.0,,,,14200000,9300000.0,600000,300000,,11200000.0,,900000,0.0,600000,,100000.0,300000.0,,,8900000,9600000,300000.0,,-100000,300000,5400000,0.0,-700000.0,4600000,,,,-700000.0,0.0,0.0,,,,,,
1996-03-31,200000.0,,11700000.0,12900000.0,-11300000.0,200000.0,100000.0,200000.0,,21900000,3100000.0,200000.0,-300000.0,20000000.0,0.0,300000.0,,300000.0,6100000.0,,,0,0.0,22100000,200000.0,28300000,-11200000.0,200000.0,0.0,300000.0,,,0.01,20000000.0,,,400000.0,,,200000.0,19700000,5900000.0,1400000,900000,,22600000.0,,1700000,0.0,1300000,,-11800000.0,-700000.0,,400000.0,6200000,6200000,500000.0,,100000,500000,8600000,100000.0,-700000.0,13500000,,0.01,,-500000.0,100000.0,100000.0,,,,,,
1996-06-30,500000.0,,0.0,3200000.0,-500000.0,100000.0,900000.0,500000.0,,22400000,9700000.0,300000.0,-100000.0,20000000.0,0.0,0.0,,400000.0,12500000.0,,,0,0.0,22500000,500000.0,35100000,400000.0,200000.0,0.0,300000.0,,,0.03,20000000.0,,,500000.0,,,300000.0,15900000,11900000.0,1900000,1100000,,23100000.0,,2300000,0.0,1600000,,-900000.0,-400000.0,,800000.0,12600000,12200000,800000.0,,700000,500000,19200000,300000.0,-700000.0,3700000,,0.03,,-400000.0,100000.0,0.0,,,,,,
1996-09-30,400000.0,,-300000.0,2900000.0,-200000.0,200000.0,3300000.0,400000.0,,24800000,-100000.0,400000.0,-500000.0,20000000.0,0.0,0.0,,200000.0,13000000.0,,,0,0.0,25000000,400000.0,38100000,3100000.0,100000.0,0.0,300000.0,,,0.02,20000000.0,,,500000.0,,,400000.0,18500000,14400000.0,2000000,1400000,,25500000.0,,2200000,0.0,1900000,,-3000000.0,1900000.0,,800000.0,13100000,14700000,600000.0,,1100000,900000,19600000,100000.0,-700000.0,3800000,,0.02,,-2800000.0,100000.0,0.0,,,,,,
1996-12-31,700000.0,,11400000.0,5600000.0,-200000.0,8400000.0,300000.0,700000.0,,27700000,1100000.0,600000.0,-500000.0,,0.0,0.0,,600000.0,8000000.0,,,0,0.0,36100000,700000.0,44200000,100000.0,100000.0,-200000.0,300000.0,,,,,,,400000.0,,,600000.0,22900000,7900000.0,2500000,2000000,,30200000.0,,3100000,0.0,2400000,,-11700000.0,-1400000.0,,1300000.0,8100000,8200000,500000.0,,1800000,1300000,21300000,100000.0,-2500000.0,14700000,,,,-11500000.0,100000.0,7800000.0,,,,,,
1997-03-31,2700000.0,,36800000.0,6800000.0,-42300000.0,0.0,100000.0,2700000.0,,71400000,42900000.0,2400000.0,-2100000.0,30000000.0,0.0,,,3300000.0,15600000.0,,,0,0.0,71400000,2700000.0,87000000,-42200000.0,,500000.0,,,,0.09,30000000.0,,,1400000.0,,,2400000.0,19200000,,9000000,7200000,,73900000.0,,12300000,0.0,8600000,,-36800000.0,-6400000.0,,5100000.0,15600000,9200000,1800000.0,,4500000,2600000,67800000,400000.0,-2500000.0,10000000,,0.09,,5500000.0,0.0,600000.0,,,,,,
1997-06-30,3900000.0,,3800000.0,9900000.0,-2200000.0,-100000.0,11700000.0,3900000.0,,77500000,1000000.0,2200000.0,-2700000.0,35454545.0,8100000.0,,,3400000.0,10100000.0,,,0,0.0,77400000,3900000.0,95700000,9500000.0,100000.0,-300000.0,,8100000.0,8100000.0,0.11,35454545.0,,,2000000.0,,,1800000.0,22900000,,11800000,8900000,,80000000.0,,15200000,8100000.0,10900000,,-7500000.0,4000000.0,,6100000.0,18300000,7800000,2900000.0,,8400000,4400000,72800000,1000000.0,-2500000.0,15100000,,0.11,,-5300000.0,100000.0,800000.0,,,,,,
1997-09-30,2400000.0,,2400000.0,12300000.0,-700000.0,0.0,8100000.0,2400000.0,,89200000,0.0,2400000.0,-1900000.0,33000000.0,-2700000.0,,,3400000.0,,,,0,8100000.0,89200000,2400000.0,114400000,7400000.0,300000.0,0.0,,5400000.0,5400000.0,0.05,33000000.0,,,1800000.0,,,2600000.0,39300000,,9700000,7100000,,91700000.0,,13100000,5400000.0,8900000,,-13200000.0,1200000.0,,4800000.0,25200000,18400000,2600000.0,,10800000,7100000,75100000,800000.0,-2500000.0,20900000,,0.05,,-12500000.0,19800000.0,1500000.0,,,,,,
1997-12-31,2300000.0,,6500000.0,17500000.0,-800000.0,0.0,12100000.0,2300000.0,3200000.0,108300000,500000.0,900000.0,-2400000.0,,-2500000.0,0.0,,4100000.0,14200000.0,,,0,5400000.0,108300000,2300000.0,130200000,11300000.0,100000.0,700000.0,,2900000.0,2900000.0,,,,,2200000.0,,,900000.0,52500000,24800000.0,8900000,5500000,,116600000.0,,13000000,2900000.0,7700000,,-21100000.0,6700000.0,,3200000.0,21900000,24800000,3400000.0,,13100000,7900000,77700000,1200000.0,-8300000.0,27700000,,,,-20300000.0,1600000.0,2300000.0,,,,,,
