date,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGrossProfit,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1997-06-30,,,,,,,,,,438897932.115512,2999186109.603907,0.0,,,1376605172.725629,4345873274.250919,1626951829.746187,,0.0,1285268583.830711,0.0,,640411165.370471,,,,243262796.165672,,2262163139.808284,,,370470850.666184,,1622580936.878278,,728884065.83469,,2860975462.711762,,-1484897811.539157,240549828.178694,132558630.252607,387502260.806656,,,,,,,,32103454.51257,,,0.0,,,5291041176.825225,,,,3664089347.079038,,408075601.37457,1340658346.898173,,482606860.794598,132558630.252607,,,,,,,,,,
1998-06-30,,,,,,,,,,239876337.043636,2663968264.807584,0.0,,,1100240248.815828,3635144595.022442,1408901001.347132,,0.0,1232718536.406697,141100000.0,,552758515.796204,,,,173202634.6666,,1764121601.907091,,,317165684.771205,,1563728015.991756,,600311640.582805,,2371882818.174481,,-1263261776.84796,254527169.22332,164014824.655612,294754877.920078,,,,,,,,22100407.864269,,,431600000.0,,,4457453610.871414,,,,3048552609.524283,,341687204.732964,1125755025.669996,,398490239.193459,164014824.655612,,,,,,,,,,
1999-06-30,,,,,,,,,,275630498.925248,2422864848.266378,0.0,,,1008464506.481889,3639804541.995434,1319408285.603664,,0.0,1070479699.870496,121800000.0,,493184336.657722,,,,133576320.743381,,1788694409.954473,,,271758721.512396,,1414400341.784489,,588777185.885369,,2338420047.796425,,-1301384494.199009,282773260.704129,125899520.700658,257539952.737614,,,,,,,,15220090.519486,,,342900000.0,,,4241064872.2981,,,,2921656586.694437,,279836050.253001,273894874.567763,,1239169036.461462,125899520.700658,,,,,,,,,,
2000-06-30,,,,,,,,,,306346647.561048,1850080601.826975,0.0,,,827691205.445101,2390709893.127948,1044241447.250582,,0.0,837781360.081199,133200000.0,,420502716.580094,,,,108006448.146158,,1058630365.992,,,255776464.266523,,1022389396.381874,,408919935.518538,,1457221326.646367,,-933488566.481581,147650606.006329,117917487.611201,135530479.431608,,,,,,,,21135590.184489,,,284600000.0,,,2958803510.657353,,,,1914562063.406771,,286106633.231835,172010269.269807,,580273449.161144,117917487.611201,,,,,,,,,,
2001-06-30,,,,,,,,,,370682220.623281,2273898644.1318,0.0,,,1064945933.671152,2697958288.044172,1369340130.534846,,0.0,981664906.130239,261000000.0,,544745691.788756,,,,86291799.98265,,1204564126.901507,,,322407801.472727,,1208952710.460648,,514484877.247235,,1706138403.678245,,-991819884.365926,169521797.482178,164622913.509183,255609477.299286,,,,,,,,24698540.030516,,,416000000.0,,,3585217617.611488,,,,2215877487.076642,,333889560.784434,118644846.22097,,715237060.057256,164622913.509183,,,,,,,,,,
2002-06-30,,,,,,,,,,759261344.443193,2406879855.872086,0.0,,,1198513680.891791,3204143677.513793,2584787749.127351,,0.0,925233644.859813,275200000.0,,607420335.547799,,,,7206395.676163,,2474214615.471231,,,404121157.527305,,1208366174.980295,,532034680.779192,,1791915324.850805,,-1412228352.662988,199864880.081072,1298896520.662088,196937281.837631,,,,,,,,39241076.455354,,,382300000.0,,,4978043013.174192,,,,2393255264.046842,,401587659.047405,41267875.239275,,1673685395.788763,1298896520.662088,,,,,,,,,,
2003-06-30,,,,,,,,,,1021009082.823491,3319475514.109371,0.0,,,2038716545.831873,5009635339.460421,1988046788.66938,,0.0,969530765.706277,301500000.0,,743605638.358084,,,,14486699.188745,,2991537072.473924,,,1318559146.160688,,1280758968.277498,,865159151.551088,,2894375117.914993,,-2115260221.545428,232797886.963318,95342694.660809,586138587.176239,,,,,,,,52084737.083255,,,296200000.0,,,6443077379.187667,,,,4455030590.518287,,726356359.324044,-142037032.045926,,2112565021.696359,95342694.660809,,,,,,,,,,
2004-06-30,,,,,,,,,,1128636449.44103,3900413197.139082,0.0,,,2081157231.649083,5976256895.358349,2133803161.552391,,0.0,1405849081.667611,195700000.0,,861211905.111479,,,,9019023.847977,,3227971558.613168,,,1442134921.800169,,1819255965.489999,,957554655.983668,,3317462647.957436,,-2658794247.400913,271619439.142564,91588536.750774,507792017.115171,,,,,,,,65160699.428795,,,339700000.0,,,7191727667.428739,,,,5057924505.876348,,859953436.667576,-244142878.117331,,1926365613.048919,91588536.750774,,,,,,,,,,
2005-06-30,,,,,,,,,,1103257388.59914,4221413975.051087,0.0,,,2359090493.183274,6453091164.180925,2544301094.946168,,14487449.293927,1505169731.905938,179200000.0,,1000472748.345381,,,,36904870.832952,,3266614816.848141,,,1347256534.602129,,1862323481.867813,,1098072406.746576,,3355064507.274225,,-3098026656.906701,223259218.592735,160734437.429469,554564309.024918,,,,,,,,75410986.061549,,,290400000.0,,,7547884832.403087,,,,5003583737.456919,,1138866013.968951,-389559886.540397,,2552917314.789398,160734437.429469,,,,,,,,,,
2006-06-30,,,,,,,,,,589632092.132797,4885279233.01821,10800000.0,,,2655867381.012452,6305264095.219721,2372256274.023835,,0.0,1504207417.52126,429900000.0,,1013787269.40829,,,,213264866.950624,,2612309107.908758,,,1293836541.458275,,2229411852.005758,,1024250159.540523,,3188435909.232573,,-3116828185.987148,401596889.33082,84519374.897968,851649574.805954,,,,107448687.315415,,,,59734940.11665,,,2374556.625755,,,7535878066.517267,,,,5163621792.493433,,1145723571.926804,-62703135.898844,,2085380151.674804,84519374.897968,,,,,,,,,,
2007-06-30,,,,,,,,,,932824427.480916,4716709075.487701,3400000.0,,,2986938083.121289,6381764206.955047,2879134860.050891,,0.0,1370059372.349449,274600000.0,,944274809.160305,,,,250296861.747243,,2993299406.276506,,,1127056827.820187,,1729770992.366412,,1008566581.849025,,3253095843.935539,,-3128668363.019508,166666666.666667,97285835.453774,1130703986.429177,,,,110178117.048346,,,,63358778.625954,,,9838846.480068,,,7754283290.924512,,,,4875148430.873622,,1145801526.717557,-265903307.888041,,2326378286.68363,97285835.453774,,,,,,,,,,
2008-06-30,,,,,,,,,,943733795.122511,4847446924.54148,6700000.0,,,2623396255.297978,6957070827.871911,2505046832.693908,,0.0,1751035677.040977,363200000.0,,948995895.561657,,,,305010476.363602,,2821251231.809876,,,1144841706.451335,,2224050669.243501,,1069545832.894825,,3467628514.843907,,-3489442313.028004,174797409.133093,230767022.894921,647716726.782178,,,,107729547.172339,,,,83906583.366022,,,3635633.030683,,,7720840787.975622,,,,5215793955.281714,,1277542312.071258,-424507993.60894,,2302025430.296304,230767022.894921,,,,,,,,,,
2009-06-30,,,,,,,,,,713271136.649772,4334183426.413145,8700000.0,,,2382654872.970268,6270055202.246828,1870662104.141783,,0.0,1513784420.699228,395200000.0,,756851857.830003,,,,417164347.741873,,2431320011.621526,,,1111954030.409659,,1951528553.442877,,790586564.22507,,3063482583.852536,,-3206572618.394293,169641992.446008,152209703.973916,769764664.105627,,,,97895212.577073,,,,95635471.478839,,,13074216.354069,,,6816347612.74494,,,,4945685508.603157,,965555089.259773,-251396197.178552,,1969445072.150305,152209703.973916,,,,,,,,,,
2010-06-30,,,,,,,,,,590829898.440488,6107423617.898271,22800000.0,,,3582118726.894149,7582968597.288913,3013385458.717546,,0.0,1628436663.40883,646400000.0,,1283559257.213275,,,,399354098.499979,,3457187778.863723,,,1303786172.608677,,2525304891.004122,,1248459609.909489,,4079887817.107891,,-3503080780.181022,381166872.052012,227000382.441678,1168911740.959504,,,,256150936.98211,,,,178557769.940084,,,20226915.395402,,,9612204138.868822,,,,6598818680.151277,,1450303828.666128,-558449836.399949,,3424807716.823184,227000382.441678,,,,,,,,,,
