date,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBasicEPS,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
2009-05-31,150763000.0,-586452000.0,25379000.0,470103000.0,,406175000.0,23815000.0,253387000.0,-5794000.0,253387000.0,259215000.0,168547000.0,12960000.0,358097000.0,80139000.0,131000.0,-75827000.0,,132408000.0,-17962000.0,64685000.0,-10020000.0,3409921000.0,65000000.0,,410000.0,48150000.0,-172000.0,1857005000.0,,294814000.0,21002000.0,,205237000.0,1285000.0,39306000.0,,,98647000,-3827000.0,253387000.0,-32520000.0,-25684000.0,-5644000.0,39524000.0,443429000.0,114446000.0,,2266250000.0,857341000,1552916000.0,98901000,,1056555000.0,849162000.0,0.0,57616000.0,630978000.0,762295000.0,499225000.0,320801000.0,638659000.0,69109000.0,358116000.0,,1417088000.0,39306000,1143671000.0,39306000.0,259215000.0,-1973000.0,856166000.0,,,,,
2009-08-31,-25290000.0,-597420000.0,35903000.0,458515000.0,0.57,435174000.0,28331000.0,255840000.0,1094000.0,255840000.0,273199000.0,169314000.0,12797000.0,353820000.0,87318000.0,0.0,-47482000.0,,52136000.0,-3262000.0,108928000.0,-349000.0,3427870000.0,75000000.0,127098000.0,897000.0,2453000.0,0.0,1842653000.0,,291658000.0,21006000.0,-3525000.0,253387000.0,1291000.0,73025000.0,2018000.0,,142731000,-4077000.0,255840000.0,-6290000.0,-25701000.0,11370000.0,-55401000.0,475279000.0,48874000.0,,2203561000.0,915953000,1585217000.0,120631000,0.57,1055935000.0,845358000.0,0.0,-28999000.0,592458000.0,737414000.0,522123000.0,309386000.0,640472000.0,-3156000.0,393830000.0,126774000.0,1358203000.0,73025000,1224309000.0,73025000.0,273199000.0,501000.0,860554000.0,,,,,
2009-11-30,-301843000.0,-614989000.0,24351000.0,455954000.0,0.44,434230000.0,25920000.0,363928000.0,2057000.0,363928000.0,268295000.0,2940000.0,14672000.0,359762000.0,89931000.0,0.0,-22391000.0,,132558000.0,-5025000.0,80244000.0,-8693000.0,3478539000.0,75000000.0,129164000.0,35761000.0,108088000.0,0.0,1848215000.0,,249432000.0,21229000.0,21069000.0,255840000.0,1295000.0,55893000.0,2131000.0,,94916000,-34732000.0,363928000.0,-13512000.0,-26536000.0,7554000.0,45723000.0,504636000.0,127533000.0,,2196696000.0,858658000,1630324000.0,94916000,0.43,1070943000.0,664053000.0,44489000.0,2605000.0,603438000.0,903285000.0,495447000.0,336681000.0,608588000.0,-44320000.0,363211000.0,127373000.0,1532643000.0,55893000,1281843000.0,55893000.0,270352000.0,-823000.0,871393000.0,,,,,
2010-02-28,-339000.0,-622618000.0,-1949000.0,444959000.0,-0.07,441578000.0,28389000.0,256199000.0,1833000.0,256199000.0,257212000.0,5534000.0,15802000.0,366127000.0,114195000.0,0.0,-27204000.0,,4179000.0,-5782000.0,-11349000.0,-54627000.0,3337365000.0,75000000.0,127500000.0,29717000.0,-107729000.0,-1832000.0,1870494000.0,,230361000.0,20987000.0,-20441000.0,363928000.0,1296000.0,-9400000.0,1908000.0,,25440000,-37357000.0,256199000.0,-67913000.0,-26561000.0,4841000.0,-14247000.0,468675000.0,-1603000.0,,2129351000.0,666594000,1466871000.0,2620000,-0.07,1067577000.0,639584000.0,0.0,-1338000.0,558815000.0,902563000.0,406762000.0,328689000.0,502190000.0,-25116000.0,259832000.0,127500000.0,1489767000.0,-9400000,1208014000.0,-9400000.0,257212000.0,136000.0,882739000.0,,,,,
2010-05-31,7830000.0,-541559000.0,29022000.0,382527000.0,,386982000.0,43152000.0,215355000.0,-10785000.0,215355000.0,305119000.0,4307000.0,16002000.0,303159000.0,101358000.0,-2283000.0,-1552000.0,,15063000.0,-9172000.0,90631000.0,-28884000.0,3004024000.0,0.0,,27597000.0,-40844000.0,1832000.0,1555288000.0,,299596000.0,21031000.0,-107791000.0,256199000.0,1299000.0,60519000.0,-7825000.0,,127664000,-29198000.0,215355000.0,-39238000.0,-26632000.0,8720000.0,-86472000.0,502562000.0,5891000.0,,1842783000.0,971511000,1448736000.0,113383000,,924086000.0,631494000.0,0.0,12673000.0,243829000.0,924308000.0,553009000.0,327591000.0,632485000.0,92230000.0,418502000.0,,1211289000.0,61609000,1079473000.0,60519000.0,305119000.0,-1473000.0,768244000.0,,,,,
2010-08-31,-2635000.0,-557902000.0,32946000.0,376234000.0,0.53,421228000.0,50034000.0,219312000.0,953000.0,219312000.0,253421000.0,2774000.0,16042000.0,308318000.0,112273000.0,0.0,-28311000.0,,41123000.0,-3255000.0,107940000.0,-9962000.0,3058845000.0,0.0,128254000.0,20676000.0,3957000.0,-9101000.0,1580510000.0,,283470000.0,18204000.0,-80734000.0,215355000.0,1295000.0,68996000.0,-281000.0,2396000.0,142186000,-19296000.0,219312000.0,-15471000.0,-26629000.0,2321000.0,-56568000.0,544930000.0,37868000.0,,1821966000.0,894810000,1478335000.0,122005000,0.53,934136000.0,589510000.0,0.0,-33603000.0,249443000.0,932979000.0,519384000.0,303266000.0,624636000.0,-16781000.0,375426000.0,127787000.0,1232456000.0,74994000,1141637000.0,68996000.0,253421000.0,-3634000.0,783685000.0,,,,,
2010-11-30,-25756000.0,-574981000.0,23765000.0,378147000.0,0.38,433792000.0,55773000.0,299157000.0,4309000.0,299157000.0,250070000.0,2674000.0,16468000.0,309466000.0,114484000.0,0.0,-47380000.0,,141991000.0,-12078000.0,77268000.0,-10707000.0,3118555000.0,0.0,127670000.0,18152000.0,79845000.0,-11815000.0,1596189000.0,,274313000.0,18490000.0,-52547000.0,219312000.0,1300000.0,48791000.0,217000.0,3631000.0,93736000,-17986000.0,299157000.0,-20309000.0,-27282000.0,3002000.0,63205000.0,566438000.0,129913000.0,,1834274000.0,826343000,1522366000.0,89427000,0.38,953128000.0,600241000.0,0.0,-11277000.0,255797000.0,922463000.0,486846000.0,323254000.0,595873000.0,-11188000.0,339497000.0,127012000.0,1234033000.0,53503000,1187418000.0,48791000.0,250070000.0,2310000.0,794092000.0,,,,,
2011-02-28,-2348000.0,,796000.0,,0.01,,,,5649000.0,,256676000.0,,16502000.0,,,0.0,-12112000.0,,7870000.0,-6404000.0,1989000.0,-18303000.0,,,129442000.0,24541000.0,-23678000.0,-843000.0,,,,17837000.0,,299157000.0,,1097000.0,-244000.0,2742000.0,36328000,-34274000.0,275479000.0,-30769000.0,-27278000.0,508000.0,-14166000.0,,1466000.0,,,678920000,,12842000,0.01,,,,-36507000.0,,,409402000.0,,,-10387000.0,269518000.0,127166000.0,,1193000,,1097000.0,256676000.0,3671000.0,,,,,,
2011-05-31,6237000.0,-608218000.0,34378000.0,390027000.0,,463120000.0,62042000.0,435011000.0,4493000.0,435011000.0,296648000.0,2549000.0,16415000.0,312867000.0,112676000.0,0.0,145520000.0,,47182000.0,-18089000.0,107856000.0,0.0,3515029000.0,0.0,,13666000.0,159532000.0,-52000.0,1647059000.0,,358790000.0,18222000.0,6073000.0,275479000.0,1306000.0,70174000.0,-778000.0,3513000.0,142493000,-20504000.0,435011000.0,-39391000.0,-27396000.0,1877000.0,-49823000.0,583035000.0,29093000.0,,2127661000.0,981768000,1867970000.0,119778000,,998245000.0,735289000.0,0.0,9864000.0,224026000.0,1106304000.0,565342000.0,216969000.0,712863000.0,94252000.0,416426000.0,,1392372000.0,73478000,1263164000.0,70174000.0,296648000.0,-15765000.0,831489000.0,,,,,
2011-08-31,-10824000.0,-623416000.0,35364000.0,387439000.0,0.59,495830000.0,62082000.0,373355000.0,24000.0,373355000.0,273140000.0,2343000.0,17806000.0,320082000.0,111798000.0,0.0,-29856000.0,,7476000.0,-4913000.0,118704000.0,-35914000.0,3517093000.0,0.0,128628000.0,13821000.0,-61656000.0,-204000.0,1661750000.0,,335453000.0,18119000.0,-5810000.0,435011000.0,1311000.0,76811000.0,-490000.0,3125000.0,154629000,-11315000.0,373355000.0,-37406000.0,-27424000.0,-1374000.0,-95651000.0,632422000.0,2563000.0,,2081356000.0,985918000,1855343000.0,136486000,0.59,1010855000.0,683292000.0,0.0,-27113000.0,232904000.0,1103078000.0,576292000.0,232707000.0,725005000.0,-27069000.0,409626000.0,128094000.0,1398064000.0,83340000,1304339000.0,76811000.0,273140000.0,915000.0,842431000.0,,,,,
2011-11-30,-12021000.0,-628546000.0,22251000.0,382127000.0,0.38,510527000.0,73233000.0,300955000.0,6932000.0,300955000.0,281874000.0,1950000.0,17909000.0,353652000.0,109494000.0,0.0,-44212000.0,,102554000.0,-13440000.0,76170000.0,-96991000.0,3432013000.0,0.0,128432000.0,23116000.0,-72400000.0,-5795000.0,1710802000.0,,324519000.0,18799000.0,-74999000.0,373355000.0,1312000.0,49931000.0,-4714000.0,3567000.0,112878000,-28022000.0,300955000.0,-112180000.0,-28196000.0,-246000.0,31636000.0,654157000.0,89114000.0,,2043986000.0,916085000,1721211000.0,87147000,0.38,1010673000.0,652780000.0,0.0,2426000.0,225519000.0,1092454000.0,547064000.0,202049000.0,661825000.0,-19276000.0,369021000.0,127986000.0,1391206000.0,53919000,1255094000.0,49931000.0,281874000.0,3157000.0,865529000.0,,,,,
2012-02-29,-16639000.0,-642199000.0,3512000.0,402781000.0,0.05,517172000.0,73373000.0,272178000.0,3589000.0,272178000.0,277456000.0,3238000.0,17897000.0,349533000.0,107782000.0,0.0,-27562000.0,,43424000.0,-16085000.0,11436000.0,-18275000.0,3414085000.0,0.0,130377000.0,6957000.0,-28777000.0,-575000.0,1729653000.0,,287363000.0,17785000.0,-46965000.0,300955000.0,1315000.0,6625000.0,-923000.0,3181000.0,47118000,-19516000.0,272178000.0,-52742000.0,-28251000.0,-1405000.0,16862000.0,632530000.0,27339000.0,,2014881000.0,773643000,1684432000.0,25744000,0.05,1044980000.0,623308000.0,0.0,-712000.0,218740000.0,1099460000.0,470443000.0,199280000.0,613399000.0,-40854000.0,303200000.0,128121000.0,1391573000.0,7924000,1268198000.0,6625000.0,277456000.0,-5823000.0,869557000.0,,,,,
2012-05-31,3356000.0,-632133000.0,33399000.0,418832000.0,0.63,489978000.0,26326000.0,315968000.0,2157000.0,315968000.0,322161000.0,2584000.0,18433000.0,345620000.0,134885000.0,0.0,-15811000.0,,141418000.0,-37177000.0,121979000.0,-44076000.0,3560020000.0,0.0,129005000.0,7521000.0,43790000.0,-411000.0,1748683000.0,,391467000.0,18995000.0,-177893000.0,272178000.0,1316000.0,82569000.0,-463000.0,4031000.0,140412000,-10971000.0,315968000.0,-64994000.0,-28282000.0,-4063000.0,32734000.0,686818000.0,104241000.0,,2246037000.0,1101770000,1811337000.0,138255000,0.63,1050965000.0,759792000.0,0.0,32514000.0,346967000.0,1112952000.0,641354000.0,199563000.0,745541000.0,100834000.0,460416000.0,128301000.0,1486245000.0,88580000,1183656000.0,82569000.0,322161000.0,19709000.0,849346000.0,,,,,
2012-08-31,-63193000.0,-648961000.0,34195000.0,445704000.0,0.26,525323000.0,45861000.0,257382000.0,-32448000.0,257382000.0,310940000.0,3097000.0,18430000.0,380624000.0,95649000.0,0.0,56616000.0,,17734000.0,-12702000.0,72062000.0,-141203000.0,3671807000.0,0.0,129570000.0,49320000.0,-58586000.0,-260000.0,1876946000.0,-1095000.0,347245000.0,19358000.0,-146701000.0,315968000.0,1320000.0,33913000.0,-443000.0,3873000.0,109850000,-55744000.0,257382000.0,-143074000.0,-28281000.0,1874000.0,-85068000.0,692449000.0,5032000.0,,2302207000.0,1046714000,1794861000.0,122940000,0.26,1094665000.0,706322000.0,0.0,-30666000.0,350511000.0,1199513000.0,612834000.0,240381000.0,760300000.0,-50100000.0,433880000.0,128805000.0,1595885000.0,37867000,1226240000.0,33913000.0,310940000.0,17255000.0,954969000.0,,,,,
2012-11-30,21924000.0,-663784000.0,24955000.0,474690000.0,0.32,545678000.0,51780000.0,261940000.0,-9895000.0,261940000.0,325761000.0,2068000.0,19868000.0,478212000.0,93691000.0,4847000.0,182864000.0,,109887000.0,-18147000.0,71042000.0,-255582000.0,3965570000.0,0.0,129700000.0,8874000.0,4558000.0,-834000.0,2167030000.0,52925000.0,316105000.0,21568000.0,-145835000.0,257382000.0,1323000.0,40739000.0,-242000.0,4262000.0,112478000,-12698000.0,261940000.0,-290705000.0,-29773000.0,2099000.0,25294000.0,704345000.0,91740000.0,,2573028000.0,1017426000,1798540000.0,99240000,0.31,1138474000.0,698609000.0,0.0,-2532000.0,409538000.0,1413101000.0,592425000.0,252989000.0,727897000.0,-39200000.0,425001000.0,128885000.0,1874419000.0,46087000,1242952000.0,41668000.0,325761000.0,-13152000.0,1120437000.0,,,,,
2013-02-28,-3978000.0,-672657000.0,-20631000.0,474448000.0,-0.33,585804000.0,54286000.0,247104000.0,-69422000.0,247104000.0,318638000.0,3557000.0,20506000.0,470422000.0,109625000.0,-1900000.0,-52144000.0,,43241000.0,-14802000.0,-62823000.0,-166000.0,3922921000.0,0.0,129013000.0,30378000.0,-14836000.0,-1235000.0,2171462000.0,85241000.0,322013000.0,21616000.0,-161891000.0,261940000.0,1325000.0,-42356000.0,52154000.0,4219000.0,-20701000,-13612000.0,247104000.0,-967000.0,-29778000.0,488000.0,6956000.0,632210000.0,28439000.0,,2613176000.0,843736000,1751459000.0,24926000,-0.33,1147105000.0,730956000.0,0.0,-40125000.0,435553000.0,1392381000.0,500172000.0,283793000.0,642654000.0,5312000.0,343564000.0,129013000.0,1882220000.0,-42192000,1158982000.0,-42356000.0,318638000.0,-2765000.0,1116967000.0,,,,,
2013-05-31,-4129000.0,-635760000.0,28521000.0,492363000.0,,548680000.0,46227000.0,343554000.0,-29501000.0,343554000.0,353896000.0,4521000.0,21042000.0,459613000.0,163447000.0,3534000.0,-49186000.0,,197592000.0,-45716000.0,96610000.0,-474000.0,4115526000.0,0.0,,14929000.0,96450000.0,-684000.0,2229254000.0,-144710000.0,478185000.0,21202000.0,-159253000.0,247104000.0,1326000.0,63889000.0,11475000.0,4791000.0,138854000,-24247000.0,343554000.0,-42658000.0,-29815000.0,-45452000.0,115792000.0,667774000.0,151876000.0,,2760593000.0,1170779000,1886272000.0,146378000,,1128123000.0,928030000.0,0.0,33284000.0,417160000.0,1369176000.0,670505000.0,290480000.0,787517000.0,156058000.0,500274000.0,,1832563000.0,68089000,1200858000.0,65378000.0,353896000.0,12850000.0,1113831000.0,,,,,
2013-08-31,-1936000.0,-641494000.0,40327000.0,485147000.0,0.78,572148000.0,36295000.0,204903000.0,4328000.0,204903000.0,335459000.0,4537000.0,20725000.0,461717000.0,158067000.0,-2388000.0,15054000.0,,-129462000.0,-10696000.0,147216000.0,-12328000.0,4063126000.0,0.0,130294000.0,17786000.0,-138651000.0,-4004000.0,2213318000.0,-76455000.0,394138000.0,22313000.0,-174909000.0,343554000.0,1329000.0,103098000.0,-701000.0,4826000.0,190254000,-20152000.0,204903000.0,-22298000.0,-29836000.0,-11505000.0,-251284000.0,741035000.0,-140158000.0,,2639399000.0,1164674000,1849808000.0,163613000,0.77,1126641000.0,760176000.0,0.0,-23439000.0,423321000.0,1419607000.0,665602000.0,253253000.0,861920000.0,-83264000.0,499072000.0,129344000.0,1879223000.0,106889000,1261684000.0,103098000.0,335459000.0,3092000.0,1108387000.0,,,,,
2013-11-30,-4135000.0,-645594000.0,29170000.0,499353000.0,0.48,597660000.0,41130000.0,224172000.0,1855000.0,224172000.0,343048000.0,4835000.0,20809000.0,461555000.0,170526000.0,1058000.0,-89352000.0,,151294000.0,-23907000.0,97584000.0,-8499000.0,4070521000.0,0.0,130418000.0,1886000.0,19269000.0,-3873000.0,2256894000.0,98426000.0,370993000.0,22591000.0,-147740000.0,204903000.0,1332000.0,62183000.0,-528000.0,4796000.0,140984000,-13618000.0,224172000.0,-45684000.0,-31960000.0,3005000.0,53016000.0,772637000.0,127387000.0,,2576661000.0,1071487000,1813627000.0,114897000,0.48,1144947000.0,734081000.0,0.0,-20581000.0,436335000.0,1365115000.0,613542000.0,231103000.0,772429000.0,-28334000.0,457945000.0,129426000.0,1842580000.0,68414000,1322222000.0,63562000.0,343048000.0,-1546000.0,1125460000.0,,,,,
2014-02-28,-225066000.0,-656169000.0,8274000.0,506792000.0,0.12,634583000.0,48372000.0,216001000.0,7324000.0,216001000.0,322205000.0,5957000.0,19740000.0,464486000.0,168943000.0,1097000.0,1691000.0,,4071000.0,-19674000.0,25185000.0,-18421000.0,4033805000.0,0.0,129453000.0,25634000.0,-8171000.0,-1808000.0,2282407000.0,64509000.0,336692000.0,22418000.0,-165409000.0,224172000.0,1332000.0,15922000.0,-914000.0,5919000.0,67343000,-4139000.0,216001000.0,-11968000.0,-31967000.0,7078000.0,-47341000.0,756891000.0,-15603000.0,,2548890000.0,863410000,1751398000.0,35821000,0.12,1162961000.0,687343000.0,0.0,-38552000.0,430697000.0,1382478000.0,505384000.0,214111000.0,705153000.0,-33795000.0,358026000.0,129453000.0,1861547000.0,16911000,1305204000.0,16221000.0,322205000.0,4632000.0,1142186000.0,,,,,
2014-05-31,16032000.0,-658871000.0,40732000.0,532805000.0,0.82,613644000.0,50061000.0,332868000.0,2870000.0,332868000.0,389416000.0,5662000.0,19677000.0,459536000.0,168412000.0,8163000.0,-64636000.0,,252246000.0,-39515000.0,154502000.0,0.0,4378365000.0,0.0,134423000.0,17590000.0,116867000.0,-3222000.0,2316070000.0,-165560000.0,525680000.0,22747000.0,-156882000.0,216001000.0,1333000.0,108779000.0,310000.0,8027000.0,174179000,-45627000.0,332868000.0,-69761000.0,-31980000.0,7994000.0,99237000.0,833691000.0,212731000.0,,2799771000.0,1276782000,2062295000.0,171309000,0.8,1191676000.0,937086000.0,0.0,23571000.0,466659000.0,1345965000.0,716057000.0,231898000.0,873946000.0,187609000.0,560725000.0,129532000.0,1862685000.0,113770000,1382844000.0,108779000.0,389416000.0,-2209000.0,1147374000.0,,,,,
2014-08-31,-5468000.0,-664064000.0,43239000.0,529535000.0,0.74,628463000.0,52428000.0,225025000.0,4221000.0,225025000.0,346525000.0,1677000.0,19415000.0,460579000.0,156934000.0,-24506000.0,65251000.0,,-125233000.0,-12050000.0,148078000.0,-33472000.0,4346722000.0,0.0,135032000.0,7512000.0,-107843000.0,-4695000.0,2307248000.0,-72292000.0,408961000.0,23294000.0,-171829000.0,332868000.0,1335000.0,96900000.0,-605000.0,5700000.0,190787000,-5034000.0,225025000.0,-43363000.0,-31987000.0,1984000.0,-260445000.0,900782000.0,-137283000.0,,2712354000.0,1203896000,2039474000.0,161868000,0.73,1193599000.0,755001000.0,0.0,-17338000.0,428576000.0,1476349000.0,695503000.0,242028000.0,946887000.0,-115686000.0,508393000.0,130094000.0,1957353000.0,104839000,1436234000.0,99079000.0,346525000.0,-319000.0,1152318000.0,,,,,
2014-11-30,-1033000.0,-662329000.0,31894000.0,509978000.0,0.52,637932000.0,48476000.0,296527000.0,4499000.0,296527000.0,334889000.0,151358000.0,19404000.0,441556000.0,159880000.0,804000.0,-87859000.0,,180489000.0,-14448000.0,105750000.0,117000.0,4197253000.0,0.0,134966000.0,11693000.0,71502000.0,-4259000.0,2237440000.0,116856000.0,379874000.0,22853000.0,-259267000.0,225025000.0,1337000.0,68164000.0,-18697000.0,10006000.0,148007000,-9274000.0,296527000.0,-5078000.0,-34776000.0,186000.0,92285000.0,935773000.0,166041000.0,,2605775000.0,1071128000,1959813000.0,119054000,0.52,1172307000.0,869502000.0,0.0,-24054000.0,411922000.0,1275875000.0,617185000.0,227238000.0,806773000.0,-18274000.0,453943000.0,130028000.0,1736273000.0,73856000,1390387000.0,69766000.0,334889000.0,6834000.0,1118444000.0,,,,,
2015-02-28,-4108000.0,-656328000.0,-6847000.0,568312000.0,0.2,724116000.0,51015000.0,220390000.0,8353000.0,220390000.0,346171000.0,151531000.0,21493000.0,603398000.0,155125000.0,921000.0,378350000.0,,-31141000.0,-20795000.0,20427000.0,-400530000.0,4571203000.0,0.0,129795000.0,22103000.0,-76137000.0,-26958000.0,2534766000.0,28069000.0,379975000.0,25684000.0,-344576000.0,296527000.0,1332000.0,26156000.0,-1657000.0,6737000.0,41920000,-20725000.0,220390000.0,-413336000.0,-34778000.0,91104000.0,-74057000.0,843647000.0,-51936000.0,,3337410000.0,946367000,2036437000.0,33567000,0.2,1224640000.0,862900000.0,0.0,-41865000.0,706915000.0,1716580000.0,566629000.0,213621000.0,797151000.0,-14019000.0,379738000.0,129795000.0,2474510000.0,27274000,1231650000.0,26156000.0,346171000.0,6611000.0,1201112000.0,,,,,
2015-05-31,-151709000.0,-668658000.0,50413000.0,589646000.0,,674205000.0,90681000.0,174711000.0,753000.0,174711000.0,395359000.0,2038000.0,27303000.0,604130000.0,179245000.0,1879000.0,-245549000.0,,306333000.0,-38070000.0,178998000.0,-33688000.0,4694240000.0,0.0,,-1029000.0,-45679000.0,-3616000.0,2594394000.0,-162863000.0,512165000.0,27345000.0,-394135000.0,220390000.0,1332000.0,125380000.0,-10660000.0,9298000.0,233646000,-26478000.0,174711000.0,-97676000.0,-34638000.0,4228000.0,146697000.0,936996000.0,268263000.0,,3400775000.0,1373159000,2099846000.0,203936000,,1258304000.0,903236000.0,0.0,51909000.0,752821000.0,1654037000.0,773864000.0,219663000.0,956211000.0,131730000.0,599295000.0,,2497539000.0,128585000,1291392000.0,127987000.0,395359000.0,1589000.0,1215688000.0,,,,,
2015-08-31,-18401000.0,-679178000.0,41839000.0,580358000.0,0.76,718969000.0,83137000.0,169458000.0,3193000.0,169458000.0,372854000.0,1578000.0,22460000.0,592322000.0,154005000.0,-1318000.0,4815000.0,,6595000.0,-12035000.0,142201000.0,-5120000.0,4661407000.0,0.0,137307000.0,8843000.0,-5253000.0,-35348000.0,2535900000.0,19112000.0,442606000.0,27867000.0,-427665000.0,174711000.0,1331000.0,98238000.0,2093000.0,6707000.0,192528000,-4775000.0,169458000.0,-10337000.0,-34634000.0,-8207000.0,-122227000.0,1002177000.0,-5440000.0,,3364385000.0,1242526000,2125507000.0,160104000,0.74,1259536000.0,812816000.0,0.0,-52082000.0,737819000.0,1730613000.0,709568000.0,266360000.0,926213000.0,-65285000.0,532958000.0,130045000.0,2551569000.0,100362000,1294402000.0,99815000.0,372854000.0,2750000.0,1202311000.0,,,,,
2015-11-30,-373000.0,-687426000.0,36112000.0,574636000.0,0.63,710282000.0,81402000.0,190609000.0,181000.0,190609000.0,352594000.0,2593000.0,22478000.0,577324000.0,164751000.0,-43000.0,-102753000.0,,160478000.0,-19260000.0,120261000.0,-6886000.0,4518232000.0,0.0,136734000.0,2894000.0,21151000.0,-9944000.0,2506817000.0,98246000.0,396896000.0,27786000.0,-477470000.0,169458000.0,1333000.0,81862000.0,-10290000.0,8817000.0,170525000,-9438000.0,190609000.0,-30085000.0,-36642000.0,7527000.0,42489000.0,1048968000.0,141218000.0,,3226008000.0,1155984000,2011415000.0,141340000,0.62,1262062000.0,738668000.0,0.0,2301000.0,732467000.0,1673471000.0,662050000.0,219697000.0,816814000.0,-40556000.0,493934000.0,129398000.0,2487340000.0,84149000,1290261000.0,83433000.0,352594000.0,2605000.0,1187204000.0,,,,,
2016-02-29,-645000.0,-698902000.0,2613000.0,579651000.0,0.14,739716000.0,65391000.0,220712000.0,978000.0,220712000.0,370913000.0,3405000.0,23140000.0,566977000.0,186623000.0,-1884000.0,17281000.0,,56746000.0,-23524000.0,21906000.0,-16920000.0,4448089000.0,0.0,129068000.0,6985000.0,30103000.0,-21473000.0,2517781000.0,61645000.0,367038000.0,27478000.0,-497754000.0,190609000.0,1328000.0,18266000.0,2996000.0,7476000.0,72524000,-7768000.0,220712000.0,-39152000.0,-36530000.0,-17876000.0,17379000.0,1031020000.0,33222000.0,,3207569000.0,988555000,1930308000.0,42049000,0.14,1278553000.0,782403000.0,0.0,-32056000.0,609952000.0,1749823000.0,575593000.0,282855000.0,746553000.0,-28000000.0,412962000.0,129068000.0,2425166000.0,19293000,1238032000.0,18582000.0,370913000.0,2075000.0,1182293000.0,,,,,
2016-05-31,-127736000.0,-715377000.0,45444000.0,629453000.0,1.16,685818000.0,49791000.0,265152000.0,125000.0,265152000.0,424616000.0,4713000.0,23605000.0,575401000.0,193444000.0,-679000.0,-125448000.0,,250887000.0,-62364000.0,199098000.0,-23066000.0,4776041000.0,0.0,136408000.0,13909000.0,44440000.0,-4581000.0,2637699000.0,-203585000.0,500506000.0,27908000.0,-502047000.0,220712000.0,1329000.0,152895000.0,436000.0,8287000.0,222703000,-10299000.0,265152000.0,-86292000.0,-36544000.0,27955000.0,38794000.0,1147371000.0,188523000.0,,3401293000.0,1426584000,2138342000.0,222578000,1.13,1344830000.0,1002191000.0,0.0,64104000.0,702979000.0,1646332000.0,779390000.0,313204000.0,963092000.0,127883000.0,647194000.0,129017000.0,2399102000.0,153654000,1372335000.0,152895000.0,424616000.0,-4472000.0,1219630000.0,,,,,
