date,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyDepreciationAndAmortization,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyRepurchaseOfCapitalStock
2015-03-31,,412000000,,,182400000.0,,,-9000000,266000000,186000000,,9000000.0,,-69000000,19000000,27000000,,,262000000,505000000,180000000,,70000000,,0.910088,-320000000,,21000000,65000000.0,,,182400000.0,11000000,686000000,,,,35000000,,,,,,166000000,3105000000,-11000000,193000000,,0.910088,,166000000,226000000,,,-23000000,446000000,3000000.0,,-77000000,2291000000,,,84000000,,,,-132000000,814000000,309000000,,-78000000,,,,,,
2015-06-30,,17000000,,,,,,-6000000,446000000,47000000,,-8000000.0,,-88000000,-345000000,-340000000,,,249000000,293000000,-131000000,,69000000,,,-159000000,,37000000,-83000000.0,,,,11000000,286000000,,,,296000000,,,,,,-97000000,2964000000,-13000000,161000000,,,,-97000000,-30000000,,,-207000000,315000000,67000000.0,,-34000000,2352000000,,,82000000,,,,60000000,612000000,319000000,,88000000,,,,,,
2015-09-30,,14000000,,,182400000.0,,,-5000000,315000000,77000000,,33000000.0,,-101000000,41000000,49000000,,,311000000,141000000,206000000,,69000000,,-0.679825,63000000,,14000000,1000000.0,,,182400000.0,9000000,273000000,,,,-9000000,,,,,,-124000000,2679000000,-12000000,210000000,,-0.679825,,-124000000,-63000000,,,-58000000,521000000,0.0,,-113000000,2239000000,,,95000000,,,,-36000000,440000000,299000000,,82000000,,,,,,
2015-12-31,53000000.0,-798000000,,557000000.0,,557000000.0,11042000000.0,-4000000,521000000,92000000,9390000000.0,96000000.0,-12728000000.0,-133000000,123000000,126000000,22118000000.0,,53000000,1000000,36000000,558000000.0,62000000,18000000.0,,-88000000,84000000.0,15000000,103000000.0,1379000000.0,-1600000000.0,,4000000,-550000000,2404000000.0,,2566000000.0,702000000,,2496000000.0,,13847000000.0,16413000000.0,-826000000,2451000000,-27000000,-80000000,4900000000.0,,167000000.0,-826000000,-890000000,233000000.0,0.0,-737000000,557000000,0.0,380000000.0,-160000000,2157000000,405000000.0,152000000.0,92000000,9442000000.0,207000000.0,1472000000.0,-48000000,294000000,293000000,1172000000.0,120000000,,,,,,
2016-03-31,,-190000000,-13000000.0,359000000.0,182400000.0,359000000.0,11155000000.0,-4000000,557000000,18000000,9519000000.0,-23000000.0,,-86000000,247000000,252000000,,,-359000000,-3000000,-198000000,478000000.0,64000000,20000000.0,-1.112939,-443000000,,11000000,,1261000000.0,-1457000000.0,182400000.0,8000000,51000000,2194000000.0,,2481000000.0,90000000,,2389000000.0,,13922000000.0,16403000000.0,-203000000,2129000000,-3000000,-445000000,4583000000.0,-1.112939,1264000000.0,-203000000,-208000000,522000000.0,0.0,-123000000,359000000,-14000000.0,434000000.0,-103000000,1859000000,287000000.0,153000000.0,85000000,9698000000.0,216000000.0,1484000000.0,-152000000,270000000,273000000,1203000000.0,1000000,,,,,,
2016-06-30,,56000000,0.0,332000000.0,182400000.0,332000000.0,10229000000.0,-6000000,359000000,68000000,9569000000.0,-1000000.0,,-86000000,3000000,9000000,,,-92000000,107000000,-27000000,477000000.0,66000000,22000000.0,-0.301535,-318000000,,7000000,,1277000000.0,-1456000000.0,182400000.0,10000000,300000000,3039000000.0,,2386000000.0,91000000,,2382000000.0,,13988000000.0,16374000000.0,-55000000,2323000000,0,-178000000,5421000000.0,-0.301535,1495000000.0,-55000000,-12000000,570000000.0,0.0,15000000,332000000,0.0,426000000.0,60000000,1941000000,291000000.0,155000000.0,90000000,8773000000.0,233000000.0,1376000000.0,19000000,382000000,275000000,1166000000.0,31000000,,,,,,
2016-09-30,,106000000,,241000000.0,182467761.0,241000000.0,11458000000.0,-6000000,332000000,92000000,9609000000.0,-102000000.0,-13536000000.0,-86000000,-35000000,-30000000,23145000000.0,0.0,-99000000,84000000,-91000000,390000000.0,67000000,21000000.0,-0.032883,-186000000,,8000000,34000000.0,1252000000.0,-4478000000.0,182467761.0,6000000,354000000,2206000000.0,,3622000000.0,-60000000,,5973000000.0,-4478000000.0,13683000000.0,17305000000.0,-6000000,2329000000,0,-185000000,8179000000.0,-0.032883,1534000000.0,-6000000,14000000,614000000.0,0.0,89000000,241000000,124000000.0,530000000.0,38000000,1964000000,433000000.0,155000000.0,92000000,6980000000.0,1457000000.0,1362000000.0,-42000000,365000000,281000000,1192000000.0,-7000000,,,,,,
2016-12-31,135000000.0,-123000000,,853000000.0,182688806.0,853000000.0,2000000.0,-18000000,241000000,6000000,9325000000.0,-108000000.0,-13225000000.0,-146000000,-698000000,-686000000,22550000000.0,0.0,239000000,133000000,612000000,746000000.0,46000000,21000000.0,-0.68,30000000,76000000.0,7000000,-52000000.0,1472000000.0,-3761000000.0,182688806.0,4000000,105000000,2842000000.0,,3181000000.0,181000000,,6202000000.0,-104000000.0,13553000000.0,16734000000.0,-125000000,2537000000,0,93000000,9044000000.0,-0.68,1661000000.0,-125000000,-129000000,603000000.0,0.0,-210000000,853000000,1228000000.0,668000000.0,1082000000,2123000000,456000000.0,155000000.0,92000000,5648000000.0,1424000000.0,1358000000.0,181000000,414000000,281000000,1160000000.0,-24000000,,,,,,
2017-03-31,,418000000,,804000000.0,186303547.0,804000000.0,2000000.0,-5000000,853000000,110000000,9428000000.0,7000000.0,-13642000000.0,-71000000,-260000000,-277000000,23070000000.0,,74000000,354000000,-49000000,568000000.0,26000000,20000000.0,1.23,-369000000,,7000000,23000000.0,1434000000.0,-3800000000.0,183816083.0,7000000,623000000,2623000000.0,-238000000.0,3404000000.0,19000000,,6290000000.0,121000000.0,13672000000.0,17076000000.0,225000000,2655000000,-25000000,3000000,8913000000.0,1.21,1680000000.0,225000000,308000000,642000000.0,0.0,90000000,804000000,227000000.0,708000000.0,131000000,2043000000,425000000.0,,72000000,5876000000.0,1431000000.0,1393000000.0,-45000000,612000000,258000000,1294000000.0,-102000000,,,,,,
2017-06-30,,237000000,,954000000.0,186385250.0,954000000.0,2000000.0,-5000000,804000000,99000000,9237000000.0,-82000000.0,-13734000000.0,-88000000,-78000000,-75000000,22971000000.0,,311000000,280000000,150000000,492000000.0,25000000,19000000.0,0.41,-97000000,,8000000,27000000.0,1508000000.0,-3803000000.0,184240686.0,7000000,452000000,2608000000.0,,3583000000.0,0,,6122000000.0,196000000.0,13346000000.0,16929000000.0,75000000,2859000000,-11000000,223000000,8730000000.0,0.4,1688000000.0,75000000,138000000,616000000.0,0.0,-18000000,954000000,12000000.0,789000000.0,-87000000,2309000000,445000000.0,,72000000,5954000000.0,1418000000.0,1378000000.0,64000000,550000000,270000000,1287000000.0,16000000,,,,,,
