date,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2000-06-30,,,,,,0.24,71900000,,,,,71900000,,,,193600000.0,,,,,192400000,,,,,109000000,,25000000,,,,,71900000,260900000,,,,193600000.0,,46900000,,46900000,,,11500000,,,,,0,68500000,,,0.24,,,120500000,,,,,,,,,,,,,,,,46900000,,,,
2001-06-30,,10900000.0,,131500000.0,,0.22,68900000,,37800000.0,,67000000.0,68900000,,,,193600000.0,,246300000.0,,,212000000,,398100000.0,452100000.0,,125700000,,25700000,,0.0,,131500000.0,68900000,294300000,,,,193600000.0,60800000.0,43200000,,43200000,,,17400000,,155400000.0,168700000.0,,0,82300000,158900000.0,,0.22,,,143100000,,,,,,,,192300000.0,,,,,,398100000.0,644400000.0,43200000,,,,
2001-09-30,,9300000.0,,346100000.0,,0.14,50800000,9900000.0,0.0,-35600000.0,48600000.0,56500000,0.0,,-12900000.0,193700000.0,,23500000.0,,-21000000.0,207800000,,388600000.0,501300000.0,,138700000,,20400000,,326000000.0,12300000.0,138300000.0,47800000,286700000,-12900000.0,28000000.0,-207800000.0,195000000.0,21700000.0,27400000,23400000.0,27400000,8300000.0,67700000.0,18300000,,19600000.0,187600000.0,,0,78900000,170400000.0,191100000.0,0.14,,258300000.0,157000000,,,23400000.0,5700000.0,23400000.0,,1900000.0,236800000.0,,,150000000.0,3000000.0,-4600000.0,714600000.0,738100000.0,27400000,-90300000.0,,,
2001-12-31,,16800000.0,,356100000.0,,,72000000,,0.0,14300000.0,67400000.0,77200000,0.0,18400000.0,-16300000.0,,,78700000.0,,-12800000.0,229100000,,373100000.0,508600000.0,,139200000,,24400000,,293200000.0,55600000.0,148200000.0,67600000,311600000,-16300000.0,-40700000.0,-207900000.0,,21400000.0,43200000,-5000000.0,43200000,51600000.0,79300000.0,17900000,,155700000.0,200000000.0,,0,82500000,,181700000.0,,,213900000.0,157100000,,0.0,18400000.0,5200000.0,18400000.0,23400000.0,1900000.0,236400000.0,,,150000000.0,4400000.0,35300000.0,666300000.0,745000000.0,43200000,-100000.0,,,
2002-03-31,,12400000.0,,353200000.0,,0.28,88300000,20300000.0,0.0,-47900000.0,61200000.0,93800000,-2000000.0,20800000.0,-8500000.0,194000000.0,,133900000.0,,-21900000.0,238300000,,380300000.0,553900000.0,,130900000,,30100000,,276000000.0,110200000.0,149500000.0,84700000,319100000,-6500000.0,-21400000.0,-203700000.0,195700000.0,20200000.0,54600000,2400000.0,54600000,32500000.0,83800000.0,19100000,4800000.0,169100000.0,219800000.0,,0,80800000,,196200000.0,0.28,,192200000.0,150000000,,,20800000.0,5500000.0,20800000.0,18400000.0,1900000.0,236300000.0,,,150000000.0,3600000.0,26000000.0,656300000.0,790200000.0,54600000,-6900000.0,,,
2002-06-30,,13000000.0,,360800000.0,,0.34,103400000,-1600000.0,0.0,-22000000.0,65600000.0,110200000,0.0,26400000.0,-8500000.0,194300000.0,,205300000.0,,-19600000.0,260400000,,398900000.0,609900000.0,,137800000,,34200000,,250900000.0,176100000.0,153300000.0,100100000,345600000,-8500000.0,-36400000.0,-207500000.0,196000000.0,20500000.0,65900000,5600000.0,65900000,49100000.0,88100000.0,19200000,2800000.0,183300000.0,241100000.0,,0,85200000,,218900000.0,0.34,,162800000.0,157000000,,,26400000.0,6800000.0,26400000.0,20800000.0,1900000.0,245200000.0,,,150000000.0,3300000.0,40600000.0,649800000.0,855100000.0,65900000,-2000000.0,,,
2002-09-30,,14200000.0,,367900000.0,,0.33,98100000,3300000.0,0.0,-19400000.0,57300000.0,104500000,0.0,20800000.0,-8700000.0,194700000.0,,286400000.0,,-16000000.0,252400000,,392700000.0,612500000.0,,133700000,,30000000,,184300000.0,241200000.0,154900000.0,95100000,337500000,-8700000.0,-52100000.0,-213000000.0,196500000.0,19800000.0,65100000,-5600000.0,65100000,55400000.0,85400000.0,20600000,10300000.0,185400000.0,253200000.0,,0,85100000,,204700000.0,0.33,,98900000.0,154300000,,,20800000.0,6400000.0,20800000.0,26400000.0,2000000.0,250900000.0,,,150000000.0,3000000.0,46700000.0,577000000.0,863400000.0,65100000,0.0,,,
2002-12-31,,14000000.0,,375900000.0,,,111100000,,0.0,-3500000.0,59800000.0,117700000,0.0,15700000.0,-10000000.0,,,366300000.0,,-2200000.0,276500000,,400800000.0,612400000.0,,143600000,,36800000,,91800000.0,313400000.0,157800000.0,109000000,370200000,-10000000.0,-79000000.0,-218100000.0,,18600000.0,72200000,-5100000.0,72200000,83200000.0,,21800000,6000000.0,184300000.0,257600000.0,,0,93700000,,214800000.0,,,,165400000,,,15700000.0,6600000.0,15700000.0,20800000.0,2000000.0,246500000.0,,,156700000.0,2100000.0,73200000.0,492600000.0,858900000.0,72200000,8900000.0,,,
2003-03-31,,16200000.0,,656700000.0,,0.69,122000000,59100000.0,0.0,-20100000.0,64800000.0,141600000,0.0,33400000.0,-33000000.0,195700000.0,,542700000.0,,-7400000.0,293200000,,342700000.0,574700000.0,,149800000,,40400000,,93400000.0,448700000.0,311000000.0,120600000,390100000,-33000000.0,-54300000.0,-345700000.0,198000000.0,18500000.0,80200000,17700000.0,135300000,104800000.0,,21400000,25300000.0,201000000.0,265900000.0,,0,96900000,,237400000.0,0.68,,,171200000,,,33400000.0,19600000.0,33400000.0,15700000.0,2000000.0,404100000.0,,,76900000.0,1400000.0,71800000.0,436100000.0,978800000.0,135300000,0.0,,,
2003-06-30,,21800000.0,,690100000.0,,0.45,134700000,,0.0,-10100000.0,67900000.0,156500000,-66000000.0,115000000.0,-46500000.0,196500000.0,,648200000.0,,-10700000.0,312700000,,398200000.0,754800000.0,,155300000,,44800000,,96400000.0,537700000.0,319900000.0,133800000,411100000,19500000.0,5400000.0,-370200000.0,199100000.0,21500000.0,89000000,81600000.0,89000000,122100000.0,,22700000,8100000.0,254300000.0,280800000.0,,0,98400000,,259100000.0,0.45,,,178000000,11900000.0,,115000000.0,21800000.0,115000000.0,33400000.0,2000000.0,388000000.0,,,76000000.0,900000.0,141600000.0,494600000.0,1142800000.0,89000000,0.0,,,
