date,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredRevenue
1998-03-31,4574000000,,722000000,526000000,0,341269841.0,-155000000,215000000,,1212000000,18657000000,-418000000.0,-56000000.0,5376000000.0,,-68000000,10812000000,9801000000,97000000.0,-664000000,4441000000.0,,,0.63,10535000000,,,-42000000.0,,3362000000,-230000000,5990000000,215000000,215000000,346000000,,7845000000,6294000000.0,1069000000.0,4908000000.0,-132000000,179000000,2059000000,20000000,11000000,765000000,,-2510000000.0,16525000000,786000000.0,,36000000,-574000000,341269841.0,686000000,358000000,,143000000,2866000000,144000000,4040000000,33000000.0,19391000000,,29192000000,-706000000,,,196000000,1864000000,,296000000,,332000000,0.63,332000000,
1998-06-30,5077800000,,809800000,612800000,0,341772152.0,212000000,270000000,,1335800000,18420000000,345000000.0,-38000000.0,5206000000.0,,-68000000,10518000000,9701000000,,-285000000,789000000.0,,,0.8,10707000000,,,42000000.0,,3742000000,-46000000,5994000000,270000000,270000000,372000000,,7902000000,6467000000.0,1064000000.0,4430000000.0,-217000000,186000000,2031000000,0,19000000,-562000000,,-2393000000.0,16613000000,844000000.0,,-15000000,335000000,337500000.0,723000000,446000000,,176000000,2813000000,154000000,4264000000,12000000.0,19426000000,,29127000000,118000000,,,197000000,1824000000,,0,,317000000,0.79,317000000,
1998-09-30,4436000000,,583000000,388000000,0,366666667.0,422000000,11000000,,1038000000,18133000000,-37000000.0,-92000000.0,4256000000.0,,-67000000,10239000000,9634000000,,-1029000000,1081000000.0,,,0.03,10579000000,,,372000000.0,,3398000000,-275000000,5980000000,11000000,11000000,321000000,,7894000000,6303000000.0,1045000000.0,4053000000.0,-25000000,186000000,2285000000,-20000000,-155000000,-548000000,,-1982000000.0,16804000000,869000000.0,,-206000000,-80000000,366666667.0,650000000,47000000,,36000000,2274000000,134000000,4529000000,23000000.0,19078000000,,28712000000,-105000000,,,195000000,1657000000,,0,,111000000,0.03,111000000,
1998-12-31,5442000000,,682000000,509000000,0,,312000000,369000000,,1457000000,17083000000,,-61000000.0,4475000000.0,,-68000000,6680000000,8637000000,,-1059000000,4888000000.0,,,,10856000000,618000000.0,,-424000000.0,,3985000000,383000000,8163000000,369000000,369000000,625000000,,10403000000,5887000000.0,1679000000.0,1692000000.0,-231000000,187000000,1711000000,0,294000000,-1141000000,,-2200000000.0,2596000000,561000000.0,,310000000,1139000000,,948000000,616000000,,247000000,2275000000,150000000,2897000000,35000000.0,19302000000,,27939000000,908000000,,14431000000.0,173000000,2091000000,,0,,421000000,,421000000,
1999-03-31,4903000000,,758000000,580000000,0,341818182.0,-175000000,188000000,,1211000000,17314000000,-38000000.0,-82000000.0,4457000000.0,,-67000000,6864000000,8883000000,54000000.0,-1294000000,5009000000.0,,,0.56,10937000000,,,-34000000.0,,3692000000,-119000000,8161000000,241000000,188000000,342000000,,10450000000,6109000000.0,1702000000.0,2482000000.0,-141000000,177000000,1831000000,0,-6000000,724000000,,-2200000000.0,2777000000,587000000.0,,-363000000,-912000000,335714286.0,631000000,397000000,,156000000,2257000000,111000000,2566000000,31000000.0,19368000000,,28251000000,-1053000000,,14334000000.0,178000000,1816000000,,421000000,,58000000,0.55,58000000,
1999-06-30,5202000000,,817000000,650000000,0,341860465.0,-69000000,294000000,,1354000000,17527000000,9000000.0,-65000000.0,4475000000.0,,-67000000,7440000000,9416000000,80000000.0,-494000000,5370000000.0,,,0.87,11199000000,,,-31000000.0,,3848000000,-193000000,7790000000,294000000,294000000,402000000,,10087000000,6426000000.0,1697000000.0,3016000000.0,-92000000,176000000,1969000000,0,11000000,19000000,,-2200000000.0,2807000000,600000000.0,,50000000,100000000,337931034.0,704000000,485000000,,191000000,2275000000,135000000,2503000000,103000000.0,19310000000,,28726000000,8000000,,14228000000.0,167000000,1921000000,,0,,108000000,0.86,108000000,
1999-09-30,4728000000,,117000000,-60000000,113000000,338000000.0,42000000,-169000000,,620000000,17534000000,,-3000000.0,4511000000.0,,-67000000,7890000000,9220000000,29000000.0,-523000000,5000000000.0,,,-0.5,11010000000,,,155000000.0,,4108000000,-696000000,7296000000,-169000000,-169000000,388000000,,9644000000,936000000.0,1724000000.0,3939000000.0,-59000000,180000000,7386000000,0,-3000000,486000000,,-2200000000.0,2863000000,624000000.0,,5000000,-523000000,338000000.0,680000000,-243000000,,-74000000,2311000000,115000000,2361000000,29000000.0,19324000000,,28544000000,-582000000,,14150000000.0,177000000,1590000000,6010000000.0,0,,113000000,-0.5,113000000,
1999-12-31,5008000000,,559000000,357000000,230000000,,-198000000,91000000,,1124000000,17151000000,,0.0,4721000000.0,,-68000000,7886000000,8931000000,187000000.0,539000000,4963000000.0,,,,10959000000,6066000000.0,,-327000000.0,,3884000000,830000000,7298000000,91000000,91000000,418000000,,9265000000,685000000.0,1414000000.0,4071000000.0,-240000000,180000000,1950000000,0,12000000,-703000000,,-2304000000.0,2728000000,553000000.0,,117000000,1018000000,,767000000,189000000,,98000000,2417000000,147000000,2254000000,1000000.0,19179000000,,28110000000,778000000,,14034000000.0,202000000,1561000000,-69000000.0,113000000,3000000.0,230000000,,230000000,
2000-03-31,4231000000,,487000000,316000000,181000000,338735000.0,-14000000,-181000000,,921000000,16270000000,,,4755000000.0,,-68000000,5373000000,8187000000,60000000.0,-840000000,4714000000.0,,,-0.53,10732000000,,,-34000000.0,,3310000000,-24000000,9042000000,80000000,-181000000,311000000,,10897000000,789000000.0,1348000000.0,1109000000.0,-140000000,180000000,1935000000,0,5000000,314000000,,-2304000000.0,2802000000,507000000.0,,-49000000,-349000000,338260000.0,605000000,141000000,,61000000,2451000000,123000000,3150000000,,18815000000,,27002000000,-489000000,,13562000000.0,171000000,1114000000,-55000000.0,230000000,3000000.0,181000000,-0.53,181000000,
2000-06-30,4124000000,,538000000,368000000,389000000,340017000.0,-70000000,49000000,,1005000000,16477000000,,,4769000000.0,,-68000000,5605000000,8357000000,-12000000.0,-67000000,4694000000.0,,,0.14,10687000000,,,-58000000.0,,3119000000,-42000000,9045000000,95000000,49000000,317000000,,10872000000,925000000.0,1318000000.0,1430000000.0,-51000000,185000000,1945000000,1000000,-14000000,257000000,,-2304000000.0,2873000000,509000000.0,,208000000,21000000,338214000.0,637000000,169000000,,74000000,2465000000,150000000,3173000000,,18807000000,,27164000000,-30000000,,13469000000.0,170000000,1002000000,-80000000.0,181000000,3000000.0,389000000,0.14,389000000,
