date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyChangeInAccountPayable,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances
2015-02-28,,-140786000,,19822000,,-30826000,0.099593,58105000,,,811000,298255000,,-96533000,23312000,-21152000,,385488987.0,,,129587000,-95525000,,,37629000,,,,-48092000,,,,3600000,107892000,,385488987.0,425282000,913000,0.099593,,111783000,1055075000,,,,16477000,,,,,,26475000,38392000,30939000,,,,,38283000,38392000,-3949000.0,-106432000,,537065000,,425282000,,,-25101000,202730000,,518010000,,,,,
2015-05-31,,-649111000,,7887000,,-9516000,0.030328,19339000,,,-3291000,202730000,,29129000,21913000,-22011000,,385488987.0,,,44073000,81904000,,,64935000,,,,34680000,,,,4248000,65248000,,385488987.0,449662000,1569000,0.030328,,50569000,1012180000,,,,42924000,,,,,,23996000,11691000,-12357000,,,,,11452000,11691000,11366000.0,20694000,,500231000,,449662000,,,-10896000,284634000,,511949000,,,,,
2015-08-31,,-33542000,,30858000,,-12770000,0.150912,89319000,,-2020000.0,61000,284634000,,4544000,17138000,-23242000,,385488987.0,,,-111401000,-12079000,,,7767000,,,,-91731000,,,,4979000,131434000,-73000.0,385488987.0,454530000,554000,0.150912,,118827000,1142012000,,,,-15475000,,,,,,24977000,58175000,-60371000,,,,,58461000,58175000,7667000.0,50529000,,573357000,0.0,454530000,,,-17595000,272555000,,568655000,,,,,
2015-11-30,-811013000.0,-81595000,318571000.0,41940000,318571000.0,-1647000,,143635000,390829000.0,,-2203000,272555000,106386000.0,-32035000,18851000,-38174000,147603000.0,,375000.0,43350000.0,-58199000,46016000,20141000.0,1201842000.0,108001000,705668000.0,,6567000.0,-68898000,,,-379066000.0,2310000,189082000,-1881000.0,,494389000,-1461000,,1528149000.0,163939000,1285226000,846167000.0,238309000.0,1637582000.0,69827000,2483749000.0,,1356246000.0,,2884395000.0,26596000,101178000,70355000,104523000.0,56987000.0,1004938000.0,235041000.0,101695000,101178000,8662000.0,-45015000,399051000.0,658328000,0.0,494389000,498196000.0,606859000.0,-27241000,318571000,433547000.0,626898000,,,,,
2016-02-29,-825536000.0,-161544000,271101000.0,33175000,271101000.0,-4276000,0.170786,99466000,386272000.0,,663000,318571000,93890000.0,-73571000,14902000,-30746000,76173000.0,385488987.0,375000.0,43170000.0,104777000,-47470000,15736000.0,1211808000.0,46078000,-386995000.0,,17190000.0,-44951000,,,705985000.0,-1053000,139479000,,385488987.0,441163000,620000,0.170786,1509422000.0,118435000,1056500000,826921000.0,267033000.0,1613138000.0,15332000,2440059000.0,,1328809000.0,,2838231000.0,25111000,65836000,-134923000,109410000.0,57140000.0,1005243000.0,235541000.0,66291000,65836000,12988000.0,49462000,395903000.0,559598000,,441163000,388620000.0,740291000.0,-17758000,271101000,450789000.0,496902000,,,,,
2016-05-31,-826480000.0,-24416000,359540000.0,10862000,359540000.0,4205000,0.079704,41922000,383260000.0,,2831000,271101000,93450000.0,24521000,20411000,-16485000,160686000.0,385488987.0,375000.0,43104000.0,52514000,88439000,10853000.0,1209740000.0,57226000,-378647000.0,,23571000.0,-7216000,,,741217000.0,3029000,87718000,,385488987.0,459351000,636000,0.079704,1585203000.0,57847000,1011587000,865867000.0,282165000.0,1612196000.0,40741000,2478063000.0,,1332369000.0,,2917572000.0,25385000,30725000,-50883000,100495000.0,61542000.0,1005565000.0,236065000.0,31060000,30725000,21330000.0,-8070000,436793000.0,517198000,,459351000,334796000.0,790372000.0,4798000,359540000,388592000.0,494389000,,,,,
2016-08-31,-845158000.0,-79665000,271640000.0,32713000,271640000.0,4938000,0.255047,130417000,384501000.0,0.0,-303000,359540000,95360000.0,-66607000,19170000,-27566000,101026000.0,385488987.0,375000.0,43033000.0,-116957000,-87900000,8603000.0,1229659000.0,-485000,-377093000.0,,18531000.0,-129008000,,,834488000.0,4069000,175057000,-9000.0,385488987.0,448525000,257000,0.255047,1673857000.0,144281000,1185111000,836436000.0,269737000.0,1609955000.0,-28051000,2446391000.0,,1315516000.0,,2989373000.0,25470000,98318000,-69654000,105809000.0,60930000.0,1005902000.0,236066000.0,97704000,98318000,4380000.0,35963000,540599000.0,592806000,0.0,448525000,445238000.0,851170000.0,-23186000,271640000,438539000.0,592305000,,,,,
2016-11-30,-856588000.0,-71235000,375563000.0,39301000,375563000.0,11668000,,135455000,393605000.0,47000.0,54000,271640000,107017000.0,-57892000,18687000,-28153000,38922000.0,,375000.0,42946000.0,-34184000,103923000,4878000.0,1250193000.0,203731000,935049000.0,,9652000.0,22451000,,,-427314000.0,3288000,182054000,-1161000.0,,517454000,1063000,,1686147000.0,141956000,1299541000,761743000.0,270293000.0,1634232000.0,175578000,2395975000.0,,1300949000.0,,2987096000.0,27912000,96173000,134081000,115385000.0,63796000.0,1006256000.0,234280000.0,96154000,96173000,-4096000.0,-34315000,588901000.0,659410000,0.0,517454000,479018000.0,716181000.0,-32202000,375563000,437998000.0,640131000,,,,,
2017-02-28,-883472000.0,-16062000,368623000.0,28693000,368623000.0,-209000,0.156017,88814000,380389000.0,,-1158000,375563000,108598000.0,-42502000,19934000,-25073000,34150000.0,385488987.0,375000.0,42929000.0,69935000,-6940000,2243000.0,1263861000.0,49049000,-417558000.0,,13260000.0,-42341000,,,921943000.0,2350000,136134000,-193000.0,385488987.0,456213000,1554000,0.156017,1659181000.0,108340000,1101991000,731783000.0,256738000.0,1605366000.0,23976000,2337149000.0,,1271134000.0,,2930315000.0,27386000,60143000,-53432000,116642000.0,58724000.0,1006625000.0,234518000.0,60121000,60143000,9076000.0,4611000,590957000.0,564553000,-35000000.0,456213000,406689000.0,767227000.0,-15997000,368623000,425392000.0,537438000,,,,,
2017-05-31,-908045000.0,-532906000,437517000.0,-13847000,437517000.0,-41574000,0.045438,3876000,390496000.0,,-34282000,368623000,110933000.0,-69976000,17895000,-27816000,31582000.0,385488987.0,376000.0,42922000.0,102447000,68894000,1715000.0,1298541000.0,168037000,-412686000.0,,1327000.0,66907000,,,942373000.0,3312000,50214000,-11269000.0,385488987.0,495741000,2025000,0.045438,1641600000.0,62651000,1067855000,733580000.0,274455000.0,1613757000.0,140221000,2347337000.0,,1313557000.0,,2955157000.0,28443000,17516000,-1291000,114112000.0,69699000.0,1007285000.0,235971000.0,17723000,17516000,-4998000.0,-12307000,605387000.0,558392000,0.0,495741000,309392000.0,780579000.0,-32814000,437517000,424501000.0,509463000,,,,,
