date,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2001-03-31,-953000000,37732000000,1560000000,55000000,,0.22,-2227000000,4100000000,8367000000,13088000000.0,1092000000,-201000000,120000000,1517000000,,163000000,1455000000.0,-194000000,,,30299000000,1318000000.0,,610000000,14321000000,,7432000000,2768000000,7433000000,13000000.0,,290000000,-3744000000.0,4721000000,,3854000000,519000000,164000000,,2000000,326000000,1455000000.0,326000000,-174000000,-28000000,0,9344000000,1467000000,3257000000,284000000,24111000000,1850000000,4267000000,0.22,3008000000,3530000000,3289000000,0,-172000000,191000000,52053000000,326000000,163000000,163000000,44621000000,493000000,482000000,31423000000.0,425000000,,,,,,,,
2001-06-30,76000000,28750000000,1567000000,28000000,,0.33,-2439000000,4300000000,8692000000,13000000000.0,1365000000,14000000,-385000000,1775000000,,187000000,1530303030.0,-321000000,,,20630000000,1792000000.0,,914000000,23008000000,,7387000000,2695000000,8120000000,8000000.0,,215000000,-3854000000.0,4712000000,,3837000000,1149000000,-277000000,,626000000,505000000,1530303030.0,505000000,-274000000,24000000,0,9146000000,1682000000,3168000000,409000000,14236000000,2903000000,4392000000,0.33,2935000000,3300000000,3212000000,0,352000000,163000000,51758000000,505000000,187000000,187000000,44371000000,350000000,451000000,31388000000.0,410000000,,,,,,,,
2001-09-30,-146000000,28516000000,1558000000,147000000,,0.29,-2417000000,3832000000,8056000000,13078000000.0,1176000000,-132000000,-146000000,1565000000,,175000000,1734482759.0,-208000000,,,20097000000,2069000000.0,31472000000.0,920000000,23307000000,,7348000000,2417000000,8419000000,45000000.0,,232000000,-3988000000.0,4783000000,,3913000000,-314000000,-587000000,-8000000.0,784000000,503000000,1734482759.0,503000000,-243000000,-12000000,0,9090000000,1660000000,3273000000,417000000,13654000000,2709000000,4224000000,0.29,2656000000,3436000000,3121000000,0,541000000,187000000,51823000000,503000000,175000000,175000000,44475000000,716000000,256000000,,389000000,,,,,,,,
2001-12-31,426000000,32320000000,1897000000,184000000,,,-2568000000,4112000000,8760000000,13272000000.0,1251000000,212000000,324000000,1669000000,,162000000,,-499000000,,,23445000000,2391000000.0,,1003000000,23478000000,,7006000000,2618000000,8875000000,-14000000.0,,221000000,-4163000000.0,5280000000,,3726000000,-1579000000,-1431000000,-10000000.0,1916000000,548000000,,548000000,-410000000,-13000000,0,9109000000,5031000000,3026000000,455000000,13134000000,0,4648000000,,2861000000,3877000000,3131000000,0,1506000000,175000000,55798000000,548000000,162000000,162000000,48792000000,2873000000,263000000,35957000000.0,418000000,,,,,,,,
2002-03-31,-589000000,31960000000,1665000000,-11000000,,0.4,-2637000000,2864000000,7147000000,13390000000.0,1304000000,-201000000,-76000000,1476000000,,152000000,1732500000.0,-171000000,,-225000000.0,22222000000,2859000000.0,,1074000000,23877000000,,7311000000,1558000000,9738000000,5000000.0,,248000000,-4296000000.0,5405000000,,3488000000,0,-54000000,,216000000,693000000,1732500000.0,693000000,-195000000,-10000000,0,9094000000,5013000000,3309000000,381000000,11804000000,560000000,4283000000,0.4,1560000000,3345000000,3195000000,0,21000000,162000000,55837000000,693000000,152000000,152000000,48526000000,4168000000,230000000,35944000000.0,172000000,,,,,,,,
2002-06-30,-269000000,31710000000,1699000000,85000000,,0.52,-2350000000,3127000000,7513000000,13847000000.0,1619000000,-4000000,-191000000,1791000000,,140000000,1732692308.0,-234000000,,-226000000.0,23081000000,3534000000.0,,1397000000,24839000000,,7410000000,1506000000,8629000000,12000000.0,,263000000,-4559000000.0,5450000000,,3536000000,0,-709000000,,929000000,901000000,1732692308.0,901000000,-248000000,-12000000,-1000000,9288000000,5083000000,3376000000,496000000,12548000000,0,4386000000,0.52,1508000000,3328000000,3266000000,0,681000000,152000000,56549000000,901000000,140000000,140000000,49139000000,3050000000,221000000,36315000000.0,172000000,,,,,,,,
2002-09-30,1000000,31433000000,1709000000,41000000,,0.5,-2384000000,2971000000,7216000000,14073000000.0,1560000000,-230000000,-8000000,1738000000,,127000000,1738000000.0,-363000000,,-225000000.0,23386000000,4143000000.0,,1350000000,25329000000,,7431000000,1410000000,8047000000,7000000.0,,255000000,-4706000000.0,5409000000,,3601000000,2160000000,-728000000,,1081000000,869000000,1738000000.0,869000000,-314000000,-13000000,0,9367000000,5106000000,3588000000,480000000,12871000000,2311000000,4245000000,0.5,1411000000,3429000000,3138000000,0,767000000,140000000,56762000000,869000000,127000000,127000000,49331000000,598000000,210000000,36363000000.0,178000000,,,,,,,,
2002-12-31,328000000,31268000000,1939000000,163000000,,,-2467000000,3041000000,7847000000,14450000000.0,1773000000,215000000,-37000000,1967000000,,215000000,,-284000000,-93000000.0,-260000000.0,24099000000,4814000000.0,,1445000000,25832000000,,7456000000,1235000000,7169000000,11000000.0,,232000000,-4891000000.0,5695000000,,3665000000,-2237000000,-1125000000,,1494000000,931000000,,931000000,-427000000,88000000,0,9559000000,5428000000,3382000000,512000000,12976000000,0,4806000000,,1268000000,3400000000,3116000000,0,1067000000,127000000,57100000000,931000000,215000000,215000000,49644000000,1467000000,193000000,36420000000.0,194000000,,,,,,,,
2003-03-31,-735000000,31467000000,1661000000,8000000,,0.49,-2342000000,3010000000,7359000000,14839000000.0,1488000000,-310000000,1000000,1681000000,,167000000,1730612245.0,-222000000,-79000000.0,-259000000.0,23637000000,5221000000.0,36615000000.0,1309000000,26476000000,,7943000000,1520000000,7830000000,3000000.0,,264000000,-5152000000.0,5691000000,,3698000000,0,-140000000,,315000000,848000000,1730612245.0,848000000,-220000000,-48000000,0,9687000000,5433000000,3682000000,460000000,12513000000,0,4349000000,0.49,1522000000,3285000000,3313000000,0,95000000,215000000,57943000000,848000000,167000000,167000000,50000000000,2219000000,179000000,,193000000,,,,,,,,
2003-06-30,64000000,32324000000,1608000000,24000000,,0.55,-1967000000,3146000000,7841000000,15469000000.0,1628000000,207000000,32000000,1823000000,,1506000000,1725454545.0,-339000000,-7000000.0,-261000000.0,22167000000,5926000000.0,,1463000000,27557000000,,9206000000,1515000000,10157000000,16000000.0,,276000000,-5451000000.0,5734000000,,3781000000,-347000000,408000000,,1264000000,949000000,1725454545.0,949000000,-277000000,1339000000,0,10018000000,5493000000,3583000000,514000000,10940000000,2135000000,4695000000,0.55,1518000000,3361000000,3315000000,0,987000000,167000000,59881000000,949000000,1506000000,1506000000,50675000000,2436000000,164000000,36876000000.0,195000000,,,,,,,,
