date,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1990-03-31,1900000,34000000,,,,,,,34000000,,,,,,,,0.01,,,34000000,,,,,,,,,,,,190000000.0,,,,1900000,1900000,,,,,,,,,0.01,,,,,,,,,,,,,,,,190000000.0,,,,,,,,,,,,,,,
1990-06-30,4400000,51000000,,,,,,,51000000,,,,,,,,0.02,,,51000000,,,,,,,,,,,,220000000.0,,,,4400000,4400000,,,,,,,,,0.02,,,,,,,,,,,,,,,,220000000.0,,,,,,,,,,,,,,,
1990-09-30,5900000,55100000,,,,,,,55100000,,,,,,,,0.03,,,55100000,,,,,,,,,,,,196666667.0,,,,5900000,5900000,,,,,,,,,0.03,,,,,,,,,,,,,,,,196666667.0,,,,,,,,,,,,,,,
1990-12-31,3300000,50000000,,,,,,,50000000,,,,,,,,,,,50000000,,,,,,,,,,,,,,,,3300000,3300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-31,8700000,72900000,,,,,,,72900000,,,,,,,,0.04,,,72900000,,,,,,,,,,,,217500000.0,,,,8700000,8700000,,,,,,,,,0.04,,,,,,,,,,,,,,,,217500000.0,,,,,,,,,,,,,,,
1991-06-30,10000000,81300000,,,,,,,81300000,,,,,,,,0.05,,,81300000,,,,,,,,,,,,200000000.0,,,,10000000,10000000,,,,,,,,,0.05,,,,,,,,,,,,,,,,200000000.0,,,,,,,,,,,,,,,
1991-09-30,13600000,92300000,,,,,,,92300000,,,,,,,,0.05,,,92300000,,,,,,,,,,,,272000000.0,,,,13600000,13600000,,,,,,,,,0.05,,,,,,,,,,,,,,,,272000000.0,,,,,,,,,,,,,,,
1991-12-31,10400000,87000000,,,,,,,87000000,,,,,,,,,,,87000000,,,,,,,,,,,,,,,,10400000,10400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31,12000000,89000000,,,,,,,89000000,,,,,,,,0.05,,,89000000,,,,,,,,,,,,240000000.0,,,,12000000,12000000,,,,,,,,,0.05,,,,,,,,,,,,,,,,240000000.0,,,,,,,,,,,,,,,
1992-06-30,11900000,87200000,,,,,,,87200000,,,,,,,,0.05,,,87200000,,,,,,,,,,,,238000000.0,,,,11900000,11900000,,,,,,,,,0.05,,,,,,,,,,,,,,,,238000000.0,,,,,,,,,,,,,,,
