date,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyInventory,quarterlyChangeInAccountPayable
2017-03-31,306676000.0,32895000,68300000,26481000.0,26068000.0,680218000.0,77980000.0,1235664000.0,-0.08,,311748000.0,223333000.0,-17461000,18485000,-105021000,6000,,6914000.0,-492000,196882000,-214178000,0.0,127014000,,382056000.0,67815000,-17461000,57240000.0,-17461000,8513000.0,221860000.0,,,150077000,223333000.0,2155000.0,0.0,853608000.0,196882000.0,258261000,379555000.0,,134992000.0,0.0,13514000.0,22422000.0,336162000,503558000.0,-0.08,0.0,159909000,-23063000,45190000.0,39808000,10884000.0,-4623000,-49200000.0,1535000,72923000,-1040000,5250000.0,94390000.0,0.0,-22521000,555446000.0,304076000.0,-362795000.0,-5060000,-2521000.0,82262000,-4030000,-139280000,37782000,,,,
2017-06-30,305499000.0,36805000,44464000,26807000.0,24761000.0,671370000.0,62943000.0,1283858000.0,-0.09,,311900000.0,225805000.0,-20708000,23766000,-85155000,24000,,4969000.0,-536000,244420000,-5164000,0.0,137526000,,389810000.0,79091000,-20708000,43950000.0,-20708000,9269000.0,245306000.0,,,169782000,225805000.0,-295000.0,-2000.0,894048000.0,244420000.0,86126000,437346000.0,,120789000.0,4388000.0,73192000.0,22726000.0,196882000,549919000.0,-0.09,0.0,174331000,-32256000,41173000.0,21808000,10691000.0,-6133000,-57093000.0,2035000,50597000,-1048000,2207000.0,98266000.0,0.0,-31768000,612488000.0,326867000.0,0.0,-11060000,-23229000.0,90691000,-7978000,47538000,41337000,,,,
2017-09-30,307669000.0,40090000,62685000,30509000.0,35489000.0,666686000.0,66816000.0,1343546000.0,-0.06,,311967000.0,228156000.0,-13994000,20580000,-102341000,9000,,5392000.0,-665000,305871000,-4885000,0.0,153728000,,414177000.0,81191000,-13994000,43920000.0,-13994000,9202000.0,264329000.0,,,176053000,228156000.0,-3719000.0,-132000.0,929369000.0,305871000.0,100152000,485018000.0,,106547000.0,0.0,15812000.0,22905000.0,244420000,613540000.0,-0.06,,193818000,-22325000,38944000.0,23406000,13873000.0,-2564000,-63362000.0,877000,65249000,-1255000,1382000.0,102306000.0,0.0,-21744000,676860000.0,347361000.0,0.0,-7750000,-37223000.0,94862000,-1155000,61451000,44125000,,,,
2017-12-31,368194000.0,43164000,67778000,35273000.0,29311000.0,557117000.0,71498000.0,1306525000.0,-0.28,,311996000.0,230208000.0,-65230000,20990000,-124787000,7000,,6493000.0,-493000,310905000,-68553000,0.0,169462000,,443101000.0,83394000,-65230000,43585000.0,-65230000,12094000.0,284231000.0,,,184718000,230208000.0,-4668000.0,-3009000.0,863424000.0,310905000.0,63793000,483936000.0,,92255000.0,0.0,17226000.0,23121000.0,305871000,679099000.0,-0.28,,212626000,-15256000,37792000.0,21310000,17468000.0,-4550000,-69919000.0,1278000,72328000,-1568000,1178000.0,107711000.0,0.0,-14188000,749408000.0,371603000.0,,51042000,-102453000.0,101324000,6809000,5034000,45351000,,,,
2018-03-31,370353000.0,45240000,86383000,38469000.0,37830000.0,534584000.0,74841000.0,1372745000.0,-0.06,,312048000.0,232221000.0,-14266000,20111000,-64896000,8000,,9820000.0,740000,393513000,-10451000,,178483000,,490032000.0,80819000,-14266000,42951000.0,-14266000,12226000.0,308181000.0,,,189363000,232221000.0,-3500000.0,-3386000.0,882713000.0,393513000.0,62124000,518793000.0,,77978000.0,,22619000.0,23318000.0,310905000,763866000.0,-0.06,,223723000,-10880000,35098000.0,47918000,17861000.0,-5293000,-31963000.0,932000,91676000,-2001000,22000.0,67061000.0,,-8147000,838161000.0,415191000.0,0.0,6119000,-116719000.0,108544000,11972000,82608000,34921000,,,,
2018-06-30,323134000.0,44196000,64401000,46141000.0,42905000.0,604059000.0,1070422000.0,2424514000.0,-0.11,819637000.0,311943000.0,234206000.0,-25851000,17754000,-55798000,6782000,,214985000.0,-14739000,1410339000,32193000,-87700000.0,199587000,99932000.0,1531748000.0,93828000,-25851000,12051000.0,-25851000,112221000.0,340834000.0,,,204874000,234206000.0,-7748000.0,1881000.0,892766000.0,1410339000.0,103912000,557100000.0,,63577000.0,2816000.0,113105000.0,23531000.0,393513000,1733473000.0,-0.11,,243783000,-5287000,51656000.0,28138000,19386000.0,-17802000,-35202000.0,903702000,82203000,3538000,172000.0,86858000.0,5213000.0,-21755000,1820455000.0,461326000.0,0.0,4096000,-142570000.0,111046000,2781000,1016826000,38476000,,,,
2018-09-30,277246000.0,45185000,73363000,51690000.0,37423000.0,676612000.0,1390526000.0,2553522000.0,-1.03,827970000.0,311931000.0,236219000.0,-242445000,17415000,-64441000,9902000,,452000.0,-237248000,1517780000,22568000,-410000.0,222107000,13673000.0,1840252000.0,97919000,-242445000,12065000.0,-242445000,8166000.0,344909000.0,,-422000.0,222299000,236219000.0,-5371000.0,,713270000.0,1517780000.0,97854000,605504000.0,-410000.0,50081000.0,,19147000.0,23711000.0,1410339000,1795026000.0,-1.03,,267292000,-192000,57016000.0,3677000,19611000.0,-11566000,-38214000.0,587000,84929000,2637000,1342000.0,95230000.0,,-240076000,1876910000.0,449726000.0,,2369000,-370461000.0,124380000,-212759000,107441000,48380000,,,,
2018-12-31,303772000.0,49782000,122629000,71207000.0,40429000.0,960212000.0,1392421000.0,2724944000.0,0.19,836403000.0,506121000.0,237740000.0,45185000,20685000,-129948000,10019000,,1401000.0,32592000,1340589000,-305129000,,249197000,23833000.0,1905196000.0,121002000,45185000,32976000.0,45185000,9484000.0,390945000.0,0.0,,252366000,247255000.0,-17769000.0,-552000.0,819748000.0,1340589000.0,93732000,665934000.0,0.0,120942000.0,,25071000.0,23844000.0,1517780000,1644361000.0,0.18,,298979000,-3169000,63716000.0,46695000,33056000.0,-7807000,-34795000.0,-2487000,130436000,2473000,1664000.0,98511000.0,8397000.0,27063000,1764732000.0,512775000.0,-263554000.0,-18122000,-325276000.0,131364000,57767000,-177191000,60504000,,,,
2019-03-31,327944000.0,54189000,127145000,63777000.0,52025000.0,992653000.0,1617422000.0,2875144000.0,-0.85,844938000.0,506086000.0,239410000.0,-202844000,16303000,-158258000,10103000,,1058000.0,-173324000,1445284000,-29625000,,255081000,23955000.0,2181626000.0,129569000,-202844000,32908000.0,-202844000,9484000.0,409520000.0,0.0,,282638000,239410000.0,7513000.0,,693518000.0,1445284000.0,134739000,738740000.0,0.0,108138000.0,,26181000.0,24027000.0,1340589000,1773228000.0,-0.85,,309270000,-27557000,65249000.0,65991000,31222000.0,-6106000,-37928000.0,1125000,133251000,686000,6170000.0,103177000.0,4846000.0,-201681000,1882491000.0,564204000.0,0.0,1163000,-528120000.0,153069000,-175275000,104695000,72746000,,,,
2019-06-30,445046000.0,61129000,96903000,82525000.0,53802000.0,935147000.0,82083000.0,2977258000.0,-0.99,,608907000.0,241121000.0,-237517000,15845000,-295389000,10217000,853576000.0,34189000.0,-157473000,1268441000,-292012000,0.0,273457000,61932000.0,2411791000.0,135580000,-237517000,13872000.0,-237517000,76645000.0,440954000.0,0.0,,305901000,241121000.0,-14584000.0,0.0,565467000.0,1268441000.0,179241000,816660000.0,0.0,150975000.0,1599000.0,159487000.0,24199000.0,1445284000,1713487000.0,-0.99,,334586000,-32444000,81459000.0,52683000,27866000.0,-20823000,-41590000.0,-2412000,117726000,945000,11703000.0,123049000.0,855005000.0,-190862000,2042111000.0,2329708000.0,-155041000.0,46655000,-765637000.0,170321000,-164800000,-176843000,76132000,,,,
2019-09-30,587496000.0,62279000,70078000,99351000.0,51115000.0,1142809000.0,299210000.0,3280600000.0,0.29,,609648000.0,242791000.0,69320000,25015000,-323756000,12327000,862318000.0,319000.0,82235000,1187191000,-149216000,,301111000,46002000.0,2586352000.0,129784000,69320000,10325000.0,69320000,11632000.0,478573000.0,,,305666000,250883000.0,-16837000.0,,694248000.0,1187191000.0,181468000,893913000.0,-7670000.0,138760000.0,,32757000.0,24356000.0,1268441000,1774687000.0,0.28,,363390000,-4555000,317423000.0,-25707000,30937000.0,-6113000,-44542000.0,-7015000,76191000,3213000,11993000.0,361965000.0,777838000.0,74465000,2137791000.0,2287142000.0,-815000.0,5145000,-696418000.0,175882000,111807000,-81250000,77296000,,,,
2019-12-31,697658000.0,65761000,211355000,123663000.0,54427000.0,1168158000.0,312607000.0,3503174000.0,0.51,,632817000.0,244203000.0,124074000,26622000,-263122000,12364000,871166000.0,140000.0,104214000,1239725000,-153789000,,342964000,42553000.0,2608166000.0,128703000,124074000,10212000.0,124074000,11937000.0,543362000.0,0.0,,301123000,250960000.0,-24276000.0,,895008000.0,1239725000.0,153511000,964267000.0,-9357000.0,141520000.0,,37780000.0,24478000.0,1187191000,1937383000.0,0.49,,408725000,41841000,320923000.0,81494000,44379000.0,-7010000,-49050000.0,-12151000,218365000,4265000,20942000.0,369973000.0,672923000.0,141791000,2335016000.0,2295559000.0,-37168000.0,17717000,-572344000.0,172420000,180777000,52534000,70438000,,,,
