date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGoodwill,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1996-03-31,112000000.0,,-17000000,1287000000,31064088,911545050.0,169000000,-31000000,49000000,173000000,-18000000,977000000,124000000,,4801000000,-109000000,,1122000000,10029000000.0,3552000000,0.034079,-10000000.0,98000000,840000000,961000000,2371000000,,804000000,,2265000000,-190000000,89000000.0,184000000,173000000,-10000000,-1000000.0,31064088,1304000000,31064088,,,,-277000000,0.034079,49000000,34064088,,,3000000,4614000000,0,206000000,-34000000,29000000,,-277000000,-91000000,187000000.0,16000000,911545050.0,-294000000,-5415000000.0,115000000.0,5923000000,,,,-309000000,119000000,966000000.0,,,,,,,
1996-06-30,109000000.0,,-17000000,1268000000,30999574,907548093.0,277000000,-63000000,49000000,204000000,56000000,1018000000,155000000,,4808000000,-56000000,,1042000000,10042000000.0,3371000000,0.034158,-1000000.0,91000000,766000000,801000000,2479000000,,814000000,,2103000000,-147000000,-44000000.0,185000000,204000000,3000000,-1000000.0,30999574,1302000000,30999574,,,,-5000000,0.034158,49000000,34999574,,,4000000,4627000000,0,163000000,-72000000,29000000,,-5000000,74000000,181000000.0,128000000,907548093.0,-22000000,-5415000000.0,113000000.0,5850000000,,,,43000000,-190000000,992000000.0,,,,,,,
1996-09-30,103000000.0,,0,1250000000,31060212,911538306.0,361000000,-140000000,48000000,171000000,-8000000,960000000,123000000,,4897000000,-11000000,,1011000000,10132000000.0,3345000000,0.034075,16000000.0,87000000,755000000,730000000,2563000000,,789000000,,2095000000,-73000000,38000000.0,169000000,171000000,6000000,-2000000.0,31060212,1365000000,31060212,,,,-3000000,0.034075,48000000,33060212,,,2000000,4717000000,0,91000000,-156000000,26000000,,66000000,8000000,180000000.0,148000000,911538306.0,66000000,-5415000000.0,129000000.0,5908000000,,,,74000000,-147000000,1030000000.0,,,,,,,
1996-12-31,91188770.0,,-33984240,1337206140,48954933,,178047435,-197069425,50140015,401315140,40999670,1005630240,351175125,,5075791080,-27652990,,1161214680,10204763380.0,3856597905,,11036605.0,99097995,798000000,1020174795,2380407855,,-716714420,,2519391765,106000000,-32971275.0,158035945,1722344660,-161010830,4959455.0,30999418,1499216970,48954933,105951245.0,105951245.0,,-9004425,,1371169535,32964618,,,1965200,4869919450,0,27001805,-234038235,29901015,,134994585,16264445,205871630.0,275037905,,101010345,-5334843930.0,381040700.0,6237005760,,,,178978825,-73000000,929163635.0,,,,,,,
1997-03-31,102115174.0,368151095.0,-19892592,1188167943,153615016,1212483699.0,285265295,-45863476,50836624,298112594,-53875770,1030546780,247112594,,5057138944,-139966356,,1094506989,10232390153.0,3668387365,0.126695,-16024588.0,100706247,724000000,950838269,2483258568,,411113568,,2480219422,98000000,-22931738.0,173645751,619433212,6000000,3039146.0,153615016,1529381153,153615016,97805244.0,97805244.0,,-7045293,0.126695,372320618,155615016,,,2000000,4855588307,0,33983178,-78879653,30000000,967001.0,32878034,-29977031,201550637.0,25003883,1212483699.0,12985442,-5376801846.0,109685542.0,6151645933,,,,-8012294,105817538,1044499223.0,,,,,,,
1997-06-30,79862826.0,405728596.0,-20114648,1127376432,215901140,1009173851.0,482708044,-3110904,50147168,354142264,100780810,1125445048,303995096,,5034428308,-64912340,,1162417256,10216055668.0,3511256112,0.213939,2091032.0,118918072,665000000,878641764,2685589452,,409729320,,2383879680,207000000,-67981266.0,171893176,715715728,33000000,28966646.0,215901140,1505237916,215901140,206934000.0,206934000.0,,-28961223,0.213939,411720632,218901140,,,3000000,4846532236,0,28970760,-59076347,29000000,964383.0,-27911618,58947791,187896072.0,159857157,1009173851.0,-48026266,-5369523432.0,109950932.0,6196845564,,,,108996086,98000000,988454740.0,,,,,,,
1997-09-30,96192950.0,389520675.0,-19036185,1127356075,206306300,1193004684.0,639798425,-104234320,51256983,347580308,88189635,1069280575,296323325,,5099305450,-8164729,,1180453675,10289042750.0,3432262050,0.17293,37025481.0,121128900,664000000,835042725,2847497075,,377490750,,2304905975,259000000,9745579.0,135232950,691789825,1000000,-1032192.0,206306300,1469863250,206306300,259265625.0,259265625.0,,-52074659,0.17293,395466500,209306300,,,3000000,4907103200,0,30005675,-124351675,29000000,1110666.0,-37046216,1034915,192202250.0,212541310,1193004684.0,-56082401,-5381939550.0,97069050.0,6279759125,,,,52224908,207000000,1000281350.0,,,,,,,
1997-12-31,63031302.0,369964485.0,-19090267,1206206758,-173340487,,1212217042,-271231832,49962351,381116045,-69983265,1125239159,330912919,,5531607810,3096559,,1550510170,10332250604.0,3661693976,,-16079927.0,353318838,681000000,813821074,3420424004,,424133456,,2455487218,365000000,100199991.0,150113998,701105703,17097698,79534.0,-155309635,1641666144,-173340487,365339406.0,365339406.0,,-9943695,,370192784,161961211,,,317270846,5127058456,0,43073702,-315251997,30059150,964806.0,151283766,-24997105,404549354.0,245268732,,132193499,-5205192148.0,96021442.0,7082117980,,,,106092124,259000000,1067111614.0,,,,,,,
1998-03-31,142251147.0,443135708.0,-23038506,2283940780,104242129,1022277315.0,814027212,-2623829850,81203623,359941103,127422848,1061762258,278737480,,9141736066,-16819281,66129045.0,1291294040,11547411174.0,6329331778,0.101971,,292532141,667000000,829101790,4103698328,,305757950,,4045390998,190000000,-6968437.0,150461354,756004308,21047524,-2591831925.0,104242129,2869431701,104242129,190565420.0,190565420.0,346857507.0,-7963928,0.101971,477266828,173357647,,,69115518,6374555512,0,1196153543,-74092973,32140138,1990982.0,-142213,11092614,2767180554.0,201515821,1022277315.0,2247818678,-5172855662.0,107228602.0,10433030106,,,,-174495351,364918558,980558635.0,,,,,,,
1998-06-30,160595895.0,431162328.0,-25048152,1132462854,143083542,1080568984.0,930410658,-138285432,78791129,457982835,257711578,1030407378,379191706,,10164078372,142046433,71954661.0,1137462690,11774613780.0,6229501548,0.134867,,279108492,354000000,762327936,5072039514,,207052032,,5097038694,353000000,-32000873.0,163082886,823355346,12940752,5740281.0,143083542,3928547610,143083542,352194330.0,352194330.0,406163148.0,-319231222,0.132415,444163640,217051704,,,73968162,6425671584,0,136024950,-173987125,68968326,5067610.0,-105928196,313014402,3738406788.0,431698703,1060923295.0,-130976348,-5348942196.0,66027246.0,11301541062,5000000.0,,,162436923,190000000,930410658.0,,,,,,,
1998-09-30,214068750.0,326157488.0,-25783358,1322486960,-204516160,1147996553.0,739005408,-321805262,79319680,371370768,-2586430378,964431056,292051088,,10661091648,-32867936,-175934458.0,1047305888,12199236320.0,6836181584,-0.178151,42855056.0,278386176,402000000,1215955408,4872215952,,335162304,,5513694624,261000000,82925022.0,119657216,629268752,-561656320,2583191788.0,-204516160,4049419968,-204516160,259308176.0,259308176.0,248319248.0,-1917903890,-0.178151,337217664,-374997168,,,-170481008,6647690944,0,123625440,-2874759566,70817536,1946224.0,-32466460,-49841688,4013400704.0,288329188,1147996553.0,-58249818,-5551545376.0,54792016.0,11708397536,,,,-91725892,353000000,1144069504.0,,,,,,,
