date,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt
2008-09-30,,-1000000.0,,4690000,35354000,99851000,,,,-62000.0,875000,,-953000,,,,,,4507000,,,-3936000,,9957000,,,,-34655000,0.0,1433000,54414000,183000,,758000,,3220000,246000,,3263000,,,,,,1215000,1477000,4435000,,,65196000,,15840000,-39448000,4507000,25397000,0,,38574000,880000,,0,,,-38632000,-5511000,,4507000,,,,3509000,,,,,,
2008-12-31,,0.0,,8554000,34939000,65196000,124190000.0,94389000.0,56571000.0,0.0,1539000,11419000.0,555000,0.0,,,118297000.0,-5229000.0,7943000,18325000.0,0.0,8254000,53320000.0,8849000,0.0,,746000.0,-8625000,0.0,1444000,59066000,611000,3425000.0,168000,-14900000.0,6273000,-1850000,,18580000,150268000.0,184991000.0,54066000.0,-120151000.0,67619000.0,928000,1455000,7201000,,46043000.0,56571000,24967000.0,17854000,-25812000,7943000,26090000,12992000,,41212000,-4652000,-300000.0,0,7004000.0,,-36954000,-7473000,14114000.0,7943000,199105000.0,2058000.0,204334000.0,16730000,,,,,,
2009-03-31,41920000.0,,,4437000,36311000,56571000,,,,0.0,494000,,69000,,,,,,3774000,,,8625000,,9876000,,,,-7056000,-8042000.0,1550000,54194000,663000,,-7319000,,3229000,-2625000,-0.035,15571000,,,,,,1353000,1819000,4582000,,,49515000,,14654000,-15068000,3774000,26435000,33950000,-0.035,39540000,341000,,0,,41920000.0,-46393000,5478000,,3774000,,,,12946000,,,,,,
2009-06-30,128064000.0,,,5228000,39391000,49515000,136422000.0,91206000.0,51819000.0,0.0,-282000,9805000.0,-138000,0.0,,,130688000.0,-7809000.0,4576000,21124000.0,,5641000,54381000.0,10534000,0.0,,798000.0,2304000,-7721000.0,1793000,61345000,652000,5703000.0,-7448000,-15421000.0,4975000,-386000,0.0,14322000,163198000.0,194829000.0,55179000.0,-111801000.0,84603000.0,1494000,1980000,6469000,,43543000.0,51819000,24773000.0,16979000,-5314000,4576000,28857000,32738000,0.0,44366000,282000,194000.0,0,7737000.0,41148000.0,-37666000,-2978000,15739000.0,4576000,210568000.0,1011000.0,218377000.0,13936000,,,,,,
2009-09-30,128334000.0,-900000.0,,10040000,38755000,51819000,152390000.0,91206000.0,74233000.0,0.0,-64000,10800000.0,-1483000,0.0,,,133004000.0,3888000.0,7889000,21719000.0,0.0,3835000,57371000.0,10797000,0.0,,886000.0,22414000,0.0,1936000,65864000,2151000,6113000.0,1025000,-15606000.0,9676000,-1242000,0.05,15863000,168333000.0,213855000.0,58257000.0,-103912000.0,78157000.0,1475000,444000,11151000,,44110000.0,74233000,26978000.0,17433000,3850000,7889000,27958000,40595000,0.055,48431000,460000,1040000.0,113000,8351000.0,116576000.0,-34603000,-568000,16623000.0,7889000,230478000.0,953000.0,226590000.0,14621000,,,,,,
2009-12-31,,,,7808000,42349000,74233000,260314000.0,67000.0,212458000.0,351000.0,50000,10649000.0,-460000,0.0,,,140537000.0,142452000.0,43940000,22601000.0,,-1143000,61393000.0,10988000,0.0,,2803000.0,138225000,0.0,2182000,70712000,-36132000,6387000.0,91791000,-16214000.0,7454000,-336000,,16215000,180565000.0,342217000.0,64196000.0,-59972000.0,47856000.0,1613000,-28899000,9067000,,54551000.0,212458000,29041000.0,20909000,30289000,43940000,31361000,48843000,,49803000,1963000,1084000.0,1461000,10987000.0,,-18569000,-10440000,44996000.0,53206000,387213000.0,1195000.0,244761000.0,15879000,,,,,,
2010-03-31,149756000.0,,,6722000,43716000,212458000,248160000.0,68000.0,174255000.0,0.0,-250000,9867000.0,-27000,0.0,32777000.0,,145140000.0,151106000.0,4218000,23505000.0,,13780000,66397000.0,11934000,0.0,,2836000.0,-37847000,0.0,2148000,69795000,2504000,6663000.0,1309000,-16842000.0,6704000,-1014000,0.03,21816000,183870000.0,326553000.0,69233000.0,-55754000.0,73905000.0,1375000,2443000,8079000,,51315000.0,174255000,28544000.0,19375000,-60972000,4218000,31782000,13945000,0.03,50420000,-505000,1191000.0,-77000,10186000.0,134362000.0,-73903000,3236000,77656000.0,4218000,404209000.0,1188000.0,253103000.0,20802000,,,,,,
2010-06-30,151274000.0,,,10266000,46386000,174255000,252347000.0,71000.0,116435000.0,0.0,87000,12121000.0,-2975000,4022000.0,56613000.0,,154271000.0,176354000.0,6869000,24187000.0,,8584000,71250000.0,12676000,0.0,,2871000.0,-57820000,0.0,2264000,76331000,3397000,6737000.0,14012000,-17450000.0,9780000,-1215000,0.045,17950000,197122000.0,345407000.0,74121000.0,-48885000.0,135912000.0,1467000,1030000,11247000,,59806000.0,116435000,30212000.0,20165000,-88887000,6869000,33710000,30231000,0.05,56166000,2857000,576000.0,2857000,12639000.0,136990000.0,-117903000,-8491000,102190000.0,6869000,447597000.0,1273000.0,271243000.0,16735000,,,,,,
2010-09-30,155842000.0,,,18271000,45369000,116435000,292290000.0,74000.0,77139000.0,0.0,-402000,11284000.0,187000,0.0,60054000.0,,158430000.0,206451000.0,14017000,25056000.0,,12655000,76820000.0,12389000,0.0,,2944000.0,-39296000,872000.0,2434000,84971000,4254000,6797000.0,11886000,-18259000.0,18159000,-671000,0.09,32193000,202232000.0,382605000.0,79764000.0,-34868000.0,215151000.0,1391000,4116000,19550000,,59562000.0,77139000,34036000.0,21443000,-84939000,14017000,32980000,35921000,0.1,63528000,-3041000,2075000.0,-337000,9766000.0,143672000.0,-120189000,244000,105842000.0,28034000,488447000.0,1239000.0,281996000.0,31522000,,,,,,
2010-12-31,,0.0,,21082000,48678000,77139000,313510000.0,75000.0,66859000.0,66000.0,-250000,13517000.0,-3131000,0.0,73950000.0,,169648000.0,232454000.0,16141000,25803000.0,,10526000,82983000.0,12802000,0.0,,11603000.0,-10280000,0.0,2469000,93599000,4941000,7056000.0,6808000,-18747000.0,20698000,-876000,,31424000,218382000.0,420158000.0,94586000.0,-18727000.0,246651000.0,1463000,3294000,22161000,,72336000.0,66859000,35973000.0,24223000,-48908000,16141000,35876000,56283000,,69376000,3126000,2181000.0,1590000,12761000.0,,-104381000,-12773000,125264000.0,16141000,545422000.0,1272000.0,312968000.0,30548000,,,,,,
