date,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1999-09-30,1635800000.0,,1436500000.0,,,14000000.0,,,,,14500000.0,,,,,1519800000.0,1519800000.0,,174500000.0,,,5175300000.0,,,3431200000.0,,3117000000.0,3156500000.0,142600000.0,,,,2057500000.0,,,,1744100000.0,1436500000.0,1616300000.0,,,3156500000.0,1680500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,16600000.0,,,246900000.0,,,,29300000.0,,,72100000.0,3006200000.0,1028200000.0,1011600000.0,,174700000.0,669000000.0,,8766800000.0,,844700000.0,6302000000.0,-1011600000.0,5822700000.0,8072800000.0,,529500000.0,,,2909000000.0,,,,2464800000.0,1861100000.0,2459600000.0,,,4938300000.0,3961600000.0,,,,,-3134500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,3975000000.0,,2138500000.0,,,1337600000.0,,,,,35600000.0,,,,,649700000.0,649700000.0,,174700000.0,,,10231400000.0,,,7690900000.0,,7696400000.0,5467900000.0,781400000.0,,,,2480300000.0,,,,2540500000.0,2138500000.0,2030600000.0,,,5467900000.0,5557900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,495800000.0,,,16600000.0,,,379900000.0,,,,34100000.0,,,1172500000.0,3755500000.0,271200000.0,271200000.0,,174700000.0,2213700000.0,,9982600000.0,,1386200000.0,7763800000.0,-271200000.0,6465000000.0,5617300000.0,16600000.0,648900000.0,,,3475800000.0,,,,2218800000.0,2213700000.0,3024200000.0,,,5617300000.0,4251300000.0,,,,,-3275000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,4380600000.0,,1450100000.0,,,1304600000.0,,,,,35500000.0,,,,,500900000.0,500900000.0,,174900000.0,,,9883300000.0,,,7635600000.0,,7415600000.0,5637800000.0,792900000.0,,,,2432400000.0,,,,2247700000.0,1450100000.0,1971400000.0,,,5637800000.0,5965500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,3034300000.0,,,15400000.0,,,707400000.0,,,,56100000.0,,,1811500000.0,8118000000.0,228000000.0,212600000.0,,177700000.0,2969300000.0,,17416000000.0,,2113000000.0,11533000000.0,-212600000.0,14121600000.0,9121700000.0,16600000.0,769800000.0,,,3196600000.0,,,,5883000000.0,2969300000.0,1416000000.0,,,9121700000.0,11152300000.0,,,,,-5066000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,7529000000.0,,3018000000.0,,,1906000000.0,,,,,78000000.0,,,,,354000000.0,354000000.0,,178000000.0,,,15930000000.0,,,10711000000.0,,13273000000.0,8805000000.0,1192000000.0,,,,2570000000.0,,,,5219000000.0,3018000000.0,1148000000.0,,,8805000000.0,10255000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,4406000000.0,,,482000000.0,,0.0,628000000.0,,,,126000000.0,,,3031000000.0,14255000000.0,601000000.0,119000000.0,,308000000.0,5046000000.0,,24943000000.0,,1893000000.0,18993000000.0,-119000000.0,23707000000.0,16847000000.0,17000000.0,1249000000.0,,,1152000000.0,,,,5950000000.0,5046000000.0,4728000000.0,,,16847000000.0,18661000000.0,,,,,-8760000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,14146000000.0,,4688000000.0,,,0.0,,,,,190000000.0,,,,,499000000.0,499000000.0,,308000000.0,,,24244000000.0,,1745000000.0,18786000000.0,,23078000000.0,16845000000.0,1729000000.0,,,,1110000000.0,,,,5458000000.0,4688000000.0,4551000000.0,,,16845000000.0,18390000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,4157000000.0,,,520000000.0,,0.0,496000000.0,,,,91000000.0,,,2944000000.0,13464000000.0,616000000.0,96000000.0,,309000000.0,4513000000.0,,23397000000.0,,1537000000.0,18394000000.0,-96000000.0,22134000000.0,16706000000.0,,1031000000.0,,,1213000000.0,,,,5003000000.0,4513000000.0,4755000000.0,,,16706000000.0,17621000000.0,,,,,-8927000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,,,307000000.0,,0.0,,,,,158000000.0,,,3045000000.0,11941000000.0,688000000.0,381000000.0,,309000000.0,3338000000.0,,27508000000.0,,2444000000.0,25520000000.0,,23696000000.0,23057000000.0,1142000000.0,2029000000.0,,,1308000000.0,,,,1988000000.0,5477000000.0,4830000000.0,,,23057000000.0,18219000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,4372000000.0,,,570000000.0,,2031000000.0,553000000.0,,,,101000000.0,,,3189000000.0,12800000000.0,670000000.0,100000000.0,,309000000.0,6148000000.0,,24711000000.0,,358000000.0,19897000000.0,,23320000000.0,17746000000.0,,1111000000.0,,,1359000000.0,,,,4814000000.0,6148000000.0,4892000000.0,,,17746000000.0,17172000000.0,,,,,-11160000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
