date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyCapitalStock,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyInventory,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2013-12-31,269667785000.0,8066438000,323721000,192032683000.0,200785727000.0,383785407000,6448944000.0,8927535000.0,301023286000,450849000.0,57890180000.0,-1464126000.0,61267448000,159608000,,75998270000,116945586000,35458864000,67692964000.0,1997859000.0,0.0,,182999680000.0,18874633000,3802833000,5266959000,31355501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,254842122000.0,10616411000,324827000,236345899000.0,59027402000.0,482155590000,5995679000.0,4509472000.0,391377249000,,165463703000.0,,71056379000,147975000,41996053000.0,83808081000,116492285000,36256690000,2277000000.0,2042483000.0,32412902000.0,97829216000.0,423128188000.0,23789745000,3763003000,3763003000,136535127000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,297905457000.0,16361664000,324109000,264438469000.0,68843578000.0,544427417000,6364638000.0,12544062000.0,442564155000,,155390848000.0,-1654457000.0,54334061000,183978000,43694852000.0,93368858000,177201338000,36256690000,11827000000.0,8145163000.0,84665449000.0,154469289000.0,475583839000.0,28366310000,3815594000,5470051000,144658698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,320930807000.0,32204844000,324109000,273491241000.0,70424152000.0,657957433000,4932437000.0,14604040000.0,547401668000,,265592253000.0,,86913145000,211871000,92128758000.0,100533595000,206687397000,36256690000,3335861000.0,8218103000.0,121103202000.0,215642123000.0,587533281000.0,30783375000,3710845000,3710845000,226470861000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,356128932000.0,25796277000,392935000,318056708000.0,89567189000.0,713974675000,3434791000.0,2551992000.0,603080746000,,326943978000.0,-1855026000.0,68027984000,190408000,111773372000.0,101710221000,271874771000,36256690000,1807000000.0,8231939000.0,54840095000.0,268874008000.0,624407486000.0,35646222000,4043104000,5898130000,246951814000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,602603357000.0,217383404000,22487665000,350171331000.0,140153180000.0,1008831955000,2191849000.0,28558755000.0,896082301000,,435534670000.0,,113992730000,4403139000,136489698000.0,104341582000,369634290000,36256690000,19758575000.0,26777703000.0,150010179000.0,350045718000.0,868678775000.0,36514750000,9896813000,9896813000,293478944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,723671832000.0,226077864000,23524019000,451500821000.0,152225268000.0,1174480923000,3522114000.0,23648060000.0,1026510902000,,420883309000.0,-2171873000.0,122620455000,4511084000,152497560000.0,139216721000,393740603000,38164535000,36885973000.0,104126415000.0,138995379000.0,403515344000.0,1022255655000.0,42688440000,10433524000,12605397000,302839070000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,789226884000.0,230777648000,22833631000,513302048000.0,172790346000.0,1295566430000,3049369000.0,38312010000.0,1133971005000,,472582763000.0,,138897597000,4287580000,200057212000.0,142989545000,467254926000,38164535000,37291352000.0,122930383000.0,137095075000.0,471578375000.0,1122776084000.0,45078196000,10088621000,10088621000,344744121000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,245104906000,22002517000,,,1386937549000,,,1218672887000,,,-2490994000.0,97251675000,4084927000,,149394484000,570056979000,38164535000,,,,,,50949383000,9736861000,12227855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,252345378000,22189200000,,,1460566209000,,,1285407368000,,,,106336702000,4056721000,,152949986000,1179160616000,38164535000,,,,,,52637580000,9569760000,9569760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
