date,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1994-08-31,,,,,,,,,,,,1200000,0.00667,,,,,,,,,,,1200000,1200000,,,,,,179910045.0,,,,,,,0.00667,,,,,,,,,,,24700000,,,179910045.0,,24700000,,,,,,,,,,,,,,24700000,,,,,,,,,
1994-11-30,,,,,,,,,,,,1200000,0.00667,,,,,,,,,,,1200000,1200000,,,,,,179910045.0,,,,,,,0.00667,,,,,,,,,,,24700000,,,179910045.0,,24700000,,,,,,,,,,,,,,24700000,,,,,,,,,
1995-02-28,,,,,,,,,,,,1200000,0.00667,,,,,,,,,,,1200000,1200000,,,,,,119940030.0,,,,,,,0.010005,,,,,,,,,,,24800000,,,179910045.0,,24800000,,,,,,,,,,,,,,24800000,,,,,,,,,
1995-05-31,,88400000.0,,,29800000.0,47800000.0,,87800000.0,100000.0,,77600000.0,1300000,,,,,,,,1700000.0,,,,1300000,1300000,103200000.0,600000.0,500000.0,,,,,,-26900000.0,,,29100000.0,,,,2000000.0,,,,4000000.0,300000.0,2000000.0,2000000.0,-57000000,,,,4800000.0,24800000,,,37100000.0,,-19000000.0,9700000.0,,,14800000.0,,18100000.0,,,-57000000,-42100000.0,,,,,,,,
1995-08-31,1000000.0,101900000.0,,22700000.0,37700000.0,60900000.0,,101200000.0,0.0,3800000.0,98600000.0,2400000,0.030015,1700000.0,,2600000.0,-700000.0,,,,0.0,0.0,13000000.0,2400000,2400000,118100000.0,500000.0,700000.0,,,79960020.0,-12100000.0,,-21300000.0,2000000.0,,40900000.0,0.030015,-11400000.0,5500000.0,4500000.0,,,,7200000.0,,1400000.0,1400000.0,7500000,9700000.0,-700000.0,79960020.0,,35700000,,,38500000.0,1700000.0,-19000000.0,,-700000.0,,16200000.0,,19500000.0,4100000.0,,9200000,-39700000.0,1700000.0,,-2400000.0,,,,,
1995-11-30,3400000.0,56000000.0,,25000000.0,113900000.0,77500000.0,,55000000.0,100000.0,4100000.0,191400000.0,2800000,0.03335,2100000.0,,2500000.0,100000.0,,,,0.0,-200000.0,14400000.0,2800000,2800000,103700000.0,3300000.0,900000.0,,,83958021.0,-14700000.0,,84600000.0,0.0,,52000000.0,0.03335,-10900000.0,6100000.0,4900000.0,,,,,,73200000.0,73200000.0,8300000,80400000.0,-2800000.0,83958021.0,,39400000,,,41200000.0,6200000.0,-19000000.0,,71900000.0,,47700000.0,,22200000.0,4900000.0,,10400000,-36900000.0,2100000.0,,-200000.0,,,,,
1996-03-31,-8300000.0,109000000.0,,33300000.0,88900000.0,139300000.0,,107800000.0,1200000.0,4900000.0,228200000.0,4300000,0.036685,2500000.0,,1900000.0,-800000.0,,,,0.0,400000.0,16900000.0,4300000,4300000,136800000.0,3300000.0,,,,107446277.0,-67300000.0,,87100000.0,30200000.0,,96300000.0,0.04002,-61500000.0,7400000.0,8700000.0,,,,,,10600000.0,10600000.0,9500000,50200000.0,-5800000.0,117214120.0,,50200000,,,59600000.0,-2500000.0,-19900000.0,,-19600000.0,,27800000.0,,39700000.0,7300000.0,,12000000,-33900000.0,3000000.0,,-10300000.0,,,,,
1996-06-30,-11700000.0,59600000.0,,43300000.0,131400000.0,159600000.0,,59100000.0,0.0,6100000.0,291000000.0,5700000,0.043355,3500000.0,,2200000.0,200000.0,,,,0.0,1200000.0,21300000.0,5700000,5700000,83000000.0,3500000.0,500000.0,,,131472725.0,-24200000.0,,203500000.0,0.0,,111600000.0,0.043355,-18200000.0,9700000.0,8600000.0,,,,,,40000000.0,40000000.0,11600000,59300000.0,-6000000.0,131472725.0,,64600000,,,64400000.0,-5700000.0,-19900000.0,,29400000.0,,23400000.0,,44500000.0,9800000.0,,15200000,-28200000.0,4100000.0,,-16200000.0,,,,,
1996-09-30,3900000.0,80000000.0,,49500000.0,115900000.0,204500000.0,,79000000.0,-100000.0,6500000.0,320400000.0,-1200000,-0.00667,4300000.0,,1700000.0,-29000000.0,,,,0.0,400000.0,23800000.0,-1200000,6500000,110700000.0,3800000.0,1100000.0,,,119940030.0,-49700000.0,,204400000.0,0.0,,151300000.0,-0.00667,-43400000.0,10700000.0,14900000.0,,,,,,5400000.0,5400000.0,13100000,5000000.0,-6300000.0,124937531.0,,73300000,,,69300000.0,10200000.0,-19900000.0,,-34500000.0,,30700000.0,,49400000.0,10900000.0,,17400000,-29300000.0,4400000.0,,-2200000.0,700000.0,,,,
1996-12-31,1500000.0,106400000.0,,57900000.0,131300000.0,242800000.0,,102600000.0,900000.0,7300000.0,374100000.0,7200000,,5100000.0,,1200000.0,-41100000.0,,,6000000.0,0.0,-100000.0,26800000.0,7200000,7200000,138400000.0,3900000.0,2900000.0,,,,-30300000.0,,231000000.0,0.0,,180600000.0,,-15600000.0,12400000.0,14100000.0,,,,,2100000.0,19900000.0,19900000.0,14400000,28300000.0,-14900000.0,,9800000.0,84700000,,,84700000.0,16400000.0,-26400000.0,20100000.0,14400000.0,,32000000.0,,58300000.0,12100000.0,,19500000,-22100000.0,4900000.0,,46400000.0,18500000.0,,,,
