date,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2008-12-31,,-1267926.421405,143902604.793757,72603756.201226,57769897.575251,0.0,,69300983.974359,346991838.837793,619629478.609253,137113915.412486,137113915.412486,73167279.055184,16016376.114827,143902604.793757,130849126.184504,,17742164.855072,272637639.77146,106126321.976031,24722804.208473,,316368774.247492,24722804.208473,,124183707.427536,2535852.842809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,-3183808.269658,317445605.322918,98262618.572796,133725236.043694,0.0,,130262007.170082,621366195.670855,1012396379.664682,136336981.310304,136336981.310304,143536689.490417,93892374.552596,317445605.322918,266629839.335713,,47081049.586724,391030183.993827,213157373.978421,53472465.357291,,590768317.358385,44891520.311577,,161657600.455985,6367616.539316,8580945.045715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,0.0,311842816.892582,101287768.285984,140616558.209286,5531862.971817,,118972472.989457,611637565.520585,1059122402.059543,205580510.043687,205580510.043687,143373244.977512,73994720.337016,457617927.569141,291490350.800503,,149118176.680696,447484836.538957,236122415.921353,55367934.879151,,604088593.195205,48654508.942479,-145775110.676559,163937018.902351,0.0,6713425.936672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,0.0,283780198.462831,139910062.466766,,3858622.882346,8421278.271558,108909018.652048,621550507.169518,1092736287.788958,176428797.071312,168007518.799754,155972498.517803,46116315.636022,,282299543.762057,,165744994.457816,471185780.61944,225572889.774126,56726653.987932,,735443726.140354,48298379.120032,,164340427.742257,0.0,8428274.8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,0.0,405028451.683283,144003014.279088,,4293509.530742,26421531.556489,98154161.709739,686436554.321053,1198378336.224785,180577954.440034,154156422.883546,151986658.043278,93143078.732215,543635177.286575,474682505.070856,,307901221.093938,511941781.903733,416813871.15542,57868633.915436,,712169488.08063,49694943.977098,-138606725.603292,164119785.313856,0.0,8173689.938338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,0.0,419764281.124632,190562656.072268,,2745258.215649,18498484.342273,87212247.596407,700711778.782077,1198969493.781884,100036477.752792,81537993.410519,148271379.599337,200940929.332699,,447018160.460544,,185328208.547821,498257714.999807,394356093.260174,52662067.20037,-13161775.533596,739671665.28829,43858451.438558,,163773525.174439,0.0,8803615.761812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,0.0,437417612.063304,189330192.38446,,2614130.08486,,82264974.181336,739109266.389379,1313335717.32104,38259371.98192,38259371.98192,144336400.453275,275632904.953835,592263948.517197,532888394.478283,,194884611.818638,574226450.931661,483046726.631212,49841667.847071,,767840417.476853,42163571.217018,-154846336.453893,168861472.887183,65888218.061475,7678096.630053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,61635742.986769,440766306.687461,181298242.745101,,1354190.054843,89498757.016453,78408506.421947,771817791.984327,1453142715.294739,232396566.207603,142897809.19115,146279593.319628,407308543.800066,440766306.687461,674503119.13953,,202048273.034265,681324923.310412,619729371.306494,54773747.833036,,764616224.036708,44936799.724175,,170203891.029896,0.0,9836948.108861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,0.0,447983775.168538,159922658.242969,160561176.514524,3057318.886627,76245362.131286,73179991.311852,734584271.483009,1543410584.215048,122181638.792354,45936276.661068,143598974.864357,411537506.513208,637282299.869452,703520719.908823,14282518.412165,81628079.212429,808826312.732039,644735974.068427,58784745.840396,,822933299.009022,44502227.428231,-189298524.700914,167993110.494921,0.0,14282518.412165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,0.0,470303741.903503,203636720.910175,296160792.307345,2226019.978728,0.0,69272056.924614,747785357.638186,2274459953.645535,635242206.175267,635242206.175267,159613023.401553,381512485.872305,470303741.903503,767124154.55442,13358504.042286,93157465.87166,1526674596.007348,707281489.64966,59842664.90476,,1439068272.424662,46484160.862475,,168483724.937635,0.0,13358504.042286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,668270000.0,0.0,882124000.0,405504000.0,398844000.0,34530000.0,6164000.0,997351000.0,3288320000.0,5066470000.0,351575000.0,345411000.0,235087000.0,583626000.0,1119190000.0,2231707000.0,29449000.0,152364000.0,1778150000.0,1264388000.0,967319000.0,288132000.0,2759853000.0,269600000.0,-237066000.0,1191052000.0,4239000.0,29449000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,674688000.0,0.0,1097884000.0,386120000.0,1011006000.0,33041000.0,5802000.0,972375000.0,3365463000.0,5194256000.0,345528000.0,339726000.0,2542246000.0,473435000.0,1097884000.0,2174876000.0,27746000.0,129389000.0,1828793000.0,1210800000.0,964076000.0,476922000.0,2944212000.0,261642000.0,,1191052000.0,0.0,27746000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,670565000.0,0.0,1033663000.0,417695000.0,544490000.0,44337000.0,662000.0,948005000.0,3237374000.0,5331852000.0,440078000.0,439416000.0,0.0,501648000.0,1333662000.0,2074730000.0,25302000.0,133143000.0,2094478000.0,1133841000.0,940889000.0,653512000.0,3183756000.0,245022000.0,-299999000.0,1191052000.0,305000.0,25302000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,680425000.0,0.0,999166000.0,360855000.0,703345000.0,44906000.0,500694000.0,900817000.0,3642667000.0,12386936000.0,6759209000.0,6258515000.0,9075883000.0,717540000.0,999166000.0,2380167000.0,65095000.0,149508000.0,8744269000.0,1398649000.0,981518000.0,888104000.0,9940729000.0,235998000.0,,1097065000.0,15110000.0,65095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,850300000.0,0.0,1976920000.0,1235861000.0,2091451000.0,81880000.0,100594000.0,3638341000.0,11356642000.0,18229210000.0,2202450000.0,2101856000.0,9809935000.0,1600059000.0,2339436000.0,6391449000.0,148663000.0,508688000.0,6872568000.0,4490989000.0,1900460000.0,80961000.0,11129468000.0,901497000.0,-362516000.0,5389508000.0,36030000.0,148663000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,0.0,142372000.0,2138776000.0,1352907000.0,3147639000.0,88797000.0,620000.0,6621310000.0,12425219000.0,19145808000.0,1935290000.0,1934670000.0,9809935000.0,2739649000.0,2138776000.0,6636623000.0,82383000.0,746767000.0,6720589000.0,4884757000.0,1751866000.0,1576939000.0,11447554000.0,1669483000.0,,3317176000.0,49620000.0,82383000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
