date,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,4492082.662373,,1667572334.73719,4839834427.515587,2160365570.419918,2070057341.343573,792617237.499484,,810124153.557125,0.0,47938085.800405,300506317.354143,3113096897.064288,,11722846.731905,1730572329.575953,216553893.637227,293580453.363062,293580453.363062,14440367.067179,,2154594404.186795,0.0,40347067.385111,-149863356.249226,165554807.176184,346744807.795532,315418163.42541,2769777086.172014,2302972743.507164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,0.0,,,4912632608.454426,1783962731.572876,2177323083.354623,0.0,653229956.15631,714274101.77207,0.0,84410716.543703,280374593.884592,2795771883.781963,,12133012.311845,2120847558.662548,2001172734.850186,407558714.159267,407558714.159267,12962919.953653,,1512787312.941759,0.0,252050898.937584,,154614038.754829,126253054.736228,,2735309525.099803,2081497782.009894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,337841.322894,,,5396011796.077946,1619752370.047143,2613405466.324183,3322450.200642,828517289.22312,859072844.778675,0.0,45059006.179144,307233414.827881,3110271407.792529,,12172990.23097,2290054312.505803,2347162519.728902,542207857.518646,541870016.195752,9135384.107532,,1548024144.049351,0.0,188568068.57921,-182945976.335634,161919480.29173,239108227.85463,344865456.627364,2782606329.753763,2251198563.013854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,6047980.02502,,,6352809623.748032,1735403828.024054,3168772653.594906,3310924.844652,1545347905.272973,1560575102.687734,0.0,82968863.589074,335157480.213827,3968887864.223568,,12239941.225882,2388364111.824952,2891971604.497453,746332911.194055,740284931.169035,11916272.570109,,1683761980.235662,0.0,221351856.085613,,175503934.115447,,,3184036970.153126,2408312761.535833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,,,9514909459.558432,2083630766.14701,5317616999.734026,8329746.322296,2477398361.239208,2515169009.252561,0.0,159710820.523956,770394117.21624,5874763674.863897,,12927630.606819,3634082986.51755,4893011431.750637,970681806.208891,970681806.208891,29440901.691056,,2213310273.670739,0.0,265547990.352975,-211266127.094547,309872396.633049,269832616.145276,521138523.727596,4197292459.824406,3359594665.611336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,569760000.0,,10190263000.0,2455277000.0,6150531000.0,0.0,2849741000.0,2882440000.0,0.0,206092000.0,986924000.0,6492875000.0,86853000.0,12982000.0,3690159000.0,5737862000.0,574934000.0,574934000.0,25480000.0,3479817000.0,2331380000.0,0.0,389531000.0,,302291000.0,197360000.0,,4039732000.0,3610435000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,13743000.0,,,10920420000.0,2004542000.0,6968849000.0,1995015000.0,1256007000.0,3316994000.0,12537000.0,152459000.0,1035788000.0,6981814000.0,,12987000.0,3933793000.0,6525999000.0,439983000.0,426240000.0,52876000.0,,2336991000.0,0.0,323712000.0,-244282000.0,325432000.0,354611000.0,569714000.0,3951571000.0,3664820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,,,11191121000.0,2540628000.0,7232756000.0,1650273000.0,1255734000.0,2974530000.0,18271000.0,157015000.0,1074685000.0,6732734000.0,73821000.0,13392000.0,4448354000.0,6738713000.0,307054000.0,307054000.0,55424000.0,4274245000.0,2988668000.0,0.0,526319000.0,,369629000.0,160717000.0,,3958365000.0,3758204000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,,6019569000.0,12015152000.0,2242678000.0,7635183000.0,332651000.0,1255461000.0,2996287000.0,19949000.0,153185000.0,939078000.0,6870225000.0,,13396000.0,5134214000.0,1038837000.0,680379000.0,680379000.0,71084000.0,,2458128000.0,0.0,329570000.0,-302327000.0,421697000.0,922555000.0,724024000.0,4379969000.0,3873938000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2421000.0,,,12008557000.0,2041283000.0,7893179000.0,356203000.0,1255188000.0,3082210000.0,19900000.0,141992000.0,1121380000.0,6998957000.0,,13398000.0,4999266000.0,7367491000.0,418769000.0,418769000.0,80161000.0,,2524452000.0,0.0,493239000.0,,428783000.0,849163000.0,428783000.0,4115378000.0,3916747000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
