date,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCashDividendsPaid
1999-03-31,-23000000,-17100000,-17200000,-17200000,-1.62,0.0,9000000.0,2200000.0,,,,,43300000.0,500000.0,23720000.0,1000000.0,,,,23700000,,700000,53600000,,30600000,30600000,,,,,12300000,-17200000,209700000,-1000000.0,2300000,-21900000,23100000,,12100000.0,,-1500000,,,6600000.0,13100000,,23720000.0,186600000,-16900000,0.0,30600000,-4800000,-1.62,,6100000.0,100000.0,20800000,,,,197400000,22100000,1000000.0,,-142500000,10000000,,,-4800000,49400000,-17600000,-1000000,-2100000.0,,,,
1999-06-30,112200000,-16700000,-14300000,-14300000,-0.6,,6600000.0,3400000.0,,,,,99800000.0,1900000.0,23833333.0,,,,,27800000,,1200000,30600000,,142800000,142800000,,,,,21300000,-14300000,204800000,,6000000,-23200000,33500000,,17400000.0,,-3900000,,,16600000.0,26900000,,23833333.0,171300000,-14800000,-9300000.0,142800000,-15800000,-0.6,,11800000.0,-1200000.0,23200000,,,,183500000,33500000,,,-156700000,15300000,,,-6500000,111600000,-16000000,144600000,-2100000.0,,,,
1999-09-30,-27300000,-16400000,-102200000,-102200000,-4.26,,10800000.0,4600000.0,65900000.0,,,,220800000.0,2400000.0,23990610.0,,,,,36000000,,1600000,142800000,1200000.0,192900000,115500000,,,-68100000.0,,32900000,-102200000,267100000,0.0,12300000,-23100000,43700000,,22700000.0,,-6400000,,,10400000.0,32900000,,23990610.0,223400000,-103000000,-2000000.0,115500000,-76800000,-4.26,,-68600000.0,,29800000,,,,234200000,43700000,,,-258900000,20600000,,77400000.0,-6700000,152200000,-104600000,65900000,-2100000.0,,,,
1999-12-31,17700000,-12800000,-921500000,-921500000,,,15000000.0,3800000.0,1300000.0,,,,55300000.0,-1003900000.0,,,,,,38900000,,1800000,115500000,1300000.0,172000000,133200000,,,38600000.0,,230200000,-929900000,441900000,0.0,202200000,-22200000,39300000,,35400000.0,,-4600000,,,17900000.0,24300000,,,402600000,76800000,0.0,133200000,29200000,,,113900000.0,,33300000,,,,211700000,39300000,,,-1180400000,28000000,,38800000.0,-9400000,169200000,75000000,1300000,-7400000.0,,,,
2000-03-31,-7317000,-5482000,-13567000,-13567000,-0.479904,,18046000.0,5868000.0,10222000.0,,,,262480000.0,,27750048.0,,,,,67600000,,2672000,133172000,1361000.0,149480000,125855000,,,-15401000.0,,264596000,-13567000,482717000,0.0,227466000,-17278000,77457000,15146000.0,47380000.0,,3918000,,5969000.0,15782000.0,59411000,,27750048.0,405260000,-13610000,0.0,125855000,-12051000,-0.479904,,51318000.0,,59060000,,,,218121000,77457000,,,-1193950000,37130000,,23625000.0,-11796000,313798000,-16282000,10216000,-10250000.0,,,,
2000-06-30,-30421000,9487000,-4521000,-4521000,-0.419916,,27643000.0,6695000.0,2100000.0,,,,293723000.0,,27572013.0,,,,,65618000,,3577000,125855000,360960000.0,138707000,95434000,,,5899000.0,,284185000,-11712000,492838000,0.0,242593000,1440000,100935000,,55259000.0,,7712000,,2224000.0,27182000.0,73292000,,27572013.0,391903000,-3669000,-24706000.0,95434000,-42000000,-0.419916,,58372000.0,,55346000,,,,208653000,100935000,,,-1205662000,41592000,,43273000.0,-8047000,352095000,-7246000,2092000,-13667000.0,,,,
2000-09-30,9067000,9016000,-191922000,-191922000,-7.138572,,35445000.0,11420000.0,1277000.0,,,,282818000.0,-188968000.0,27848735.0,,,,,63734000,,4462000,95434000,360970000.0,130623000,104501000,,,4502000.0,,104464000,-199113000,285573000,0.0,58207000,-103000,94892000,,64377000.0,,8529000,,-1162000.0,20755000.0,59447000,,27848735.0,190681000,-756000,-9598000.0,104501000,-1219000,-7.138572,,58516000.0,,47852000,,,,181109000,94892000,,,-1404775000,46257000,,26122000.0,-9119000,341334000,-5218000,1270000,-18120000.0,,,,
2000-12-31,-18688000,-32737000,-105135000,-105135000,,5108000.0,38606000.0,,432000.0,,,,186821000.0,-78015000.0,,,,,,70451000,,6674000,104501000,1454000.0,87976000,77024000,,,0.0,,63855000,-105135000,195078000,21000.0,26772000,-41095000,84405000,18105000.0,52170000.0,,31383000,,-14209000.0,29358000.0,40691000,,,-248907000,-22429000,3849000.0,77024000,13596000,,,41348000.0,,87760000,,,,131223000,79297000,5108000.0,,-1528475000,37083000,,10952000.0,-8358000,228169000,-29103000,453000,-15087000.0,,,,
2001-03-31,21674000,-6257000,-13774000,-13774000,-0.419916,4747000.0,4978000.0,11112000.0,49926000.0,,20706000.0,26630000.0,222490000.0,-2346000.0,31437786.0,,,,,56319000,,8947000,77024000,1650000.0,125092000,98698000,,,-16003000.0,,62063000,-13774000,240562000,0.0,26202000,-9073000,87732000,770000.0,50948000.0,,-4312000,,-8471000.0,0.0,51377000,,31437786.0,72830000,-158000,-3946000.0,98698000,-21995000,-0.419916,,47214000.0,,45207000,,,,178499000,82985000,4747000.0,,-1542249000,35861000,,26394000.0,-2816000,269704000,-9105000,49926000,-15087000.0,,,,
2001-06-30,25586000,27487000,2816000,2816000,0.059988,3789000.0,5161000.0,9892000.0,3054000.0,,25839000.0,32210000.0,304650000.0,-5412000.0,32770052.0,,,,,59106000,,7708000,98698000,1720000.0,154717000,124284000,,,-4039000.0,,57682000,2816000,268661000,-4431000.0,22812000,24503000,110691000,0.0,49957000.0,,9220000,,-4304000.0,8500000.0,69531000,,36677500.0,102938000,8708000,6499000.0,124284000,-524000,0.059988,,60106000.0,,43802000,,,,210979000,106902000,3789000.0,,-1539433000,34870000,,30433000.0,-2984000,364756000,1000000,-1377000,-15087000.0,,,,
2001-09-30,-25271000,-16029000,4977000,4977000,-0.119976,3367000.0,4943000.0,10160000.0,4247000.0,,15021000.0,30484000.0,251557000.0,34000.0,36029204.0,,,,,47551000,,4960000,124284000,1832000.0,144511000,99013000,,,-15064000.0,,55709000,-3586000,241685000,0.0,22572000,-18423000,73725000,0.0,48224000.0,,-33592000,,-3539000.0,0.0,34931000,,36029204.0,142615000,7841000,3969000.0,99013000,-13489000,-0.119976,,50432000.0,,37391000,,,,185976000,70358000,3367000.0,,-1543019000,33137000,,45498000.0,-2394000,301989000,2881000,4247000,-15087000.0,,,,
2001-12-31,930000,22895000,-1322000,-1322000,,2838000.0,5115000.0,,2488000.0,23646000.0,15665000.0,36240000.0,196051000.0,3254000.0,,,,,,43953000,,-5037000,99013000,1836000.0,149212000,99943000,,,-3772000.0,,76879000,-1322000,262190000,4431000.0,20967000,21674000,115479000,0.0,65600000.0,,8114000,,,0.0,45941000,,,146711000,-4700000,-15345000.0,99943000,-20168000,,,39253000.0,,76335000,,,,185311000,87296000,28183000.0,,-1544341000,32266000,,49269000.0,-1221000,235304000,-4700000,-1797000,-33334000.0,,,,
2002-03-31,-7892000,14075000,5741000,5741000,0.119976,2365000.0,5050000.0,10533000.0,2263000.0,,20218000.0,31750000.0,219892000.0,1280000.0,37924750.0,,,,,38314000,22535000.0,4459000,99943000,1880000.0,160378000,92051000,,,-19058000.0,,73557000,3887000,282151000,0.0,19731000,10925000,114812000,,64625000.0,,4431000,,,0.0,62177000,,40002999.0,167339000,8138000,-2058000.0,92051000,-24266000,0.119976,,41993000.0,,27781000,,,,208594000,98977000,15835000.0,,-1540454000,31291000,,68327000.0,-3150000,261885000,3679000,2263000,-33334000.0,,,,
2002-06-30,6089000,2731000,6309000,6309000,0.179964,1483000.0,0.0,10520000.0,768000.0,,21977000.0,37272000.0,256308000.0,537000.0,38287489.0,,,,,42909000,22535000.0,4490000,92051000,1882000.0,160598000,98140000,,,5869000.0,,71346000,6309000,282134000,0.0,20606000,1574000,107647000,,61539000.0,,-8366000,,70000.0,0.0,55422000,,39924983.0,174487000,9729000,-2119000.0,98140000,2626000,0.179964,,48148000.0,,32644000,6309000.0,,,210788000,92694000,14953000.0,,-1534145000,28205000,,62458000.0,-1157000,304456000,5239000,768000,-33334000.0,,,,
