date,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock
1984-03-31,,,300100000,300100000,,,,,,,,,,,,,,,,3389960000.0,300100000,,,,,,,,,0.002857,,,,,,,9100000,,,,,,,,,,,,,,,3389960000.0,,,,,,,,,,,,,,,,,,,0.002857,,,,,,
1984-06-30,,,422100000,422100000,,,,,,,,,,,,,,,,3358880000.0,422100000,,,,,,,,,0.005714,,,,,,,18300000,,,,,,,,,,,,,,,3358880000.0,,,,,,,,,,,,,,,,,,,0.005714,,,,,,
1984-09-30,,,-947000000,477400000,,,,,,324200000.0,,,687600000.0,255200000.0,,149600000.0,259100000.0,,,,-947000000,,,464600000.0,,,,,,,,,,,,0.0,30900000,,49900000.0,69000000.0,,,,,,,264600000.0,,,-73700000.0,,,25300000.0,69000000.0,,,,,,75900000.0,,,,,,788800000.0,,101200000.0,114900000.0,114900000.0,,,,,,,
1984-12-31,,,698300000,698300000,,,,,,,,,,,,,,,,3400544000.0,698300000,,,,,,,,,0.013571,,,,,,,46100000,,,,,,,,,,,,,,,3400544000.0,,,,,,,,,,,,,,,,,,,0.013571,,,,,,
1985-03-31,,,435300000,435300000,,,,,,,,,,,,,,,,3444952000.0,435300000,,,,,,,,,0.002857,,,,,,,10000000,,,,,,,,,,,,,,,3444952000.0,,,,,,,,,,,,,,,,,,,0.002857,,,,,,
1985-06-30,,,374900000,374900000,,,,,,,,,,,,,,,,3444952000.0,374900000,,,,,,,,,-0.005,,,,,,,-17200000,,,,,,,,,,,,,,,3444952000.0,,,,,,,,,,,,,,,,,,,-0.005,,,,,,
1985-09-30,,,-1361300000,409700000,,,,,,385700000.0,,,822100000.0,295400000.0,,175600000.0,320300000.0,,,,-1361300000,,,550500000.0,,,,,,,,,,,,0.0,22300000,,97900000.0,90300000.0,,,,,,,167000000.0,,,-85200000.0,,,23700000.0,90300000.0,,,,,,90400000.0,,,,,,936200000.0,,114100000.0,337000000.0,337000000.0,,,,,,,
1985-12-31,,,533900000,533900000,,,,,,,,,,,,,,,,3459456000.0,533900000,,,,,,,,,0.016429,,,,,,,56900000,,,,,,,,,,,,,,,3459456000.0,,,,,,,,,,,,,,,,,,,0.016429,,,,,,
1986-03-31,,,408900000,408900000,,,,,,,,,,,,,,,,3508400000.0,408900000,,,,,,,,,0.009286,,,,,,,31800000,,,,,,,,,,,,,,,3508400000.0,,,,,,,,,,,,,,,,,,,0.009286,,,,,,
1986-06-30,,,448300000,448300000,,,,,,,,,,,,,,,,3565016000.0,448300000,,,,,,,,,0.009286,,,,,,,32300000,,,,,,,,,,,,,,,3565016000.0,,,,,,,,,,,,,,,,,,,0.009286,,,,,,
1986-09-30,,,-1117600000,510800000,,,,,,466000000.0,,,1040900000.0,328500000.0,,222000000.0,474300000.0,,,,-1117600000,,,694100000.0,,,,,,,,,,,,0.0,32900000,,92900000.0,137500000.0,,,,,,,108700000.0,,,-114700000.0,,,11900000.0,137500000.0,,,,,,107300000.0,,,,,,1160100000.0,,119200000.0,576200000.0,576200000.0,,,,,,,
1986-12-31,,,662300000,662300000,,,,,,,,,,,,,,,,3565016000.0,662300000,,,,,,,,,0.016429,,,,,,,58500000,,,,,,,,,,,,,,,3565016000.0,,,,,,,,,,,,,,,,,,,0.016429,,,,,,
1987-03-31,,,575300000,575300000,,,,,,,,,,,,,,,,3507168000.0,575300000,,,,,,,,,0.009286,,,,,,,33900000,,,,,,,,,,,,,,,3507168000.0,,,,,,,,,,,,,,,,,,,0.009286,,,,,,
1987-06-30,,,637100000,637100000,,,,,,,,,,,,,,,,3507168000.0,637100000,,,,,,,,,0.014286,,,,,,,53500000,,,,,,,,,,,,,,,3507168000.0,,,,,,,,,,,,,,,,,,,0.014286,,,,,,
1987-09-30,,,-1503100000,786500000,,,,,,641400000.0,,,1307400000.0,478700000.0,,289100000.0,573100000.0,,,,-1503100000,,,836500000.0,,,,,,,,,,,,-100000.0,71700000,,110900000.0,162700000.0,,,,,,,225800000.0,,,-158700000.0,,,40100000.0,162800000.0,,,,,,130400000.0,,,,,,1477900000.0,,170500000.0,565100000.0,565100000.0,,,,,,,
1987-12-31,,,1042400000,1042400000,,,,,,,,,,,,,,,,3515820000.0,1042400000,,,,,,,,,0.032857,,,,,,,121400000,,,,,,,,,,,,,,,3515820000.0,,,,,,,,,,,,,,,,,,,0.032857,,,,,,
1988-03-31,,,867200000,867200000,,,,,,,,,,,,,,,,3486588000.0,867200000,,,,,,,,,0.022143,,,,,,,79700000,,,,,,,,,,,,,,,3486588000.0,,,,,,,,,,,,,,,,,,,0.022143,,,,,,
1988-06-30,,,993100000,993100000,,,,,,,,,,,,,,,,3655680000.0,993100000,,,,,,,,,0.025714,,,,,,,91300000,,,,,,,,,,,,,,,3655680000.0,,,,,,,,,,,,,,,,,,,0.025714,,,,,,
1988-09-30,,,-2282400000,1168700000,,,,,,1078700000.0,,,1783000000.0,827100000.0,,420400000.0,776500000.0,,,,-2282400000,,,1003400000.0,,,,,,,,,,,,0.0,108000000,,137000000.0,251600000.0,,,127900000.0,,,,461500000.0,,,-213000000.0,,,91700000.0,251600000.0,,,,,,207400000.0,,699200000.0,,,,2082100000.0,,299100000.0,545700000.0,545700000.0,,,,,,,
1988-12-31,,,1405100000,1405100000,,,,,,,,,,,,,,,,3571316000.0,1405100000,,,,,,,,,0.039286,,,,,,,140500000,,,,,,,,,,,,,,,3571316000.0,,,,,,,,,,,,,,,,,,,0.039286,,,,,,
1989-03-31,,,1246900000,1246900000,,,,,,,,,,,,,,,,3576916000.0,1246900000,,,,,,,,,0.015714,,,,,,,56400000,,,,,,,,,,,,,,,3576916000.0,,,,,,,,,,,,,,,,,,,0.015714,,,,,,
1989-06-30,,,1248200000,1248200000,,,,,,,,,,,,,,,,3472448000.0,1248200000,,,,,,,,,0.026429,,,,,,,96100000,,,,,,,,,,,,,,,3472448000.0,,,,,,,,,,,,,,,,,,,0.026429,,,,,,
1989-09-30,,,-3266000000,1383700000,,,,,,1258200000.0,,,2294400000.0,895300000.0,,643300000.0,1175900000.0,,,,-3266000000,,,1485700000.0,,,,,,,,,,,,0.0,161000000,,587900000.0,362900000.0,,,56800000.0,,,,475400000.0,,,-309100000.0,,,115300000.0,362900000.0,,,,,,334200000.0,,504300000.0,,,,2743900000.0,,449500000.0,438300000.0,438300000.0,,,,334200000.0,,,
1989-12-31,-444900000.0,54100000.0,190000000,1493400000,-212200000.0,824900000.0,124800000.0,0.0,,1289500000.0,,-14000000.0,2325500000.0,892700000.0,,704300000.0,1247500000.0,33900000.0,-98900000.0,3640000000.0,237800000,,,1523800000.0,,,-22600000.0,,668500000.0,0.034286,634900000.0,48800000.0,,,587100000.0,0.0,124800000,,739400000.0,396800000.0,-62900000.0,25000000.0,67900000.0,-76700000.0,,14600000.0,426600000.0,124800000.0,100000.0,-342400000.0,,3640000000.0,125900000.0,396800000.0,261100000.0,-27800000.0,79800000.0,,204600000.0,361900000.0,,566100000.0,198200000.0,,,2813300000.0,,487800000.0,410500000.0,410500000.0,0.034286,318200000.0,47800000.0,258700000.0,,438300000.0,
1990-03-31,-59200000.0,73400000.0,199200000,1346200000,84300000.0,780900000.0,131800000.0,0.0,,1224800000.0,,-13500000.0,2269700000.0,774300000.0,,745800000.0,1341300000.0,53700000.0,-114400000.0,3548461538.0,243500000,,,1550900000.0,,,-20200000.0,,565300000.0,0.037143,581700000.0,114100000.0,,,537400000.0,0.0,131800000,,652600000.0,450500000.0,-42800000.0,23700000.0,20000000.0,-152200000.0,,16900000.0,312500000.0,131800000.0,-100000.0,-377500000.0,,3548461538.0,137700000.0,450500000.0,303300000.0,235300000.0,84300000.0,,216100000.0,368300000.0,,518500000.0,260500000.0,,,2775700000.0,,506000000.0,645800000.0,645800000.0,0.037143,206500000.0,44200000.0,235800000.0,,0.0,
1990-06-30,-343300000.0,86300000.0,182300000,1364800000,-121600000.0,786500000.0,119800000.0,0.0,,1382700000.0,,-13400000.0,2339000000.0,886900000.0,,793400000.0,1334800000.0,45300000.0,-173100000.0,3494166667.0,232200000,,,1506800000.0,,,-42000000.0,,578300000.0,0.034286,604200000.0,20600000.0,,,554300000.0,0.0,119800000,,676600000.0,495800000.0,-50800000.0,20500000.0,24900000.0,-161100000.0,,14100000.0,291900000.0,119800000.0,0.0,-414700000.0,,3494166667.0,171800000.0,495800000.0,301800000.0,19200000.0,76600000.0,,196400000.0,378700000.0,,582900000.0,251000000.0,,,2889500000.0,,550500000.0,665000000.0,665000000.0,0.034286,314500000.0,49900000.0,279100000.0,,0.0,
1990-09-30,-577000000.0,-68500000.0,140600000,1354100000,-324000000.0,762700000.0,98500000.0,0.0,,1528900000.0,,-12900000.0,2403300000.0,1027000000.0,,844900000.0,1312200000.0,6000000.0,-183200000.0,,201400000,,,1446800000.0,,,-12700000.0,,591400000.0,,622100000.0,-63600000.0,,,561300000.0,100000.0,98500000,,911200000.0,501900000.0,-67800000.0,34300000.0,122600000.0,-64000000.0,,20900000.0,355500000.0,98500000.0,0.0,-446700000.0,,,174200000.0,501800000.0,97700000.0,-290300000.0,62900000.0,,161400000.0,398200000.0,,563800000.0,29900000.0,,,2975700000.0,,572400000.0,374700000.0,374700000.0,,333500000.0,60800000.0,340600000.0,,0.0,
1990-12-31,-148900000.0,-9200000.0,228400000,1675500000,291700000.0,907800000.0,150500000.0,0.0,,1612200000.0,,-13900000.0,2544000000.0,1072300000.0,,917000000.0,1405300000.0,38100000.0,-61900000.0,3292187500.0,275500000,,,1545100000.0,,,-12100000.0,,767700000.0,0.045714,679400000.0,-53000000.0,,,632300000.0,0.0,150500000,,542700000.0,539900000.0,-74200000.0,21400000.0,23000000.0,-154000000.0,,14400000.0,408500000.0,150500000.0,0.0,-480700000.0,,3292187500.0,177000000.0,539900000.0,226900000.0,364600000.0,92200000.0,,242700000.0,436300000.0,,632000000.0,152700000.0,,,3157300000.0,,613300000.0,739300000.0,739300000.0,0.045714,526900000.0,47100000.0,417300000.0,,374700000.0,
1991-03-31,-169700000.0,-270500000.0,186600000,1597700000,21100000.0,825000000.0,131100000.0,0.0,,1607800000.0,,-14100000.0,2812900000.0,996200000.0,,949800000.0,1520500000.0,71700000.0,-5600000.0,3398888889.0,232500000,,,1814400000.0,,,-17300000.0,,772700000.0,0.038571,638400000.0,-212500000.0,,,592500000.0,0.0,131100000,,526800000.0,611600000.0,-39000000.0,168800000.0,6000000.0,132100000.0,,25000000.0,620900000.0,131100000.0,0.0,-513900000.0,,3398888889.0,173400000.0,611600000.0,-18100000.0,135100000.0,80400000.0,,211500000.0,435900000.0,,569200000.0,-57100000.0,,,3422200000.0,,609300000.0,874300000.0,874300000.0,0.038571,247100000.0,45900000.0,421000000.0,,0.0,
1991-06-30,-2600000.0,-26600000.0,-88800000,1528600000,-23900000.0,753700000.0,-53100000.0,0.0,,1789200000.0,,-14400000.0,2828300000.0,1286800000.0,,997800000.0,1426800000.0,-109300000.0,-107600000.0,3379090909.0,-35300000,,,1666300000.0,,,-21400000.0,,774900000.0,-0.015714,842500000.0,-112400000.0,,,789100000.0,100000.0,-53100000,,554200000.0,502400000.0,-53500000.0,-156500000.0,156300000.0,58800000.0,,3300000.0,733300000.0,-53100000.0,0.0,-552700000.0,,3379090909.0,182100000.0,502300000.0,-135500000.0,-100600000.0,-32500000.0,,-85600000.0,445100000.0,,768800000.0,-189000000.0,,,3455500000.0,,627200000.0,773700000.0,773700000.0,-0.015714,53600000.0,53500000.0,361700000.0,,0.0,
1991-09-30,-289500000.0,-94400000.0,121300000,1507000000,-230600000.0,712700000.0,81200000.0,0.0,,1726900000.0,,-14100000.0,2863600000.0,1217100000.0,,1036000000.0,1492000000.0,7500000.0,-9600000.0,,179200000,,,1766700000.0,,,-6400000.0,,794300000.0,,591400000.0,61700000.0,,,533500000.0,-100000.0,81200000,,680600000.0,509800000.0,-51600000.0,224000000.0,148600000.0,5600000.0,,9800000.0,671700000.0,81200000.0,100000.0,-588000000.0,,,182000000.0,509900000.0,55400000.0,-169600000.0,49800000.0,,131000000.0,448000000.0,,711400000.0,3800000.0,,,3493600000.0,,630000000.0,604100000.0,604100000.0,,116900000.0,57900000.0,357100000.0,,0.0,
1991-12-31,-461600000.0,44400000.0,262600000,1862600000,-261000000.0,863000000.0,166000000.0,0.0,,1822700000.0,-100000.0,-14200000.0,3071600000.0,1270800000.0,,1046600000.0,1639300000.0,42100000.0,-20300000.0,3417647059.0,312400000,,,1922800000.0,,,-39600000.0,,999600000.0,0.048571,600400000.0,28300000.0,,,550600000.0,0.0,166000000,,924700000.0,551900000.0,-51600000.0,18700000.0,45700000.0,-118700000.0,,5100000.0,643300000.0,166000000.0,-100000.0,-590500000.0,,3417647059.0,217800000.0,551900000.0,305700000.0,-74000000.0,101800000.0,,267800000.0,456100000.0,,824300000.0,254100000.0,,,3745500000.0,,673900000.0,530100000.0,530100000.0,0.048571,291800000.0,49800000.0,400800000.0,,604100000.0,
1992-03-31,-572600000.0,82900000.0,210400000,1716000000,-180400000.0,805800000.0,135100000.0,0.0,,1853900000.0,300000.0,-14500000.0,3256900000.0,1250900000.0,,1048400000.0,1739800000.0,51000000.0,-51700000.0,3438909091.0,260700000,,,2087000000.0,,,-27800000.0,,910200000.0,0.039286,595400000.0,100800000.0,,,545100000.0,0.0,135100000,,1074300000.0,603000000.0,-42000000.0,71400000.0,136300000.0,95900000.0,,7500000.0,542500000.0,135100000.0,200000.0,-590500000.0,,3438909091.0,226100000.0,603000000.0,321300000.0,236700000.0,82800000.0,,217900000.0,457900000.0,,773600000.0,279300000.0,,,3940900000.0,,684000000.0,766800000.0,766800000.0,0.039286,462000000.0,50200000.0,341000000.0,,0.0,
1992-06-30,-449800000.0,5000000.0,201100000,1740200000,-240200000.0,828500000.0,131700000.0,0.0,,1999800000.0,-300000.0,-14300000.0,3423200000.0,1357700000.0,,1058400000.0,1831200000.0,39100000.0,-103200000.0,3414444444.0,258300000,,,2121400000.0,,,-7500000.0,,911700000.0,0.038571,627400000.0,6800000.0,,,570300000.0,0.0,131700000,,1199500000.0,642100000.0,-57400000.0,42600000.0,180200000.0,-31100000.0,,11300000.0,535800000.0,131700000.0,-100000.0,-590500000.0,,3414444444.0,230100000.0,642100000.0,235600000.0,-35500000.0,80700000.0,,212400000.0,467900000.0,,788100000.0,178200000.0,,,4121200000.0,,698000000.0,731300000.0,731300000.0,0.038571,274500000.0,57200000.0,389400000.0,,0.0,
1992-09-30,-637300000.0,-111600000.0,131600000,1767700000,-231000000.0,815000000.0,97600000.0,0.0,,2036300000.0,-100000.0,-14200000.0,3558400000.0,1425500000.0,,1135600000.0,1904500000.0,-31300000.0,-37400000.0,,191600000,,,2187400000.0,,,5500000.0,,952700000.0,,683400000.0,-44300000.0,,,623400000.0,0.0,97600000,,1392500000.0,610800000.0,-43900000.0,24500000.0,184500000.0,-22800000.0,,25700000.0,580100000.0,97600000.0,0.0,-673400000.0,,,203100000.0,610800000.0,21100000.0,-232800000.0,59900000.0,,157500000.0,462200000.0,,814100000.0,-22800000.0,,,4223700000.0,,665300000.0,498600000.0,498600000.0,,444700000.0,60000000.0,426900000.0,,0.0,
1992-12-31,-699900000.0,-186300000.0,240800000,2000300000,64700000.0,850300000.0,161300000.0,0.0,,2211800000.0,200000.0,-14200000.0,3703300000.0,1537800000.0,,1328800000.0,2026500000.0,63200000.0,-65800000.0,3370447761.0,280200000,,,2282800000.0,,,33400000.0,,1150000000.0,0.047857,609500000.0,-16500000.0,,,570100000.0,0.0,161300000,,1323600000.0,674000000.0,-44300000.0,16300000.0,190600000.0,-57600000.0,,19400000.0,596600000.0,161300000.0,0.0,-689500000.0,,3370447761.0,152000000.0,674000000.0,78800000.0,85900000.0,98900000.0,,260200000.0,639300000.0,,880000000.0,34500000.0,,,4494600000.0,,791300000.0,584400000.0,584400000.0,0.047857,775500000.0,39400000.0,467200000.0,,498600000.0,
1993-03-31,-224800000.0,-247300000.0,169100000,1973900000,268100000.0,801900000.0,110900000.0,0.0,,2183900000.0,-100000.0,-13500000.0,3654600000.0,1469500000.0,,1374000000.0,2077300000.0,40400000.0,-133800000.0,3375217391.0,211900000,,,2286200000.0,,,-26000000.0,,1172000000.0,0.032857,632800000.0,-280200000.0,,,591700000.0,0.0,110900000,,931500000.0,714400000.0,-48500000.0,38900000.0,59900000.0,-239100000.0,,9800000.0,876800000.0,110900000.0,-100000.0,-723700000.0,,3375217391.0,165200000.0,714400000.0,-52800000.0,-23800000.0,68000000.0,,178900000.0,650300000.0,,795900000.0,-101300000.0,,,4470100000.0,,815500000.0,560600000.0,560600000.0,0.032857,567400000.0,42800000.0,613700000.0,,0.0,
1993-06-30,-435100000.0,-81700000.0,-306700000,1862000000,-52700000.0,647400000.0,-188300000.0,0.0,,2747500000.0,0.0,-14000000.0,3920400000.0,2097200000.0,,1414900000.0,1856300000.0,-64100000.0,-73900000.0,3214878049.0,-265300000,,,2020500000.0,,,-35200000.0,,1214600000.0,-0.058571,954100000.0,-361900000.0,,,912700000.0,0.0,-188300000,,1023100000.0,650300000.0,-72600000.0,12700000.0,308200000.0,173200000.0,,2900000.0,1238700000.0,-188300000.0,200000.0,-755400000.0,,3214878049.0,188100000.0,650300000.0,-288000000.0,-167500000.0,-115400000.0,,-303700000.0,659500000.0,,1129500000.0,-360600000.0,,,4768000000.0,,847600000.0,393200000.0,393200000.0,-0.058571,490200000.0,41400000.0,659500000.0,,0.0,
1993-09-30,-72200000.0,-431400000.0,7100000,2140800000,212700000.0,592900000.0,2700000.0,0.0,,3145000000.0,0.0,-13900000.0,4338400000.0,2515200000.0,,1412600000.0,1842600000.0,-20500000.0,0.0,,49600000,,,2026400000.0,,,12600000.0,,1547900000.0,,585800000.0,-267900000.0,,,543300000.0,0.0,2700000,,773500000.0,629800000.0,-47700000.0,17400000.0,823200000.0,470400000.0,,-2900000.0,1506600000.0,2700000.0,-48100000.0,-753100000.0,,,173500000.0,629800000.0,-399800000.0,283300000.0,1700000.0,,4400000.0,659500000.0,,949400000.0,-447500000.0,,,5171400000.0,,833000000.0,676400000.0,676400000.0,,320000000.0,42500000.0,742600000.0,,0.0,
1993-12-31,-151000000.0,246800000.0,64700000,2468800000,8000000.0,592000000.0,40000000.0,972300000.0,,2989200000.0,,-14000000.0,4208000000.0,2328200000.0,,1373100000.0,1868700000.0,31200000.0,,1637384000.0,107300000,,,2053200000.0,1248000000.0,,-33900000.0,,1876800000.0,0.012143,527300000.0,168000000.0,,,374700000.0,0.0,40000000,,498600000.0,661000000.0,-23600000.0,5400000.0,752300000.0,-79500000.0,,0.0,1338600000.0,40000000.0,0.0,-730800000.0,,1637384000.0,192100000.0,661000000.0,367400000.0,295900000.0,24500000.0,,64500000.0,642300000.0,152600000.0,836300000.0,343800000.0,150400000.0,,5042400000.0,,834400000.0,972400000.0,1122800000.0,0.012143,216500000.0,42600000.0,739600000.0,-26500000.0,676400000.0,211100000.0
1994-03-31,-19500000.0,-111400000.0,34800000,2076700000,63900000.0,537200000.0,17400000.0,0.0,,3176800000.0,,-14100000.0,4421800000.0,2172100000.0,,1418800000.0,1871900000.0,38800000.0,,3045000000.0,72900000,,,2109100000.0,,,8700000.0,,1539500000.0,0.005714,502400000.0,52000000.0,,304900000.0,464300000.0,0.0,17400000,,705400000.0,1004700000.0,-75800000.0,43000000.0,490700000.0,65100000.0,,-6700000.0,1286600000.0,17400000.0,0.0,-742100000.0,,3045000000.0,187400000.0,699800000.0,-14700000.0,114300000.0,10700000.0,,28100000.0,676700000.0,,919300000.0,-90500000.0,,,5285900000.0,,864100000.0,1086600000.0,1086600000.0,0.005714,150500000.0,38100000.0,762100000.0,,972300000.0,
1994-06-30,-86700000.0,5100000.0,105500000,2149900000,-101400000.0,573900000.0,138100000.0,1141700000.0,,2878300000.0,200000.0,-14200000.0,4260000000.0,1917500000.0,,1425900000.0,1995800000.0,-43800000.0,,3328080000.0,147100000,,,2245100000.0,1277100000.0,,-10200000.0,,1576000000.0,0.041429,468400000.0,89600000.0,,304800000.0,332900000.0,0.0,138100000,,557500000.0,960800000.0,-24000000.0,3600000.0,1031200000.0,14200000.0,,126900000.0,1197100000.0,138100000.0,0.0,-760900000.0,,3328080000.0,198400000.0,656000000.0,142300000.0,55100000.0,84600000.0,,222700000.0,665000000.0,135400000.0,190300000.0,118300000.0,86600000.0,,5123400000.0,,863400000.0,1141700000.0,1228300000.0,0.041429,19500000.0,41600000.0,696000000.0,-15500000.0,0.0,264800000.0
1994-09-30,-54900000.0,66400000.0,190400000,2493200000,27700000.0,678800000.0,114700000.0,1203500000.0,,2919400000.0,,-14300000.0,4476500000.0,1944300000.0,,1452200000.0,2096200000.0,14600000.0,,,236100000,,,2383300000.0,1581300000.0,,31700000.0,,1814400000.0,,488400000.0,108600000.0,,304500000.0,346300000.0,0.0,114700000,,255800000.0,975100000.0,-36200000.0,30100000.0,292200000.0,-207900000.0,,0.0,1088400000.0,114700000.0,0.0,-785100000.0,,,159100000.0,670600000.0,242000000.0,61800000.0,70300000.0,,184900000.0,667100000.0,142100000.0,770400000.0,205800000.0,54400000.0,,5302700000.0,,826200000.0,1203500000.0,1257900000.0,,87100000.0,45700000.0,881700000.0,-10800000.0,1141700000.0,297900000.0
1994-12-31,-410000000.0,161000000.0,267000000,2832000000,-419000000.0,814000000.0,188000000.0,1148000000.0,,2971000000.0,,-14000000.0,4718000000.0,1935000000.0,,1462000000.0,2270000000.0,61000000.0,,3404800000.0,305000000,,,2562000000.0,1599000000.0,,-12000000.0,,2018000000.0,0.055714,547000000.0,4000000.0,,304000000.0,415000000.0,0.0,188000000,,179000000.0,1036000000.0,-22000000.0,9000000.0,209000000.0,-89000000.0,,17000000.0,1084000000.0,188000000.0,0.0,-801000000.0,,3404800000.0,154000000.0,732000000.0,453000000.0,-55000000.0,111000000.0,,299000000.0,661000000.0,132000000.0,770000000.0,431000000.0,439000000.0,,5533000000.0,,815000000.0,1148000000.0,1587000000.0,0.055714,25000000.0,38000000.0,956000000.0,-17000000.0,1203000000.0,309000000.0
1995-03-31,-518000000.0,-148000000.0,166000000,2652000000,-212000000.0,695000000.0,73000000.0,1375000000.0,,3336000000.0,,-15000000.0,5161000000.0,2243000000.0,,1454000000.0,2331000000.0,57000000.0,,3434032000.0,195000000,,,2714000000.0,1633000000.0,,-11000000.0,,1957000000.0,0.021429,529000000.0,100000000.0,,304000000.0,386000000.0,0.0,73000000,,208000000.0,1093000000.0,-30000000.0,29000000.0,627000000.0,432000000.0,,0.0,984000000.0,73000000.0,0.0,-791000000.0,,3434032000.0,226000000.0,789000000.0,7000000.0,227000000.0,43000000.0,,116000000.0,663000000.0,143000000.0,762000000.0,-23000000.0,611000000.0,,6050000000.0,,889000000.0,1375000000.0,1986000000.0,0.021429,347000000.0,29000000.0,854000000.0,44000000.0,1148000000.0,339000000.0
