date,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables
1984-03-31,0.05,,,,,,,,,,,,,,,327808000.0,285600000,,285600000,285600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600000,,,,,,0.05,,,,,,,,,,,,,,,,,327808000.0,,,,
1984-06-30,0.05,,,,,,,,,,,,,,,327680000.0,279900000,,279900000,279900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15400000,,,,,,0.05,,,,,,,,,,,,,,,,,327680000.0,,,,
1984-09-30,,606800000.0,,,28100000.0,,,,,148100000.0,148100000.0,52400000.0,,,,,-715700000,,305100000,-715700000,-275100000.0,,706300000.0,,,245700000.0,565500000.0,,,,,,,,,,,546200000.0,,431200000.0,223000000.0,,,,,563700000.0,226500000.0,1129200000.0,,22200000,,,,276700000.0,100000.0,,,,,22700000.0,,522400000.0,,50100000.0,,104400000.0,,166000000.0,,,,,,,,,
1984-12-31,0.05,,,,,,,,,,,,,,,324208000.0,253100000,,253100000,253100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500000,,,,,,0.05,,,,,,,,,,,,,,,,,324208000.0,,,,
1985-03-31,0.07,,,,,,,,,,,,,,,322928000.0,287400000,,287400000,287400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,,,,,,0.07,,,,,,,,,,,,,,,,,322928000.0,,,,
1985-06-30,0.07,,,,,,,,,,,,,,,322928000.0,287400000,,287400000,287400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22600000,,,,,,0.07,,,,,,,,,,,,,,,,,322928000.0,,,,
1985-09-30,,681100000.0,,,24000000.0,,,,,118400000.0,118400000.0,67200000.0,,,,,-690200000,,315900000,-690200000,-318400000.0,,797400000.0,,,282800000.0,576500000.0,,,,,,,,,,,610000000.0,,479000000.0,221600000.0,,,,,664400000.0,220700000.0,1240900000.0,,28900000,,,,277000000.0,0.0,,,,,61200000.0,,559800000.0,,56300000.0,,161400000.0,,182700000.0,,,,,,,,,
1985-12-31,0.06,,,,,,,,,,,,,,,322240000.0,265400000,,265400000,265400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500000,,,,,,0.06,,,,,,,,,,,,,,,,,322240000.0,,,,
1986-03-31,0.1,,,,,,,,,,,,,,,326168000.0,319100000,,319100000,319100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31100000,,,,,,0.1,,,,,,,,,,,,,,,,,326168000.0,,,,
1986-06-30,0.1,,,,,,,,,,,,,,,330344000.0,337400000,,337400000,337400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31700000,,,,,,0.1,,,,,,,,,,,,,,,,,330344000.0,,,,
