date,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyEbitda,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyInventory,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2004-12-31,9134000,,24149000,12000,1085000,1085000,21237000,1043000.0,,,42345000.0,-4115000.0,,-21000.0,,,-163000.0,18326000.0,,615000.0,1891000.0,-2452000.0,9668000,2282000,20620000,69645000,-7533000.0,-1032000.0,14211000,10655000,2974000,,,42000.0,96463000,987000.0,13655000,,24149000,,9967000,79773000,14514000,,-1837000.0,198000,5662000,110977000,6160000,6160000,33817000,89740000,303000,812000.0,0.0,,1085000.0,0,38506000,,48055000,100000,289000.0,-5020000.0,14526000,,-2436000.0,35828000,,,,,,,,,
2005-09-30,6967000,,23443000,12000,324000,324000,33750000,,,0.012088,29587000.0,-8482000.0,708000.0,,,,-1609000.0,28674000.0,,,,,7675000,4107000,29583000,64583000,,,20192000,7675000,2725000,,,,122376000,,24584000,,23443000,304512000.0,36244000,74529000,22147000,,,215000,3643000,144523000,4242000,4242000,31118000,110773000,1955000,1710000.0,,286968000.0,,0,58690000,,50277000,24919000,586000.0,,11252000,,,33465000,,0.0125,,,,,,,
2005-12-31,12073000,,29632000,15000,62977000,62977000,150830000,324000.0,,,3808000.0,-10268000.0,791000.0,-10843000.0,,,-2055000.0,31133000.0,,13298000.0,51975000.0,-2606000.0,12864000,716000,31699000,87303000,79000.0,1117000.0,20865000,15028000,5079000,,123554000.0,62653000.0,181790000,2164000.0,28067000,,29632000,,5185000,47672000,21897000,,10692000.0,272000,3483000,203687000,6994000,6994000,42496000,52857000,1032000,5252000.0,0.0,,62977000.0,0,53132000,,53607000,2868000,330000.0,-3330000.0,11449000,,-2606000.0,44807000,0.0,,,,,,,,
2006-03-31,14678000,,30132000,16000,58292000,58292000,160700000,62977000.0,,0.0225,3845000.0,-10268000.0,,950000.0,,,-987000.0,33927000.0,,-1797000.0,1690000.0,-4588000.0,14180000,4753000,24761000,87696000,-12853000.0,59000.0,23659000,16018000,5944000,,681000.0,-4685000.0,186480000,1838000.0,36132000,,30132000,395992000.0,4881000,45650000,24751000,,-6385000.0,276000,8734000,211231000,8734000,8734000,44312000,50531000,993000,0.0,0.0,371888000.0,58292000.0,0,63217000,,53475000,3180000,,132000.0,12291000,,-4588000.0,43384000,,0.02375,,,,,,,
2006-06-30,3752000,,34838000,15000,41918000,41918000,167682000,58292000.0,,0.00625,3815000.0,-10268000.0,,4761000.0,,,-832000.0,35555000.0,,-16598000.0,3996000.0,-3810000.0,3369000,0,38890000,79965000,-19336000.0,-2751000.0,25287000,5614000,1328000,,,-16374000.0,202634000,2245000.0,38556000,,34838000,395488000.0,4764000,56637000,26449000,,-20408000.0,327000,2424000,229083000,2424000,2424000,38207000,61401000,968000,1592000.0,0.0,375152000.0,41918000.0,0,63244000,,80220000,3225000,,-26750000.0,13932000,,-3810000.0,41758000,,0.00625,,,,,,,
2006-09-30,22160000,,42692000,15000,44257000,44257000,196413000,41918000.0,,0.04,3626000.0,-10268000.0,,924000.0,,8250000.0,-664000.0,36072000.0,22000000.0,2539000.0,2566000.0,-2559000.0,21983000,0,38302000,127745000,-17279000.0,-3753000.0,25804000,24674000,6190000,,,2339000.0,229775000,2691000.0,54525000,4803000.0,42692000,396792000.0,3989000,64567000,35194000,-22000000.0,-20000.0,396000,15970000,264969000,15970000,15970000,64675000,68556000,948000,0.0,0.0,377312000.0,44257000.0,0,89667000,,74972000,2552000,,4814000.0,22639000,,-2559000.0,63070000,,0.0425,,,,,,,
2006-12-31,18497000,,50661000,16000,70655000,70655000,214388000,44257000.0,,,3442000.0,-19293000.0,,4534000.0,,7875000.0,-566000.0,49216000.0,25000000.0,26557000.0,4327000.0,-4158000.0,17745000,0,42718000,135283000,11997000.0,-276000.0,29923000,20795000,6646000,,755000.0,26398000.0,244952000,3050000.0,66376000,-541000.0,50661000,,3417000,71563000,44416000,-25000000.0,22399000.0,602000,11851000,289368000,11851000,11851000,68406000,74980000,1438000,0.0,0.0,,70655000.0,752000,71867000,,81031000,1893000,,-4700000.0,25403000,,-4158000.0,66877000,,,,,,,,,
2007-03-31,16731000,,44544000,16000,57202000,57202000,226623000,70655000.0,,0.025,3469000.0,-19293000.0,,1792000.0,,7500000.0,-405000.0,54716000.0,22425000.0,-8247000.0,2818000.0,-8042000.0,16037000,1966000,35964000,124329000,-20901000.0,-1474000.0,35423000,19009000,6790000,,853000.0,-13453000.0,238869000,2972000.0,75165000,1215000.0,44544000,398544000.0,5407000,57288000,50449000,-22425000.0,-16289000.0,2446000,9941000,289318000,9941000,9941000,60581000,62695000,1503000,0.0,0.0,380952000.0,57202000.0,694000,84553000,,80068000,2158000,,981000.0,15889000,,-8042000.0,63748000,,0.02625,,,,,,,
2007-06-30,9665000,,50934000,16000,25676000,25676000,235271000,57202000.0,,0.01375,3048000.0,-19293000.0,,1010000.0,,7242000.0,-237000.0,60241000.0,40435000.0,-24246000.0,940000.0,-8307000.0,8165000,0,54273000,120531000,-29559000.0,-2856000.0,40948000,11309000,3953000,,853000.0,-31526000.0,261543000,3144000.0,80877000,-687000.0,50934000,399080000.0,4991000,77600000,56319000,-40435000.0,-32553000.0,2533000,5712000,317862000,5712000,5712000,59099000,82591000,1437000,0.0,0.0,383800000.0,25676000.0,1500000,83088000,,128760000,1772000,,-47259000.0,20279000,,-8307000.0,61432000,,0.015,,,,,,,
2007-09-30,34483000,,60034000,16000,14473000,14473000,260779000,25676000.0,,0.05,12612000.0,-19293000.0,,3018000.0,,6856000.0,129000.0,66917000.0,0.0,-14407000.0,13033000.0,-10013000.0,34483000,5679000,67022000,186863000,-42960000.0,-1979000.0,47624000,38363000,14453000,,907000.0,-11203000.0,319975000,3880000.0,100907000,6622000.0,60708000,400680000.0,5303000,118188000,64295000,0.0,-24420000.0,3300000,20030000,384270000,20030000,20030000,94517000,123491000,1368000,0.0,0.0,385464000.0,14473000.0,674000,128334000,,151760000,1436000,,-24603000.0,32875000,,-10013000.0,92346000,,0.0525,,,,,,,
