date,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTaxProvision,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764500000,764500000,,,,,,,,0.73,,,,,72408000.0,,,764500000,,,,,,,,,,,72408000.0,,52900000,,,,,,,,,,
1984-06-30,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868200000,868200000,,,,,,,,0.64,,,,,73070000.0,,,868200000,,,,,,,,,,,73070000.0,,46700000,,,,,,,,,,
1984-09-30,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811400000,811400000,,,,,,,,0.73,,,,,73188000.0,,,811400000,,,,,,,,,,,73188000.0,,53500000,,,,,,,,,,
1984-12-31,,,,,,359700000.0,,,,-227000000.0,265700000.0,,25800000.0,,,,,,,386900000.0,,,,652600000.0,1565000000.0,,,,,,,,,,310600000.0,310600000.0,-2171500000,693400000,,,,,,468700000.0,,,375800000.0,,613900000.0,912400000.0,,,,-2171500000,1027000000.0,1096300000.0,,,92900000.0,,,,,52800000.0,,,36600000,,42600000.0,14300000.0,,,,,,,
1985-03-31,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790200000,790200000,,,,,,,,0.53,,,,,73232000.0,,,790200000,,,,,,,,,,,73232000.0,,38900000,,,,,,,,,,
1985-06-30,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967400000,967400000,,,,,,,,0.67,,,,,73232000.0,,,967400000,,,,,,,,,,,73232000.0,,48900000,,,,,,,,,,
1985-09-30,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890500000,890500000,,,,,,,,0.61,,,,,73276000.0,,,890500000,,,,,,,,,,,73276000.0,,44700000,,,,,,,,,,
1985-12-31,14600000.0,,,,,386200000.0,,,,-264200000.0,279700000.0,,42700000.0,,406800000.0,,,,,508200000.0,,,,787900000.0,1760300000.0,,,,,,,,,,301000000.0,301000000.0,-2372100000,826500000,,,,,,553700000.0,,,421400000.0,,772400000.0,972400000.0,,,,-2372100000,1136100000.0,1206600000.0,,,132300000.0,,,,,49300000.0,,,49700000,,37700000.0,40300000.0,,,,,,,
1986-03-31,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870600000,870600000,,,,,,,,0.67,,,,,73324000.0,,,870600000,,,,,,,,,,,73324000.0,,49300000,,,,,,,,,,
1986-06-30,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075300000,1075300000,,,,,,,,0.71,,,,,73324000.0,,,1075300000,,,,,,,,,,,73324000.0,,52400000,,,,,,,,,,
1986-09-30,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120000000,1120000000,,,,,,,,0.76,,,,,74062000.0,,,1120000000,,,,,,,,,,,74062000.0,,55800000,,,,,,,,,,
1986-12-31,23300000.0,,,,,541900000.0,,,,-322000000.0,326500000.0,,60800000.0,,514000000.0,,,,,670900000.0,,,,1114100000.0,2202300000.0,,116700000.0,,,,,,,,227800000.0,227800000.0,-2770400000,942900000,,,,,,852500000.0,,,537300000.0,,992900000.0,1088200000.0,,,,-2770400000,1260700000.0,1349800000.0,,,315200000.0,,,,,170900000.0,,,42300000,,58400000.0,83500000.0,,,,,,,
1987-03-31,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961000000,961000000,,,,,,,,0.66,,,,,74093000.0,,,961000000,,,,,,,,,,,74093000.0,,48700000,,,,,,,,,,
1987-06-30,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136600000,1136600000,,,,,,,,0.65,,,,,74128000.0,,,1136600000,,,,,,,,,,,74128000.0,,47400000,,,,,,,,,,
1987-09-30,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109300000,1109300000,,,,,,,,0.63,,,,,73990000.0,,,1109300000,,,,,,,,,,,73990000.0,,44600000,,,,,,,,,,
1987-12-31,217000000.0,,,,,624500000.0,,,,-349800000.0,407400000.0,,65800000.0,,587100000.0,,,,,779900000.0,,,,1312500000.0,2417500000.0,,125200000.0,,,,,,,,88000000.0,88000000.0,-2941800000,972100000,,,,,,1113700000.0,,,804100000.0,,1129700000.0,1105000000.0,,,,-2941800000,1374000000.0,1303800000.0,,,309600000.0,,,,,165500000.0,,,40400000,,69100000.0,78300000.0,,,,,,,
1988-03-31,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041800000,1041800000,,,,,,,,0.48,,,,,69232000.0,,,1041800000,,,,,,,,,,,69232000.0,,37100000,,,,,,,,,,
1988-06-30,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126900000,1126900000,,,,,,,,0.6,,,,,69232000.0,,,1126900000,,,,,,,,,,,69232000.0,,46700000,,,,,,,,,,
1988-09-30,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151800000,1151800000,,,,,,,,0.45,,,,,69232000.0,,,1151800000,,,,,,,,,,,69232000.0,,36600000,,,,,,,,,,
1988-12-31,730900000.0,,,,,536800000.0,,,,-404700000.0,651700000.0,,139300000.0,,667700000.0,,,,,819900000.0,,,,1582400000.0,3409700000.0,,110800000.0,,,,,,,,143400000.0,143400000.0,-3118400000,994000000,,,,,,2088800000.0,,,1398600000.0,,1224600000.0,1827300000.0,,,,-3118400000,1391900000.0,1320900000.0,,,690200000.0,,,,,473800000.0,,,40900000,,86600000.0,77100000.0,,,,,,,
1989-03-31,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576100000,1576100000,,,,,,,,0.59,,,,,69232000.0,,,1576100000,,,,,,,,,,,69232000.0,,40700000,,,,,,,,,,
1989-06-30,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638800000,1638800000,,,,,,,,0.72,,,,,69310000.0,,,1638800000,,,,,,,,,,,69310000.0,,50400000,,,,,,,,,,
