date,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyBasicAverageShares,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyGoodwill,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue
1993-03-31,1668571429.0,,,,,,,,,,,,7300000,,,,,,7300000,7300000,0.004375,,,,,,,,,,,,,,,,,,,,,,,1668571429.0,,,,,,,,,,,,,31100000,,31100000,,,,,,,31100000,,,0.004375,,,,,,,,
1993-06-30,1737142857.0,,,,,,,,,,,,7600000,,,,,,7600000,7600000,0.004375,,,,,,,,,,,,,,,,,,,,,,,1737142857.0,,,,,,,,,,,,,33500000,,33500000,,,,,,,33500000,,,0.004375,,,,,,,,
1993-09-30,1805714286.0,,,,,,,,,,,,7900000,,,,,,7900000,7900000,0.004375,,,,,,,,,,,,,,,,,,,,,,,1805714286.0,,,,,,,,,,,,,35500000,,35500000,,,,,,,35500000,,,0.004375,,,,,,,,
1993-12-31,,35700000.0,61600000.0,,,,,232200000.0,33500000.0,,3500000.0,,11600000,436900000.0,401200000.0,,100000.0,265700000.0,11600000,11600000,,0.0,,,,,35700000.0,,39500000.0,189200000.0,,,,,,,0.0,,171200000.0,,,,,,,-70900000.0,,,,,472000000.0,,,,,,-11100000,0.0,57800000,,33500000.0,,,,401100000.0,-11100000,,,,,,,,,,,
1994-03-31,1961739130.0,0.0,,12700000.0,13600000.0,800000.0,,,0.0,,,-29700000.0,14100000,0.0,,52400000.0,,,14100000,14100000,0.007188,,-72900000.0,-11300000.0,0.0,,,-100000.0,,,,10700000.0,,,13500000.0,,,,0.0,,0.0,,25000000.0,1961739130.0,,,-80600000.0,2700000.0,0.0,,,,50900000.0,,22000000.0,800000.0,38900000,,63100000,,,10500000.0,,10900000.0,,51600000,,0.0,0.007188,,,,,,,,
1994-06-30,1905454545.0,0.0,,13200000.0,-15900000.0,400000.0,,,0.0,,,-52800000.0,13100000,0.0,,49500000.0,,,13100000,13100000,0.006875,,-62400000.0,-8800000.0,0.0,,,-200000.0,,,,12000000.0,,,13700000.0,,,,0.0,,0.0,,23600000.0,1905454545.0,,,-73300000.0,3400000.0,0.0,,,,20500000.0,,41800000.0,127200000.0,35800000,,61500000,,,10100000.0,,10500000.0,,49100000,,0.0,0.006875,,,,,,,,
1994-09-30,1989565217.0,0.0,,13800000.0,-6700000.0,900000.0,,,0.0,,,-72800000.0,14300000,0.0,,52300000.0,,,14300000,14300000,0.007188,,-99500000.0,-9200000.0,0.0,,,0.0,,,,13800000.0,,,14700000.0,,,,0.0,,0.0,,25900000.0,1989565217.0,,,-105200000.0,2600000.0,0.0,,,,32400000.0,,67200000.0,100000.0,37600000,,66100000,,,11000000.0,,11600000.0,,51400000,,0.0,0.007188,,,,,,,,
1994-12-31,,60300000.0,115900000.0,17400000.0,7200000.0,800000.0,,325400000.0,56200000.0,,4000000.0,-55200000.0,12700000,737800000.0,677500000.0,53600000.0,0.0,381600000.0,12700000,12700000,,100000.0,-96400000.0,-8500000.0,0.0,8900000.0,51300000.0,-300000.0,78500000.0,242900000.0,,14700000.0,,,18200000.0,,0.0,,356200000.0,,0.0,,23100000.0,,,-125100000.0,-102300000.0,3600000.0,-100000.0,,802600000.0,,47100000.0,,49200000.0,300000.0,35400000,0.0,68300000,,56200000.0,9800000.0,,10400000.0,677500000.0,52800000,,0.0,,,,,,,,,
1995-03-31,2154666667.0,67000000.0,125900000.0,18000000.0,3200000.0,1100000.0,,364600000.0,66200000.0,,90700000.0,-32400000.0,10100000,798100000.0,731100000.0,51500000.0,0.0,430800000.0,10100000,10100000,0.004688,,-71100000.0,-9100000.0,0.0,,,-500000.0,,273900000.0,,14000000.0,,,19100000.0,,0.0,,367300000.0,,0.0,,18400000.0,2154666667.0,,-125100000.0,-71400000.0,4900000.0,0.0,,856200000.0,,39000000.0,,32100000.0,1100000.0,32400000,0.0,65500000,,66200000.0,7700000.0,,8300000.0,731100000.0,50400000,,0.0,0.004688,,,,,,,,
1995-06-30,2148571429.0,60500000.0,135300000.0,19900000.0,-13400000.0,1000000.0,,395700000.0,46200000.0,,98800000.0,-25600000.0,9400000,819600000.0,759100000.0,52600000.0,0.0,441900000.0,9400000,9400000,0.004375,,-47100000.0,-8900000.0,0.0,,,-200000.0,,296900000.0,,15200000.0,,,20900000.0,,0.0,,377700000.0,,0.0,,17200000.0,2148571429.0,,-125100000.0,-49000000.0,6100000.0,-400000.0,,884200000.0,,23400000.0,,23700000.0,1000000.0,31700000,0.0,67800000,,46200000.0,7200000.0,,7800000.0,759100000.0,51600000,,0.0,0.004375,,,,,,,,
