date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables
2004-06-30,39859000000.0,,,50220000000.0,50294000000.0,,0.0,,,169915000000.0,,119621000000.0,,,90079000000.0,,,,,,,,,14545000000.0,,,,,,,,,,,,,,75688000000.0,,,32505000000.0,,3244000000.0,3244000000.0,,,,4380000000.0,,,,,,,,,,,,95165000000.0,,,,95165000000.0,50220000000.0,,,,,,,,,,,,
2004-09-30,42599000000.0,,,56043000000.0,58712000000.0,533000000.0,0.0,5371000000.0,7174000000.0,181189000000.0,,122477000000.0,,,98642000000.0,-9184000000.0,12081000000.0,,5619000000.0,5371000000.0,,9638000000.0,,16866000000.0,13459000000.0,,,,58604000000.0,6447000000.0,3948000000.0,-3382000000.0,37898000000.0,,,9410000000.0,,77813000000.0,-517000000.0,,,,3948000000.0,3948000000.0,,7173000000.0,0.0,4338000000.0,,,38399000000.0,,-2234000000.0,,,,294000000.0,,-3192000000.0,97430000000.0,5634000000.0,70685000000.0,3791000000.0,97430000000.0,,9410000000.0,778000000.0,-8378000000.0,,,,,,,,,
2004-12-31,41210998930.4,80788000090.1,,54852001326.5,62049000682.5,13452000871.0,0.0,4570998473.2,,187445999829.1,,125396999146.6,4190000592.2,5792999730.7,96063000256.9,7834001011.3,10942999774.3,,4975999868.0,4570998473.2,,8857999313.5,,15374999528.6,12930000243.1,,,,65357999795.2,1615997826.7,9201000000.0,5836998481.9,23627000466.5,604000863.5,3948000000.0,7868000488.0,,86049999999.7,,-3416999503.8,,-101528999715.4,9201000953.2,9201000953.2,,5734000610.0,754999629.1,4528000262.5,,,18693000552.0,,-831999246.3,,,,-741000474.0,,-4654999974.2,189447000323.9,9327001947.6,76300999569.5,2892000620.0,87918000608.5,,12813000709.3,,5254000825.5,45.8,,,,,,,,
2005-03-31,39592000000.0,82180000000.0,5492000000.0,64650000000.0,72752000000.0,3539000000.0,,6675000000.0,18966000000.0,196657000000.0,-188000000.0,123905000000.0,3155000000.0,9910000000.0,104242000000.0,494000000.0,13591000000.0,,7020000000.0,6675000000.0,,8000000000.0,689.175078,17517000000.0,12625000000.0,1573000000.0,,-4776000000.0,58565000000.0,4358000000.0,10082000000.0,-1898000000.0,45188000000.0,583000000.0,9201000000.0,11294000000.0,,86738000000.0,-24000000.0,-725000000.0,0.0,-104712000000.0,10082000000.0,10082000000.0,50000000.0,5718000000.0,70000000.0,4428000000.0,689.175078,967324735.0,45820000000.0,,-1943000000.0,969881705.0,,83662000000.0,261000000.0,8426000000.0,-2934000000.0,85779000000.0,9233000000.0,72156000000.0,4274000000.0,85779000000.0,15145000000.0,14519000000.0,-1143000000.0,974000000.0,-500000000.0,,,,,,,,
2005-06-30,37752000000.0,85407000000.0,2048000000.0,70676000000.0,81506000000.0,3917000000.0,0.0,5236000000.0,17040000000.0,202497000000.0,-243000000.0,120991000000.0,3136000000.0,7812000000.0,108428000000.0,309000000.0,13180000000.0,,5461000000.0,5236000000.0,,7905000000.0,,18566000000.0,12807000000.0,1080000000.0,,-2009000000.0,69464000000.0,4358000000.0,11520000000.0,-2856000000.0,51420000000.0,583000000.0,10082000000.0,10056000000.0,,87829000000.0,274000000.0,-71000000.0,0.0,-104712000000.0,11520000000.0,11520000000.0,182000000.0,5479000000.0,-70000000.0,4403000000.0,,,52678000000.0,,-2060000000.0,,,142000000.0,248000000.0,5784000000.0,-3736000000.0,84816000000.0,8822000000.0,82644000000.0,4595000000.0,84816000000.0,12519000000.0,13122000000.0,1946000000.0,1345000000.0,0.0,,,,,,,,
2005-09-30,37733000000.0,89769000000.0,-2680000000.0,103692000000.0,121300000000.0,3763000000.0,0.0,9032000000.0,17527000000.0,241230000000.0,-135000000.0,119930000000.0,2903000000.0,4102000000.0,141425000000.0,90000000.0,15731000000.0,,9484000000.0,9032000000.0,,7795000000.0,,21490000000.0,12411000000.0,3081000000.0,,-1902000000.0,60704000000.0,4390000000.0,15998000000.0,5995000000.0,83812000000.0,578000000.0,11520000000.0,15042000000.0,,92353000000.0,667000000.0,,0.0,-104712000000.0,15998000000.0,15998000000.0,4232000000.0,6714000000.0,0.0,4361000000.0,,,82912000000.0,,-5602000000.0,,125000000.0,103000000.0,275000000.0,1107000000.0,-3787000000.0,85601000000.0,11341000000.0,76435000000.0,5558000000.0,85601000000.0,14066000000.0,17945000000.0,-1210000000.0,4478000000.0,-1523000000.0,,,,,,,,
2005-12-31,36628000000.0,90578000000.0,9349000000.0,84964000000.0,97892000000.0,5549000000.0,0.0,4368000000.0,18287000000.0,219516000000.0,-139000000.0,121624000000.0,2787000000.0,27154000000.0,121592000000.0,-874000000.0,11607000000.0,,3653000000.0,4368000000.0,,7578000000.0,,19776000000.0,10763000000.0,1389000000.0,,-3813000000.0,63889000000.0,3662000000.0,11730000000.0,-10002000000.0,66386000000.0,571000000.0,15998000000.0,8175000000.0,,90924000000.0,-2532000000.0,,0.0,-103251000000.0,11730000000.0,11730000000.0,712000000.0,5338000000.0,696998468.3,4350000000.0,,,69013000000.0,,3941000000.0,,52000000.0,3584000000.0,-195999739.7,14796000000.0,-5447000000.0,190809000000.0,7945000000.0,75496000000.0,3572000000.0,87558000000.0,10613000000.0,3736000000.0,-543000000.0,-4268000000.0,-2965000000.0,,,,,,,,
2006-03-31,36592000000.0,82180000000.0,3680000000.0,80470000000.0,95168000000.0,3413000000.0,,6893000000.0,18184000000.0,220033000000.0,-231000000.0,124865000000.0,2812000000.0,4667000000.0,117062000000.0,360000000.0,14042000000.0,,7016000000.0,6893000000.0,,7347000000.0,2.1,21600000000.0,11061000000.0,1978000000.0,,-1838000000.0,61922000000.0,3879000000.0,12767000000.0,-3342000000.0,60801000000.0,583000000.0,11730000000.0,12326000000.0,,95501000000.0,-40000000.0,-1129000000.0,0.0,-103251000000.0,12767000000.0,12767000000.0,8000000.0,5185000000.0,0.0,4444000000.0,2.12,3254900000.0,62350000000.0,,-1401000000.0,3267650000.0,91000000.0,16782000000.0,,7499000000.0,-3819000000.0,88537000000.0,10163000000.0,75964000000.0,5310000000.0,88537000000.0,12935000000.0,15138000000.0,-1333000000.0,1037000000.0,-1344000000.0,,,,,,,,
2006-06-30,40082000000.0,,1022000000.0,82235000000.0,98761000000.0,4679000000.0,,7324000000.0,19603000000.0,230550000000.0,-177000000.0,131789000000.0,3132000000.0,8481000000.0,122317000000.0,423000000.0,15289000000.0,,7324000000.0,7324000000.0,,8472000000.0,2.26,24660000000.0,12007000000.0,1829000000.0,,-2091000000.0,67838000000.0,4679000000.0,11774000000.0,-6291000000.0,62327000000.0,,12767000000.0,12392000000.0,,100213000000.0,29000000.0,71000000.0,0.0,-103251000000.0,11774000000.0,11774000000.0,36000000.0,6112000000.0,47000000.0,4721000000.0,2.26,3228800000.0,63701000000.0,,-2373000000.0,3241550000.0,135000000.0,100213000000.0,,7652000000.0,-6630000000.0,94102000000.0,10610000000.0,83127000000.0,4865000000.0,94102000000.0,12422000000.0,13742000000.0,3995000000.0,-993000000.0,-2512000000.0,,,,,,,,
2006-09-30,39587000000.0,,4347000000.0,83566000000.0,98526000000.0,4126000000.0,,5942000000.0,19437000000.0,233444000000.0,-159000000.0,134918000000.0,3365000000.0,4598000000.0,123153000000.0,662000000.0,13871000000.0,,6255000000.0,5942000000.0,,7665000000.0,,23391000000.0,12485000000.0,957000000.0,,-2083000000.0,70383000000.0,4613000000.0,11240000000.0,-4994000000.0,63895000000.0,,11774000000.0,10762000000.0,,101604000000.0,-38000000.0,-302000000.0,0.0,-103251000000.0,11240000000.0,11240000000.0,37000000.0,6395000000.0,0.0,4697000000.0,,,64445000000.0,,693000000.0,,149000000.0,101604000000.0,401000000.0,9755000000.0,-5408000000.0,96133000000.0,9258000000.0,84254000000.0,4507000000.0,96133000000.0,12726000000.0,14127000000.0,-2814000000.0,-534000000.0,-2801000000.0,,,,,,,,
