date,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncomeContinuousOperations,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2009-03-31,0.007133,2000000,-58000000,,-64000000,-34000000,81000000,7000000,,,,-98000000,,,,,164000000,,132000000,-31000000,4000000,467000000,276545786.0,,,,0,300000000,,4000000,,,4000000.0,-56000000,623000000,,,,,,-121000000,1102000000,,117000000,,2000000,,0.007232,,,,506000000,,376000000,,-161000000,,7000000.0,-88000000,49000000,411000000,,,280379828.0,479000000,,,,,,,,,,,,
2009-06-30,,-10000000,-108000000,,-68000000,185000000,-180000000,-14000000,,,,117000000,,,,,151000000,,137000000,-12000000,-44000000,411000000,,,,,-25000000,244000000,,-5000000,,,-5000000.0,-24000000,698000000,,,,,,-3000000,1182000000,,176000000,,-10000000,,,,,,522000000,,386000000,,-994000000,,9000000.0,-55000000,-71000000,387000000,,,,484000000,,,,,,,,,,,,
2009-09-30,,-527000000,-4000000,,-72000000,172000000,-86000000,-468000000,,,,100000000,,,,,168000000,,145000000,-7000000,-534000000,387000000,,,,,-99000000,-221000000,,7000000,,,7000000.0,23000000,706000000,,,,,,-114000000,1227000000,,198000000,,-527000000,,,,,,508000000,,365000000,,-83000000,,1000000.0,-78000000,-566000000,410000000,,,,521000000,,,,,,,,,,,,
2009-12-31,,44000000,-3000000,498000000.0,-78000000,194000000,-86000000,47000000,14600000000.0,12954000000.0,-447000000.0,116000000,107000000.0,514000000.0,514000000.0,551000000.0,164000000,-1739000000.0,148000000,0,-29000000,410000000,,22000000.0,1646000000.0,1624000000.0,-73000000,283000000,593000000.0,8000000,0.0,,8000000.0,104000000,758000000,,-48000000.0,1000000000.0,,11788000000.0,260000000,1297000000,1040000000.0,214000000,82000000.0,44000000,0.0,,,4757000000.0,10164000000.0,544000000,435000000.0,396000000,2798000000.0,-83000000,7056000000.0,4000000.0,-6000000,-80000000,514000000,1065000000.0,8548000000.0,,539000000,,,,,,,,,,,,
2010-03-31,0.149797,42000000,-2000000,456000000.0,-53000000,-29000000,-32000000,48000000,14343000000.0,12825000000.0,,-82000000,101000000.0,410000000.0,410000000.0,519000000.0,162000000,-1697000000.0,141000000,-14000000,49000000,514000000,276545786.0,22000000.0,1518000000.0,1463000000.0,-1000000,352000000,569000000.0,5000000,0.0,,5000000.0,-104000000,676000000,,-89000000.0,822000000.0,,11524000000.0,-148000000,1196000000,,135000000,105000000.0,42000000,0.0,0.151874,,4687000000.0,10061000000.0,541000000,435000000.0,400000000,2809000000.0,-30000000,7033000000.0,6000000.0,-32000000,75000000,410000000,1072000000.0,8470000000.0,280379828.0,520000000,,,,,,,,,,,,
2010-06-30,0.264678,74000000,-4000000,435000000.0,-93000000,158000000,-65000000,77000000,14194000000.0,12648000000.0,,65000000,40000000.0,371000000.0,371000000.0,509000000.0,160000000,-1623000000.0,136000000,-24000000,88000000,410000000,276748497.0,22000000.0,1546000000.0,1448000000.0,13000000,384000000,578000000.0,4000000,0.0,,4000000.0,-39000000,742000000,,-181000000.0,863000000.0,,11389000000.0,8000000,1270000000,,201000000,118000000.0,74000000,0.0,0.27,,4618000000.0,9941000000.0,541000000,427000000.0,405000000,2796000000.0,-65000000,6968000000.0,-1000000.0,-122000000,46000000,371000000,1033000000.0,8399000000.0,279585358.0,528000000,,,,,,,,,,,,
2010-09-30,0.04,11000000,-18000000,425000000.0,-80000000,165000000,-43000000,22000000,14427000000.0,12801000000.0,,85000000,38000000.0,423000000.0,423000000.0,531000000.0,169000000,-1612000000.0,142000000,-5000000,23000000,371000000,276651344.0,22000000.0,1626000000.0,1450000000.0,2000000,334000000,583000000.0,4000000,0.0,,4000000.0,52000000,768000000,,-95000000.0,910000000.0,,11530000000.0,-6000000,1289000000,,212000000,104000000.0,11000000,0.0,0.04,,4649000000.0,10080000000.0,556000000,398000000.0,414000000,2888000000.0,-21000000,7068000000.0,0.0,-87000000,-21000000,423000000,1016000000.0,8533000000.0,280176824.0,521000000,,,,,,,,,,,,
2010-12-31,,3000000,-70000000,412000000.0,-108000000,249000000,-123000000,7000000,14429000000.0,12775000000.0,-562000000.0,141000000,94000000.0,421000000.0,421000000.0,520000000.0,169000000,-1609000000.0,139000000,-12000000,-57000000,423000000,,22000000.0,1654000000.0,1607000000.0,-60000000,251000000,599000000.0,5000000,0.0,,5000000.0,-2000000,811000000,,-96000000.0,962000000.0,,11533000000.0,181000000,1371000000,1161000000.0,243000000,99000000.0,3000000,0.0,,,4607000000.0,9926000000.0,568000000,452000000.0,429000000,2887000000.0,-1116000000,7096000000.0,2000000.0,-124000000,-133000000,421000000,942000000.0,8464000000.0,,560000000,,,,,,,,,,,,
2011-03-31,-0.55,-182000000,-212000000,383000000.0,-52000000,-52000000,125000000,-180000000,14690000000.0,13043000000.0,,-104000000,149000000.0,396000000.0,396000000.0,550000000.0,140000000,-1791000000.0,136000000,-60000000,-312000000,421000000,331248626.0,30000000.0,1647000000.0,1590000000.0,-134000000,-36000000,586000000.0,4000000,0.0,1801000000.0,4000000.0,-25000000,753000000,,-48000000.0,889000000.0,-2000000.0,10124000000.0,-241000000,1302000000,,74000000,105000000.0,-182000000,0.0,-0.55,,4610000000.0,8534000000.0,679000000,447000000.0,543000000,4555000000.0,-1751000000,7242000000.0,-1000000.0,-113000000,-247000000,396000000,934000000.0,7050000000.0,331248626.0,549000000,,,,,,,,,,,,
2011-06-30,0.189455,69000000,-3000000,352000000.0,-90000000,122000000,-28000000,69000000,14870000000.0,13106000000.0,,32000000,225000000.0,374000000.0,374000000.0,541000000.0,114000000,-1722000000.0,135000000,-36000000,105000000,396000000,358792103.0,30000000.0,1764000000.0,1772000000.0,39000000,354000000,595000000.0,6000000,0.0,0.0,6000000.0,-22000000,826000000,,-40000000.0,966000000.0,,10219000000.0,-88000000,1396000000,,241000000,116000000.0,69000000,0.0,0.19,,4633000000.0,8447000000.0,585000000,465000000.0,450000000,4640000000.0,-27000000,7300000000.0,2000000.0,-121000000,-24000000,374000000,943000000.0,6963000000.0,364203419.0,570000000,,,,,,,,,,,,
