date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,13906187000,4922253000,126929000,,42614507000,88154033000,12019624000.0,561921000.0,5702049000,18016535000,51781755000,5583671000,24484320000,621497000,768072000,1241973000,20869824000,15947571000,9325652000,6861967000,82669000,-7289692000.0,37875568000,25056927000.0,45539526000,17767235000,997393000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,19993964000,4451128000,211484000,8113448000.0,51503424000,103377151000,17515309000.0,0.0,6707451000,21254387000,64203940000,6229715000,26113364000,621497000,750179000,1858174000,24962765000,20511637000,7256781000,7850283000,93693000,,44209976000,,51873727000,18612408000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,25142126000,6478648000,376875000,7242827000.0,60555574000,118374806000,21881961000.0,0.0,7369201000,22053447000,73375720000,6901609000,29873136000,621497000,958658000,2476645000,27813625000,21334977000,9856198000,8617385000,144876000,-8792782000.0,48233594000,29346123000.0,57819232000,20553341000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,35502753000,9882889000,370685000,8365424000.0,69275563000,135145297000,31538109000.0,0.0,11467167000,23276349000,87401094000,9485782000,32252194000,621497000,939797000,2729312000,30185030000,20302141000,11492488000,9172007000,138009000,,51898341000,,65869734000,20377656000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,34791975000,7406727000,1659425000,8362271000.0,68620482000,137537618000,30357179000.0,824137000.0,10025355000,23700289000,89051464000,7119548000,31830184000,621497000,1670461000,2942737000,24184480000,16777753000,22813727000,11330982000,213060000,-10585865000.0,54259489000,32099112000.0,68917136000,21513247000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,34730165000,8636661000,1659425000,6009087000.0,73458502000,141666692000,,30381033000.0,8209319000,22123841000,90053035000,7265470000,32570949000,621497000,1616555000,3217684000,19573961000,10937300000,27372868000,12478453000,210441000,,55322870000,,68208190000,22807732000,2299647000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,34997905000,10656075000,1736060000,2517820000.0,76454469000,162198352000,30225901000.0,0.0,372222000,31301225000,104979956000,38285665000,35197301000,0,1244004000,3185749000,32744543000,22088468000,27333872000,11358235000,193592000,-12750300000.0,69982051000,47637605000.0,85743883000,34887305000,18818620000.0,17002317000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,44316604000,8554971000,2778821000,2751303000.0,86769217000,172873121000,38455430000.0,0.0,242112000,31127463000,114465663000,39815964000,35679174000,0,1904980000,3363061000,30205784000,21650813000,29724457000,9029216000,200696000,,70149059000,36203044000.0,86103904000,36203044000,21441734000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,45064462000,13465979000,3050328000,2839919000.0,102113547000,183123922000,40223263000.0,0.0,207541000,35355188000,121824093000,35594218000,39628233000,0,1871056000,3768315000,29853170000,16387191000,20331229000,11309513000,526864000,-14132995000.0,76759631000,57671255000.0,81010375000,43538260000,1636739000.0,21525751000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,126313717000,92984132000,3605737000,2983052000.0,126579888000,313314239000,44841262000.0,14546357000.0,720904000,50497039000,245941717000,40824279000,43990095000,0,2094546000,5321199000,126017440000,33033308000,938382000,14092728000,57933733000,,119628000000,48610434000.0,186734351000,48610434000,1262962000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,127330514000,32791439000,6842031000,3610965000.0,190539347000,324832783000,51180339000.0,12229753000.0,569082000,54471795000,249148291000,37309761000,49408423000,0,2226693000,6577690000,72982246000,40190807000,624909000,13154238000,55584123000,-15160367000.0,121817777000,70245418000.0,134293436000,55085051000,1561511000.0,27242205000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
