date,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyEbitda,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyCapitalExpenditure,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables
2018-06-30,6000000,,,,,488200000.0,152000000,,,0.03,9000000,24000000,488200000.0,,,,,,,,1820000000,30000000,0.03,,878000000,15000000,,,,38000000,942000000,,,,,15000000,840000000,15000000,722000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,7000000,,,,,488200000.0,132000000,,,-0.42,-91000000,-298000000,488200000.0,,,,,,,,1762000000,-291000000,-0.42,,568000000,-207000000,,,,-284000000,1194000000,,,,,-207000000,852000000,-207000000,692000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,98000000,1735000000.0,41000000.0,-2097000000.0,1440000000.0,,166000000,18000000.0,2879000000.0,,-37000000,-198000000,,10684000000.0,27301000000.0,23668000000.0,500000000.0,500000000.0,20000000.0,663000000.0,1914000000,-100000000,,7786000000.0,879000000,-161000000,3514000000.0,3633000000.0,4976000000.0,-75000000,1035000000,8899000000.0,1386000000.0,19515000000.0,1831000000.0,-161000000,954000000,-161000000,734000000,1528000000.0,4272000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,35000000,,,,,488200000.0,167000000,,,-0.8,294000000,-96000000,488200000.0,,,,,,,,1903000000,-61000000,-0.8,,947000000,-390000000,,,,-53000000,956000000,,,,,-390000000,1000000000,-390000000,760000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,35000000,,,,,488200000.0,179000000,,,-0.14,2000000,-64000000,488200000.0,,,,,,,,1868000000,-29000000,-0.14,,950000000,-66000000,,,,-18000000,918000000,,,,,-66000000,968000000,-66000000,717000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
