date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2011-09-30,,,,,,,,,,-0.341085,,129000000.0,,,-44000000,,,,0.0,,130000000.0,,-44000000,-44000000,1000000,-47000000,,,,,1000000,,,,,0.0,,,,-74000000,,,,,,,,,,,,,,26000000,,,,,0,,,,-0.341085,-1000000,,-30000000,,,,,,-48000000,,,,,
2011-12-31,1828000000.0,,,-74000000.0,,2213000000.0,0.0,0.0,,,2070000000.0,,2070000000.0,,69000000,0.0,,2070000000.0,0.0,84000000.0,,4041000000.0,69000000,69000000,1000000,145000000,553000000.0,1275000000.0,,39000000.0,1000000,0.0,-9000000.0,0.0,0.0,0.0,,0.0,-1971000000.0,113000000,,,-111000000.0,,,0.0,0.0,,0.0,,20000000.0,158000000.0,0.0,31000000,,1168000000.0,83000000.0,,0,,0.0,-74000000.0,,-1000000,,44000000,0.0,12000000.0,0.0,,,144000000,,,,,
2012-03-31,,,,-48000000.0,,,,,-45000000.0,-0.217054,,129000000.0,,0.0,-28000000,,-21000000.0,,0.0,94000000.0,130000000.0,,-28000000,-28000000,1000000,-34000000,,,,,1000000,,-44000000.0,0.0,,0.0,,0.0,,-64000000,1000000.0,,-2000000.0,,,,,,,,-21000000.0,8000000.0,,29000000,,,92000000.0,,0,,,-48000000.0,-0.217054,-1000000,,-36000000,0.0,3000000.0,,0.0,0.0,-35000000,,,,,
2012-06-30,,,,7000000.0,,,,,-52000000.0,0.852713,,129000000.0,,0.0,110000000,,26000000.0,,0.0,-193000000.0,130000000.0,,110000000,110000000,0,182000000,,,,,0,,296000000.0,0.0,,0.0,,0.0,,155000000,0.0,,-110000000.0,,,,,,,,26000000.0,84000000.0,,27000000,,,-303000000.0,,0,,,7000000.0,0.846154,0,,45000000,0.0,-37000000.0,,0.0,0.0,182000000,,,,,
2012-09-30,2294000000.0,,,-50000000.0,,2448000000.0,1235000000.0,0.0,-35000000.0,-1.222748,2643000000.0,73604700.0,3878000000.0,0.0,-90000000,0.0,,2643000000.0,0.0,1323000000.0,73604700.0,4742000000.0,-90000000,-90000000,4000000,-139000000,708000000.0,1586000000.0,,16000000.0,4000000,0.0,-35000000.0,1235000000.0,,0.0,,0.0,-864000000.0,-170000000,348000000.0,,-3000000.0,,0.0,1235000000.0,1235000000.0,,0.0,,-24000000.0,-7000000.0,6000000.0,27000000,,1251000000.0,1320000000.0,,0,,0.0,-50000000.0,-1.222748,-4000000,,-80000000,1235000000.0,1000000.0,287000000.0,1000000.0,0.0,-143000000,,,,,
2012-12-31,3886000000.0,,,52000000.0,,2519000000.0,2273000000.0,26000000.0,-379000000.0,,9023000000.0,,11296000000.0,13000000.0,1072000000,14000000.0,,2362000000.0,36000000.0,-48000000.0,,6405000000.0,1070000000,1072000000,27000000,1221000000,1891000000.0,1969000000.0,,99000000.0,47000000,0.0,398000000.0,1961000000.0,106000000.0,0.0,,1235000000.0,551000000.0,1183000000,-252000000.0,,-5000000.0,,206000000.0,1961000000.0,1961000000.0,,6632000000.0,,17000000.0,140000000.0,14000000.0,27000000,,1373000000.0,275000000.0,,36000000,,15000000.0,53000000.0,,-11000000,,113000000,726000000.0,-1528000000.0,35000000.0,5000000.0,0.0,1223000000,,,,,
2013-03-31,3994000000.0,,,-63000000.0,,2110000000.0,1434000000.0,2000000.0,-696000000.0,-1.89,9522000000.0,36000000.0,10956000000.0,77000000.0,-68000000,14000000.0,76000000.0,2924000000.0,230000000.0,-2000000.0,36000000.0,6104000000.0,-54000000,-68000000,106000000,-111000000,1808000000.0,2184000000.0,,69000000.0,219000000,0.0,-674000000.0,783000000.0,158000000.0,0.0,,1961000000.0,484000000.0,-127000000,-6000000.0,,-452000000.0,,493000000.0,783000000.0,783000000.0,,6569000000.0,,23000000.0,-192000000.0,12000000.0,27000000,-9000000.0,1020000000.0,-450000000.0,,230000000,,15000000.0,-54000000.0,-1.89,11000000,,-73000000,-1178000000.0,17000000.0,70000000.0,17000000.0,0.0,-23000000,,,,,
2013-06-30,3087000000.0,508000000.0,,102000000.0,,2119000000.0,1571000000.0,34000000.0,-471000000.0,0.3,8506000000.0,37000000.0,10077000000.0,79000000.0,11000000,15000000.0,-102000000.0,1922000000.0,247000000.0,0.0,37000000.0,5206000000.0,28000000,11000000,116000000,6000000,1795000000.0,1258000000.0,,116000000.0,231000000,0.0,1025000000.0,857000000.0,178000000.0,0.0,,783000000.0,479000000.0,2000000,-29000000.0,,-1890000000.0,,28000000.0,1365000000.0,857000000.0,,6550000000.0,,-123000000.0,11000000.0,26000000.0,20000000,-16000000.0,1006000000.0,-1069000000.0,,247000000,,19000000.0,118000000.0,0.3,16000000,,-26000000,74000000.0,15000000.0,47000000.0,15000000.0,-42000000.0,101000000,,,,,
2013-09-30,3051000000.0,552000000.0,,131000000.0,,2147000000.0,1287000000.0,43000000.0,-588000000.0,1.0,8754000000.0,36000000.0,10041000000.0,79000000.0,36000000,17000000.0,147000000.0,2229000000.0,255000000.0,-1000000.0,37000000.0,5198000000.0,46000000,36000000,130000000,53000000,1736000000.0,1272000000.0,,113000000.0,249000000,0.0,-318000000.0,526000000.0,190000000.0,0.0,,857000000.0,478000000.0,42000000,1000000.0,,-65000000.0,,19000000.0,1078000000.0,526000000.0,283000000.0,6483000000.0,,138000000.0,23000000.0,41000000.0,17000000,-14000000.0,927000000.0,-158000000.0,5000000.0,255000000,,25000000.0,145000000.0,0.97,6000000,,-4000000,-331000000.0,30000000.0,47000000.0,15000000.0,-100000000.0,138000000,,,,,
2013-12-31,3041000000.0,543000000.0,,161000000.0,,2010000000.0,1351000000.0,43000000.0,-16000000.0,,8633000000.0,,9984000000.0,76000000.0,84000000,17000000.0,-2000000.0,2391000000.0,213000000.0,-7000000.0,,5051000000.0,77000000,84000000,140000000,33000000,1636000000.0,1362000000.0,,109000000.0,257000000,0.0,-31000000.0,658000000.0,124000000.0,0.0,,526000000.0,558000000.0,-28000000,36000000.0,,-11000000.0,,26000000.0,1201000000.0,658000000.0,1000000.0,6191000000.0,,63000000.0,205000000.0,38000000.0,17000000,-18000000.0,939000000.0,-16000000.0,3000000.0,213000000,,34000000.0,179000000.0,,-44000000,,-105000000,132000000.0,-1000000.0,50000000.0,19000000.0,-3000000.0,65000000,,,,,
