date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyEndCashPosition,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyGoodwill
2014-06-30,,-576119000.0,,,,,,,18643000,,,190652000.0,,-90099000,-93442000,60611000,,-25211000,,,,-269000000.0,124167000,-1250052000,-197563000,,63556000.0,1022948000.0,0.0,,-11.702362,-165656000,,-11.702362,,40329000.0,148490000.0,1599067000.0,-488000.0,,,245722000,,,16882318.0,-743797000.0,,-76350000.0,20954000,86087000.0,1281000.0,185063000,16882318.0,,128992000.0,453900000.0,,-385745000.0,,,,,264365000,-69145000,220089000,,5061000.0,,121555000,,,,,,,,
2015-03-31,18630000.0,-1002055000.0,274268000.0,15478509000.0,237956000.0,55879000.0,16587472000.0,19923708000.0,25787000,16003444000.0,0.0,296077000.0,2254344000.0,-203660000,-203376000,184068000,2044290000.0,72898000,117661000.0,2044290000.0,,-327779000.0,288482000,-3762915000,-463656000,95220000.0,104414000.0,2044290000.0,-2977000.0,617780000.0,,-4307774000,19676345000.0,,49263000.0,-121243000.0,476642000.0,3046345000.0,-491885000.0,242788000.0,971467000.0,330989000,4690010000.0,23192000.0,,-323431000.0,-770821000.0,-197184000.0,47308000,69901000.0,2088000.0,244139000,,317702000.0,-637061000.0,3483202000.0,-2828302000.0,-3588347000.0,,0.0,15916495000.0,115945000.0,356776000,-156352000,-719427000,15145674000.0,11465000.0,3336236000.0,42507000,,3672901000.0,,,,,,
2015-06-30,18230000.0,-620312000.0,164184000.0,16470361000.0,397518000.0,126071000.0,17907324000.0,20640577000.0,34703000,17059431000.0,0.0,413904000.0,2427402000.0,-241490000,-240168000,144880000,1423736000.0,-102698000,141991000.0,1423736000.0,,-468599000.0,284939000,-1181592000,-499450000,97215000.0,140059000.0,1423734000.0,0.0,604187000.0,-29.584208,-1767267000,20630402000.0,-29.584208,53759000.0,-159562000.0,473031000.0,2044046000.0,-244927000.0,6922000.0,726541000.0,535491000,4950323000.0,25204000.0,16882318.0,192011000.0,-909100000.0,-1066733000.0,-18412000,126609000.0,2118000.0,294061000,16882318.0,340904000.0,-503708000.0,948505000.0,-3068229000.0,-1378035000.0,,0.0,17289071000.0,125789000.0,570194000,-259902000,-389232000,16379971000.0,-34908000.0,2733253000.0,250552000,,3570971000.0,,,,,,
2015-09-30,,,,,,,,,42994000,,,,,-446958000,-439182000,207208000,,-170283000,,,,,382405000,294736000,-825349000,,,,4950370000.0,,-48.888369,-191069000,,-48.888369,,,,,,,,597900000,,,16882318.0,294736000.0,,,-26900000,,,390692000,16882318.0,,,4950370000.0,,,,,,,640894000,-473858000,-191069000,,,,215495000,,,,,,,,
2015-12-31,30358000.0,,214749000.0,16218685000.0,554898000.0,129489000.0,22725343000.0,29270158000.0,49611000,18132718000.0,0.0,,5908794000.0,-372861000,-373326000,129362000,3744450000.0,-59699000,272157000.0,3744450000.0,80365000.0,,309753000,-6304530000,-822800000,97633000.0,,,1458753000.0,695462000.0,-48.737383,2109589000,26373316000.0,-48.737383,65916000.0,,,,,2901154000.0,1772359000.0,598211000,9461504000.0,28036000.0,16882318.0,-6304530000.0,-1260649000.0,,134739000,,,468849000,16882318.0,1183240000.0,,1458753000.0,-3899746000.0,,,0.0,22319315000.0,134242000.0,647822000,-238122000,2109589000,21058666000.0,,6544815000.0,288458000,,8240598000.0,,,,,,
2016-03-31,39936000.0,-654064000.0,214487000.0,18776128000.0,556755000.0,126122000.0,26291307000.0,31329013000.0,63340000,20917309000.0,6785000.0,715380000.0,5750696000.0,-593440000,-597422000,191313000,3090386000.0,5299000,470048000.0,3090386000.0,80201000.0,-1070418000.0,383447000,-1967669000,1139504000,105875000.0,192134000.0,3090386000.0,-9007000.0,910402000.0,,-3423690000,29033518000.0,,51935000.0,-36335000.0,1074850000.0,3744450000.0,-754069000.0,2295825000.0,1899488000.0,703897000,9733340000.0,28807000.0,,656361000.0,-1450519000.0,-1590066000.0,238318000,305810000.0,2278000.0,552392000,,1190142000.0,-999980000.0,2108032000.0,-4508156000.0,-2628494000.0,-2000.0,0.0,25831948000.0,45215000.0,767237000,-355122000,-795196000,24381429000.0,269994000.0,5037706000.0,320450000,32000.0,8116209000.0,,,,,,
2016-06-30,52836000.0,4403000.0,306268000.0,18915419000.0,877453000.0,147563000.0,27782380000.0,32555426000.0,86515000,21105865000.0,6888000.0,657626000.0,1978473000.0,-231674000,-225890000,157085000,3094789000.0,-134926000,490760000.0,3261773000.0,80080000.0,-733850000.0,392843000,-1109193000,-100867000,108302000.0,235758000.0,3094789000.0,977047000.0,891850000.0,-6.0,-1625187000,26043647000.0,-6.0,98507000.0,-320698000.0,574570000.0,3090386000.0,28464000.0,5554848000.0,2378676000.0,935178000,68000.0,37512000.0,16882318.0,556040000.0,-1683942000.0,-1012611000.0,-33648000,198663000.0,1149000.0,628062000,16882318.0,1192939000.0,-394226000.0,1225317000.0,-4743580000.0,-1506794000.0,,166984000.0,27788997000.0,46722000.0,1021693000,-265322000,-118393000,26105055000.0,-62989000.0,4773046000.0,542335000,,4937782000.0,,,,,,
2016-09-30,67959000.0,,461171000.0,21996497000.0,640440000.0,117364000.0,30508599000.0,40456570000.0,75371000,24492581000.0,6956000.0,,7982428000.0,-138871000,-143094000,258425000,6116438000.0,76127000,513520000.0,6274001000.0,80081000.0,,504968000,-4385433000,-226363000,12332000.0,,,7104592000.0,1864279000.0,-9.575067,308509000,35894555000.0,-9.575067,311350000.0,,,,,3600863000.0,2713654000.0,819540000,11594500000.0,32351000.0,23640879.0,-4385433000.0,,,-53820000,,,561115000,23640879.0,1376008000.0,,7104592000.0,-4895546000.0,,,157563000.0,,47276000.0,894911000,-192691000,308509000,28396044000.0,,9947971000.0,314572000,,11401974000.0,,,,,,
2016-12-31,85151000.0,,677180000.0,26919833000.0,685098000.0,230921000.0,39487979000.0,50100110000.0,83160000,29839541000.0,7466000.0,,1698161000.0,-514297000,-490057000,169206000,5896429000.0,-135558000,892901000.0,8420170000.0,80025000.0,,419471000,-9107183000,-534024000,11688000.0,,,8852986000.0,2049626000.0,-23.0,33634000,35597885000.0,-23.0,0.0,,,,,13565311000.0,3024265000.0,865644000,1073000.0,51247000.0,22798811.0,-9107183000.0,,,334614000,,,696438000,22798811.0,1379251000.0,,8852986000.0,-5396712000.0,,,2523741000.0,,47792000.0,948804000,-179683000,33634000,37243499000.0,,10612131000.0,446173000,,5758344000.0,,,,,,
2017-03-31,109151000.0,,484477000.0,31142762000.0,1138605000.0,189309000.0,43472919000.0,57493965000.0,130741000,34347666000.0,6631000.0,,4015046000.0,-306728000,-313605000,212446000,5460670000.0,381551000,1078255000.0,8757467000.0,79937000.0,,526445000,-7342453000,-332797000,129450000.0,,,-18125720000.0,1471463000.0,-13.0,-15683589000,42967106000.0,-13.0,0.0,,,,,13222130000.0,3618251000.0,1186836000,1073000.0,40326000.0,25915956.0,11282886000.0,-2484595000.0,,645187000,,,1314934000,25915956.0,1383691000.0,,7148611000.0,-5723420000.0,,,3296797000.0,43427203000.0,232420000.0,1317577000,338459000,-250940000,40942608000.0,,14021046000.0,660391000,,8619440000.0,,,,,,
2017-06-30,125779000.0,,374296000.0,33364041000.0,1303393000.0,230731000.0,48477913000.0,60429906000.0,173524000,36585303000.0,6872000.0,,4195432000.0,206857000,170111000,235073000,5026132000.0,4758000,1042649000.0,7157658000.0,79777000.0,,654811000,-3316910000,159123000,18809000.0,,,2460289000.0,2000155000.0,6.0,421355000,45713444000.0,6.14,0.0,,,,,13310142000.0,4015485000.0,1704408000,1075000.0,48422000.0,25936050.0,-3316910000.0,,,7859000,,,1469335000,26502283.0,1386275000.0,,2460289000.0,-5657606000.0,,,2131526000.0,,232420000.0,1877932000,214716000,421355000,46061670000.0,,11951993000.0,1049597000,,9128141000.0,,,,,,
2017-09-30,142240000.0,,549477000.0,49884082000.0,1747726000.0,317377000.0,51336544000.0,72101217000.0,144689000,52753800000.0,6992000.0,,1893533000.0,-1240529000,-1069628000,179609000,15431992000.0,-43017000,656917000.0,16530642000.0,79780000.0,,642608000,-1955708000,-1080737000,18108000.0,,,12890666000.0,1952552000.0,-42.0,-193533000,58861545000.0,-42.0,0.0,,,,,12004255000.0,3035158000.0,1679108000,1076000.0,-299046000.0,25983264.0,-1955708000.0,,,-130934000,,,1499499000,25983264.0,1381951000.0,,12890666000.0,-6625182000.0,,,1098650000.0,,232420000.0,1823797000,-1371463000,-193533000,48939141000.0,,20764673000.0,1036500000,,6107745000.0,,,,,,
