date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2010-06-30,2079290000,339830000.0,184895000,,,,30154000,,2726999000,879462000,1465731000,1199828000,849308000,,93535000,0.0,313535000,1926874000,47918000,204459000,360182000,673717000,3375416000,,52567000,892459000,4841147000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3009501000,357260000.0,470644000,,,,24668000,,2699299000,1177663000,1762391000,1831838000,1152995000,,97860000,0.0,276634000,2007924000,145130000,243518000,557536000,834170000,3985234000,,50939000,1469399000,5747625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,4328208000,410977000.0,698032000,,6235351000.0,874650000.0,159186000,-4124868000.0,2862876000,1316561000,2418596000,3011647000,1157375000,,123830000,0.0,341252000,2110483000,311506000,293201000,819781000,1161033000,4818296000,550000000.0,102839000,2536578000,7236892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4730929000,108602000.0,730171000,,,,173960000,,2939615000,1322899000,2773757000,3408030000,1089807000,,160456000,0.0,439177000,2147682000,289125000,359541000,1337758000,1776935000,4953008000,650000000.0,102979000,2710289000,7726765000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,4294294000,8727000.0,615533000,347856000.0,6911435000.0,1465019000.0,203355000,-4365863000.0,3110938000,1385694000,2247866000,2908600000,707187000,66000000.0,167156000,0.0,82678000,2545572000,255236000,341311000,1324869000,1407547000,5220989000,0.0,103672000,2601660000,7468855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,4981090000,6269000.0,927508000,454688000.0,2909805000.0,1924418000.0,235699000,,3044724000,1713874000,2391406000,3267216000,602468000,358937000.0,169710000,0.0,73422000,2909805000,183406000,384091000,1507009000,1580431000,5704643000,30477000.0,103751000,2690429000,8096049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,6580164000,6269000.0,536654000,316221000.0,7994777000.0,2308205000.0,360991000,-4793834000.0,2985915000,3884110000,3350641000,2696054000,615120000,2529646000.0,176948000,0.0,1861745000,3200943000,103164000,398877000,645502000,2507247000,6277501000,65153000.0,103794000,2989220000,9628142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,6399567000,6269000.0,688454000,250543000.0,3189114000.0,2619504000.0,368822000,,3075199000,3898459000,3507629000,2501108000,495812000,2722236000.0,154892000,0.0,1569939000,3189114000,163645000,408503000,1092461000,2662400000,6026342000,87249000.0,103804000,2727585000,9533971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,6542424000,6269000.0,778119000,148144000.0,8441015000.0,2657995000.0,145402000,-5030308000.0,3192562000,3593691000,3917421000,2948733000,502192000,2739317000.0,186741000,0.0,1326366000,3410707000,80350000,435749000,1836773000,3163139000,5874533000,100901000.0,104599000,2378052000,9791954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,6823692000,252362000.0,574751000,366916000.0,3252254000.0,2988305000.0,143714000,,3538908000,3814725000,4474872000,3008967000,367096000,2878565000.0,164142000,0.0,1314234000,3252254000,257133000,371925000,1993161000,3307395000,5945643000,124899000.0,104695000,2597023000,10420515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
