date,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyGoodwill,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets
2005-03-31,,,,,,,,8345000,8345000,,,,,,,0.105,,,,,,,,,,,,,1376000,,,,,,,,13102611.0,,,,,,,26973000,26973000,0.1425,,,,,,9717882.0,,,,26973000,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,,,,,,8345000,8345000,,,,,,,0.105,,,,,,,,,,,,,1376000,,,,,,,,13102611.0,,,,,,,26973000,26973000,0.1425,,,,,,9717882.0,,,,26973000,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,8345000,8345000,,,,,,,0.105,,,,,,,,,,,,,1376000,,,,,,,,13102611.0,,,,,,,26973000,26973000,0.1425,,,,,,9717882.0,,,,26973000,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,16921000.0,,,,,7747000.0,8345000,8345000,13055000.0,,,,-9575000.0,,,7418000.0,,,,,,182000.0,,,3939000.0,31321000.0,,1376000,100589000.0,,-134000.0,,14172000.0,14172000.0,10000.0,,,9178000.0,,,,,26972000,-69114000,,,,201671000.0,,,,,,16993000.0,-69114000,,35055000.0,,-100958000.0,,-101082000.0,166616000.0,69268000.0,,15485000.0,10901000.0,,448000.0,7047000.0,21313000.0,,,,1344000.0,,1472000.0
2006-03-31,,,,,,,,144697000,144697000,,,,,,,2.53,,,,,,,,,,,,,49226000,,,,,,,,19471926.0,,,,,,,49306000,49306000,3.18,,,,,,15475221.0,,,,49306000,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,,,,,,12376000,12376000,,,,,,,0.17,,,,,,,,,,,,,4185000,,,,,,,,20302872.0,,,,,,,58344000,58344000,0.2033,,,,,,16319898.0,,,,58344000,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,,,,,,12376000,12376000,,,,,,,0.17,,,,,,,,,,,,,4185000,,,,,,,,20302872.0,,,,,,,58344000,58344000,0.2033,,,,,,16319898.0,,,,58344000,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,23265000.0,,,,,7528000.0,12376000,12376000,17135000.0,,,,-12220000.0,,,10290000.0,,,,,,38778000.0,,,4592000.0,41758000.0,,4185000,159073000.0,,-317000.0,,55382000.0,55382000.0,88345000.0,,,10142000.0,,,,,58344000,142941000,,,,102112000.0,,,,,,22510000.0,142941000,,87190000.0,,-30439000.0,,56961000.0,14922000.0,117315000.0,,23639000.0,16862000.0,,448000.0,13880000.0,13514000.0,,,,1408000.0,,3043000.0
2007-03-31,5454000.0,26804000.0,427000.0,0.0,-26400000.0,-1645000.0,10307000.0,9097000,9097000,17590000.0,-4359000.0,41000.0,,-13292000.0,-32475000.0,0.11,10552000.0,,15156000.0,274000.0,,6059000.0,4677000.0,1315000.0,,4676000.0,45643000.0,-6004000.0,2313000,152137000.0,,-321000.0,,22907000.0,22907000.0,90301000.0,20662530.0,55382000.0,14027000.0,-15760000.0,,,-42000.0,58954000,15187000,0.14,22907000.0,42053000.0,85994000.0,-561000.0,-1645000.0,16592163.0,-37210000.0,,23844000.0,16502000,-158000.0,62235000.0,,-23051000.0,1031000.0,66143000.0,23759000.0,106494000.0,16901000.0,41054000.0,17345000.0,26866000.0,448000.0,15879000.0,21429000.0,,,21412000.0,2330000.0,0.0,4223000.0
2007-06-30,5460000.0,29817000.0,685000.0,0.0,5146000.0,-1873000.0,12046000.0,10556000,10556000,22591000.0,8979000.0,-295000.0,,-12220000.0,12110000.0,0.13,10917000.0,,17933000.0,228000.0,,7377000.0,2960000.0,1281000.0,,4906000.0,49849000.0,7106000.0,2798000,174085000.0,,-625000.0,,35017000.0,35017000.0,92258000.0,20732014.0,22907000.0,17846000.0,-4417000.0,,,,63680000,18259000,0.17,35017000.0,45761000.0,96828000.0,-5691000.0,-1873000.0,16692547.0,39000.0,,23137000.0,19540000,-423000.0,69814000.0,,-13167000.0,1517000.0,77257000.0,27014000.0,124236000.0,17919000.0,27421000.0,18854000.0,27502000.0,448000.0,18108000.0,25007000.0,,,21577000.0,2007000.0,0.0,4351000.0
