date,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
1987-06-30,,,,142300000,142300000,142300000,,,,,,,,,,0.187843,,,,,,,,,,,,9500000,,,,,,,,,,,,,,,,,,0.187843,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1987-09-30,,,,129900000,129900000,129900000,,,,,,,,,,0.07138,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,0.07138,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1987-12-31,,,,147200000,147200000,147200000,,,,,,,,,,0.165302,,,,,,,,,,,,10900000,,,,,,,,,,,,,,,,,,0.165302,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1988-03-31,,,,-361900000,112500000,-361900000,122200000.0,,,,58200000.0,23600000.0,,158600000.0,,,,,20800000.0,,,,,77900000.0,,,33800000.0,5300000,,,64000000.0,28100000.0,,5700000.0,1100000.0,,,,,2900000.0,-3000000.0,,2100000.0,,84600000.0,,,,,,,,,20600000.0,57100000.0,,,41500000.0,,200100000.0,27300000.0,18000000.0,,,,,27300000.0,,,,,,,,,,
1988-06-30,,,,122300000,122300000,122300000,,,,,,,,,,0.078893,,,,,,,,,,,,5300000,,,,,,,,,,,,,,,,,,0.078893,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1988-09-30,,,,109000000,109000000,109000000,,,,,,,,,,0.112706,,,,,,,,,,,,7400000,,,,,,,,,,,,,,,,,,0.112706,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1988-12-31,,,,148100000,148100000,148100000,,,,,,,,,,0.187843,,,,,,,,,,,,12700000,,,,,,,,,,,,,,,,,,0.187843,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1989-03-31,,,,-330800000,121600000,-330800000,135500000.0,,,,66600000.0,25000000.0,,173300000.0,,,,,25600000.0,,,,,82700000.0,,,34300000.0,4800000,,,68900000.0,32300000.0,,9600000.0,4400000.0,,,,,6900000.0,-5000000.0,,2300000.0,,59500000.0,,,,,,,,,20000000.0,62200000.0,,,44900000.0,,218200000.0,62000000.0,18000000.0,,,,,62000000.0,,,,,,,,,,
1989-06-30,,,,131000000,131000000,131000000,,,,,,,,,,0.078893,,,,,,,,,,,,5300000,,,,,,,,,,,,,,,,,,0.078893,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1989-09-30,,,,128100000,128100000,128100000,,,,,,,,,,0.052596,,,,,,,,,,,,3500000,,,,,,,,,,,,,,,,,,0.052596,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1989-12-31,,,,173600000,173600000,173600000,,,,,,,,,,0.199113,,,,,,,,,,,,13500000,,,,,,,,,,,,,,,,,,0.199113,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1990-03-31,,,,-380000000,140200000,-380000000,142400000.0,,,,75300000.0,28500000.0,,191100000.0,,,,,37600000.0,,,,,94800000.0,,,33500000.0,3200000,,,67100000.0,30900000.0,,7600000.0,1000000.0,,,,,5000000.0,-7300000.0,,2700000.0,,72600000.0,,,,,,,,,21200000.0,74300000.0,,,46100000.0,,237200000.0,82200000.0,19900000.0,,,,,82200000.0,,,,,,,,,,
1990-06-30,,,,145100000,145100000,145100000,,,,,,,,,,0.135246,,,,,,,,,,,,9200000,,,,,,,,,,,,,,,,,,0.135246,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1990-09-30,,,,175400000,175400000,175400000,,,,,,,,,,0.154031,,,,,,,,,,,,10200000,,,,,,,,,,,,,,,,,,0.154031,,,67104064.0,,,,,,,,,,,,,,,67104064.0,,,,,,,,,,,,,
1991-03-31,,0.0,2400000.0,8400000,289400000,8400000,874900000.0,-12600000.0,117400000.0,-3200000.0,416200000.0,106200000.0,,392300000.0,,-0.195356,-2800000.0,32600000.0,-220500000.0,,172000000.0,,,-173400000.0,-4000000.0,,383400000.0,-12600000,-12600000.0,109000000.0,458700000.0,62200000.0,,40800000.0,119600000.0,-5000000.0,18800000.0,300000.0,,70800000.0,-37100000.0,-39700000.0,13100000.0,,148400000.0,-0.195356,-400000.0,109000000.0,8459210.0,,-17500000.0,20000000.0,,69100000.0,217500000.0,-5400000.0,7200000.0,320600000.0,15000000.0,712900000.0,64200000.0,180700000.0,11000000.0,8459210.0,81600000.0,,64200000.0,79100000.0,,,,,,,,,
