date,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory,quarterlyAccumulatedDepreciation
2006-12-31,,43092000000,,,,,5448511000000,,,,,,5118307000000,,,1743000000,1377652000000,,,,,589117000000,224689000000,,,330109000000,,,,,19195000000,,,,,34305000000.0,,51591000000,,,51591000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,17211000000,,,,,6117791000000,,,,,,5792053000000,,,1689000000,1626688000000,,,,,717525000000,224689000000,,,325609000000,,,,,18907000000,,,,,37904000000.0,,50133000000,,,50133000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,23641000000,-29892000000.0,16416000000.0,-378058000000.0,60549000000.0,6406041000000,1969000000.0,22806000000.0,22846000000.0,22806000000.0,0.1,6016119000000,55000000.0,228060000000.0,1674000000,1616232000000,-64561000000.0,190456000000.0,19756000000.0,33251000000.0,90291000000,233689000000,158168000000.0,,389753000000,,-933000000.0,57306000000.0,24194000000.0,18659000000,228060000000.0,314334000000.0,61482000000.0,25598000000.0,39223000000.0,59477000000.0,49609000000,33125000000.0,0.1,49609000000,,10405000000.0,32288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,-32073000000.0,32164000000,-8406000000.0,31080000000.0,18311000000.0,-6331000000.0,6598177000000,1400000000.0,12026000000.0,12041000000.0,12026000000.0,,6175896000000,212000000.0,,1624000000,1666205000000,19740000000.0,180508000000.0,34520000000.0,17023000000.0,933535000000,233689000000,190456000000.0,,420977000000,,-9941000000.0,-61000000.0,26170000000.0,18784000000,,10925000000.0,3610000000.0,-3708000000.0,38902000000.0,60649000000.0,56421000000,17120000000.0,,56421000000,-61000000.0,4982000000.0,-9948000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,64263000000,-1392000000.0,17914000000.0,-312677000000.0,-14416000000.0,6875030000000,2058000000.0,32118000000.0,32129000000.0,32118000000.0,0.14,6426661000000,14000000.0,229414285714.0,1562000000,1705553000000,-39973000000.0,128274000000.0,21688000000.0,41796000000.0,70664000000,233689000000,180508000000.0,,447015000000,-363000000.0,-1212000000.0,0.0,29178000000.0,18485000000,,274018000000.0,-13204000000.0,-49416000000.0,42785000000.0,64906000000.0,55625000000,41667000000.0,0.14,55625000000,,9667000000.0,-52234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,,60616000000,-12514000000.0,20048000000.0,-169172000000.0,-15174000000.0,7057706000000,2266000000.0,26549000000.0,26563000000.0,26549000000.0,,6602308000000,61000000.0,,1525000000,1710434000000,29132000000.0,143274000000.0,24060000000.0,33859000000.0,1142074000000,233689000000,128274000000.0,,454030000000,-52000000.0,-3261000000.0,0.0,31935000000.0,18420000000,,201406000000.0,-11913000000.0,-54300000000.0,51370000000.0,70264000000.0,56522000000,33867000000.0,,56522000000,,7296000000.0,15000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,-1159000000.0,80401000000,-7921000000.0,18608000000.0,-240454000000.0,37099000000.0,7323631000000,2352000000.0,25567000000.0,25575000000.0,25567000000.0,0.11,6844097000000,53000000.0,232427272727.0,1523000000,1660611000000,65357000000.0,249855000000.0,22703000000.0,33054000000.0,83900000000,233689000000,143274000000.0,,478158000000,0.0,-4072000000.0,2789000000.0,35214000000.0,18271000000,232427272727.0,309712000000.0,41171000000.0,256000000.0,56410000000.0,63595000000.0,58250000000,32969000000.0,0.11,58250000000,,7479000000.0,106581000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-39620000000.0,59593000000,-29002000000.0,25592000000.0,-190060000000.0,155438000000.0,7555452000000,2512000000.0,8365000000.0,8375000000.0,8365000000.0,,7087890000000,296000000.0,,1527000000,1664229000000,-15757000000.0,355811000000.0,29620000000.0,11032000000.0,1302542000000,233689000000,249855000000.0,,465966000000,-267000000.0,-9154000000.0,-2005000000.0,35253000000.0,1253000000,,183438000000.0,164592000000.0,120354000000.0,59695000000.0,68726000000.0,63957000000,10104000000.0,,63957000000,,2657000000.0,105956000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,85827000000,-8995000000.0,18544000000.0,-304932000000.0,-184660000000.0,8674633000000,2645000000.0,26256000000.0,26276000000.0,26256000000.0,0.11,8180448000000,23000000.0,238690909091.0,1529000000,1541013000000,115109000000.0,327972000000.0,22600000000.0,33978000000.0,59398000000,233689000000,355811000000.0,,492563000000,-10000000.0,-1731000000.0,0.0,33239000000.0,1142000000,,421319000000.0,-182929000000.0,-217572000000.0,61346000000.0,65456000000.0,63012000000,33863000000.0,0.11,63012000000,,7702000000.0,-27839000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,95809000000,-3824000000.0,19315000000.0,-290433000000.0,131795000000.0,9110171000000,,29550000000.0,29565000000.0,29550000000.0,,8603637000000,19000000.0,,1529000000,1838906000000,-240486000000.0,221552000000.0,23381000000.0,38491000000.0,1356481000000,233689000000,327972000000.0,,504776000000,-2000000.0,-3029000000.0,-104000000.0,32728000000.0,1127000000,,52966000000.0,134824000000.0,100730000000.0,66062000000.0,65398000000.0,63701000000,38199000000.0,,63701000000,,8926000000.0,-106420000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
