date,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyCashDividendsPaid
2001-03-31,,293000000.0,-540000000.0,3903000000,,3153000000,1022000000,1397000000,,5641000000,,1860000000,,0,5949000000,,0.47,5380000000,-189000000,476000000,1371000000,-4083000000.0,7128000000.0,288000000,,,20156000000,18409000000,,463000000,-279000000,-579000000.0,286000000,6960000000,,,3781000000,-564000000,26000000,,,87000000,3045000000,8356000000.0,,12228000000,,3982000000,3985000000,-468000000,32384000000,190000000,1054000000,295000000.0,201000000,138000000,4431000000,9780000000,1860000000,-585000000,5500000000,180000000,-890000000,,6030000000,28189000000,1364000000,,138000000,,48000000,1112000000,3485000000,1398000000,-24000000.0,0.47,-502000000.0
2001-06-30,,1130000000.0,-399000000.0,3213000000,,3391000000,801000000,1860000000,,5506000000,,1955000000,,0,5910000000,,0.11,5719000000,-175000000,453000000,805000000,-4083000000.0,7058000000.0,187000000,,,20013000000,19255000000,,95000000,264000000,-668000000.0,259000000,0,,,3551000000,-110000000,15000000,,,59000000,2975000000,8473000000.0,,12717000000,6957000000.0,4348000000,4416000000,89000000,32730000000,194000000,1054000000,1136000000.0,128000000,128000000,4255000000,9972000000,1955000000,-941000000,6388000000,233000000,-738000000,,6351000000,29227000000,1301000000,,128000000,,33000000,1112000000,3456000000,1371000000,-20000000.0,0.11,0.0
2001-09-30,,1116000000.0,-166000000.0,2912000000,-18000000.0,3491000000,945000000,1955000000,,5385000000,,2232000000,,0,6092000000,,0.02,5778000000,-196000000,314000000,128000000,-4083000000.0,7191000000.0,62000000,,,20318000000,19967000000,,277000000,202000000,-186000000.0,115000000,0,,,3153000000,107000000,-28000000,,,39000000,3108000000,8621000000.0,,13391000000,7086000000.0,4566000000,4867000000,6000000,33709000000,199000000,1038000000,1116000000.0,23000000,23000000,4307000000,10531000000,2232000000,-83000000,6789000000,224000000,-620000000,,6792000000,30498000000,1357000000,,23000000,,25000000,1097000000,3644000000,1212000000,-17000000.0,0.02,0.0
2001-12-31,,,198000000.0,2014000000,443000000.0,3299000000,1105000000,2232000000,,5713000000,2028000000.0,2767000000,-1699000000.0,1321000000,6701000000,,,6849000000,-201000000,-71000000,-1627000000,-4022000000.0,7025000000.0,-562000000,,,19514000000,19035000000,,535000000,1796000000,40000000.0,-275000000,6851000000,,,2946000000,2060000000,-102000000,,3435000000.0,-80000000,3003000000,8368000000.0,,12830000000,736000000.0,5812000000,5043000000,1595000000,32344000000,204000000,1251000000,,-482000000,-980000000,4677000000,11080000000,2767000000,391000000,4747000000,165000000,-1032000000,,6528000000,30115000000,1360000000,,-980000000,,-212000000,1312000000,3075000000,1037000000,-6000000.0,,0.0
2002-03-31,,1113000000.0,-153000000.0,2239000000,-164000000.0,3284000000,1103000000,2767000000,,6583000000,2028000000.0,3992000000,-1588000000.0,0,6358000000,,0.1,5149000000,-152000000,369000000,1267000000,-4022000000.0,7067000000.0,165000000,,,20034000000,20132000000,,1225000000,-181000000,,217000000,0,,,2591000000,-386000000,6000000,,3549000000.0,57000000,3045000000,8277000000.0,,13005000000,7091000000.0,3913000000,4387000000,-333000000,33039000000,152000000,1007000000,1113000000.0,108000000,114000000,4677000000,10451000000,3992000000,145000000,6683000000,151000000,-836000000,,6676000000,30583000000,1387000000,,114000000,,18000000,1019000000,3201000000,1236000000,-69000000.0,0.1,
2002-06-30,,1113000000.0,73000000.0,2224000000,-38000000.0,3468000000,736000000,3992000000,,4608000000,2027000000.0,2383000000,-1589000000.0,0,7166000000,,-0.01,5781000000,-145000000,287000000,-2064000000,-4022000000.0,7119000000.0,-6000000,,,19967000000,18983000000,,-1609000000,85000000,,148000000,0,,,2225000000,-15000000,-34000000,,3536000000.0,7000000,3097000000,9322000000.0,,13604000000,7835000000.0,4428000000,5861000000,-60000000,33571000000,139000000,1195000000,1113000000.0,-13000000,-13000000,4854000000,12146000000,2383000000,281000000,3982000000,190000000,-708000000,,7039000000,31129000000,1431000000,,-13000000,,-21000000,1205000000,3509000000,1353000000,19000000.0,-0.01,
2002-09-30,,1113000000.0,192000000.0,1799000000,67000000.0,3455000000,797000000,2383000000,,3855000000,2027000000.0,1943000000,-1831000000.0,3577000000,6693000000,,-0.16,5457000000,-147000000,241000000,-289000000,-4022000000.0,6825000000.0,-55000000,,,21209000000,18927000000,,-371000000,-138000000,,90000000,1229000000,,,1912000000,233000000,-96000000,,3353000000.0,3000000,2803000000,8090000000.0,,10718000000,7347000000.0,4299000000,5696000000,-285000000,31927000000,151000000,1057000000,1113000000.0,-58000000,-183000000,4195000000,10931000000,2012000000,90000000,3658000000,121000000,-792000000,,4460000000,29858000000,1040000000,,-183000000,,-43000000,1068000000,3399000000,1158000000,-17000000.0,-0.16,
2002-12-31,,,152000000.0,1013000000,502000000.0,2912000000,1889000000,2012000000,,4613000000,2027000000.0,2478000000,-1878000000.0,4748000000,5135000000,,,2253000000,-158000000,183000000,-1726000000,-4044000000.0,6836000000.0,74000000,,,19955000000,18414000000,,791000000,290000000,,14000000,2384000000,,,2135000000,586000000,-16000000,,2614000000.0,21000000,2792000000,7175000000.0,,9578000000,8066000000.0,1393000000,5376000000,132000000,29533000000,169000000,838000000,,53000000,-701000000,3306000000,9848000000,2478000000,2135000000,2576000000,-72000000,-2041000000,,3874000000,28262000000,1166000000,,-701000000,,-25000000,846000000,2377000000,860000000,70000000.0,,
2003-03-31,,1127000000.0,121000000.0,1078000000,-133000000.0,2924000000,829000000,2478000000,,3814000000,571000000.0,1772000000,-1924000000.0,3256000000,4791000000,,-0.04,4495000000,-100000000,261000000,84000000,-4044000000.0,6823000000.0,-48000000,,,18779000000,17586000000,,-706000000,-904000000,,117000000,2350000000,,156000000.0,2042000000,-575000000,-37000000,,2569000000.0,-13000000,2779000000,7116000000.0,,9493000000,7159000000.0,3395000000,4870000000,-1004000000,28272000000,144000000,973000000,1127000000.0,-35000000,-45000000,3335000000,9370000000,1772000000,102000000,3286000000,170000000,-793000000,,3790000000,26956000000,1165000000,,-45000000,,-25000000,983000000,2594000000,1100000000,15000000.0,-0.04,
2003-06-30,,1193000000.0,38000000.0,1277000000,8000000.0,2923000000,1174000000,1772000000,,4113000000,571000000.0,2025000000,-1670000000.0,3765000000,4995000000,,-0.02,5061000000,-130000000,414000000,62000000,-4044000000.0,6845000000.0,59000000,,,19717000000,18158000000,,285000000,-46000000,,268000000,2727000000,,0.0,2088000000,57000000,-48000000,,2514000000.0,27000000,2801000000,7129000000.0,,9071000000,6840000000.0,3720000000,4708000000,-176000000,28788000000,146000000,1062000000,1193000000.0,32000000,-55000000,3351000000,9139000000,2025000000,220000000,3596000000,122000000,-1092000000,,3347000000,27297000000,1080000000,,-55000000,,-97000000,1073000000,2626000000,1341000000,27000000.0,-0.02,
