date,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyInvestmentsAndAdvances,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
2011-03-31,,,,,,,0.0,,,0,-16000,-16000,0,,,,16000,-16000.0,,5580000.0,,0,,,0,,-0.002867,,,,,,,,5580000.0,,,0,-16000,16000,,,,0,,,16000,0.0,0.0,0.0,,10000.0,0.0,,-16000,0,10000.0,,-0.002867,,,,,-16000,,0.0,,,,0.0,,,,,,,
2011-06-30,,,,,,,,0.0,,0,-485,-485,0,0.0,,,485,,,5580000.0,,0,,,0,0.0,-8.7e-05,,,1966411.0,166510.0,,-16000.0,,5580000.0,0.0,,0,-485,10,,,,0,1966411.0,,485,,,0.0,-16010.0,10.0,,,-485,0,10000.0,1783901.0,-8.7e-05,10.0,10.0,,1950411.0,-485,,,10.0,,,,,,,,,,
2011-09-30,,,,,100785000.0,,-604000.0,0.0,-13822000.0,587000,-634000,-669000,243000,0.0,687000.0,65350000.0,456000,,,1515710.0,,830000,,,0,65350000.0,-0.42,,,1894000.0,2195000.0,,41564000.0,,1515710.0,0.0,0.0,576000,120000,507990,,929000.0,,576000,67244000.0,114607000.0,84000,,,,-650000.0,830000.0,,,492000,243000,10.0,110453000.0,-0.42,830000.0,830000.0,,112648000.0,-634000,7605000.0,,58000.0,,,185000.0,,,,,,,
2011-12-31,72667000.0,16529000.0,,,122032000.0,-3228000.0,-1270000.0,0.0,-14841000.0,19169000,-1925000,-1143000,677000,0.0,724000.0,,1580000,,,,,2318000,,,153000,0.0,,,,74249000.0,9549000.0,,53630000.0,,,1818000.0,0.0,2599000,866000,260000,,,,2446000,74249000.0,136873000.0,340000,160000.0,,,-4025000.0,3148000.0,,,2121000,-16851000,830000.0,122032000.0,,3148000.0,3148000.0,,131581000.0,-1925000,,1255000.0,73000.0,,,739000.0,,,,,,,
2012-03-31,,,-8629000.0,,117035000.0,-283000.0,-342000.0,0.0,-16348000.0,5343000,-630000,-308000,906000,0.0,603000.0,79859000.0,1937000,-308000.0,,7174934.0,,-2380000,,,119000,79859000.0,-0.09,0.0,,1344000.0,7239000.0,,51569000.0,,7174934.0,4275000.0,0.0,2944000,888000,-580000,,,,2825000,81203000.0,133383000.0,418000,288000.0,-1566000.0,-8629000.0,-6223000.0,768000.0,137000.0,,2065000,-7723000,3148000.0,129153000.0,-0.09,768000.0,768000.0,,136392000.0,-630000,12118000.0,1519000.0,73000.0,,,854000.0,,,,,,,
2012-06-30,105153000.0,,-58169000.0,,171636000.0,-719000.0,-2136000.0,0.0,-18092000.0,59253000,-2040000,-2042000,255000,0.0,695000.0,105153000.0,2250000,-2042000.0,,7653170.0,,1339000,,,121000,105153000.0,-0.28,0.0,,2351000.0,9235000.0,,83887000.0,,7653170.0,4627000.0,0.0,3348000,977000,195000,,,,3227000,107504000.0,189728000.0,495000,349000.0,-1650000.0,-58169000.0,-9915000.0,2107000.0,183000.0,,596000,-57914000,768000.0,191931000.0,-0.28,2107000.0,2107000.0,-13000.0,201166000.0,-2040000,20295000.0,1755000.0,112000.0,,,883000.0,,,,,,,
2012-09-30,,4607000.0,-25700000.0,,190463000.0,-2172000.0,-819000.0,0.0,-20954000.0,24563000,-804000,-825000,2256000,0.0,803000.0,126850000.0,3435000,,,10846432.0,,1672000,,,315000,126850000.0,-0.09,0.0,,2079000.0,11810000.0,,88137000.0,793000.0,10846432.0,812000.0,0.0,4880000,1130000,-481000,,,,4565000,128929000.0,211417000.0,617000,741000.0,-2569000.0,-25147000.0,-13295000.0,3779000.0,472000.0,,3948000,-23444000,2107000.0,214769000.0,-0.09,3779000.0,3779000.0,-13000.0,226579000.0,-804000,24306000.0,2818000.0,120000.0,,,1136000.0,,,,,,,
2012-12-31,,0.0,-32956000.0,,216042000.0,-1627000.0,-3292000.0,0.0,-24233000.0,29274000,-3804000,-3629000,2651000,0.0,763000.0,160362000.0,3961000,,,,,-1031000,,,543000,161125000.0,,-54000.0,,3782000.0,6632000.0,,81952000.0,-12000.0,,665000.0,0.0,5650000,1146000,2458000,,3782000.0,763000.0,5107000,164907000.0,240275000.0,731000,725000.0,-2611000.0,-32956000.0,-19705000.0,2748000.0,378000.0,,-2097000,95095000,3779000.0,249437000.0,,2748000.0,2748000.0,-11000.0,256069000.0,-4172000,28404000.0,3346000.0,120000.0,,,1483000.0,,,,,,,
2013-03-31,640000000.0,27543000.0,-262296000.0,4000.0,1980079000.0,-28474000.0,-142652000.0,0.0,-81207000.0,126492000,-137920000,-138350000,-6774000,5012000.0,5270000.0,905118000.0,27292000,-138350000.0,,153339174.0,,-104461000,4000.0,,2404000,910388000.0,-0.9,-1041000.0,,11693000.0,69775000.0,,1041912000.0,-159604000.0,153339174.0,679000.0,265118000.0,40200000,10504000,-5858000,-3178000.0,6589000.0,5270000.0,37796000,922081000.0,2061286000.0,2183000,108247000.0,-37451000.0,-224179000.0,-290484000.0,52412000.0,3255000.0,-350522000.0,-106976000,-6774000,156873000.0,2018327000.0,-0.900474,52412000.0,52412000.0,-5018000.0,2088102000.0,-138078000,241501000.0,25172000.0,1551000.0,,44198000.0,6202000.0,-2004000.0,,,,,,
2013-06-30,31134000.0,463041000.0,-810784000.0,77438000.0,67518000.0,-3516000.0,-50907000.0,0.0,-108765000.0,832035000,-51679000,-52035000,12448000,1186000.0,5274000.0,1314918000.0,32385000,-52035000.0,,162368538.0,,-41454000,0.0,,2465000,1320192000.0,-0.32,-67518000.0,,44381000.0,43349000.0,,1432731000.0,-190000000.0,162368538.0,16189000.0,476134000.0,44960000,10110000,-309000,2827000.0,12060000.0,5274000.0,42495000,1364573000.0,67518000.0,4579000,0.0,-37416000.0,-885937000.0,-379502000.0,10958000.0,3453000.0,126000.0,-12841000,12418000,52412000.0,2873436000.0,-0.32,10958000.0,10958000.0,8919000.0,2916785000.0,-51837000,318488000.0,27956000.0,1854000.0,,-10000.0,11238000.0,-9996000.0,,,,,,
