date,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
1998-03-31,0.18,23600000,,33900000,10500000,0,,32200000,,-39200000.0,21300000,21300000,55000000,5900000,182300000.0,,-600000.0,400000,32200000,-16500000,,10800000,40000000.0,,215700000,-10000000,12200000,17000000,263400000.0,3700000,224200000,-2300000,175900000.0,,,24700000,,7700000,434500000,-217300000,2200000,,65100000,263100000,306900000,735100000,6800000,91200000,428200000,0.17,,21700000,100600000,0.0,697600000,6800000,6800000,-1100000,37777778.0,24100000,101000000,-500000,319200000,,83600000,0,2200000,,,115100000,,,,,,,
1998-06-30,0.3,0,,47300000,17900000,-700000,,29500000,,-46600000.0,14500000,14500000,56400000,5900000,182800000.0,,-600000.0,-9000000,33600000,-9500000,,11200000,38000000.0,,228400000,6100000,9600000,24200000,267200000.0,6500000,220600000,-6700000,168000000.0,,,31900000,,7700000,423000000,-205900000,15700000,,64400000,258000000,306400000,731800000,11400000,95400000,425400000,0.3,,22000000,107500000,-100000.0,681000000,11400000,11400000,-1000000,38000000.0,24400000,100900000,-300000,303200000,,83300000,0,-6800000,,,120900000,,,,,,,
1998-09-30,0.07,0,,42900000,5800000,-100000,,30700000,,-56000000.0,15600000,15600000,58200000,5400000,191000000.0,,300000.0,-4100000,37200000,-3300000,,11500000,41666667.0,,225600000,-28400000,16700000,22200000,284800000.0,3300000,228800000,1000000,173900000.0,300000.0,,30300000,,8100000,448500000,-203400000,-11700000,,63300000,269300000,321200000,764200000,2500000,102000000,443000000,0.06,,23200000,105100000,300000.0,717800000,2500000,2500000,-2100000,35714286.0,26300000,110000000,-10800000,320200000,,82900000,0,-12600000,,,120500000,,,,,,,
1998-12-31,,0,,53800000,24200000,-100000,,46400000,,-55300000.0,21200000,21200000,46400000,5400000,213800000.0,,-300000.0,8000000,58700000,-9500000,,15400000,,300000.0,266000000,-25200000,33500000,30200000,285600000.0,7400000,230300000,5600000,188300000.0,0.0,,38900000,,8700000,469000000,-186500000,8300000,,72700000,293400000,358200000,820400000,16800000,103200000,462200000,,,18100000,127000000,100000.0,762400000,16800000,16800000,-1800000,,25600000,112100000,400000,340200000,,96800000,0,-18700000,,,139000000,,,,,,,
1999-03-31,0.21,21200000,,63800000,13000000,0,,28000000,,-53300000.0,16300000,16300000,46700000,5600000,206200000.0,,-600000.0,-9600000,47400000,-11700000,,12800000,40500000.0,,235700000,-5600000,3700000,19500000,263300000.0,4900000,210000000,-4900000,169000000.0,200000.0,,28300000,,8800000,434200000,-178500000,-1900000,,70400000,263100000,330600000,765400000,8100000,100100000,434800000,0.2,,18600000,111500000,0.0,697300000,8100000,8100000,-4000000,38571429.0,23500000,111400000,-900000,310600000,,92000000,0,3600000,,,124200000,,,,,,,
1999-06-30,0.35,0,,79600000,21500000,100000,,43400000,,-60300000.0,13400000,13400000,48100000,5400000,211800000.0,,-300000.0,-3600000,54200000,2000000,,13600000,40909091.0,,257500000,-24800000,19400000,26900000,266600000.0,8000000,206300000,-2900000,192100000.0,-400000.0,,35900000,,9000000,428500000,-165000000,-5400000,,70900000,294400000,367600000,806900000,13500000,102400000,439300000,0.33,,21200000,120400000,500000.0,722900000,13500000,13500000,-1700000,38571429.0,22700000,121700000,400000,303400000,,93500000,0,-24400000,,,137100000,,,,,,,
1999-09-30,0.35,0,400000.0,95200000,21000000,-100000,,42600000,,-72000000.0,14900000,14900000,47200000,5600000,214800000.0,,,4500000,59000000,-21700000,-40400000.0,13900000,41515152.0,900000.0,268000000,-4900000,28000000,27700000,276500000.0,7300000,204500000,1500000,193500000.0,,,36400000,,8700000,415900000,-151300000,23100000,,75500000,299700000,368900000,810800000,13700000,108800000,441900000,0.33,,22600000,125800000,100000.0,715600000,13700000,13700000,1900000,39142857.0,22800000,120700000,-1100000,284300000,,98100000,14900000,-4800000,,,142200000,,,,,,,
1999-12-31,,14900000,400000.0,112000000,24100000,0,,43000000,,-69000000.0,17200000,17200000,46900000,5400000,204300000.0,,,20200000,81200000,-25800000,-38000000.0,17200000,,1200000.0,304300000,-12400000,40200000,38200000,268700000.0,11200000,199700000,2300000,208100000.0,,,47000000,,8800000,372700000,-138400000,27800000,,83600000,336200000,387900000,820900000,12900000,100300000,433000000,,,29000000,147800000,-100000.0,708900000,12900000,12900000,-5700000,,22700000,123900000,-8900000,249700000,,109600000,17200000,-11900000,,,156500000,,,,,,,
2000-03-31,0.3,17179000,387000.0,116778000,18088000,0,,30142000,,-66315000.0,18378000,18378000,46971000,5390000,208434000.0,,-83000.0,-16589000,58286000,11643000,-45380000.0,13373000,41902580.0,352000.0,259116000,-4520000,3774000,23488000,257628000.0,6334000,191313000,1199000,198370000.0,,,32084000,,8596000,373653000,-126672000,-746000,,74515000,303627000,365517000,794058000,11754000,98999000,428541000,0.28,,28794000,119972000,0.0,677280000,11754000,11754000,-6652000,38712272.0,21778000,124828000,0,252876000,,96484000,18378000,-13905000,,,139144000,,,,,,,
2000-06-30,0.46,18378000,387000.0,133195000,27576000,0,,36133000,,-74569000.0,16051000,16051000,48939000,5009000,200392000.0,,-112000.0,-1231000,60392000,-14794000,-47396000.0,13909000,41995780.0,502000.0,268558000,-5026000,24560000,32463000,265115000.0,9645000,190546000,-2327000,202855000.0,,,40503000,,8040000,356723000,-108741000,19534000,,70461000,312186000,376183000,802104000,17931000,98184000,425921000,0.43,,34983000,124873000,0.0,668909000,17931000,17931000,-5136000,38753185.0,22666000,131328000,111000,235873000,,92410000,16051000,-12096000,,,143685000,,,,,,,
