date,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2003-03-31,,,43294219.53285,43294219.53285,,,13455735.4738,,,,,,,,,,,43294219.53285,,,0.007761,,,,,,114844368.0,,,,,,13455735.4738,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,84847664.0,,,,,,
2003-06-30,,,43294219.53285,43294219.53285,,,13455735.4738,,,,,,,,,,,43294219.53285,,,0.007761,,,,,,114844368.0,,,,,,13455735.4738,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,84847664.0,,,,,,
2003-09-30,,,43294219.53285,43294219.53285,,,13455735.4738,,,,,,,,,,,43294219.53285,,,0.007761,,,,,,114844368.0,,,,,,13455735.4738,,,,,,,,,,13455735.4738,,,,,,,,,,,,,,,,,,,,,,,,,0.010348,,,84847664.0,,,,,,
2003-12-31,,,-71797255.8776,43294202.97655,,,-37083868.62135,,,63928443.8388,,509281638.9985,33507658.15245,63928443.8388,-10454152.78715,,,-71797255.8776,,492810488.0494,,,,,28944766.7069,,,,,,,0.0,13455735.4738,,0.0,0.0,,,,,,,13455735.4738,,,-10224326.5087,13504642.784,,,,,,,23283331.64375,,49231813.68,,,,557302682.18135,11233068.7551,48021043.18285,472051536.8574,472051536.8574,,14696630.1588,2112004.4095,,,2498925.1405,,,,,,,
2004-03-31,,,29202788.36425,67994513.83395,0.0,58273954.1435,21729680.1736,0.0,,59771198.29955,,518442339.1263,39287412.81355,59771198.29955,11275899.9032,,,29326033.46145,,515788620.85895,0.082782,9720559.69045,,,37401327.3957,,257281552.0,29071165.77925,,,21858355.7372,0.0,21729680.1736,,0.0,0.0,,,,,,-199503.415,21729680.1736,,,-10224326.5087,17529322.02915,,0.0,,4345854.90885,,26096155.9541,29063086.30485,7089573.223,39674937.8495,0.0,,,576144173.767,11109426.3067,57701834.6407,472623002.38635,472623002.38635,,20096260.45005,1248047.0066,0.087955,0.0,2527120.5194,243694432.0,,,,,,
2004-06-30,,,40872140.4588,85193579.06885,0.0,74168606.44845,31442748.1383,0.0,,61704585.0665,,550039963.17295,38895740.42445,61704585.0665,42719210.9557,,,40995385.556,,549331585.32115,0.118998,11024972.6204,,,40952206.7256,,257967920.0,33296465.98965,,,24878357.3076,0.0,31442748.1383,,0.0,0.0,,,,,,392607.82005,31442748.1383,,,-10224326.5087,21914820.99835,,0.0,,6236286.35545,,37671393.7613,28671413.91575,8294863.58485,38885905.98225,0.0,,,611612909.09815,10986711.0111,61572945.9252,500895583.31325,500895583.31325,,22818679.08425,1600000.832,0.129346,0.0,2538759.5983,244755184.0,,,,,,
2004-09-30,,,46663517.6425,96197500.3538,-10007248.58125,83928628.07995,38354059.6792,558292003.88785,,87317893.0874,,612027412.62495,40084457.93,87317893.0874,81072202.75355,,,46910007.8369,,590565240.8686,0.155215,12268872.27385,,,37591608.9516,,255379248.0,37265110.43745,,,27937473.13675,0.0,38354059.6792,,0.0,0.0,,,,,,3089554.5867,38354059.6792,,,-10224326.5087,25721809.73295,,103989905.0681,,7201932.55295,,45568930.9806,29860131.4213,9574119.21695,62330959.5644,92172316.1415,,,678472811.41495,10863457.63575,66445398.79,558292003.88785,558292003.88785,,24986933.523,2225166.72,0.155215,0.0,2563933.45245,244623632.0,,,,,,
2004-12-31,,14286845.1775,18931499.9106,84434654.83315,-3082095.97355,68973752.75375,41599872.6253,615875684.4936,,138743764.1997,,670866623.6849,48017880.92955,138743764.1997,69010557.40865,2293.04755,148377.5606,20094522.03855,,601371678.60715,,15460902.0794,,-339.40415,35418495.2388,,,50042252.84315,,,36548677.9457,0.0,41599872.6253,,0.0,0.0,,1761101.90915,-3081756.5694,1763394.9567,,1187318.4982,41599872.6253,0.0,,-16120215.33615,27215560.5097,,57510402.42195,58059169.2636,-5266948.10305,,36345970.88665,31897665.5934,13000669.012,108593442.23015,54428645.85255,,,740718059.01425,10738209.22625,69851435.32935,615875684.4936,615875684.4936,1163022.12795,30150321.96955,18380026.1139,,558292003.88785,2613544.4054,,,,,,,
2005-03-31,,,45608566.7628,103310815.311,0.0,88307968.10555,39616419.60715,0.0,,141517614.97985,,693059491.18545,48484718.92065,141517614.97985,108640693.91035,,,45731820.13815,,641434869.9698,0.155215,15002847.20545,,,59297530.8347,,259253424.0,42699401.34275,,,30881514.40275,0.0,39616419.60715,,0.0,0.0,,,,,,3208122.52915,39616419.60715,,,-16120215.33615,47584718.45265,,0.0,,5423214.7406,,45110213.85465,32364503.5845,11694633.56465,100823852.09725,0.0,,,783625804.8362,10617091.6136,90566313.65075,617186529.5461,617186529.5461,,40693762.8826,17849065.5729,0.155215,0.0,2619214.93815,252602736.0,,,,,,
2005-06-30,,,65740241.13855,137456693.994,0.0,117736667.1833,56551271.1285,0.0,,123041131.86215,,727037033.6882,49787799.06845,123041131.86215,165191956.7607,,,65863494.5139,,703059703.3392,0.217301,19720026.8107,,,61133541.7232,,260574416.0,51996426.04475,,,37749903.7359,0.0,56551271.1285,,0.0,0.0,,,,,,3346160.6804,56551271.1285,,,-16120215.33615,51223495.17925,,0.0,,7172694.12715,,63797657.34695,33667583.7323,14123268.9335,83330159.2257,0.0,,,826847838.90105,14919726.3013,99810805.21285,642994026.4097,642994026.4097,,39710972.63645,19063552.9594,0.227649,0.0,2631408.6531,253862704.0,,,,,,
