date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,,74204000,69722000,-73000.0,303000,0.0,0.0,11486000,,0.0,41800000.0,376000.0,4482000.0,,114192000,41805000,24000,41829000,303000,114495000,0.0,0,63000.0,,72666000,0.0,39494000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,71408000,66641000,,271000,,0.0,11486000,,0.0,,,4767000.0,,89645000,18988000,21000,19009000,271000,89916000,0.0,0,118000.0,,70907000,,17269000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,64377000,59908000,-136000.0,240000,,0.0,11486000,,0.0,2526000.0,376000.0,4469000.0,,70609000,2536000,18000,2554000,240000,70849000,0.0,0,0.0,,68295000,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,63838000,59213000,,884000,,0.0,11486000,,0.0,2233000.0,,4625000.0,-198993000.0,69169000,2239000,15000,2254000,884000,70053000,0.0,0,233000.0,,67799000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,51887000,46466000,-449000.0,627000,,0.0,574000,,0.0,4216000.0,1076000.0,5421000.0,-190115000.0,67112000,4222000,12000,4234000,627000,67739000,0.0,0,15225000.0,,63505000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,95000.0,81329000,76172000,,34343000,3859000.0,0.0,12079000,,3219000.0,13403000.0,,5157000.0,-186218000.0,129572000,84290000,3736000,88026000,139991000,269563000,0.0,0,0.0,84054000.0,181537000,14237000.0,19482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,175000.0,72688000,67756000,-5071000.0,42731000,62016000.0,0.0,12079000,,5400000.0,11377000.0,47802000.0,4932000.0,,114086000,84000000,3149000,87149000,154285000,268371000,0.0,0,0.0,84054000.0,181222000,14669000.0,25005000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,175000.0,63141000,57942000,,40365000,22842000.0,0.0,14495000,,6939000.0,19272000.0,40365000.0,5199000.0,,109641000,51793000,2280000,54073000,151919000,261560000,0.0,0,0.0,84054000.0,207487000,19424000.0,26035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,157000.0,48584000,44324000,-9640000.0,37665000,5754000.0,0.0,14495000,,5438000.0,8044000.0,47305000.0,4260000.0,-213610000.0,78789000,20993000,1557000,22550000,110926000,189715000,0.0,0,0.0,47661000.0,167165000,16835000.0,12114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,157000.0,1772854000,1772854000,,31982000,5666000.0,0.0,44794000,,0.0,14722000.0,31982000.0,0.0,-257671000.0,1821205000,79843000,857000,80700000,83243000,1904448000,0.0,0,0.0,38661000.0,1823748000,19053000.0,15139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
