date,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-12-31,1331989000.0,34057652000,36607752000,,0.0,,,6606020000,6675361000,57906000,683595000,14866821000,850475000,23997088000,0,0,4330890000,683595000,2361178000,,0.0,12610664000,33095556000,38827746000.0,2550100000,17321727000,0.0,1255892000,8391000,-5732190000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,33322669000,34866243000,,70815000.0,,,18977578000,19055553000,76615000,259817000,136932000,831043000,22151313000,0,0,4330890000,259817000,2868173000,,,12714930000,32378166000,,1543574000,3095760000,2739000.0,1398189000,7160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,32901246000,34980612000,,18517523000.0,258565000.0,52201000.0,18514638000,18604220000,103547000,882185000,142533000,811724000,21545826000,178658000,1093634000,4330890000,882185000,2409712000,2644771000.0,497000.0,13434786000,31910864000,39728855000.0,2079366000,2941606000,405696000.0,1403700000,2885000,-7817991000.0,126198000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,32236642000,34063277000,,0.0,,,17391699000,17510393000,122581000,780395000,139556000,789809000,20114285000,54118000,0,4330890000,780395000,2453704000,,14498000.0,13948992000,31330859000,,1826635000,2603892000,4855000.0,1799896000,2722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,31546967000,33899129000,,0.0,,,16812886000,16933884000,129801000,948542000,138925000,776817000,19427483000,0,212961000,4330890000,948542000,2287815000,,23680000.0,14471646000,30660155000,39825404000.0,2352162000,2493599000,5099000.0,2211151000,2549000,-9165249000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,30864877000,33397092000,,0.0,,,8362633000,8442949000,146555000,1228397000,7639935000,755869000,18534136000,0,0,4330890000,1228397000,2408627000,,34610000.0,14862956000,29990477000,,2532215000,10091187000,5502000.0,2310792000,12375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1142173000.0,30336954000,33422716000,,0.0,,,7936636000,8014311000,125185000,1818404000,7654594000,40505000,18139935000,54160000,0,4330890000,1818404000,23590000,,34929000.0,15282781000,30189378000,40920244000.0,3085762000,10125624000,0.0,2317559000,12202000,-10730866000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1264042000.0,29718063000,32997687000,,0.0,,,11309444000,11437262000,125192000,1890390000,3161967000,30790000,17404319000,59838000,0,4330890000,1890390000,17296000,,0.0,15593368000,29542338000,29542338000.0,3279624000,5967057000,0.0,2697613000,11621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1168628000.0,29361009000,32696567000,,0.0,,,10699461000,10814098000,114647000,2052283000,3159955000,37757000,16484786000,54127000,0,4330890000,2052283000,20979000,,0.0,16211781000,29177033000,41302062000.0,3335558000,5670688000,0.0,2689063000,11426000,-12125029000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1276212000.0,28725954000,32163288000,,0.0,,,8243746000,8367263000,119718000,2041404000,4559923000,36145000,15586901000,64245000,0,4330890000,2041404000,28539000,,,16576387000,28503271000,28503271000.0,3437334000,7219638000,0.0,3100924000,11248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
