date,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyNetIncome,quarterlyNetPPE,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid
2014-09-30,-5720000,3442000,,749000,,,-1918000,,,6496000,,,3802000,1492000,,23332000,,-7904000,6014000,-133000,,,,,,0.0,-9808000,,,,,0.0,,,17578000,1507000.0,,,,-79000,-31000.0,,8414000.0,-9759000,,-9808000,4250000,,21667000,,,3802000,0.0,,,-2583000,,8414000,,,,1665000,4171000,,,,,,-9759000,,0,,0,397000,,,
2014-12-31,-6453000,-5003000,27853000.0,-60000,,2794000.0,-4827000,100000.0,,1381000,10768000.0,,1626000,175000,,13898000,-80000.0,-3052000,548000,-33376000,25768000.0,30497000.0,14482000.0,-61093000.0,,0.0,-3738000,47188000.0,13371000.0,,168000.0,,-4837000.0,0.0,34332000,313000.0,322000.0,,502000.0,-386000,-1084000.0,,6208000.0,-3751000,5931000.0,-3738000,-10545000,347000.0,-9434000,,8906000.0,1626000,0.0,13516000.0,,2992000,901000.0,6208000,,,23000.0,23332000,-10931000,44395000.0,13898000.0,,53621000.0,,-3751000,6433000.0,-30646000,,102000,373000,,,
2015-03-31,-9812000,3373000,,-628000,,,-8680000,,,1379000,,-0.190057,1132000,261000,,13367000,,-9593000,2314000,3231000,,,,,,0.0,-10212000,,,,,,,,0,267000.0,,0.0,,-3232000,,53731299.0,10059000.0,-10212000,,-10212000,-3711000,,-531000,,,1132000,0.0,,,-250000,,10059000,,-0.190057,,13898000,-6943000,,,53731299.0,,,-10212000,,-3996000,,10459000,352000,,,
2015-06-30,-6565000,-5358000,27052000.0,1906000,,4072000.0,-5357000,-402000.0,,1380000,11766000.0,-0.104985,1208000,279000,,25156000,,-4995000,910000,-75693000,109913000.0,101509000.0,938000.0,-76946000.0,,0.0,-5641000,130200000.0,26114000.0,,140000.0,,-5532000.0,0.0,96953000,273000.0,14049000.0,,531000.0,2204000,,53731299.0,6737000.0,-5641000,6234000.0,-5641000,-9491000,549000.0,11789000,,6145000.0,1208000,0.0,0.0,,788000,1181000.0,6737000,,-0.104985,31000.0,13367000,-7287000,126665000.0,25156000.0,53731299.0,136965000.0,,-5641000,6765000.0,-86119000,,8219000,373000,,,
2015-09-30,-13992000,-2050000,35531000.0,229000,,4301000.0,-11971000,-1133000.0,,1380000,12326000.0,-0.260537,2021000,293000,,27450000,0.0,-13297000,4819000,6254000,100077000.0,93894000.0,7214000.0,-90945000.0,,0.0,-13999000,128211000.0,28317000.0,,129000.0,0.0,-5785000.0,0.0,6371000,300000.0,14323000.0,,856000.0,-864000,0.0,53731299.0,13351000.0,-13999000,6541000.0,-13999000,-9879000,841000.0,2294000,,4765000.0,2021000,0.0,6306000.0,,-467000,3952000.0,13351000,,-0.260537,32000.0,25156000,-10743000,121344000.0,27450000.0,53731299.0,135608000.0,,-13999000,7397000.0,-13177000,,20295000,402000,,,
2015-12-31,-26376000,6298000,116764000.0,4679000,,8980000.0,-23426000,-1809000.0,,4677000,12696000.0,-0.864608,2950000,262000,,17869000,0.0,-26376000,2168000,7302000,-101765000.0,82617000.0,7273000.0,-118195000.0,,0.0,-27250000,106269000.0,35172000.0,,105000.0,0.0,-6084000.0,0.0,-119000,389000.0,14598000.0,,3883000.0,-3422000,0.0,31517155.0,28103000.0,-27250000,6612000.0,-27250000,-16762000,2173000.0,-9581000,,1070000.0,2950000,,6188000.0,,-987000,8076000.0,28103000,,-0.864608,176096000.0,27450000,-20184000,100486000.0,17869000.0,31517155.0,116764000.0,,-27250000,10495000.0,-15999000,,26725000,418000,,,
2016-03-31,-20334000,-3212000,22129000.0,-5322000,,3823000.0,-17200000,-1251000.0,,677000,14259000.0,-0.91,3134000,93000,,208506000,,-21314000,2614000,40343000,243099000.0,38720000.0,6303000.0,-140195000.0,,0.0,-21957000,251782000.0,15826000.0,,89000.0,,-6557000.0,0.0,170049000,204000.0,0.0,167931000.0,5744000.0,-3303000,0.0,22618659.0,17877000.0,-22001000,7702000.0,-22001000,-19841000,0.0,190637000,,393000.0,3134000,44000.0,6214000.0,,-1913000,11142000.0,17877000,,-0.91,43000.0,17869000,-23144000,247226000.0,208506000.0,22618659.0,265228000.0,,-22001000,13446000.0,0,,43646000,439000,,,
2016-06-30,-24628000,2863000,31183000.0,2247000,,6071000.0,-20724000,-1463000.0,,393000,16597000.0,-0.78,3904000,0,,58084000,,-23356000,1285000,-135548000,220047000.0,168535000.0,10718000.0,-164320000.0,,0.0,-23989000,232754000.0,20465000.0,,165000.0,,-6845000.0,0.0,4521000,141000.0,0.0,0.0,8724000.0,-5455000,0.0,32903593.0,21117000.0,-24124000,9752000.0,-24124000,-19256000,0.0,-150422000,,0.0,3904000,135000.0,10553000.0,,518000,14058000.0,21117000,,-0.78,43000.0,208506000,-24711000,226619000.0,58084000.0,32903593.0,251230000.0,,-24124000,18476000.0,-176993000,,46900000,492000,,,
2016-09-30,-34828000,7772000,47593000.0,1236000,,7307000.0,-30106000,-965000.0,,0,23881000.0,-1.04,4722000,25000,,85532000,,-34578000,2779000,44076000,187832000.0,118086000.0,18277000.0,-199814000.0,,0.0,-35367000,209953000.0,29316000.0,,247000.0,0.0,-7327000.0,0.0,7640000,284000.0,0.0,0.0,8918000.0,-6682000,0.0,32933655.0,30106000.0,-35494000,16554000.0,-35494000,-24276000,0.0,27448000,,0.0,4722000,127000.0,18030000.0,,-464000,21510000.0,30106000,,-1.04,43000.0,58084000,-30958000,203618000.0,85532000.0,32933655.0,235425000.0,,-35494000,25472000.0,-17003000,,67761000,505000,,,
2016-12-31,-37270000,6697000,405813000.0,4546000,,11957000.0,-28933000,-946000.0,,0,33450000.0,-0.947542,8337000,3000,,87514000,,-37270000,3947000,-170719000,352907000.0,280660000.0,17848000.0,-237412000.0,,0.0,-37850000,374399000.0,35058000.0,,564000.0,0.0,-7473000.0,0.0,198692000,,0.0,200946000.0,4669000.0,-8062000,-2218000.0,39679508.0,28933000.0,-37598000,25977000.0,-37598000,-26140000,0.0,1982000,,0.0,8337000,-252000.0,17284000.0,,-627000,18317000.0,28933000,,-0.947542,52000.0,85532000,-34202000,368174000.0,87514000.0,39679508.0,405813000.0,,-37598000,31414000.0,-188097000,,25436000,473000,,,
2017-03-31,-51542000,10217000,68312000.0,8474000,,20482000.0,-42773000,-868000.0,-2160000.0,0,39115000.0,-1.3,8769000,5992000,,97750000,,-50678000,5992000,43543000,308417000.0,229726000.0,18327000.0,-288035000.0,,-2319000.0,-50443000,336178000.0,49985000.0,,893000.0,,-8392000.0,0.0,2533000,,2470000.0,0.0,6900000.0,-7387000,0.0,39725977.0,42773000.0,-50623000,30723000.0,-50623000,-35711000,0.0,10236000,,,8769000,180000.0,17434000.0,,913000,21569000.0,42773000,,-1.3,52000.0,87514000,-43098000,327476000.0,97750000.0,39725977.0,376729000.0,,-50623000,40551000.0,-14683000,,65613000,864000,,,
2017-06-30,-58022000,841000,203803000.0,4768000,,24419000.0,-47245000,-322000.0,-1899000.0,0,42843000.0,-1.56,10777000,7082000,,261006000,,-57482000,7082000,69706000,255753000.0,146424000.0,153851000.0,-348580000.0,,-9805000.0,-60479000,418691000.0,49952000.0,,1123000.0,,-9073000.0,0.0,145067000,,,,16687000.0,-13618000,14780000.0,39820287.0,47245000.0,-60545000,33770000.0,-60680000,-51886000,0.0,163256000,,,10777000,201000.0,152728000.0,,-475000,17899000.0,47245000,,-1.56,52000.0,97750000,-65504000,407430000.0,261006000.0,39820287.0,473975000.0,,-60545000,55284000.0,-12963000,,96287000,540000,,,
2017-09-30,114905000,-126141000,284570000.0,8178000,29477000.0,35168000.0,130609000,38000.0,-1812000.0,220213000,80211000.0,2.6,15641000,2557000,,208510000,,116205000,13327000,-401326000,750140000.0,548925000.0,181409000.0,-231194000.0,,-30145000.0,114223000,962330000.0,103161000.0,1984000.0,744000.0,0.0,-12638000.0,0.0,339708000,,9018000.0,,2051000.0,-18790000,-674000.0,46200975.0,87660000.0,117386000,67573000.0,117284000,6600000,0.0,-52496000,1859000.0,9132000.0,15704000,-3061000.0,149329000.0,5712000.0,1103000,37649000.0,89604000,10521000.0,2.73,59000.0,261006000,-12190000,757435000.0,208510000.0,42118974.0,1049059000.0,7437000.0,117386000,86729000.0,-486480000,,84028000,1300000,,,
2017-12-31,-103798000,172282000,362248000.0,33878000,56612000.0,69779000.0,-76196000,-480000.0,26000.0,18174000,88828000.0,-2.180813,27415000,2205000,-5218000.0,239602000,,-103611000,16462000,-68242000,684231000.0,597914000.0,212260000.0,-330517000.0,0.0,50061000.0,-94365000,913497000.0,149988000.0,109000.0,155000.0,0.0,-13795000.0,0.0,3048000,,9222000.0,0.0,42915000.0,-18933000,0.0,45544025.0,91340000.0,-99323000,75033000.0,-99280000,93749000,0.0,31092000,,12233000.0,27602000,4915000.0,155493000.0,10930000.0,9960000,32547000.0,94370000,29428000.0,-2.180813,59000.0,208510000,74816000,837516000.0,239602000.0,45544025.0,1046479000.0,7250000.0,-99323000,132982000.0,-227170000,-18907000.0,177861000,2054000,,,
2018-03-31,-110809000,-26465000,350205000.0,-18487000,43918000.0,52719000.0,-81706000,320000.0,-4090000.0,32544000,106220000.0,-2.08,28915000,11530000,3432000.0,508094000,,-108565000,17396000,-394352000,1344381000.0,973381000.0,208309000.0,-438042000.0,,,-108528000,1585702000.0,141896000.0,109000.0,275000.0,,-16367000.0,5763000.0,763901000,,9565000.0,758001000.0,,-19696000,-414000.0,51577739.0,109700000.0,-104596000,89853000.0,-105116000,-104501000,,268492000,,14011000.0,29103000,-3412000.0,164116000.0,7498000.0,729000,43287000.0,114250000,23485000.0,-2.08,70000.0,239602000,-124197000,1464015000.0,490634000.0,51577739.0,1708927000.0,7062000.0,-104596000,123225000.0,-632224000,5943000.0,257568000,2244000,,,
2018-06-30,-163050000,23675000,427188000.0,28795000,39746000.0,85878000.0,-117703000,3114000.0,-4323000.0,52804000,120168000.0,-2.86,45160000,249000,1176000.0,470011000,,-160714000,18641000,34132000,1213197000.0,931208000.0,240753000.0,-594929000.0,,,-161083000,1516707000.0,186435000.0,109000.0,323000.0,,-17526000.0,5310000.0,46583000,,9067000.0,0.0,,-10613000,0.0,53731299.0,164251000.0,-156887000,102642000.0,-157715000,-117137000,,-38083000,,15302000.0,45347000,-3368000.0,200684000.0,6322000.0,75000,56836000.0,170507000,33171000.0,-2.86,70000.0,508094000,-127750000,1369628000.0,438420000.0,53731299.0,1653856000.0,6875000.0,-156887000,137149000.0,-566698000,-9686000.0,611443000,2336000,,,
2018-09-30,-151102000,-13807000,425196000.0,-4731000,48912000.0,85552000.0,-102094000,-724000.0,-386000.0,54202000,142023000.0,-2.47,48820000,-256000,-13377000.0,710796000,,-150914000,25132000,-490636000,1983431000.0,1390276000.0,236772000.0,-738960000.0,,,-144964000,2180195000.0,188424000.0,109000.0,627000.0,-8736000.0,-19132000.0,7482000.0,871250000,,8736000.0,875368000.0,52751000.0,-26941000,-5659000.0,56906867.0,147590000.0,-144031000,122891000.0,-144492000,-132185000,,240785000,,16705000.0,49008000,-472000.0,187233000.0,19699000.0,1585000,75882000.0,156296000,37372000.0,-2.47,77000.0,470011000,-159126000,2101072000.0,643485000.0,56906867.0,2408627000.0,7299000.0,-144031000,228432000.0,-917588000,-4201000.0,461839000,2445000,,,
2018-12-31,-280808000,-617000,496037000.0,17893000,47693000.0,113283000.0,-207987000,1526000.0,-13150000.0,58670000,222484000.0,-4.55,72490000,58263000,3457000.0,740713000,,-280477000,25958000,213243000,1753647000.0,1068509000.0,249585000.0,-1007215000.0,,-30352000.0,-275254000,1943842000.0,246452000.0,109000.0,1080000.0,0.0,-20365000.0,5585000.0,8803000,,8727000.0,0.0,38425000.0,-83586000,0.0,59383247.0,257464000.0,-268255000,202119000.0,-266710000,-193894000,,29917000,11139000.0,18140000.0,72821000,-8544000.0,189673000.0,16242000.0,-396000,100414000.0,266657000,41056000.0,-4.55,77000.0,710796000,-277480000,1809222000.0,712937000.0,59383247.0,2249684000.0,7172000.0,-268255000,305842000.0,-519176000,-3684000.0,846357000,3363000,,,
2019-03-31,-173755000,-60371000,549553000.0,-20364000,47016000.0,105320000.0,-115779000,6072000.0,-983000.0,77833000,293697000.0,-2.86,57645000,28450000,3102000.0,788383000,,-170339000,26392000,172416000,1608769000.0,849167000.0,310744000.0,-1174855000.0,,,-167550000,1796730000.0,238809000.0,109000.0,196000.0,,-23267000.0,,42964000,,8940000.0,0.0,34800000.0,-50828000,,59596173.0,,-167640000,270430000.0,-168069000,-171975000,9451000.0,47670000,11333000.0,17504000.0,57976000,519000.0,232654000.0,13140000.0,1728000,63571000.0,193612000,58976000.0,-2.86,78000.0,740713000,-222803000,1613659000.0,764492000.0,59596173.0,2172232000.0,6841000.0,-167640000,375502000.0,-487354000,-17920000.0,710598000,3416000,,,
2019-06-30,-85833000,-15632000,579054000.0,41795000,37910000.0,148536000.0,-3253000,-225000.0,-473000.0,243346000,313471000.0,-1.43,82248000,20657000,-35908000.0,942676000,,-85501000,32602000,192009000,1553877000.0,618803000.0,307375000.0,-1260425000.0,,,-83825000,1755680000.0,271679000.0,109000.0,191000.0,,-26159000.0,,15382000,,8740000.0,0.0,34393000.0,-41447000,,59808392.0,,-85570000,287312000.0,-85954000,-46101000,,154293000,11802000.0,0.0,82580000,2129000.0,238810000.0,49048000.0,-878000,103061000.0,246599000,58108000.0,-1.43,78000.0,788383000,-87548000,1561479000.0,918948000.0,59808392.0,2150318000.0,6509000.0,-85570000,394638000.0,-223437000,868000.0,456893000,3695000,,,
2019-09-30,-312266000,15720000,586833000.0,-29582000,36411000.0,112282000.0,-206933000,-14830000.0,-11878000.0,50141000,375834000.0,-5.07,105002000,1666000,11536000.0,900823000,,-308244000,36818000,213630000,1278478000.0,375768000.0,321099000.0,-1567782000.0,,,-311877000,1435550000.0,265734000.0,109000.0,169000.0,,-73996000.0,,25136000,,700000.0,0.0,54635000.0,-30873000,0.0,60114035.0,,-307357000,301838000.0,-308660000,-265012000,,-41853000,10681000.0,0.0,105333000,-3217000.0,254991000.0,37512000.0,-1817000,89917000.0,257074000,55912000.0,-5.07,78000.0,942676000,-295885000,1231919000.0,856151000.0,60114035.0,1881070000.0,6178000.0,-307357000,445520000.0,-140034000,2196000.0,384537000,4022000,,,
