date,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyEbitda,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,0.06678,,,906300000,,906300000,,,906300000,,,,2450000000.0,,,,,,,,,,,,,,,,,,,,,2450000000.0,,,,160272000,,,,,,,,,,,,0.06678,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,0.061275,,,905848750,,905848750,,,905848750,,,,2450000000.0,,,,,,,,,,,,,,,,,,,,,2450000000.0,,,,160336250,,,,,,,,,,,,0.061275,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,0.076615,,,971916000,,971916000,,,971916000,,,,2450000000.0,,,,,,,,,,,,,,,,,,,,,2450000000.0,,,,181687000,,,,,,,,,,,,0.076615,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,2535754252.0,,1001860848,2695646394.0,-2197107993,,,-2197107993,,,,,2352216089.0,,667718593.0,,,,4440947944.0,,,4314835832.0,,1868035659.0,0.0,-165522147.0,61930055.0,,,,84450075.0,,,,,,186642609,,1314043167.0,,2530124247.0,37158033.0,568630505.0,895170795.0,,,,,,,,,47292042.0,,,6976702196.0,,2661866364.0,,972864864.0,2138275899.0,2138275899.0,,,,,,,,
1985-03-31,,,,,,,0.06609,,,1073962500,,1073962500,,,1073962500,,,,2530000000.0,,,,,,,,,,,,,,,,,,,,,2530000000.0,,,,179544500,,,,,,,,,,,,0.06609,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,0.065715,,,1056916250,,1056916250,,,1056916250,,,,2530000000.0,,,,,,,,,,,,,,,,,,,,,2530000000.0,,,,157716000,,,,,,,,,,,,0.065715,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,0.058335,,,985861500,,985861500,,,985861500,,,,2530000000.0,,,,,,,,,,,,,,,,,,,,,2530000000.0,,,,150698750,,,,,,,,,,,,0.058335,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,2446275600.0,,1041366100,4093858800.0,-2383778300,,,-2383778300,,,,,2869376400.0,,843512400.0,,,,4915857600.0,,,4289274000.0,,1602763200.0,0.0,-1117810800.0,60058800.0,,,,62748000.0,,,,,,118717450,,1295298000.0,,2976048000.0,46612800.0,736840800.0,1539118800.0,,,,,,,,,34063200.0,,,7362133200.0,,3072859200.0,,63644400.0,2105643600.0,2105643600.0,,,,,,,,
1986-03-31,,,,,,,0.052014,,,1025542700,,1025542700,,,1025542700,,,,2540000000.0,,,,,,,,,,,,,,,,,,,,,2540000000.0,,,,122232900,,,,,,,,,,,,0.052014,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,0.048969,,,1109964000,,1109964000,,,1109964000,,,,2540000000.0,,,,,,,,,,,,,,,,,,,,,2540000000.0,,,,133032450,,,,,,,,,,,,0.048969,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,0.05348,,,1014592000,,1014592000,,,1014592000,,,,2540000000.0,,,,,,,,,,,,,,,,,,,,,2540000000.0,,,,131408000,,,,,,,,,,,,0.05348,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,4075821750.0,,1044331750,4554552750.0,-2474194250,,,-2474194250,,,,,2884868250.0,,1879680000.0,,,,4074353250.0,,,4348962750.0,,2196141750.0,-734250.0,-915609750.0,959664750.0,,,,149052750.0,,,,,,135497500,,1208575500.0,,3638943000.0,,920015250.0,2133730500.0,,,,,,,,,13216500.0,,,8150175000.0,,3801212250.0,,62411250.0,1994223000.0,1994223000.0,,,,,,,,
1987-03-31,,,,,,,0.047723,,,1227831750,,1227831750,,,1227831750,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,123396750,,,,,,,,,,,,0.047723,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,0.034748,,,1167516000,,1167516000,,,1167516000,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,97293000,,,,,,,,,,,,0.034748,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,0.049438,,,1271250000,,1271250000,,,1271250000,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,120062500,,,,,,,,,,,,0.049438,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,3101289550.0,,1383533550,5589271200.0,-2996801700,,,-2996801700,,,,,3115311500.0,,983365450.0,,,,5165564450.0,,,4192563050.0,,2117924100.0,609650.0,-1605208450.0,103030850.0,,,,75596600.0,,,,,,148466700,,1041891850.0,,3984062750.0,,880334600.0,1072984000.0,,,,,,,,,14631600.0,,,8266854000.0,,4074290950.0,,1044940100.0,2047814350.0,2047814350.0,,,,,,,,
1988-03-31,,,,,,,0.057578,,,1187376000,,1187376000,,,1187376000,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,149061750,,,,,,,,,,,,0.057578,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,0.0831,,,1387077500,,1387077500,,,1387077500,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,214675000,,,,,,,,,,,,0.0831,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,0.05756,,,1320282500,,1320282500,,,1320282500,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,141741500,,,,,,,,,,,,0.05756,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,3700274200.0,,1635861500,6108923800.0,-3057705700,,,-3057705700,,,,,3458996800.0,,972671000.0,,,,5526008600.0,,,4891538400.0,,2727603200.0,687400.0,-1863541400.0,131293400.0,,,,62553400.0,,,,,,120586700,,1125273800.0,,4245382400.0,,841377600.0,1467599000.0,,,,,,,,,26808600.0,,,9226282800.0,,4334744400.0,,1260004200.0,2520695800.0,2520695800.0,,,,,,,,
1989-03-31,,,,,,,0.088368,,,1975761200,,1975761200,,,1975761200,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,265840400,,,,,,,,,,,,0.088368,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,0.0456,,,1757120000,,1757120000,,,1757120000,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,151240000,,,,,,,,,,,,0.0456,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,0.065543,,,1747800000,,1747800000,,,1747800000,,,,2550000000.0,,,,,,,,,,,,,,,,,,,,,2550000000.0,,,,198812250,,,,,,,,,,,,0.065543,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,,,,,,,5400970500.0,,2144853000,7679236500.0,-4424323500,,,-4424323500,,,,,4057665750.0,,1754291250.0,,,,6259284750.0,,,6392756250.0,,3646679250.0,0.0,-2539923000.0,190296000.0,,,,72682500.0,,,,,,130615500,,1327446750.0,,5139313500.0,,1563995250.0,1836885000.0,,,,,,,,,55503000.0,,,11660255250.0,,5267499000.0,,1809794250.0,2947605750.0,2947605750.0,,,,,,,,
