date,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTaxProvision,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyResearchAndDevelopment
2017-04-30,-4369000,,505522000,-0.467216,,,17086000,-61584000,,,,-27784000,2946828000,-24433000,31582000,-22910000,3662000,14986000,0.0,-10906000,-735492000.0,,126053000.0,533306000,-91854000,,,,,,533306000,,-362158000,,-0.467216,,,-26537000,-65148000,-24433000,89199000,-58894000,-58787000,-33067000,,,,,,,,-382000,,2441306000,,,,-89581000,31964000,-58894000,,,130792000.0,,39897000,,,10099000.0,41051000,,,,,,,,
2017-07-31,-5861000,,553340000,0.150713,,,22506000,59647000,,,,74781000,3167527000,-21820000,32817000,23701000,2078000,-11257000,0.0,113602000,-88000.0,,126053000.0,478559000,30961000,,,,,,478559000,,-386976000,,0.156379,,,31000,119118000,-21820000,-96063000,19712000,19815000,11146000,,,,,,-353000.0,,1235000,,2614187000,,,,97298000,31582000,19712000,,,130792000.0,,41404000,,,-9911000.0,41237000,,,,,,,,
2017-10-31,-5528000,,560948000,0.174131,,,143054000,-11916000,,,,80540000,3084245000,-39869000,31745000,-152509000,1909000,1807000,0.0,120836000,88000.0,,126053000.0,480408000,38219000,,,,,,480408000,,-330162000,,0.180678,,,2371000,46389000,-39869000,-7592000,22775000,22873000,15346000,,,,,,1402000.0,0.0,-1072000,,2523297000,,,,6520000,32817000,22775000,,,130792000.0,,41501000,,,-13715000.0,41116000,,,,,,,,
2018-01-31,-19865000,751948000.0,621287000,,4303713000.0,17639000.0,-146565000,11188000,2401000.0,1533956000.0,,92735000,3555989000,-51344000,34954000,164424000,1453000,19373000,-1969000.0,131276000,-26000.0,2834126000.0,,528552000,46222000,-1036012000.0,126216000.0,1469587000.0,-1029857000.0,1336604000.0,528552000,924134000.0,-418798000,-775206000.0,,98413000.0,29492000.0,-3315000,109726000,-51344000,-55173000,66708000,68074000,-21852000,1019138000.0,57074000.0,2492660000.0,758750000.0,105408000.0,,,3209000,190756000.0,2934702000,209494000.0,224876000.0,871000.0,58382000,31745000,66708000,3273856000.0,1937252000.0,,34954000.0,44397000,34954000.0,219750000.0,-10980000.0,40657000,,,,,,,,
2018-04-30,-2007000,799524000.0,551359000,0.2,4272669000.0,,58324000,4427000,2401000.0,1556897000.0,,64570000,3061697000,-42145000,30471000,-36096000,970000,3408000,-40000.0,103876000,0.0,2832694000.0,126053000.0,486789000,19367000,-1028237000.0,,1439975000.0,-1011403000.0,1337465000.0,486789000,924134000.0,-422966000,-807227000.0,0.21,272203000.0,31352000.0,-1271000,65357000,-42145000,-27695000,14137000,14301000,5066000,1055234000.0,52531000.0,2507960000.0,749670000.0,2122000.0,,,-4483000,168719000.0,2510338000,459079000.0,218645000.0,888000.0,23212000,34954000,14137000,3261266000.0,1923801000.0,130792000.0,30471000.0,43087000,30471000.0,179250000.0,22037000.0,41422000,,,,,,,,
2018-07-31,456000,783108000.0,588503000,-0.05,3538729000.0,,-20800000,20167000,2401000.0,1590459000.0,,38674000,3307105000,-33521000,31305000,50189000,51156000,11462000,-19109000.0,38674000,0.0,2217749000.0,106915000.0,549829000,-20881000,-1033851000.0,,1320980000.0,-317873000.0,1309042000.0,549829000,924134000.0,-1025495000,-842778000.0,-0.05,270690000.0,27438000.0,-3810000,137862000,-33521000,-103507000,-5614000,-5490000,-15391000,1005045000.0,52988000.0,1894071000.0,747681000.0,2122000.0,-19159000.0,,834000,165347000.0,2718602000,473500000.0,212561000.0,1362000.0,104341000,30471000,-5614000,3220856000.0,1911814000.0,106915000.0,31305000.0,59555000,31305000.0,62250000.0,3372000.0,41076000,,,,,,,,
2018-10-31,-1178000,976518000.0,592088000,0.39,3721573000.0,,165106000,-63207000,2401000.0,1621166000.0,,90327000,3221663000,-27674000,31502000,-240065000,2620000,9667000,0.0,130263000,0.0,1867766000.0,135010000.0,501761000,57298000,-979420000.0,,1853807000.0,-256618000.0,1559961000.0,501761000,924134000.0,440505000,-875277000.0,0.4,266550000.0,28265000.0,-1022000,47674000,-27674000,-19803000,54431000,54568000,2730000,1245110000.0,51810000.0,1549406000.0,745889000.0,2126000.0,-6246000.0,5081000.0,197000,179091000.0,2629575000,485786000.0,206706000.0,1376000.0,20000000,31305000,54431000,3464955000.0,1904994000.0,139360000.0,31502000.0,33029000,31502000.0,389377000.0,-14176000.0,39936000,,,,,,,,
2019-01-31,-9513000,816880000.0,628945000,0.46,3441369000.0,16348000.0,-153516000,94550000,-11315000.0,1656746000.0,858000.0,109882000,3416882000,-42573000,27146000,192804000,2931000,-15854000,40000.0,149671000,-25000.0,1863681000.0,135910000.0,519063000,83134000,-915113000.0,161215000.0,1577688000.0,-202084000.0,1337206000.0,519063000,924134000.0,-3844000,-907968000.0,0.47,280273000.0,28297000.0,-201000,176210000,-42573000,-137993000,64307000,63713000,19421000,1052306000.0,36937000.0,1546471000.0,748778000.0,739000.0,,0.0,-4356000,194300000.0,2787937000,504834000.0,200870000.0,1381000.0,133637000,31502000,64307000,3239285000.0,1902079000.0,139708000.0,27146000.0,26748000,27146000.0,254377000.0,-15209000.0,39789000,,,,,,,,
2019-04-30,4501000,820489000.0,574159000,0.25,5359170000.0,,-516000,-39489000,-15070000.0,2768640000.0,,70682000,3143136000,-36534000,29877000,-33259000,3844000,1612000,,109352000,,3686598000.0,136810000.0,503477000,42893000,-867746000.0,,1672572000.0,-148309000.0,1343224000.0,503477000,924134000.0,-11844000,-938896000.0,0.26,145954000.0,17760000.0,-147000,44936000,-36534000,-5671000,35798000,36085000,6808000,1085565000.0,44934000.0,1543537000.0,2768640000.0,120538000.0,,,2731000,180379000.0,2568977000,485168000.0,157103000.0,1398000.0,8402000,27146000,35798000,5210861000.0,3867637000.0,140463000.0,29877000.0,27789000,29877000.0,246377000.0,13921000.0,38670000,,,,,,,,
2019-07-31,6062000,798504000.0,612757000,0.39,5316673000.0,,-23542000,61883000,-26610000.0,2791550000.0,,98741000,3345842000,-51764000,29092000,59024000,4952000,3767000,,137742000,,3705608000.0,136571000.0,514016000,71958000,-813223000.0,,1611065000.0,-164586000.0,1265264000.0,514016000,924134000.0,-54845000,-974525000.0,0.4,160564000.0,17409000.0,-151000,170188000,-51764000,-119209000,54523000,54293000,17665000,1026541000.0,46508000.0,1540602000.0,2791550000.0,,,,-785000,162278000.0,2733085000,499149000.0,153730000.0,1402000.0,118424000,29877000,54523000,5152087000.0,3886823000.0,139516000.0,29092000.0,26783000,29092000.0,195377000.0,,39001000,,,,,,,,
