date,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2012-09-30,-0.851743,168253988.4,-39813574.5,,132393490.2,,,,8911704.6,,0.0,94270.5,0.0,,-6202998.9,,,288279189.0,,,20148748.2,-67189727.7,,,30769891.2,,,-32221656.9,2972663.1,65905994.0,,,,6347547.0,,,2972663.1,,-342289900.8,147294513.9,-56134940.4,,-38569203.9,-13053321.9,-6850323.0,,-39813574.5,67426872.0,-39813574.5,129684784.5,-55883552.4,,-0.851743,0.0,,,,-1552320.9,,17609729.4,-60213710.7,65203762.5,,137484097.2,,,,,,,,,,,,,
2012-12-31,,160306673.29,-27231500.06,468135.75,65203762.5,6241.81,222501801.07,66593870.89,3370226.14,49547487.78,0.0,1141264.93,0.0,4294365.28,-10631063.9,-36776744.52,86324232.3,260033613.55,-37450.86,38118733.67,47504554.69,4884244.43,6678736.7,,35401648.64,,,-20574386.59,1672752.66,,430703615.43,295218887.57,-949123386.79,7345155.24,0.0,155907930.18,1672752.66,57168737.79,-282447708.38,148477300.67,20800432.09,352387625.36,-27919541.83,25699943.92,36331007.82,430703615.43,-27231500.06,,-27231500.06,132387131.46,-10961743.59,,,1200.92,19948824.76,10330195.55,,508940.34,4943513.52,16090169.21,-33045158.73,66593870.89,,124905024.65,-78315990.07,,,249641190.95,,,,,,,,,
2013-03-31,-0.690451,167352679.12,-29041288.56,,,,,,,,0.0,,,,,,,,,,,,,,35961210.24,,,-31963447.76,,65905994.0,,,,,,,,,,147531735.44,-45504857.84,,-31963447.76,,,,-29041288.56,67426872.0,-29041288.56,135389231.36,,,-0.690451,,,,,2804029.36,,12142504.08,,,,131391468.88,,,,,,,,,,,,,
2013-06-30,0.06987,175594927.95,30551113.32,431512.9,,6164.47,318246928.22,53858974.39,,44692407.5,0.0,,,4419924.99,,-50758245.98,95450653.48,,-3187030.99,24195544.75,,,4191839.6,,37406003.96,,,27666141.36,,65905994.0,507187933.72,387350636.92,-960011406.51,,0.0,264387953.83,,49864397.83,,216459199.58,4604859.09,437215034.75,27666141.36,,,507187933.72,30551113.32,67426872.0,30551113.32,203261069.31,,,0.068294,,24072255.35,15750220.85,,2718531.27,2854149.61,13198130.27,,,,138188923.99,-69972898.97,,,335569088.92,,,,,,,,,
2013-09-30,0.193852,196455644.24,52063566.6,410866.78,53578254.58,905863132.46,450947754.24,51965449.16,-4586990.32,42822130.22,0.0,1637334.78,0.0,0.0,-8119218.16,,42822130.22,483676052.82,-2722758.96,57092085.4,76090074.72,-1612805.42,0.0,,39412549.18,,,51996110.86,4924269.02,77788346.0,584988441.96,524824054.22,-914951260.34,7322013.96,0.0,398982305.08,4924269.02,48353500.9,-618998399.6,255252520.16,15079424.06,573177555.12,44674096.9,131894368.72,140013586.88,584988441.96,52063566.6,77788346.0,52063566.6,241129741.14,3783653.78,0.0,0.193852,0.0,28539910.36,32023079.48,,7358808.0,0.0,14122779.02,-143441564.94,51965449.16,,157043095.06,-11810886.84,,,389563030.84,,,,,,,,,
2013-12-31,0.848434,213423472.08,65341507.68,393915.6,51354473.76,12120.48,1885310362.8,366608158.56,2187746.64,38949162.48,0.0,1289534228.64,-13138600.32,0.0,-6035999.04,-64311266.88,38949162.48,773862346.8,-3490698.24,50354534.16,78977047.68,315253684.8,9720624.96,,41567186.16,1302672828.96,,55426955.04,5636023.2,60748460.0,685158613.92,1966529699.28,-838852360.56,7011697.68,0.0,1518702204.24,5636023.2,53596762.56,-1897455083.76,274407667.2,50784811.2,2020126461.84,48415257.36,148948578.72,154984577.76,685158613.92,65341507.68,64854610.0,65341507.68,261838729.44,-6811709.76,,0.727229,-922307925.6,26010550.08,48778871.76,,13580997.84,2848312.8,12568937.76,-1129628736.0,366608158.56,,171856285.92,1334967847.92,,,463414432.32,,,,,,,,,
2014-03-31,0.1241,273653351.02,16517736.62,378505.61,,12410.02,1996952163.29,86386149.22,,42957284.23,2146933.46,,,0.0,,,42957284.23,,-4982623.03,48814813.67,,,0.0,,47983342.33,,,10536106.98,,79438346.0,772672665.24,2105031027.47,-844520476.03,,0.0,1910566014.07,,53890511.85,,299329682.4,14370803.16,2158921539.32,10536106.98,,,772672665.24,14370803.16,84070254.0,14370803.16,284189458.0,,,0.1241,,33227828.55,49987560.56,,-3021839.87,0.0,15140224.4,,,,225670008.69,1386248874.08,,,558339209.82,,,,,,,,,
2014-06-30,0.870918,335290834.32,79931573.16,360808.72,,12441.68,2577343778.72,82121308.84,,61418353.32,10388802.8,,,0.0,,,61418353.32,,-4360808.84,51900468.12,,,0.0,,59241059.32,,,45219285.96,,81922614.0,4412398266.12,7394420128.52,-777132216.16,,0.0,2495222469.88,,86376363.4,,401611209.56,69542770.36,7480796491.92,45219285.96,,,4412398266.12,69542770.36,85164136.0,69542770.36,380510120.28,,,0.870918,,35303267.0,105517888.08,,23035770.52,0.0,21101089.28,,,,276049775.0,3068398225.8,,,643440143.72,,,,,,,,,
2014-09-30,0.369026,402896873.08,64185991.84,2835352.84,,12300.88,3851546988.12,674678666.24,,75404394.4,27646227.8,,,0.0,,,75404394.4,,-4096193.04,78762534.64,,,0.0,,79605144.92,,,18721939.36,,87718446.0,1034227238.2,4001427060.48,-731797802.52,,0.0,3176868321.88,,117750173.8,,442579511.96,36539764.04,4119177234.28,18721939.36,,,1034227238.2,36539764.04,90664560.0,36539764.04,421618812.44,,,0.369026,,31945385.36,58435330.44,,29036227.24,0.0,20960699.52,,,,323291728.16,3084949996.08,,18451320.0,716108030.08,,,,,,,,,
2014-12-31,0.248124,502140135.5,17883508.47,2853421.4,,12406.18,3777898918.15,690875351.84,,111029107.91,-2016004.25,,,0.0,,-97357497.55,111029107.91,,-8008189.19,99429329.61,,,7412692.55,,83599043.93,,,-33087282.06,,87967785.0,1219620540.35,3974704354.58,-718162744.75,,0.0,3087023566.31,,391849195.3,,497611879.8,19899512.72,4366553549.88,-33087282.06,,,1219620540.35,19899512.72,90561004.0,19899512.72,469052853.44,,,0.248124,,38967811.38,81080589.39,0.0,35289379.01,3027107.92,28559026.36,,,,418541091.57,3146933009.53,,147534292.56,814583575.71,,,,,,,,,
