date,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2013-12-31,34781000,-213000,572000,-37891000,,18183000,-72469000,-5585000,46101000,-1723000,-198511000.0,964243000.0,53949000,179473000.0,11275000,238267000,237900000.0,1044160000.0,,658767000.0,-201000,101236000.0,13181000.0,101154000.0,173854000,51015000.0,285606000.0,-6852000,784770000.0,64413000,,-72469000,-70191000,127038000.0,0,-212382000.0,-76540000,-865000,18183000.0,,9263000.0,18183000.0,-68268000,53138000,96432000.0,15147000.0,-1590000,39197000.0,-64994000,-12340000,,-688000,66289000,831778000.0,-71056000,-4290000,10635000.0,,28681000,1013160000.0,1251060000.0,,19207000,72104000.0,14063000,30220000.0,482010000.0,-6045000.0,,,,,,,,,
2014-03-31,35488000,558000,566000,-14036000,,37402000,-50553000,-200246000,-18647000,-525000,,,-70316000,,-32428000,151091000,,,,,-13377000,,,,128675000,,,-10239000,,22416000,-2.118785,-50553000,-53048000,,7000,,-54314000,-596000,,23859432.0,,,-2397000,54844000,,,17403000,,269839000,-19941000,0.0,-182514000,-50375000,,-53644000,19218000,,-2.118785,16989000,,,24287344.0,18184000,,18819000,,,,,,,,,,,,
2014-06-30,34867000,1000,572000,57596000,,24069000,12255000,-77142000,-33228000,0,,,-24824000,,36327000,324295000,,,,,-4443000,,,,231762000,,,13828000,,92533000,0.513633,12255000,13832000,,750000,,-54932000,-864000,,23859432.0,,,-1708000,56206000,,,-3754000,,59314000,-29319000,0.0,-52356000,4495000,,12968000,-13333000,,0.504584,-45906000,,,24287344.0,37402000,,21651000,,,,,,,,,,,,
2014-09-30,35517000,-527000,608000,73363000,,9995000,26874000,-128465000,-17217000,0,-218128000.0,1455678000.0,20060000,233408000.0,50490000,394759000,343159000.0,1208594000.0,,1062921000.0,13977000,127529000.0,16157000.0,179865000.0,285497000,61865000.0,292792000.0,5844000,1222270000.0,109262000,1.126347,26874000,28110000,390338000.0,0,-261614000.0,-149091000,-1038000,9995000.0,23859432.0,9533000.0,9995000.0,-1333000,58772000,111137000.0,18026000.0,-4028000,51255000.0,79348000,-14984000,,-117071000,35044000,946980000.0,27072000,-14073000,20571000.0,1.106502,-25546000,1406599000.0,1749758000.0,24287344.0,24069000,87604000.0,22085000,28187000.0,506360000.0,-7236000.0,,,,,,,,,
2014-12-31,44860000,-737000,489000,51694000,,13215000,13939000,-55427000,57149000,-5402000,-217416000.0,1442794000.0,78007000,212985000.0,24124000,334086000,293416000.0,1229976000.0,,1059642000.0,108000,136427000.0,17172000.0,143113000.0,241226000,78446000.0,285685000.0,-15888000,1229809000.0,92860000,,2647000,4753000,419270000.0,-1387000,-279375000.0,-130933000,-4485000,13215000.0,,8958000.0,13215000.0,331000,68736000,111553000.0,17647000.0,-5379000,48843000.0,-31279000,-11918000,,-45913000,89925000,950601000.0,268000,3219000,18402000.0,,44097000,1436361000.0,1729777000.0,,9995000,78854000.0,24187000,5275000.0,506361000.0,-15546000.0,,,,,,,,,
2015-03-31,67234000,1468000,15217000,-32838000,,314980000,-10151000,-15243000,-23880000,0,-10151000.0,1389983000.0,-79216000,190887000.0,-57642000,193987000,587540000.0,1245316000.0,,1057418000.0,-21413000,141678000.0,17476000.0,110829000.0,158269000,57921000.0,446161000.0,-10045000,1199096000.0,35718000,-0.37031,-10151000,-79837000,415582000.0,-276000,-297187000.0,-106441000,-4468000,314980000.0,27280407.0,8309000.0,314980000.0,-1755000,93360000,133307000.0,16891000.0,-79043000,50112000.0,378516000,-17708000,460000000.0,0,-61508000,948129000.0,-84305000,301765000,24851000.0,-0.37031,30309000,1430714000.0,2018254000.0,27280407.0,13215000,70840000.0,24109000,5275000.0,956000.0,-1050000.0,,,,,,,,,
2015-06-30,39711000,-7209000,1803000,38711000,,12570000,-205000,-37350000,-41346000,23000,-10356000.0,1196605000.0,-44247000,283611000.0,48676000,364943000,349620000.0,1302374000.0,,755972000.0,4858000,157022000.0,19853000.0,164059000.0,249170000,90778000.0,448381000.0,13150000,912994000.0,115773000,-0.009745,-205000,-725000,418659000.0,886000,-317293000.0,-363187000,-5345000,12570000.0,27280407.0,8341000.0,12570000.0,-6478000,67097000,128417000.0,16257000.0,-9455000,45875000.0,-246484000,-25671000,0.0,-15863000,-18576000,985081000.0,-6070000,-302410000,22395000.0,-0.009745,-51844000,1465872000.0,1815492000.0,27280407.0,314980000,90822000.0,17395000,71275000.0,956000.0,14000.0,,,,,,,,,
2015-09-30,42539000,1307000,1569000,85545000,-14606000.0,18987000,14711000,-513052000,-7723000,-23000,4355000.0,1608048000.0,34864000,303427000.0,83661000,471905000,418899000.0,1619314000.0,,1148068000.0,12725000,156553000.0,21762000.0,207631000.0,312399000,64594000.0,603132000.0,26278000,1304621000.0,159506000,0.380055,14711000,33815000,567836000.0,0,-343087000.0,-781779000,-2655000,18987000.0,38912754.0,11005000.0,18987000.0,867000,75845000,138036000.0,15481000.0,-496497000,51798000.0,458312000,-26293000,577444000.0,-489603000,61157000,1276227000.0,31160000,6417000,20191000.0,0.380055,-34752000,1911342000.0,2330241000.0,38957370.0,12570000,113226000.0,20727000,68125000.0,1180000.0,-2607000.0,,,,,,,,,
2015-12-31,28285000,-7072000,1310000,96649000,-2288000.0,186405000,23363000,-18702000,79181000,-19838000,10870000.0,1628319000.0,97852000,214504000.0,69465000,401462000,472528000.0,1635511000.0,,1273652000.0,8105000,140163000.0,4807000.0,146635000.0,270807000,73061000.0,628265000.0,-33624000,1413815000.0,130655000,,23363000,45816000,596397000.0,900000,-366505000.0,-254079000,-5795000,186405000.0,,13081000.0,186405000.0,272000,61190000,130082000.0,15005000.0,-6765000,43243000.0,69993000,-19278000,0.0,-4551000,117130000,1269006000.0,40021000,167418000,20584000.0,,60139000,1923651000.0,2396179000.0,,18987000,81397000.0,22398000,6500000.0,1187000.0,-2795000.0,,,,,,,,,
2016-03-31,45370000,130000,2036000,7694000,,92244000,-21118000,-282217000,-36707000,-17000,-11932000.0,1884392000.0,-81083000,205487000.0,-26239000,228379000,419548000.0,1792894000.0,,1517680000.0,-25612000,161225000.0,15003000.0,133800000.0,176888000,60437000.0,610267000.0,-618000,1678905000.0,51491000,-0.40929,-21118000,-42534000,735746000.0,0,-395192000.0,-3458000,-8166000,92244000.0,51048749.0,10667000.0,92244000.0,-2884000,77730000,171991000.0,14521000.0,-16974000,46531000.0,229568000,-39125000,,-249111000,-41958000,1397702000.0,-50700000,-94161000,17797000.0,-0.40929,22281000,2194500000.0,2614048000.0,51048749.0,186405000,91560000.0,21577000,6500000.0,1188000.0,-1597000.0,,,,,,,,,
