date,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-06-30,-103635334.15963,569231708.876741,2398882757.186857,268577469.187258,2398882757.186857,155175761.109413,259021867.733831,10996947526.804132,14074870948.724207,,,325016388.150645,703139566.257029,,1701413057.690085,,2654170191.623404,372212803.346888,11420700757.100801,6770426117.329888,4604704933.224074,106802168.578709,179625367.024843,91442890.459995,,,7259100765.079491,5069013059.639803,,1744776.212666,284682759.390886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,563114484.024202,2873425713.986516,270556721.761443,2873425713.986516,473787668.824869,252402624.892872,11317025535.313536,15488411224.103172,,,246420857.644702,680777780.346435,0.0,1590964302.963878,,3427041298.203325,,12061369925.899847,8125170212.630305,4645354029.313697,254471827.18359,206579339.073408,168200238.595553,0.0,,7316640496.45689,6534205909.666427,,1816943.69185,295685427.998731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,-139809466.17751,263381004.369001,2425578633.045065,270840258.369849,2425578633.045065,490488351.576053,246232701.535575,11919828033.091326,15898021453.952019,,687667229.598694,289140871.284101,,,1088065052.553938,2284612699.823955,3023615925.498259,410649724.547359,12874405528.453758,8519794140.093291,4895273449.220647,596075206.024081,43663074.188201,,,,7328022843.050076,7431729087.539353,25759866.9151,1962086.429113,317619391.853099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,1698183416.176262,2471964302.638526,282417503.251478,2471964302.638526,405712179.842126,239697923.561302,12575084199.750183,16291820362.62024,,,0.0,47012256.461105,0.0,2672197764.528632,,3028606479.776453,,13263213882.843786,8903667988.07577,5035431251.52916,235915123.556151,268643546.621683,309864250.486112,0.0,,7335583270.664589,6231470223.547137,,1880069.40778,328654423.29732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,-175490235.611036,1746434362.090855,3868601099.271127,311196319.544245,3868601099.271127,245942567.87673,242924963.266332,12796129794.227015,17636176477.080124,,770972961.120312,1774690263.483512,,,2626215796.927261,2218884286.85128,4282907795.432136,486686555.15528,13353268681.647987,10293716988.515896,7021596827.532206,394837035.754104,57398465.08046,82626919.173041,,245942567.87673,7287087797.333265,7667501191.588634,28255901.392657,2009549.142559,327983026.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,405988000.0,2308750000.0,313714000.0,2308750000.0,1000000.0,270603000.0,13255928000.0,16818317000.0,,,20035000.0,,0.0,1335465000.0,2470396000.0,2604315000.0,,14214002000.0,9179517000.0,7199343000.0,221652000.0,321617000.0,,0.0,,7584973000.0,7844052000.0,,1910000.0,323092000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,-219090000.0,953874000.0,1515110000.0,497179000.0,1515110000.0,0.0,270603000.0,13060456000.0,16283746000.0,22806000.0,,106595000.0,,,1847974000.0,2453126000.0,1960382000.0,716269000.0,14323364000.0,8663151000.0,6097060000.0,328394000.0,392394000.0,83702000.0,,,7570735000.0,6815177000.0,,1853000.0,325723000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,600000000.0,1414802000.0,437000.0,166367000.0,0.0,270603000.0,,8780728000.0,1248435000.0,,9503000.0,9503000.0,0.0,622151000.0,2489995000.0,1547477000.0,,7233251000.0,1431083000.0,674005000.0,1248435000.0,0.0,,0.0,,7300122000.0,808932000.0,,,134927000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,-5188000.0,500000000.0,813601000.0,369000.0,63607000.0,0.0,270603000.0,,8127551000.0,749994000.0,,8771000.0,8771000.0,,510128000.0,2429977000.0,1991666000.0,5557000.0,6135885000.0,841743000.0,198479000.0,749994000.0,0.0,610000.0,,,7236028000.0,331615000.0,,,133136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,739808000.0,1174749000.0,332000.0,897383000.0,0.0,270603000.0,,8414268000.0,277366000.0,,8990000.0,8990000.0,0.0,759630000.0,2442076000.0,2183949000.0,,6230319000.0,1116662000.0,216067000.0,277366000.0,0.0,,0.0,,7248025000.0,357032000.0,,,140965000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
