date,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2012-12-31,183353000.0,14021000,317739000,168115000,,415531000,97792000,0.0,729000.0,705000,194615000.0,233395000,14021000,87370000.0,8000,55178000,55178000,7470000,-11213000.0,0.0,182136000,25749000,18683000.0,82312000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,18193000,313028000,159116000,,420479000,107451000,0.0,0.0,1705000,,243170000,18193000,97498000.0,8000,95292000,95292000,6727000,,0.0,177309000,24772000,,80698000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,261464000.0,14055000,579730000,78286000,,714250000,134520000,0.0,1154000.0,1279000,209500000.0,621909000,14055000,125063000.0,8232000,360170000,360170000,7457000,-13351000.0,0.0,92341000,30600000,20808000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,261464000.0,20774000,596620000,59295000,,732677000,136057000,0.0,2522000.0,2175000,240714000.0,652608000,20774000,125142000.0,8232000,341670000,341670000,8915000,,0.0,80069000,13958000,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,368606000.0,21594000,641655000,56057000,,818648000,176993000,0.0,280737000.0,1034000,243072000.0,740997000,21594000,166335000.0,8232000,102630000,102630000,8658000,-15590000.0,0.0,77651000,19240000,24248000.0,,2375000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,405178000.0,25964000,653651000,51881000,207000000.0,855414000,201763000,0.0,2233000.0,1205000,253997000.0,777569000,25964000,192422000.0,8232000,345312000,138312000,7341000,,0.0,77845000,19768000,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,483495000.0,31344000,766826000,78971000,255000000.0,990657000,223831000,0.0,26000.0,1631000,355596000.0,880342000,31344000,213779000.0,8232000,383444000,128444000,8052000,-16675000.0,0.0,110315000,31149000,24727000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,299788000.0,32270000,843295000,118038000,,1073286000,229991000,0.0,5000.0,2244000,459995000.0,922978000,32270000,187587000.0,8232000,322572000,322572000,6857000,,33547000.0,150308000,51558000,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,630416000.0,43277000,915661000,161785000,0.0,1240360000,324699000,0.0,4081000.0,12796000,551685000.0,1035298000,43277000,200650000.0,10009000,277415000,277415000,107335000,-21759000.0,0.0,205062000,146232000,129094000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,676774000.0,44964000,917374000,144393000,,1236771000,319397000,0.0,2141000.0,1626000,639124000.0,1047414000,44964000,197638000.0,10009000,244064000,244064000,105271000,,0.0,189357000,139123000,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
