date,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyTotalRevenue,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable
2012-06-30,,,13907000,,3336094000,247570000,52002000,,,299572000,,,,,,,115182000,,,,,,,,229837345.0,,,,,,,,,,,,0.0,,229837345.0,,,,,,,,184390000,,,13587000,0.060508,,,,,-960000,,3036522000,,,0.060508,,,,,13907000,14547000,,,,,,,,,,
2012-09-30,136748000.0,3139000.0,58214000,-118209000.0,3401160000,301524000,51381000,9520490000.0,,350629000,2185501000.0,2092674000.0,0.0,-21879000.0,2163674000.0,-16942000.0,166003000,-21829000.0,402986000.0,-444479000.0,8301853000.0,,10487354000.0,283931000.0,,-73745000.0,1595149000.0,133245000.0,,136748000.0,37462000.0,136748000.0,873345000.0,2159000.0,101034000.0,508416000.0,-3201000.0,976309000.0,,-401157000.0,1207585000.0,-271149000.0,-1116365000.0,,1000921000.0,-1959000.0,184626000,,142902000.0,65583000,,555080000.0,35714000.0,0.0,5453000.0,6165000,4444000.0,3050531000,1252867000.0,1315997000.0,,4729474000.0,933017000.0,5971305000.0,,58214000,59418000,177926000.0,-9861000.0,0.0,7356816000.0,,,,,,
2012-12-31,128953000.0,4027000.0,42814000,-78721000.0,3535915000,308719000,55656000,,,364375000,,,-47352000.0,-18460000.0,,-15573000.0,175319000,25011000.0,-386109000.0,,,,,-274360000.0,229837345.0,,,133400000.0,,,,,,,136748000.0,,0.0,,229837345.0,269865000.0,,-75421000.0,,,,-11393000.0,189056000,,-11671000.0,61968000,0.18628,-198939000.0,-7795000.0,,3246000.0,18776000,4013000.0,3171540000,,,0.18628,,,,,42814000,43192000,,-658917000.0,,,,,,,,
2013-03-31,119715000.0,4794000.0,-40104000,-80601000.0,3403737000,215519000,55992000,,,271511000,,,0.0,-10497000.0,,-17582000.0,80215000,44060000.0,116245000.0,,,,,158216000.0,229837345.0,,,135304000.0,,,,,,,128953000.0,,-294248000.0,,229837345.0,-178639000.0,,-91786000.0,,,,-44525000.0,191296000,,-10806000.0,-66909000,-0.174489,250002000.0,-9238000.0,,1126000.0,-27005000,18961000.0,3132226000,,,-0.174489,,,,,-40104000,-39904000,,-2384714000.0,,,,,,,,
2013-06-30,97821000.0,3507000.0,27748000,-92751000.0,3490030000,259404000,52534000,9297815000.0,,311938000,2166260000.0,,0.0,-17497000.0,1898062000.0,-5264000.0,123596000,-6308000.0,-58221000.0,-518131000.0,7960873000.0,,10127133000.0,-11121000.0,229837345.0,-93859000.0,1450850000.0,135808000.0,,97821000.0,71139000.0,97821000.0,699567000.0,2187000.0,119715000.0,516494000.0,0.0,958208000.0,229837345.0,-14406000.0,1090061000.0,-96384000.0,,,949549000.0,2341000.0,188342000,,-89000.0,42679000,0.120729,85263000.0,-21894000.0,0.0,510000.0,14705000,1451000.0,3178092000,1127356000.0,1330120000.0,0.120729,4602266000.0,829318000.0,6145917000.0,,27748000,27974000,163775000.0,-4410000.0,0.0,7399753000.0,,,,,,
2013-09-30,110998000.0,7089000.0,38898000,-133315000.0,3515975000,274748000,63721000,9363399000.0,,336689000,2287165000.0,2253986000.0,47352000.0,28663000.0,2389253000.0,-3980000.0,135344000,-28205000.0,375306000.0,-479233000.0,7979941000.0,,10267106000.0,408221000.0,,-59225000.0,1408764000.0,137624000.0,0.0,110998000.0,65841000.0,110998000.0,888969000.0,2194000.0,97821000.0,541972000.0,-4650000.0,977323000.0,,-413089000.0,1047002000.0,-151360000.0,-1276663000.0,,973867000.0,-47701000.0,201345000,,22019000.0,52891000,,559581000.0,13177000.0,0.0,715000.0,12757000,-6532000.0,3179286000,1434443000.0,1405843000.0,,4619987000.0,903707000.0,5758229000.0,,38898000,40134000,168915000.0,-266812000.0,0.0,6974146000.0,,,,,,
2013-12-31,115598000.0,45398000.0,44762000,-58829000.0,3763081000,294046000,114216000,8566005000.0,,408262000,2336569000.0,,0.0,-21162000.0,1988748000.0,-629000.0,157222000,6311000.0,-493545000.0,-434471000.0,7912767000.0,,10249336000.0,-366980000.0,215294000.0,-53674000.0,1363219000.0,136824000.0,,115598000.0,88786000.0,115598000.0,760284000.0,2478000.0,110998000.0,532943000.0,0.0,967350000.0,206462000.0,344687000.0,1011182000.0,-85722000.0,,,967116000.0,-1037000.0,251040000,,-8176000.0,73869000,0.22,-281258000.0,4600000.0,0.0,525918000.0,28953000,2278000.0,3354819000,1139678000.0,1504479000.0,0.21,4615082000.0,1683331000.0,5555929000.0,,44762000,44916000,10146000.0,-377534000.0,0.0,6577257000.0,,,,,,
2014-03-31,139184000.0,27600000.0,12916000,-82449000.0,3502007000,246124000,96075000,8587491000.0,,342199000,2415716000.0,,-17306000.0,-12721000.0,2053548000.0,-920000.0,120807000,14218000.0,-13693000.0,-438861000.0,7870915000.0,,10286631000.0,67337000.0,243376000.0,-58840000.0,1327349000.0,125317000.0,,139184000.0,89613000.0,139184000.0,804241000.0,2501000.0,115598000.0,549942000.0,-204148000.0,960903000.0,230693000.0,-47803000.0,975838000.0,-86501000.0,,,967261000.0,-27999000.0,221392000,,-2644000.0,18733000,0.06,153838000.0,23586000.0,0.0,1582000.0,5616000,2851000.0,3159808000,1159694000.0,1523027000.0,0.05,4615402000.0,1699140000.0,5547928000.0,,12916000,13117000,10177000.0,-1539534000.0,0.0,6533943000.0,,,,,,
2014-06-30,122419000.0,10019000.0,46873000,-156993000.0,3620057000,266200000,78448000,8555280000.0,,344648000,2355200000.0,,-17390000.0,-12307000.0,2000537000.0,-536000.0,141283000,-4371000.0,-55194000.0,-409378000.0,7919802000.0,,10275002000.0,-44114000.0,243739000.0,-69106000.0,1298407000.0,124917000.0,,122419000.0,104106000.0,122419000.0,766450000.0,2534000.0,139184000.0,543210000.0,0.0,988603000.0,231854000.0,30248000.0,959135000.0,-154094000.0,,,1013578000.0,10100000.0,203365000,,-9515000.0,70097000,0.2,109980000.0,-16765000.0,0.0,282000.0,23181000,3445000.0,3275409000,1129981000.0,1494709000.0,0.19,4619214000.0,1719722000.0,5585603000.0,,46873000,46916000,10005000.0,-2912000.0,0.0,6554743000.0,,,,,,
2014-09-30,111690000.0,13315000.0,44405000,-206951000.0,3947768000,279774000,94112000,8737657000.0,,373886000,2464976000.0,2355715000.0,-17490000.0,83562000.0,2378873000.0,-2645000.0,145251000,3879000.0,135810000.0,-382463000.0,7990717000.0,,10455693000.0,175806000.0,244266000.0,-106298000.0,1252741000.0,134523000.0,,111690000.0,89805000.0,111690000.0,986240000.0,2561000.0,122419000.0,553815000.0,0.0,997331000.0,233392000.0,-219377000.0,993118000.0,-239793000.0,-1358384000.0,,1150965000.0,12906000.0,228635000,,19795000.0,66978000,0.19,415599000.0,-10729000.0,0.0,707000.0,22468000,360000.0,3573882000,1302828000.0,1582431000.0,0.18,4589680000.0,1718036000.0,5355789000.0,,44405000,44510000,1002995000.0,-58626000.0,0.0,6358784000.0,,,,,,
