date,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1998-11-30,,0,,,,,,,,,,,260858,,130429.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,130429,,,,,,,,260858,0,,,,,,130429.0,,,,,,,130429,,,,,,
1999-02-28,,0,,,,,,,,,,,260858,,132442.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,132442,,,,,,,,264883,0,,,,,,132442.0,,,,,,,132442,,,,,,
1999-05-31,,0,,,,,,,,,,,264883,,136017.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,136017,,,,,,,,272035,0,,,,,,136017.0,,,,,,,136017,,,,,,
1999-08-31,,603015,,,,134003.0,67002.0,0.0,,,268007.0,268007.0,272035,0.0,126954.0,,0.0,,0.0,-67002.0,0,0,,,-67002,,,469012,,67002,134004.0,,,,-67002.0,67002.0,,,201005.0,67002.0,,,,670017,,0,,,-74051,,,,,67002.0,,,201005,0,,67002.0,,0.0,,-74051.0,,134003.0,,,,,-74051,,,,,,
1999-11-30,,0,,,,,,,,,,,271463,,135731.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,135731,,,,,,,,271463,0,,,,,,135731.0,,,,,,,135731,,,,,,
2000-02-29,,0,,,,,,,,,,,271463,,137941.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,137941,,,,,,,,275881,0,,,,,,137941.0,,,,,,,137941,,,,,,
2000-05-31,,0,,,,,,,,,,,275881,,267308.0,,0.0,,0.0,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,0,,,267308,,,,,,,,267308,0,,,,,,267308.0,,,,,,,267308,,,,,,
2000-08-31,,618520,,,,156059.0,64982.0,22690.0,,,79714.0,79714.0,267308,0.0,149172.0,,-23845.0,,-23845.0,-91721.0,0,25866,,,-129721,,,342305,,67700,126682.0,,,,2718.0,34961.0,-23638.0,,343915.0,76132.0,,,,686220,,23174,,,-155025,,,,,,,,79714,-155587,,67700.0,,152895.0,,-160700.0,,163769.0,,,,,-136855,,,,,,
2000-11-30,,0,,,,,,,,,,,76417,,0.65142,,-121273.34858,,-121273.34858,,0,1076,0.14325,87.94215,1076,,2.8e-05,0,,0,,1027.0,39.0854,,,,,,,,,,,0,,1076,48.85675,48.85675,121274,,1720000.0,,,,,,77493,0,,,48.85675,,2.8e-05,0.65142,,,-0.05785,,,1720000.0,121274,,,,,,
2001-02-28,,0,,,,,,,,,,,77493,,0.65083,,-166828.34917,,-166828.34917,,0,9687,,863.0,9687,,0.000281,0,,0,,9203.0,379.0,,,,,,,,,,,0,,9687,484.0,484.0,166829,,1720000.0,,,,,,87110,0,,,484.0,,0.000281,0.65083,,,288944.0,,,1720000.0,166829,,,,,,
2001-05-31,,0,,,,,,,,,,,87110,,0.65041,,-143511.34959,,-143511.34959,,0,1716,,-1716.0,1716,,-0.000755,0,,0,,3015.0,-418.0,,,,,,,,,,,0,,1716,-1298.0,-1298.0,143512,,1720000.0,,,,,,88777,0,,,-1298.0,,-0.000755,0.65041,,,141795.0,,,1720000.0,143512,,,,,,
